"start_sites_sitename","start_Date","start_climvar.val","start_climvar.class","month","end_Date","rep.yrs","nyears","n.missing"
"Smithsonian_Environmental_Research_Center",1997,"1.30000007152557","pet",1,1999,3,3,0
"Harvard_Forest",1915,"1","pet",1,1917,3,3,0
"Harvard_Forest",1968,"0.699999988079071","pet",1,1970,3,3,0
"Harvard_Forest",2003,"0.800000011920929","pet",1,2005,3,3,0
"Smithsonian_Conservation_Biology_Institute",1920,"11.3000001907349","dtr",1,1922,3,3,0
"Smithsonian_Conservation_Biology_Institute",1963,"1.20000004768372","pet",1,1965,3,3,0
"Smithsonian_Conservation_Biology_Institute",1969,"1","pet",1,1971,3,3,0
"Smithsonian_Conservation_Biology_Institute",1983,"1.20000004768372","pet",1,1985,3,3,0
"Yosemite_National_Park",1901,"NaN","dtr",1,2019,119,119,0
"Yosemite_National_Park",1901,"NaN","pet",1,2019,119,119,0
"Wind_River",1933,"7.20000028610229","dtr",1,1935,3,3,0
"Wind_River",1979,"0.5","pet",1,1985,7,7,0
"Wind_River",1993,"0.400000005960464","pet",1,1997,5,5,0
"Wind_River",1945,"0.5","pet",1,1948,4,4,0
"Wind_River",1964,"0.5","pet",1,1966,3,3,0
"Wind_River",1968,"0.5","pet",1,1970,3,3,0
"Wind_River",1990,"0.600000023841858","pet",1,1992,3,3,0
"Wind_River",2016,"0.5","pet",1,2018,3,3,0
"Wind_River",1901,"NaN","wet",1,2019,119,119,0
"Utah_Forest_Dynamics_Plot",1901,"NaN","dtr",1,2019,119,119,0
"Utah_Forest_Dynamics_Plot",1901,"NaN","pet",1,2019,119,119,0
"Utah_Forest_Dynamics_Plot",1901,"NaN","wet",1,2019,119,119,0
"Huai_Kha_Khaeng",1901,"16.7000007629395","dtr",1,1936,36,36,0
"Huai_Kha_Khaeng",1956,"3.29999995231628","pet",1,1959,4,4,0
"Huai_Kha_Khaeng",1988,"3.20000004768372","pet",1,1991,4,4,0
"Huai_Kha_Khaeng",2015,"3","pet",1,2018,4,4,0
"Huai_Kha_Khaeng",1907,"3.10000014305115","pet",1,1909,3,3,0
"Huai_Kha_Khaeng",1911,"3.10000014305115","pet",1,1913,3,3,0
"Huai_Kha_Khaeng",1922,"3.20000004768372","pet",1,1924,3,3,0
"Huai_Kha_Khaeng",1929,"3.20000004768372","pet",1,1931,3,3,0
"Huai_Kha_Khaeng",1985,"3.10000014305115","pet",1,1987,3,3,0
"Huai_Kha_Khaeng",2000,"3","pet",1,2002,3,3,0
"Huai_Kha_Khaeng",2003,"3.20000004768372","pet",1,2005,3,3,0
"Huai_Kha_Khaeng",1931,"0.100000001490116","pre",1,1934,4,4,0
