Site,TMN,TMP,TMX,PRE,WET,PET,DTR,FRS
"Amacayacu",0,0,0,0,0,0,0,0
"Badagongshan",0,0,0,0,0,0,0,0
"Baishanzu",0,0,0,0,0,0,0,0
"Baotianman",0,0,0,0,0,0,0,0
"Barro_Colorado_Island",0,0,0,1,1,0,0,0
"Bidoup",0,0,0,0,0,0,0,0
"Bukit_Timah",0,0,0,0,0,0,0,0
"Changbaishan",0,0,0,0,0,0,0,0
"Cocoli",0,0,0,0,0,0,0,0
"Danum_Valley",0,0,0,0,0,0,0,0
"Daxinganling",0,0,0,0,0,0,0,0
"Dinghushan",0,0,0,0,0,0,0,0
"Doi_Inthanon",0,0,0,0,0,0,0,0
"Donglingshan",0,0,0,0,0,0,0,0
"Fushan",0,0,0,0,0,0,0,0
"Gutianshan",0,0,0,0,0,0,0,0
"Haliburton",0,0,0,0,0,0,0,0
"Harvard_Forest",0,0,0,0,0,0,0,0
"Heishiding",0,0,0,0,0,0,0,0
"Hong_Kong",0,0,0,0,0,0,0,0
"Huai_Kha_Khaeng",0,0,0,0,0,0,0,0
"Ilha_do_Cardoso",0,0,0,0,0,0,0,0
"Indian_Cave",0,0,0,0,0,0,0,0
"Ituri_(Edoro_and_Lenda)",0,0,0,0,0,0,0,0
"Jianfengling",0,0,0,0,0,0,0,0
"Kenting",0,0,0,0,0,0,0,0
"Khao_Chong",0,0,0,0,0,0,0,0
"Korup",0,0,0,0,0,0,0,0
"Kuala_Belalong",0,0,0,0,0,0,0,0
"La_Planada",0,0,0,0,0,0,0,0
"Lambir",0,0,0,0,0,0,0,0
"Laupahoehoe",0,0,0,0,0,0,0,0
"Lienhuachih",0,0,0,0,0,0,0,0
"Lilly_Dickey_Woods",0,0,0,0,0,0,0,0
"Luquillo",0,0,0,0,0,0,0,0
"Manaus",0,0,0,0,0,0,0,0
"Michigan_Big_Woods",0,0,0,0,0,0,0,0
"Mo_Singto",0,0,0,0,0,0,0,0
"Mpala",0,0,0,0,0,0,0,0
"Mudumalai",0,0,0,0,0,0,0,0
"Nanjenshan",0,0,0,0,0,0,0,0
"Ngel_Nyaki",0,0,0,0,0,0,0,0
"Niobara",0,0,0,0,0,0,0,0
"Nonggang",0,0,0,0,0,0,0,0
"Ordway-Swisher",0,0,0,0,0,0,0,0
"Palamanui",0,0,0,0,0,0,0,0
"Palanan",0,0,0,0,0,0,0,0
"Pasoh",0,0,0,0,0,0,0,0
"Rabi",0,0,0,0,0,0,0,0
"San_Lorenzo",0,0,0,0,0,0,0,0
"Santa_Cruz",0,0,0,1,1,0,0,0
"Scotty_Creek",0,0,0,0,0,0,0,0
"Sinharaja",0,0,0,0,0,0,0,0
"Smithsonian_Conservation_Biology_Institute",0,0,0,0,0,0,0,0
"Smithsonian_Environmental_Research_Center",0,0,0,0,0,0,0,0
"Speulderbos",0,0,0,0,0,0,0,0
"Tiantongshan",0,0,0,0,0,0,0,0
"Traunstein",0,0,0,0,0,0,0,0
"Tyson_Research_Center",0,0,0,0,0,0,0,0
"University_of_Maryland,_Baltimore_County",0,0,0,0,0,0,0,0
"Utah_Forest_Dynamics_Plot",1,1,1,1,1,1,1,1
"Wabikon",0,0,0,0,0,0,0,0
"Wanang",0,0,0,0,0,0,0,0
"Wind_River",0,0,0,1,1,0,0,0
"Wytham_Woods",0,0,0,0,0,0,0,0
"Xishuangbanna",0,0,0,0,0,0,0,0
"Yasuni",0,0,0,0,0,0,0,0
"Yosemite_National_Park",1,1,1,0,0,1,1,1
"Zofin",0,0,0,0,0,0,0,0
