"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","dtr",1901,1,8.6,0
"Amacayacu","dtr",1901,2,8.7,0
"Amacayacu","dtr",1901,3,8.6,0
"Amacayacu","dtr",1901,4,8,0
"Amacayacu","dtr",1901,5,7.9,0
"Amacayacu","dtr",1901,6,8.4,0
"Amacayacu","dtr",1901,7,9.4,0
"Amacayacu","dtr",1901,8,9.7,0
"Amacayacu","dtr",1901,9,10,0
"Amacayacu","dtr",1901,10,9.4,0
"Amacayacu","dtr",1901,11,9.1,0
"Amacayacu","dtr",1901,12,8.5,0
"Amacayacu","dtr",1902,1,8.6,0
"Amacayacu","dtr",1902,2,8.7,0
"Amacayacu","dtr",1902,3,8.6,0
"Amacayacu","dtr",1902,4,8,0
"Amacayacu","dtr",1902,5,7.9,0
"Amacayacu","dtr",1902,6,8.4,0
"Amacayacu","dtr",1902,7,9.4,0
"Amacayacu","dtr",1902,8,9.7,0
"Amacayacu","dtr",1902,9,10,0
"Amacayacu","dtr",1902,10,9.4,0
"Amacayacu","dtr",1902,11,9.1,0
"Amacayacu","dtr",1902,12,8.5,0
"Amacayacu","dtr",1903,1,8.6,0
"Amacayacu","dtr",1903,2,8.7,0
"Amacayacu","dtr",1903,3,8.6,0
"Amacayacu","dtr",1903,4,8,0
"Amacayacu","dtr",1903,5,7.9,0
"Amacayacu","dtr",1903,6,8.4,0
"Amacayacu","dtr",1903,7,9.4,0
"Amacayacu","dtr",1903,8,9.7,0
"Amacayacu","dtr",1903,9,10,0
"Amacayacu","dtr",1903,10,9.4,0
"Amacayacu","dtr",1903,11,9.1,0
"Amacayacu","dtr",1903,12,8.5,0
"Amacayacu","dtr",1904,1,8.6,0
"Amacayacu","dtr",1904,2,8.7,0
"Amacayacu","dtr",1904,3,8.6,0
"Amacayacu","dtr",1904,4,8,0
"Amacayacu","dtr",1904,5,7.9,0
"Amacayacu","dtr",1904,6,8.4,0
"Amacayacu","dtr",1904,7,9.4,0
"Amacayacu","dtr",1904,8,9.7,0
"Amacayacu","dtr",1904,9,10,0
"Amacayacu","dtr",1904,10,9.4,0
"Amacayacu","dtr",1904,11,9.1,0
"Amacayacu","dtr",1904,12,8.5,0
"Amacayacu","dtr",1905,1,8.6,0
"Amacayacu","dtr",1905,2,8.7,0
"Amacayacu","dtr",1905,3,8.6,0
"Amacayacu","dtr",1905,4,8,0
"Amacayacu","dtr",1905,5,7.9,0
"Amacayacu","dtr",1905,6,8.4,0
"Amacayacu","dtr",1905,7,9.4,0
"Amacayacu","dtr",1905,8,9.7,0
"Amacayacu","dtr",1905,9,10,0
"Amacayacu","dtr",1905,10,9.4,0
"Amacayacu","dtr",1905,11,9.1,0
"Amacayacu","dtr",1905,12,8.5,0
"Amacayacu","dtr",1906,1,8.6,0
"Amacayacu","dtr",1906,2,8.7,0
"Amacayacu","dtr",1906,3,8.6,0
"Amacayacu","dtr",1906,4,8,0
"Amacayacu","dtr",1906,5,7.9,0
"Amacayacu","dtr",1906,6,8.4,0
"Amacayacu","dtr",1906,7,9.4,0
"Amacayacu","dtr",1906,8,9.7,0
"Amacayacu","dtr",1906,9,10,0
"Amacayacu","dtr",1906,10,9.4,0
"Amacayacu","dtr",1906,11,9.1,0
