"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","pet",1901,1,3.10000014305115,NA
"Amacayacu","pet",1901,2,3.20000004768372,NA
"Amacayacu","pet",1901,3,3.20000004768372,NA
"Amacayacu","pet",1901,4,3.10000014305115,NA
"Amacayacu","pet",1901,5,2.90000009536743,NA
"Amacayacu","pet",1901,6,2.70000004768372,NA
"Amacayacu","pet",1901,7,3.10000014305115,NA
"Amacayacu","pet",1901,8,3.5,NA
"Amacayacu","pet",1901,9,3.70000004768372,NA
"Amacayacu","pet",1901,10,3.60000014305115,NA
"Amacayacu","pet",1901,11,3.40000009536743,NA
"Amacayacu","pet",1901,12,3.20000004768372,NA
"Amacayacu","pet",1902,1,3.10000014305115,NA
"Amacayacu","pet",1902,2,3.20000004768372,NA
"Amacayacu","pet",1902,3,3.20000004768372,NA
"Amacayacu","pet",1902,4,3.10000014305115,NA
"Amacayacu","pet",1902,5,2.90000009536743,NA
"Amacayacu","pet",1902,6,2.70000004768372,NA
"Amacayacu","pet",1902,7,3.10000014305115,NA
"Amacayacu","pet",1902,8,3.5,NA
"Amacayacu","pet",1902,9,3.70000004768372,NA
"Amacayacu","pet",1902,10,3.60000014305115,NA
"Amacayacu","pet",1902,11,3.40000009536743,NA
"Amacayacu","pet",1902,12,3.20000004768372,NA
"Amacayacu","pet",1903,1,3.10000014305115,NA
"Amacayacu","pet",1903,2,3.20000004768372,NA
"Amacayacu","pet",1903,3,3.20000004768372,NA
"Amacayacu","pet",1903,4,3.10000014305115,NA
"Amacayacu","pet",1903,5,2.90000009536743,NA
"Amacayacu","pet",1903,6,2.70000004768372,NA
"Amacayacu","pet",1903,7,3.10000014305115,NA
"Amacayacu","pet",1903,8,3.5,NA
"Amacayacu","pet",1903,9,3.70000004768372,NA
"Amacayacu","pet",1903,10,3.60000014305115,NA
"Amacayacu","pet",1903,11,3.40000009536743,NA
"Amacayacu","pet",1903,12,3.20000004768372,NA
"Amacayacu","pet",1904,1,3.10000014305115,NA
"Amacayacu","pet",1904,2,3.20000004768372,NA
"Amacayacu","pet",1904,3,3.20000004768372,NA
"Amacayacu","pet",1904,4,3.10000014305115,NA
"Amacayacu","pet",1904,5,2.90000009536743,NA
"Amacayacu","pet",1904,6,2.70000004768372,NA
