"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","pre",1901,1,358.8,0
"Amacayacu","pre",1901,2,283.3,0
"Amacayacu","pre",1901,3,344.5,0
"Amacayacu","pre",1901,4,325.4,0
"Amacayacu","pre",1901,5,282.7,0
"Amacayacu","pre",1901,6,218.3,0
"Amacayacu","pre",1901,7,167.4,0
"Amacayacu","pre",1901,8,160.5,0
"Amacayacu","pre",1901,9,205.6,0
"Amacayacu","pre",1901,10,243.1,0
"Amacayacu","pre",1901,11,251.9,0
"Amacayacu","pre",1901,12,280.7,0
"Amacayacu","pre",1902,1,358.8,0
"Amacayacu","pre",1902,2,283.3,0
"Amacayacu","pre",1902,3,344.5,0
"Amacayacu","pre",1902,4,325.4,0
"Amacayacu","pre",1902,5,282.7,0
"Amacayacu","pre",1902,6,218.3,0
"Amacayacu","pre",1902,7,167.4,0
"Amacayacu","pre",1902,8,160.5,0
"Amacayacu","pre",1902,9,205.6,0
"Amacayacu","pre",1902,10,243.1,0
"Amacayacu","pre",1902,11,251.9,0
"Amacayacu","pre",1902,12,280.7,0
"Amacayacu","pre",1903,1,358.8,0
"Amacayacu","pre",1903,2,283.3,0
"Amacayacu","pre",1903,3,344.5,0
"Amacayacu","pre",1903,4,325.4,0
"Amacayacu","pre",1903,5,282.7,0
"Amacayacu","pre",1903,6,218.3,0
"Amacayacu","pre",1903,7,167.4,0
"Amacayacu","pre",1903,8,160.5,0
"Amacayacu","pre",1903,9,205.6,0
"Amacayacu","pre",1903,10,243.1,0
"Amacayacu","pre",1903,11,251.9,0
"Amacayacu","pre",1903,12,280.7,0
"Amacayacu","pre",1904,1,358.8,0
"Amacayacu","pre",1904,2,283.3,0
"Amacayacu","pre",1904,3,344.5,0
"Amacayacu","pre",1904,4,325.4,0
"Amacayacu","pre",1904,5,282.7,0
"Amacayacu","pre",1904,6,218.3,0
"Amacayacu","pre",1904,7,167.4,0
"Amacayacu","pre",1904,8,160.5,0
"Amacayacu","pre",1904,9,205.6,0
"Amacayacu","pre",1904,10,243.1,0
"Amacayacu","pre",1904,11,251.9,0
"Amacayacu","pre",1904,12,280.7,0
"Amacayacu","pre",1905,1,358.8,0
"Amacayacu","pre",1905,2,283.3,0
"Amacayacu","pre",1905,3,344.5,0
"Amacayacu","pre",1905,4,325.4,0
"Amacayacu","pre",1905,5,282.7,0
"Amacayacu","pre",1905,6,218.3,0
"Amacayacu","pre",1905,7,167.4,0
"Amacayacu","pre",1905,8,160.5,0
"Amacayacu","pre",1905,9,205.6,0
"Amacayacu","pre",1905,10,243.1,0
"Amacayacu","pre",1905,11,251.9,0
"Amacayacu","pre",1905,12,280.7,0
"Amacayacu","pre",1906,1,358.8,0
"Amacayacu","pre",1906,2,283.3,0
"Amacayacu","pre",1906,3,344.5,0
"Amacayacu","pre",1906,4,325.4,0
"Amacayacu","pre",1906,5,282.7,0
"Amacayacu","pre",1906,6,218.3,0
"Amacayacu","pre",1906,7,167.4,0
"Amacayacu","pre",1906,8,160.5,0
"Amacayacu","pre",1906,9,205.6,0
"Amacayacu","pre",1906,10,243.1,0
