"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","tmp",1901,1,26.2,0
"Amacayacu","tmp",1901,2,26.4,0
"Amacayacu","tmp",1901,3,26.4,0
"Amacayacu","tmp",1901,4,26.3,0
"Amacayacu","tmp",1901,5,25.9,0
"Amacayacu","tmp",1901,6,25.4,0
"Amacayacu","tmp",1901,7,25.4,0
"Amacayacu","tmp",1901,8,25.9,0
"Amacayacu","tmp",1901,9,26.3,0
"Amacayacu","tmp",1901,10,26.4,0
"Amacayacu","tmp",1901,11,26.4,0
"Amacayacu","tmp",1901,12,26.3,0
"Amacayacu","tmp",1902,1,26.2,0
"Amacayacu","tmp",1902,2,26.4,0
"Amacayacu","tmp",1902,3,26.4,0
"Amacayacu","tmp",1902,4,26.3,0
"Amacayacu","tmp",1902,5,25.9,0
"Amacayacu","tmp",1902,6,25.4,0
"Amacayacu","tmp",1902,7,25.4,0
"Amacayacu","tmp",1902,8,25.9,0
"Amacayacu","tmp",1902,9,26.3,0
"Amacayacu","tmp",1902,10,26.4,0
"Amacayacu","tmp",1902,11,26.4,0
"Amacayacu","tmp",1902,12,26.3,0
"Amacayacu","tmp",1903,1,26.2,0
"Amacayacu","tmp",1903,2,26.4,0
"Amacayacu","tmp",1903,3,26.4,0
"Amacayacu","tmp",1903,4,26.3,0
"Amacayacu","tmp",1903,5,25.9,0
"Amacayacu","tmp",1903,6,25.4,0
"Amacayacu","tmp",1903,7,25.4,0
"Amacayacu","tmp",1903,8,25.9,0
"Amacayacu","tmp",1903,9,26.3,0
"Amacayacu","tmp",1903,10,26.4,0
"Amacayacu","tmp",1903,11,26.4,0
"Amacayacu","tmp",1903,12,26.3,0
"Amacayacu","tmp",1904,1,26.2,0
"Amacayacu","tmp",1904,2,26.4,0
"Amacayacu","tmp",1904,3,26.4,0
"Amacayacu","tmp",1904,4,26.3,0
"Amacayacu","tmp",1904,5,25.9,0
"Amacayacu","tmp",1904,6,25.4,0
"Amacayacu","tmp",1904,7,25.4,0
"Amacayacu","tmp",1904,8,25.9,0
"Amacayacu","tmp",1904,9,26.3,0
"Amacayacu","tmp",1904,10,26.4,0
"Amacayacu","tmp",1904,11,26.4,0
"Amacayacu","tmp",1904,12,26.3,0
"Amacayacu","tmp",1905,1,26.2,0
"Amacayacu","tmp",1905,2,26.4,0
"Amacayacu","tmp",1905,3,26.4,0
"Amacayacu","tmp",1905,4,26.3,0
"Amacayacu","tmp",1905,5,25.9,0
"Amacayacu","tmp",1905,6,25.4,0
"Amacayacu","tmp",1905,7,25.4,0
"Amacayacu","tmp",1905,8,25.9,0
"Amacayacu","tmp",1905,9,26.3,0
"Amacayacu","tmp",1905,10,26.4,0
"Amacayacu","tmp",1905,11,26.4,0
"Amacayacu","tmp",1905,12,26.3,0
"Amacayacu","tmp",1906,1,26.2,0
"Amacayacu","tmp",1906,2,26.4,0
"Amacayacu","tmp",1906,3,26.4,0
"Amacayacu","tmp",1906,4,26.3,0
"Amacayacu","tmp",1906,5,25.9,0
"Amacayacu","tmp",1906,6,25.4,0
"Amacayacu","tmp",1906,7,25.4,0
"Amacayacu","tmp",1906,8,25.9,0
"Amacayacu","tmp",1906,9,26.3,0
"Amacayacu","tmp",1906,10,26.4,0
"Amacayacu","tmp",1906,11,26.4,0
"Amacayacu","tmp",1906,12,26.3,0
"Amacayacu","tmp",1907,1,26.2,0
"Amacayacu","tmp",1907,2,26.4,0
"Amacayacu","tmp",1907,3,26.4,0
"Amacayacu","tmp",1907,4,26.3,0
"Amacayacu","tmp",1907,5,25.9,0
"Amacayacu","tmp",1907,6,25.4,0
"Amacayacu","tmp",1907,7,25.4,0
"Amacayacu","tmp",1907,8,25.9,0
"Amacayacu","tmp",1907,9,26.3,0
"Amacayacu","tmp",1907,10,26.4,0
"Amacayacu","tmp",1907,11,26.4,0
"Amacayacu","tmp",1907,12,26.3,0
"Amacayacu","tmp",1908,1,26.2,0
"Amacayacu","tmp",1908,2,26.4,0
"Amacayacu","tmp",1908,3,26.4,0
"Amacayacu","tmp",1908,4,26.3,0
"Amacayacu","tmp",1908,5,25.9,0
"Amacayacu","tmp",1908,6,25.4,0
"Amacayacu","tmp",1908,7,25.4,0
"Amacayacu","tmp",1908,8,25.9,0
"Amacayacu","tmp",1908,9,26.3,0
"Amacayacu","tmp",1908,10,26.4,0
"Amacayacu","tmp",1908,11,26.4,0
"Amacayacu","tmp",1908,12,26.3,0
"Amacayacu","tmp",1909,1,26.2,0
"Amacayacu","tmp",1909,2,26.4,0
"Amacayacu","tmp",1909,3,26.4,0
"Amacayacu","tmp",1909,4,26.3,0
"Amacayacu","tmp",1909,5,25.9,0
"Amacayacu","tmp",1909,6,25.4,0
"Amacayacu","tmp",1909,7,25.4,0
"Amacayacu","tmp",1909,8,25.9,0
"Amacayacu","tmp",1909,9,26.3,0
"Amacayacu","tmp",1909,10,26.4,0
"Amacayacu","tmp",1909,11,26.4,0
"Amacayacu","tmp",1909,12,26.3,0
"Amacayacu","tmp",1910,1,26.2,2
"Amacayacu","tmp",1910,2,26.4,2
"Amacayacu","tmp",1910,3,26.4,2
