"sites.sitename","variable","Yr","Mo","Value","N.Obs"
"Amacayacu","vap",1901,1,29,0
"Amacayacu","vap",1901,2,29.6,0
"Amacayacu","vap",1901,3,29.5,0
"Amacayacu","vap",1901,4,29.4,0
"Amacayacu","vap",1901,5,28.7,0
"Amacayacu","vap",1901,6,28,0
"Amacayacu","vap",1901,7,27.7,0
"Amacayacu","vap",1901,8,27.8,0
"Amacayacu","vap",1901,9,28.5,0
"Amacayacu","vap",1901,10,28.6,0
"Amacayacu","vap",1901,11,29,0
"Amacayacu","vap",1901,12,29,0
"Amacayacu","vap",1902,1,29,0
"Amacayacu","vap",1902,2,29.6,0
"Amacayacu","vap",1902,3,29.5,0
"Amacayacu","vap",1902,4,29.4,0
"Amacayacu","vap",1902,5,28.7,0
"Amacayacu","vap",1902,6,28,0
"Amacayacu","vap",1902,7,27.7,0
"Amacayacu","vap",1902,8,27.8,0
"Amacayacu","vap",1902,9,28.5,0
"Amacayacu","vap",1902,10,28.6,0
"Amacayacu","vap",1902,11,29,0
"Amacayacu","vap",1902,12,29,0
"Amacayacu","vap",1903,1,29,0
"Amacayacu","vap",1903,2,29.6,0
"Amacayacu","vap",1903,3,29.5,0
"Amacayacu","vap",1903,4,29.4,0
"Amacayacu","vap",1903,5,28.7,0
"Amacayacu","vap",1903,6,28,0
"Amacayacu","vap",1903,7,27.7,0
"Amacayacu","vap",1903,8,27.8,0
"Amacayacu","vap",1903,9,28.5,0
"Amacayacu","vap",1903,10,28.6,0
"Amacayacu","vap",1903,11,29,0
"Amacayacu","vap",1903,12,29,0
"Amacayacu","vap",1904,1,29,0
"Amacayacu","vap",1904,2,29.6,0
"Amacayacu","vap",1904,3,29.5,0
"Amacayacu","vap",1904,4,29.4,0
"Amacayacu","vap",1904,5,28.7,0
"Amacayacu","vap",1904,6,28,0
"Amacayacu","vap",1904,7,27.7,0
"Amacayacu","vap",1904,8,27.8,0
"Amacayacu","vap",1904,9,28.5,0
"Amacayacu","vap",1904,10,28.6,0
"Amacayacu","vap",1904,11,29,0
"Amacayacu","vap",1904,12,29,0
"Amacayacu","vap",1905,1,29,0
"Amacayacu","vap",1905,2,29.6,0
"Amacayacu","vap",1905,3,29.5,0
"Amacayacu","vap",1905,4,29.4,0
"Amacayacu","vap",1905,5,28.7,0
"Amacayacu","vap",1905,6,28,0
"Amacayacu","vap",1905,7,27.7,0
"Amacayacu","vap",1905,8,27.8,0
"Amacayacu","vap",1905,9,28.5,0
"Amacayacu","vap",1905,10,28.6,0
"Amacayacu","vap",1905,11,29,0
"Amacayacu","vap",1905,12,29,0
"Amacayacu","vap",1906,1,29,0
"Amacayacu","vap",1906,2,29.6,0
"Amacayacu","vap",1906,3,29.5,0
"Amacayacu","vap",1906,4,29.4,0
"Amacayacu","vap",1906,5,28.7,0
"Amacayacu","vap",1906,6,28,0
"Amacayacu","vap",1906,7,27.7,0
"Amacayacu","vap",1906,8,27.8,0
"Amacayacu","vap",1906,9,28.5,0
"Amacayacu","vap",1906,10,28.6,0
"Amacayacu","vap",1906,11,29,0
"Amacayacu","vap",1906,12,29,0
"Amacayacu","vap",1907,1,29,0
"Amacayacu","vap",1907,2,29.6,0
"Amacayacu","vap",1907,3,29.5,0
"Amacayacu","vap",1907,4,29.4,0
"Amacayacu","vap",1907,5,28.7,0
"Amacayacu","vap",1907,6,28,0
"Amacayacu","vap",1907,7,27.7,0
"Amacayacu","vap",1907,8,27.8,0
"Amacayacu","vap",1907,9,28.5,0
"Amacayacu","vap",1907,10,28.6,0
"Amacayacu","vap",1907,11,29,0
"Amacayacu","vap",1907,12,29,0
"Amacayacu","vap",1908,1,29,0
"Amacayacu","vap",1908,2,29.6,0
"Amacayacu","vap",1908,3,29.5,0
"Amacayacu","vap",1908,4,29.4,0
"Amacayacu","vap",1908,5,28.7,0
"Amacayacu","vap",1908,6,28,0
"Amacayacu","vap",1908,7,27.7,0
"Amacayacu","vap",1908,8,27.8,0
"Amacayacu","vap",1908,9,28.5,0
"Amacayacu","vap",1908,10,28.6,0
"Amacayacu","vap",1908,11,29,0
"Amacayacu","vap",1908,12,29,0
"Amacayacu","vap",1909,1,29,0
"Amacayacu","vap",1909,2,29.6,0
"Amacayacu","vap",1909,3,29.5,0
"Amacayacu","vap",1909,4,29.4,0
"Amacayacu","vap",1909,5,28.7,0
"Amacayacu","vap",1909,6,28,0
"Amacayacu","vap",1909,7,27.7,0
"Amacayacu","vap",1909,8,27.8,0
"Amacayacu","vap",1909,9,28.5,0
"Amacayacu","vap",1909,10,28.6,0
"Amacayacu","vap",1909,11,29,0
"Amacayacu","vap",1909,12,29,0
"Amacayacu","vap",1910,1,29,0
"Amacayacu","vap",1910,2,29.6,0
"Amacayacu","vap",1910,3,29.5,0
"Amacayacu","vap",1910,4,29.4,0
"Amacayacu","vap",1910,5,28.7,0
"Amacayacu","vap",1910,6,28,0
"Amacayacu","vap",1910,7,27.7,0
"Amacayacu","vap",1910,8,27.8,0
"Amacayacu","vap",1910,9,28.5,0
"Amacayacu","vap",1910,10,28.6,0
"Amacayacu","vap",1910,11,29,0
