sites.sitename,tmp_mean,tmn.x_mean,tmx_mean,cld_mean,pre_sum,pre_mean,wet_sum,frs_sum,pet_sum_sum,cld_min,cld_max,cld_median,cld_sd,dtr_min,dtr_max,dtr_median,dtr_sd,frs_min,frs_max,frs_median,frs_sd,pre_min,pre_max,pre_median,pre_sd,tmn.x_min,tmn.x_max,tmn.x_median,tmn.x_sd,tmp_min,tmp_max,tmp_median,tmp_sd,tmn.y_min,tmn.y_max,tmn.y_median,tmn.y_sd,tmx_min,tmx_max,tmx_median,tmx_sd,vap_min,vap_max,vap_median,vap_sd,wet_min,wet_max,wet_median,wet_sd
Amacayacu,25.88476228,21.1097623,30.73654802,81.4871444,189442.6031,2706.322902,18989.47961,0,69217.70133,57.70000076,100,82.80000305,7.332501556,8.800000191,10.5,9.5,0.551352527,0,0,0,0,1.100000024,522.4000244,222.1500015,91.8489801,18.89999962,22.89999962,21.20000076,0.637785188,23.80000114,27.80000114,25.89999962,0.593333002,18.89999962,22.89999962,21.20000076,0.637785188,28.80000114,33.10000229,30.70000076,0.66248713,26.10000038,33.40000153,29.89999962,1.052961548,0.109999999,31,22.79999924,4.765951427
Badagongshan,14.83880977,11.03095257,18.69678602,73.6491681,90527.90156,1293.255737,12862.2197,3641.279925,58379.20102,37.90000153,95,74.40000153,9.443352331,3.700000048,11.40000057,7.700000286,1.321875784,0,24.36999893,0,6.626112722,1.700000048,375.3999939,95.30000305,71.46068966,-3.200000048,23,11.19999981,7.697792892,-0.400000006,27.30000114,15.5,7.894704581,-3.200000048,23,11.19999981,7.697792892,1.800000072,32.29999924,19.44999981,8.143871885,2.700000048,28.89999962,13.25,7.494777614,2.069999933,25.1099987,15.49999953,3.838005071
Baishanzu,14.52202406,10.51833353,18.57488126,70.76059651,114513.3021,1635.904315,13909.10969,3399.789934,60850.00096,26.10000038,97.30000305,71.5,12.27634277,3.900000095,13.19999981,7.900000095,1.3774031,0,25.87999916,0,6.181876392,0.400000006,514.7999878,120.1500015,92.12822764,-4.599999905,21.10000038,10.80000019,6.928554099,1.200000048,25.80000114,15.1500001,6.797337323,-4.599999905,21.10000038,10.80000019,6.928554099,3.799999952,30.80000114,19.5,6.736202625,2.400000095,27.70000076,12.90000057,7.347550717,0.389999986,29.76999855,16.73499966,5.090985946
Baotianman,14.08880976,8.948333493,19.27047648,62.89821555,53586.20084,765.5171548,8657.209798,6070.949896,67565.50117,21.5,90.5,64.59999847,10.42032793,4.800000191,15.19999981,10.30000019,1.790161112,0,28.39999962,0.204999998,9.562119263,0,286.2000122,49.85000038,55.41782457,-7.400000095,23.30000114,9.050000191,8.832682566,-2.100000143,27.80000114,14.60000038,8.655891274,-7.400000095,23.30000114,9.050000191,8.832682566,1.200000048,33.40000153,20.10000038,8.587205961,1.899999976,27.89999962,10.80000019,7.44542091,0.039999999,22.25,10.22999954,4.205271628
Barro_Colorado_Island,26.17607183,22.96178609,29.44583373,56.97321521,202744.3035,2896.347193,13893.14968,0,93972.8017,30.20000076,99.80000305,60.65000153,10.03762835,3.900000095,9.199999809,6.450000048,0.689791259,0,0,0,0,25.80000114,619.9000244,287.7500153,147.1458908,20.60000038,25.39999962,22.89999962,0.876676589,23.89999962,28.60000038,26.10000038,0.865914642,20.60000038,25.39999962,22.89999962,0.876676589,26.70000076,32.20000076,29.39999962,0.986237504,23.30000114,33.10000229,28.89999962,1.865466842,6.309999943,25.71999931,19.0349989,6.324892214
Bidoup,22.61261944,18.33964323,26.93809562,65.9605964,128493.9,1835.627144,11689.47974,0,79727.90128,35.40000153,90.70000458,65.40000153,11.7742236,6.200000286,18.39999962,7.900000095,2.679674159,0,0,0,0,5.400000095,338,180,104.7145328,10.40000057,21.60000038,19.30000114,2.37741914,18.20000076,25.30000114,23.10000038,1.429789564,10.40000057,21.60000038,19.30000114,2.37741914,22.89999962,30.5,27.10000038,1.425220201,15.90000057,26.80000114,23.39999962,2.444001472,1.409999967,23.10000038,16.5,6.99682845
Bukit_Timah,27.09047659,23.3058337,30.9261909,74.06416819,155112.4028,2215.891468,16646.47964,0,81462.50131,38.20000076,95.59999847,74,8.204033495,5.800000191,10.40000057,7.599999905,0.526782018,0,0,0,0,5.800000191,546.9000244,175.5500031,81.20543887,21.20000076,25.70000076,23.20000076,0.758583321,25.10000038,29.30000114,27.10000038,0.733047432,21.20000076,25.70000076,23.20000076,0.758583321,28.39999962,33.10000229,31,0.801208785,26.20000076,33.29999924,29.89999962,1.087148818,2.539999962,31,19.25,4.666239631
Changbaishan,1.077023844,-5.090952456,7.249047739,53.81535805,61047.40103,872.105729,8674.999795,15244.03983,52503.50082,18.30000114,88.80000305,51.5,13.32655763,8.199999809,17.5,12.30000019,1.637816649,0,31,24.64999962,12.82622612,0.200000003,368.3000183,42.05000114,78.07875123,-29.70000076,15.40000057,-3.799999952,13.14899741,-23.70000076,20.20000076,2.950000048,12.94216861,-29.70000076,15.40000057,-3.799999952,13.14899741,-17.70000076,26.39999962,9.950000286,12.82670893,0,20.10000038,4.049999952,5.867215932,0.379999995,25.15999985,10.01999998,5.63267346
Cocoli,26.51261942,22.79797657,30.2820242,55.02631031,115900.902,1655.727171,12912.0597,0,99091.90171,30.60000038,99.5,57.25,8.274320118,4.800000191,10.69999981,7.300000191,0.950845748,0,0,0,0,9,289.3999939,163.9000015,85.6077204,20.5,25.10000038,22.80000114,0.852400765,24.30000114,28.89999962,26.5,0.851351195,20.5,25.10000038,22.80000114,0.852400765,27.60000038,33.20000076,30.20000076,1.087943868,24.5,32,28.60000038,1.514930423,4.589999676,24.79999924,18.01999951,6.563954185
Danum_Valley,25.29773849,21.47166702,29.17035754,69.33476315,187727.8032,2681.82576,16325.93963,0,78164.20118,42.5,88.90000153,70.90000153,6.885986783,4.599999905,9.800000191,7.900000095,0.874706569,0,0,0,0,20.89999962,690.7000122,211.5500031,95.23609303,20,23.10000038,21.39999962,0.535359563,23.5,27,25.30000114,0.49075566,20,23.10000038,21.39999962,0.535359563,25.80000114,31.20000076,29.20000076,0.759109845,25.70000076,31.10000038,28.30000114,0.800962423,3.7099998,31,19.08500004,4.808513702
Daxinganling,-6.167976263,-14.2430955,1.901190505,55.06500105,33114.30054,473.0614363,7185.199834,18779.40982,38218.6006,20,86.59999847,53.10000229,14.65009693,9.5,23,15.75,2.258391104,0,31,28.73499966,10.92171809,0,210,17.25,45.82520664,-43.20000076,10.19999981,-11.10000038,16.7526302,-34.5,17,-3.75,16.36475525,-43.20000076,10.19999981,-11.10000038,16.7526302,-26.60000038,25.39999962,3.950000048,16.08438738,0,16.5,2.700000048,4.906655006,0.449999988,21.65999985,7.819999695,5.474471678
Dinghushan,21.77928605,18.06880983,25.53928612,70.69333464,123888.8019,1769.840027,11310.32974,57.63999838,71917.40119,21.60000038,100,72.5,14.99788744,4,12.80000019,7.300000191,1.320954203,0,5.029999733,0,0.355432541,0.100000001,638.5,117.0500031,122.2776003,5.200000286,25.60000038,19.20000076,5.706592766,9.199999809,29.60000038,22.94999981,5.601083256,5.200000286,25.60000038,19.20000076,5.706592766,11.69999981,33.90000153,26.60000038,5.570793084,6.700000286,33.10000229,21.35000038,7.599153699,0.02,31,13.55999947,5.919126853
Doi_Inthanon,23.04083374,16.92321459,29.20857186,54.96857233,87022.8016,1243.18288,10465.00977,7.829999806,80920.00153,3,100,55.25,27.67983287,6.5,22.10000038,11.5,4.132116492,0,1.659999967,0,0.093492129,0,389.1000061,88.10000229,95.57273956,7.300000191,21.89999962,18.80000114,3.751299782,16.39999962,28.39999962,23.80000114,2.332429179,7.300000191,21.89999962,18.80000114,3.751299782,24.39999962,36.40000153,28.60000038,2.311323318,13.10000038,27.20000076,23.44999981,4.084798448,0.01,31,10.72499991,9.772899116
Donglingshan,7.562500136,1.376785748,13.76690496,44.82011975,33224.80058,474.6400083,6251.199864,11676.32982,71407.80132,5.400000095,81.5,45.79999924,14.45570091,8.5,16.5,12.40000057,1.541710206,0,31,11.55499935,13.1457075,0,243,18.80000114,48.23502671,-18.80000114,19.30000114,2.299999952,11.37683915,-12.90000057,24.5,8.850000381,11.18286684,-18.80000114,19.30000114,2.299999952,11.37683915,-7.099999905,29.70000076,15.69999981,11.07218933,0,22.5,4.900000095,6.742725385,0.01,21.06999969,6.569999695,4.690538564
Fushan,21.21738127,18.05059553,24.43333374,72.25571582,142842.7024,2040.610035,14730.53967,1.869999966,75255.50124,42.20000076,92.59999847,73.40000153,9.439865249,3.700000048,8.300000191,6.400000095,0.62806787,0,1.00999999,0,0.039003331,12.60000038,688.4000244,149.6500015,99.14975573,7.900000095,24.80000114,18.25000095,4.319567725,11.19999981,28.5,21.5,4.407097766,7.900000095,24.80000114,18.25000095,4.319567725,13.80000019,32.29999924,24.80000114,4.511242312,10.40000057,30.70000076,20.70000076,5.569615437,4.859999657,29.70999908,17.60999966,4.177192874
Gutianshan,15.8205955,11.73797641,19.94785744,66.88309648,115360.6021,1648.008602,11931.25975,3449.129929,64837.60105,26,95,67.80000305,12.12098664,3.799999952,12.19999981,8.199999809,1.180028027,0,25.03999901,0,6.475802884,0.200000003,565.4000244,116.7500038,93.2806731,-3.799999952,24.10000038,12.1500001,8.050527312,0.5,28.80000114,16.60000038,8.023188619,-3.799999952,24.10000038,12.1500001,8.050527312,3.700000048,33.60000229,21,8.045945033,3.100000143,31.39999962,14.25,8.289908342,0.170000002,27.52999878,14.34999943,4.440564839
Haliburton,4.594404836,-1.278452403,10.48071449,62.48583439,80168.90131,1145.270019,11592.54975,13152.47982,46503.80076,40.79999924,83.80000305,61.95000076,8.223983437,5.5,16.80000114,12.10000038,2.01984384,0,31,18.31999969,12.74635586,13.40000057,220.8000031,92.5,31.6647668,-24.80000114,14.5,-0.250000007,10.39087359,-18.20000076,21.20000076,5.5,10.62355574,-24.80000114,14.5,-0.250000007,10.39087359,-11.60000038,28.89999962,11.19999981,10.98210113,1.300000072,19.20000076,6.900000095,4.921193076,2.769999981,28.59000015,13.64499951,3.673040948
Harvard_Forest,8.644523958,2.228690506,15.08773834,65.84952504,77314.60126,1104.494304,9380.179799,11047.63977,62947.50113,44.79999924,81.40000153,65.90000153,5.382473063,7.800000191,17.80000114,13,1.806746067,0,31,12.18999958,12.11392304,4.900000095,272.3999939,86.09999847,40.76467845,-17,17.5,2,8.946177354,-10.30000019,23.80000114,9.100000381,9.466685675,-17,17.5,2,8.946177354,-4,31.30000114,16.05000019,10.06644234,1.200000048,21.20000076,7.5,5.597720125,4.110000134,18.34000015,11.01499987,2.284066664
Heishiding,21.29642891,17.26583363,25.37630993,72.18154884,120628.002,1723.257171,11488.54973,127.3799973,69093.80116,23.20000076,99.80000305,75.30000305,14.51083728,4.599999905,13,8,1.310090974,0,6.710000038,0,0.602921693,0.5,522.2999878,111.8500023,116.5249669,4.400000095,25,18.30000114,5.799121453,8.400000572,29.10000038,22.5,5.708268262,4.400000095,25,18.30000114,5.799121453,10.80000019,33.70000076,26.60000038,5.692200211,6.599999905,33.10000229,21.05000019,7.709924737,0.839999974,26.59999847,13.95999956,5.700637032
