sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,1257.9,1258,1263.9,1265,1261.1,1261,1273.4,1262.2,1270.2,1266.9,1263.9,1280.5,1276.1,1264.1,1258,1277.2,1273.4,1273.3,1257.9,1274.3,1263.8,1251.9,1288.3,1259,1264.2,1267.4,1282.1,1271,1282.2,1285.5,1261.1,1271.2,1251.9,1257.8,1270.3,1259.2,1264.3,1267.1,1261.1,1255.8,1269.6,1270.1,1282.3,1271.3,1282.6,1261.3,1252,1255.9,1254.9,1245.6,1242.4,1301.5,1315.7,1325.2,1284.7,1362.4,1272.7,1264,1224.7,1225.4,1240,1278.4,1234,1276.7,1303.2,1261.8,1236.8,1225.3,1252.8,1172.4,1279.3,1223.2,1279.1,1276,1263.7,1293,1200.2,1194.3,1235,1262.2,1245.1,1273.1,1276.6,1286.3,1218.7,1251.8,1301.2,1258.7,1233.6,1215.9,1278.8,1252.8,1288.9,1217.6,1242.2,1280.1,1279.1,1258.6,1315.3,1310.9,1287.8,1301.2,1327.3,1310.7,1311.9,1323.8,1300.6,1292,1321.9,1321.8,1295.3,1316.3,1300.6,1321.7
Ituri_(Edoro_and_Lenda),1148.5,1145.5,1151.3,1158.1,1154.3,1151.6,1151.3,1148.9,1157.3,1154.3,1157.4,1158.2,1151.2,1151.2,1157.4,1158.1,1157.3,1157.4,1148.4,1155.1,1148.5,1151.4,1154.5,1151.9,1148.2,1154.5,1163.5,1155,1151.6,1160.4,1157.4,1158.1,1148.4,1154.3,1154.5,1149,1148.5,1148.5,1148.2,1146,1166.3,1160.2,1160.4,1167.1,1151.3,1151.3,1157.4,1148.8,1160.4,1160.5,1144.8,1152.2,1205.8,1163.8,1160,1158,1160,1160.3,1136.2,1101,1093.8,1120.1,1127.1,1136.7,1163.7,1152,1154.1,1167.2,1148.9,1144.9,1193.7,1140,1191,1163.5,1127.1,1155.2,1133.2,1130,1136.7,1118.6,1141.8,1132.8,1102,1173.3,1127.4,1145.7,1218.6,1185.3,1136,1157.7,1172.2,1149,1179,1154,1166.4,1158.1,1169.4,1157.2,1159.9,1182.6,1178.3,1187.9,1194.1,1194.6,1217.6,1181.2,1169.1,1194.5,1197,1200,1166.2,1170,1172.9,1172.4
Wanang,1177,1180.1,1167.8,1165,1168.1,1170.7,1131.5,1137.5,1168.2,1183.3,1177.2,1180.2,1167.8,1159,1201,1186.1,1179.8,1161.8,1173.9,1186.3,1180.3,1195.3,1180.3,1195.2,1186,1207.8,1189.1,1201.2,1170.9,1189.4,1171.2,1207.4,1201.4,1204.5,1228.1,1210.6,1216.3,1195.1,1183.3,1180.3,1164.9,1189,1191.7,1174.2,1177,1164.8,1174,1174.4,1174,1217,1215.7,1195.5,1162.3,1161.9,1177,1180.2,1177.4,1195.5,1155.8,1152.9,1131.1,1149.9,1167.3,1119.6,1149.9,1131.5,1116,1165.2,1171.6,1158.6,1185.1,1225.9,1186.4,1189.2,1170.9,1176.7,1167.5,1183.8,1164.9,1201.8,1198.1,1198.3,1195.4,1192.2,1201.8,1207,1201.9,1180.3,1198,1198.4,1186.5,1198.4,1192.5,1170.9,1167.8,1174.3,1170.7,1174.5,1177.1,1180.1,1168.1,1164.7,1180.1,1186.4,1171.2,1180.1,1180,1180.3,1177,1173.9,1180.1,1180.2,1174,1174
Kuala_Belalong,1167.7,1167.7,1152.6,1164.8,1161.6,1164.6,1152.9,1158.9,1155.5,1158.8,1155.4,1173.9,1164.7,1164.6,1182.8,1170.8,1158.5,1143.4,1164.7,1161.8,1155.5,1158.5,1155.5,1161.8,1152.9,1158.4,1164.5,1167.9,1146.6,1170.5,1173.5,1155.6,1155.4,1140.3,1161.7,1170.7,1158.6,1161.6,1149.6,1159.1,1179.7,1170.8,1170.8,1174.1,1170.8,1170.8,1170.8,1161.8,1158.5,1189.2,1198.5,1176.7,1225.8,1213.4,1177.2,1183.1,1207.1,1191.8,1164.3,1180.7,1161.8,1122.4,1104.1,1140.7,1161.7,1170.8,1186.1,1191.7,1164.5,1140.3,1174.6,1220.2,1185.4,1168.5,1167.8,1158.6,1104.9,1158.4,1164.8,1183,1183,1201.4,1197,1134.7,1170.2,1143.5,1161.5,1140.2,1149.8,1161.7,1155.9,1176.7,1143.4,1158.6,1137.2,1168.3,1250.5,1257.9,1137,1168.7,1164.9,1249.6,1160.6,1182.8,1145.6,1135.1,1150,1129.1,1168.3,1194.6,1120,1192.4,1173.7,1161.4
Danum_Valley,1110,1110,1085.6,1082.7,1085.7,1097.9,1080.2,1091.7,1085.8,1089.1,1091.7,1110,1097.8,1091.8,1106.6,1103.7,1088.8,1073.6,1094.7,1088.7,1082.5,1079.6,1082.7,1088.6,1079.8,1088.7,1082.5,1091.7,1085.8,1085.4,1100.7,1079.4,1076.6,1073.5,1079.8,1085.5,1082.7,1082.7,1076.8,1088.8,1110,1110,1110,1113.1,1110,1106.8,1101,1094.6,1082.6,1101,1085.9,1082.5,1125.7,1146.1,1116.6,1115.9,1131.3,1109.6,1094.5,1098.3,1085.8,1046.4,1028.1,1058.6,1073.6,1091.6,1100.9,1118.7,1112.9,1076.8,1122.7,1159.1,1109.6,1119.9,1113.2,1103.7,1056.3,1091.7,1094.9,1116,1119.4,1131.8,1136.3,1077.1,1115.8,1088.9,1106.8,1088.5,1098.2,1103.9,1082.8,1112.9,1073.6,1067.3,1046.3,1095,1170.8,1178.9,1060.9,1101.6,1116.2,1186.4,1117.4,1133.8,1103.2,1074.3,1079.9,1065,1092.5,1112.5,1071,1116.1,1094.8,1106.7
Lambir,1119.2,1118.9,1113.1,1119.2,1113.1,1113.1,1110.3,1113.1,1110.1,1116.2,1115.9,1125.3,1122.1,1122,1128.1,1119.1,1113.1,1104.1,1116,1119.2,1110,1113.1,1110.1,1113.2,1110.2,1116.1,1119.2,1125.4,1103.9,1125.1,1131.1,1113.1,1107,1100.9,1109.9,1118.9,1122,1112.8,1101.1,1113.3,1137.4,1119.2,1119.2,1122.3,1119.2,1119.1,1113.1,1119.2,1113.1,1143.5,1149.7,1134.2,1183.1,1170.8,1140.9,1140.5,1149.5,1140.2,1112.8,1134.9,1119.5,1086,1055.6,1089,1109.9,1116.2,1137.3,1131,1106.9,1088.5,1135,1165.4,1130.8,1119.7,1134.4,1103.7,1065.3,1113,1119.5,1134.4,1137.4,1152.8,1133.5,1082.8,1121.8,1091.8,1110.1,1082.3,1098.2,1110.1,1095.1,1125,1097.7,1106.8,1079.2,1125.3,1190,1206.2,1109.2,1125.9,1131.1,1213.5,1112.2,1130.8,1094.3,1098.6,1098.5,1074.2,1116.8,1137.1,1056.1,1134.4,1125.2,1100.5
Pasoh,1103.1,1106.2,1103.2,1112.6,1109,1112,1105.9,1112.5,1112,1109,1133,1146.2,1148.4,1154.8,1154.7,1139.8,1121.5,1109.5,1148.5,1149,1136.6,1133.5,1130.4,1118.8,1133.7,1151.6,1139.7,1143.4,1139.6,1181.2,1177.8,1143,1138.3,1115.2,1148,1121.3,1154.6,1139.4,1121.3,1185.7,1151.4,1115.4,1118.2,1121.7,1118.4,1112.6,1096.9,1167.6,1127.2,1133.2,1042.5,1030.6,1043.1,1035.9,1090.6,1085.2,1068.6,1100.4,1081.3,1088.8,1094.1,1075.2,1103.3,1076.7,1121.4,1084.7,1055.1,1123.8,1118.2,1081.5,1069.3,1118.7,1063.5,1088.9,1082.5,1133.7,1125.4,1096.4,1121.5,1112.8,1118.6,1109,1141.2,1079.5,1121.2,1108.7,1111.3,1097.5,1090.4,1142.8,1117.6,1143,1123.7,1118,1082.4,1128.4,1121.8,1195.8,1096.6,1101.4,1110.3,1200.4,1102.9,1172.3,1170.2,1106.1,1089.5,1075.9,1136.5,1122.3,1095.9,1109,1093,1153.1
Palanan,1250.6,1244.9,1213.8,1211,1238,1237.9,1226,1198.4,1241,1174.3,1186.7,1235.2,1225.6,1193.1,1209.8,1162,1162.1,1211,1204.1,1225.7,1193.2,1250.2,1174,1186.1,1178.1,1156.5,1186.5,1199,1158.6,1198.1,1213,1192.3,1207.4,1132.3,1158.8,1210.4,1192.6,1177.4,1162.3,1170.9,1220.2,1243.7,1204.6,1204.6,1201.9,1243.8,1211.4,1204.5,1201.6,1192.1,1220.2,1235.4,1235.2,1295.8,1229,1202.1,1247.2,1223.9,1253,1242.2,1246.8,1241.4,1178.4,1202.2,1192.6,1204.4,1168.8,1229.2,1271.7,1220.5,1177.7,1198.1,1259.4,1220.5,1237.8,1232.3,1207.9,1201.8,1201.6,1232.1,1235.1,1250.8,1282.9,1256.5,1250.1,1199.2,1241.3,1246.9,1268.9,1198.8,1236.1,1287.4,1219.8,1237.8,1217.1,1242.2,1229.5,1280.5,1181,1214.2,1189.2,1217.3,1256.7,1265.2,1250.6,1301.3,1271.8,1250.2,1217.8,1301.6,1222.4,1274.4,1312,1274.6
Bukit_Timah,1142.8,1145.7,1142.8,1158.4,1136.7,1142.8,1154.8,1161.5,1152,1151.7,1176,1179.9,1173.1,1185.3,1176.1,1176.6,1155.1,1136.9,1179.1,1182.9,1161,1161,1161,1158.7,1164.2,1179.1,1167.2,1177,1155.3,1202.8,1196.8,1164.2,1166.1,1142.6,1184.7,1155,1167.1,1173,1151.9,1216.4,1200.3,1152,1160.7,1161.5,1155.1,1149,1136.7,1182.9,1154.9,1160.6,1106.3,1103.7,1118.8,1096.9,1139.3,1124.8,1117.5,1152.5,1121.1,1134.8,1149.2,1118.3,1131.2,1110.1,1170,1136.3,1098.2,1133.1,1139.5,1094,1121.6,1155.5,1088.2,1110.2,1149.3,1173.4,1162.4,1109.1,1146,1158.9,1167.3,1167,1187,1125.5,1194.1,1154.6,1160.8,1137,1136.6,1176.9,1169.8,1188.7,1175.9,1160.8,1149.4,1202.1,1222.6,1211.2,1184.7,1149.9,1168,1279.9,1152,1214.7,1234.2,1166.4,1128.6,1115.7,1197.6,1161.7,1141.5,1148.6,1136,1219.3
Sinharaja,1346.4,1327.6,1345.8,1307.6,1328.2,1327.5,1315.9,1332.2,1315.7,1346.4,1391.8,1359.6,1318.9,1364.4,1351.8,1332.3,1334.2,1337.4,1342.8,1298.9,1386.1,1352,1337.3,1374.7,1349.6,1367.2,1349.1,1375.1,1364.4,1370.3,1379.5,1363.1,1361.5,1340.3,1352.4,1359.5,1370.6,1377,1358.4,1386.7,1360.9,1376.4,1355.1,1372.1,1373.3,1370.4,1382.9,1362.8,1380,1370.6,1358.9,1387,1379.8,1345.9,1319.5,1326.3,1300.5,1356.1,1328.1,1356.9,1324.9,1343.2,1355.4,1402.2,1389.2,1377,1388.6,1375.1,1388.6,1374,1385.7,1414.8,1397.7,1403.9,1367.6,1378.5,1364.6,1351.7,1334.4,1381.5,1346.2,1330.9,1385.7,1393.5,1368,1358.8,1413.2,1430.3,1392.1,1397.6,1377.2,1402.4,1418.8,1394.7,1407.1,1378.1,1391.8,1423.3,1393.9,1365.9,1388.6,1369.4,1410.2,1402.3,1379.4,1351.6,1373.4,1369.1,1371,1358.2,1382.5,1362.4,1382.4,1367.6
