sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,17.067,17.1,17.142,17.075,17.133,17.125,17.042,17.192,16.958,17.192,16.908,16.692,16.9,17.075,17,16.992,17.058,17.067,17.067,17.067,17.183,17.367,17.067,17.5,17.275,17.167,17.142,17.367,17.075,16.842,17.242,17.117,17.175,17.108,17.083,17.067,17.308,17.092,17.25,17.375,17.5,17.433,17.433,17.475,17.508,17.383,17.233,16.967,17.267,16.6,17.275,17.642,17.567,17.267,17.292,16.908,17.225,17.308,17.283,17.25,17.358,16.975,16.825,16.767,16.875,17.142,16.75,16.017,16.867,17,16.508,17.2,17.45,16.692,16.9,17.358,17.108,16.892,17.075,17.258,17.142,17.267,17.608,17,16.967,17.225,17.8,17.583,16.933,17.158,17.308,17.275,17.233,17.033,17.658,17.733,17.858,17.733,17.942,18.092,17.917,18.658,18.35,18.008,17.992,18.25,17.908,17.683,18.4,18.308,18.192,17.917,18.067,18.483
Ituri_(Edoro_and_Lenda),23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.608,23.517,23.575,23.533,23.517,23.608,23.583,23.517,23.5,23.517,23.65,23.508,23.567,23.608,23.592,23.633,23.567,23.592,23.608,23.658,23.592,23.542,23.575,23.567,23.675,23.575,23.608,23.608,23.608,23.608,23.608,23.617,24.1,23.958,23.825,23.867,23.767,23.483,23.692,23.508,23.9,23.217,23.658,23.65,23.75,23.533,23.417,23.192,23.633,24.05,23.642,23.55,23.442,23.375,23.4,23.433,23.442,23.667,23.483,23.275,23.675,23.8,23.358,23.642,23.85,23.517,23.425,23.592,23.758,23.733,23.433,23.592,23.6,23.675,23.892,23.583,23.492,23.725,24.35,23.883,23.25,23.883,23.808,23.783,23.8,23.525,24.233,23.917,24.525,24.025,23.85,24.333,25.008,25.058,25.142,24.717,25.108,24.767,24.642,24.975,25.442,25.158,24.575,24.2,24.408,24.558
Wanang,26.317,26.317,26.333,25.925,26.15,26.375,26.067,26.067,26.658,26.617,26.292,26.4,26.208,26.05,26.458,26.542,26.492,25.867,25.975,26.292,26.325,26.292,25.992,26.333,25.958,26.433,26.15,26.267,25.825,25.975,25.742,26.292,26.408,26.458,26.325,26.292,26.633,26.233,26.342,26.267,25.758,26.617,26.125,26.092,26.217,25.917,26.408,26.175,26.308,26.392,26,26.167,26.033,26.008,25.95,26.108,26.075,26.242,26.033,25.9,25.783,25.908,25.958,25.917,25.65,25.917,25.733,25.958,26.2,26.15,26.125,26.275,26.508,26.242,26.258,26.175,26.342,26.608,26.7,26.708,26.658,26.5,26.667,26.492,26.433,26.617,26.833,26.742,26.667,26.783,26.525,26.508,26.775,26.342,26.183,26.25,26.3,26.333,26.308,26.317,26.292,26.317,26.442,26.408,26.3,26.308,26.308,26.3,26.317,26.342,26.317,26.317,26.333,26.317
Kuala_Belalong,26.383,26.375,26.175,26.017,26.117,26.208,26.083,26.15,26.167,26.158,26.175,26.433,26.292,26.525,26.675,26.192,26.042,25.85,26.5,26.375,26.217,26.3,26.208,26.342,26.183,26.408,26.408,26.425,26.1,26.517,26.717,26.267,26.367,26.125,26.45,26.492,26.558,26.408,26.4,26.433,26.817,26.358,26.358,26.358,26.358,26.375,26.525,26.333,26.308,26.708,26.9,26.708,26.783,26.45,26.283,26.25,26.75,26.842,26.567,26.667,26.15,26.058,26.008,26.083,25.917,26.292,26.075,26.025,26.292,26.183,26.183,26.6,26.658,26.342,26.267,25.875,26.058,26.275,26.358,26.383,26.658,26.667,26.942,26.225,26.442,26.467,26.8,26.65,26.467,26.742,26.733,26.667,26.608,26.733,26.7,26.592,26.858,27.233,26.717,26.775,26.8,26.933,26.683,26.658,26.708,26.625,26.6,26.425,26.892,26.933,26.667,26.85,26.883,26.767
Danum_Valley,25.2,25.167,24.825,24.533,24.725,24.883,24.675,24.767,24.792,24.792,24.725,25.008,24.858,25.067,25.275,24.783,24.683,24.508,25.067,24.958,24.825,24.933,24.833,24.992,24.85,25.008,25.058,25.083,24.767,25.158,25.375,24.967,25.05,24.842,25.083,25.142,25.217,25.058,25.092,25.167,25.442,25.1,25.1,25.1,25.1,25.15,25.367,24.908,24.9,25.225,25.175,25.108,25.117,24.892,24.9,24.733,25.133,25.208,24.908,24.975,24.65,24.625,24.525,24.533,24.533,24.942,24.675,24.7,24.908,24.858,24.817,24.958,25.083,25.05,25.108,24.675,24.9,25.05,25.108,25.167,25.467,25.408,25.6,25.167,25.317,25.358,25.792,25.767,25.625,25.775,25.708,25.6,25.575,25.617,25.6,25.408,25.658,25.95,25.6,25.725,25.75,25.792,25.575,25.625,25.55,25.45,25.417,25.233,25.633,25.492,25.517,25.675,25.558,25.592
Lambir,26.083,26.083,25.967,25.85,25.925,25.975,25.917,25.942,25.95,25.967,26,26.225,26.108,26.333,26.442,26.008,25.833,25.633,26.292,26.167,26.008,26.075,25.992,26.108,25.967,26.183,26.158,26.2,25.867,26.283,26.5,26.008,26.117,25.883,26.2,26.242,26.333,26.158,26.158,26.167,26.65,26.083,26.083,26.083,26.083,26.083,26.183,26.133,26.125,26.575,26.667,26.525,26.675,26.392,26.225,26.092,26.517,26.617,26.333,26.45,25.867,25.792,25.717,25.792,25.592,25.992,25.775,25.692,26.033,25.925,26,26.417,26.458,26.15,26.1,25.625,25.817,26.025,26.092,26.092,26.417,26.392,26.692,25.933,26.133,26.167,26.475,26.308,26.1,26.392,26.408,26.317,26.283,26.425,26.383,26.325,26.55,26.983,26.433,26.508,26.517,26.658,26.375,26.35,26.392,26.367,26.283,26.108,26.567,26.633,26.3,26.5,26.642,26.383
Pasoh,25.592,25.592,25.533,25.475,25.758,25.775,25.533,25.542,25.567,25.542,26.358,26.417,26.383,26.667,26.508,26.208,25.867,25.667,26.567,26.333,26.117,26.092,26.05,25.983,25.975,26.308,26.083,26.125,25.917,26.275,26.475,25.833,25.908,25.708,26.117,26.108,26.208,26.092,25.833,26.158,26.65,25.583,25.492,25.6,25.608,25.642,25.708,26.417,26.325,26.1,25.333,25.333,25.392,25.175,25.25,25.108,25.467,25.767,25.567,25.492,25.417,25.317,25.592,25.342,25.358,25.45,25.175,25.367,25.55,25.55,24.958,25.383,25.433,25.133,25.058,25.192,25.558,25.633,25.733,25.692,25.7,25.683,26.192,25.383,25.625,25.725,26.1,25.992,25.708,26.192,26.225,26.225,26.142,26.158,26.258,26.208,26.55,27.033,26.233,26.367,26.425,26.875,26.625,26.55,26.75,26.383,26.383,26.333,26.583,26.825,26.508,26.525,26.708,26.675
Palanan,24.917,24.958,24.275,23.767,24.242,24.492,24.183,24.175,24.483,24.133,23.958,24.342,24.233,24.308,24.717,24.225,23.7,24,24.442,24.458,23.983,24.575,24.017,24.392,24.183,24.275,24.492,24.575,24.175,24.708,25,24.333,24.7,24.142,24.508,24.533,24.6,24.4,24.367,24.383,24.983,24.8,24.283,24.575,24.433,25.033,25.075,25.008,24.733,24.75,24.917,25.2,25.125,25.1,24.483,24.742,25.083,24.8,24.967,25.092,24.925,24.533,24.15,24.625,24.5,24.867,24.267,24.325,24.842,24.958,24.142,24.617,25.05,24.833,24.958,24.575,24.825,24.817,24.733,24.933,24.6,24.867,25.55,25.1,25.117,24.692,25.292,25.292,25.175,25.1,25.1,25.125,24.925,25.142,24.933,24.833,24.842,25.9,25.15,25.258,25.208,25.117,25.083,25.075,25,25.6,25.442,25.133,25.1,25.525,25.183,25.583,25.767,25.25
Bukit_Timah,26.758,26.758,26.75,26.742,26.767,26.792,26.75,26.75,26.758,26.75,27.508,27.592,27.492,27.8,27.658,27.342,26.942,26.717,27.675,27.483,27.233,27.267,27.192,27.125,27.067,27.425,27.2,27.208,26.967,27.4,27.583,26.9,26.967,26.75,27.25,27.208,27.325,27.192,27.075,27.5,27.942,26.758,26.758,26.758,26.758,26.783,26.8,27.5,27.433,27.133,26.992,27.058,26.967,26.617,26.625,26.292,26.683,27.008,26.733,26.742,26.8,26.483,26.708,26.475,26.583,26.8,26.45,26.333,26.55,26.408,26.108,26.45,26.333,26.033,26.225,26.35,26.667,26.808,26.883,26.942,27.083,27.383,27.533,26.733,27.183,27.158,27.433,27.292,26.983,27.55,27.492,27.417,27.483,27.65,27.642,27.542,28.108,28.067,27.558,27.525,27.658,28.092,27.575,27.658,27.783,27.533,27.458,27.408,27.675,27.75,27.392,27.558,27.75,27.708
Sinharaja,26.2,26.025,26.117,25.508,25.95,25.983,25.683,25.767,25.683,26.092,26.667,26.325,25.983,26.392,26.358,25.858,25.892,26.092,26.317,26.042,26.175,25.992,25.7,26.025,25.842,26.217,26.008,26.308,26,26.092,26.283,26.017,25.8,25.833,25.967,26.1,26.308,26.35,26.117,26.5,26.508,26.358,25.992,26.05,26.225,26.417,26.208,26.325,26.142,26.267,26.108,26.367,26.333,25.958,25.883,25.9,26.217,26.542,26.242,26.142,26.117,26.225,26.15,26.442,26.475,26.617,26.317,26.383,26.542,26.442,26.167,26.583,26.733,26.167,26.242,26.392,26.4,26.567,26.725,26.875,26.533,26.4,26.867,26.375,26.467,26.458,27.058,26.942,26.633,26.917,26.75,26.642,26.667,26.658,26.983,26.758,26.925,27.483,26.683,26.783,27.1,27.117,27.142,27.033,27.058,26.9,26.883,26.7,26.983,27.175,27.042,27.125,27.192,27.275
