sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,12.625,12.667,12.608,12.5,12.608,12.6,12.358,12.792,12.3,12.542,12.242,11.85,12.1,12.517,12.575,12.325,12.392,12.45,12.575,12.392,12.7,13.208,12.325,13.308,12.842,12.683,12.5,13.025,12.458,11.975,12.8,12.567,12.925,12.65,12.617,12.65,12.933,12.692,12.942,13.208,13.142,13.108,12.858,13.1,12.983,13.058,13,12.692,12.925,12.192,12.983,13.367,13.083,12.642,12.85,11.65,12.783,13.217,13.1,12.992,13.108,12.542,12.417,12.025,12.042,12.633,12.433,11.633,12.75,13.383,11.892,13.208,13.175,12.008,12.467,12.867,13.025,12.933,12.95,13.275,12.867,12.758,13.25,12.642,12.9,13.058,13.383,13.25,12.533,13.083,13.017,13.158,12.625,13.133,13.567,13.25,13.142,13.417,12.817,13.333,13.4,13.825,13.742,13.358,13.45,13.583,13.333,13.25,13.8,13.6,13.708,13.275,13.633,13.675
Ituri_(Edoro_and_Lenda),22.158,22.092,22.042,22.042,22.058,22.15,21.858,22.233,21.825,21.767,21.783,21.7,21.667,21.967,21.808,21.65,21.558,21.633,22.092,21.675,21.817,22.117,21.7,21.95,21.908,21.917,21.767,22.092,21.775,21.417,21.825,21.875,22.267,21.942,21.858,21.992,22.108,22.108,22.25,22.358,22.567,22.717,22.108,22.242,22.233,21.967,22.025,21.983,22.4,21.392,22,22.042,21.833,21.742,21.592,21.3,22.033,22.65,22.442,22.142,22.217,21.708,21.85,21.608,21.458,21.958,21.533,21.2,22.492,22.433,21.142,22.208,22.092,21.4,21.7,21.625,22.408,22.275,22.175,22.667,22.542,22.758,22.867,22.45,22.375,22.442,23.033,22.758,21.975,23.058,22.308,22.392,22.392,22.217,23.05,22.6,23.392,23.017,22.525,23.042,24.033,24.333,24.55,23.725,24.117,23.858,23.8,24.092,24.717,24.133,23.817,23.067,23.242,23.217
Wanang,27.725,27.692,27.767,27.233,27.583,27.925,27.408,27.483,27.983,27.85,27.6,27.825,27.483,27.508,28,27.9,27.808,27.125,27.258,27.675,27.742,27.508,27.325,27.725,27.225,27.875,27.575,27.658,27.117,27.15,26.992,27.625,27.7,27.867,27.583,27.733,27.992,27.45,27.65,27.7,27.008,28.117,27.325,27.367,27.583,27.225,27.983,27.517,27.533,27.8,27.742,28.125,27.833,28.008,28.033,28.167,27.833,28.192,27.833,27.358,27.275,27.733,27.108,27.617,27.017,27.558,27.15,27.475,27.6,27.95,27.433,27.3,27.983,27.592,27.492,27.2,27.608,27.658,28.05,27.85,28.05,27.542,28.283,28.05,27.625,27.875,28.367,28.442,28.208,28.075,27.833,27.967,28.158,27.733,27.575,27.642,27.575,28.083,27.708,27.75,27.7,27.75,27.992,27.792,27.858,27.65,27.633,27.642,27.683,27.842,27.567,27.708,27.925,27.758
Kuala_Belalong,29.225,29.217,29.008,28.475,28.725,29,28.8,28.883,28.883,28.783,28.883,29.208,28.925,29.533,29.733,28.758,28.642,28.408,29.633,29.5,29.125,29.375,29.067,29.4,29.125,29.45,29.5,29.408,28.933,29.642,29.958,29.4,29.6,29.35,29.617,29.817,29.833,29.717,29.792,29.65,30,29.092,29.017,29.092,29.083,29.15,29.767,29.292,29.367,29.517,29.367,29.667,29.508,28.908,28.975,28.492,29.367,29.692,29.45,29.3,28.692,28.833,28.725,28.925,28.392,29.567,28.225,28.55,29.025,29.317,28.483,29.008,29.542,28.8,28.742,28.425,29.225,29.383,29.283,29.583,29.75,29.683,30.25,29.508,29.592,29.842,30.067,30.025,29.758,30.217,30.117,30.058,30.167,30.225,30.292,30.15,30.183,30.292,30.017,30.133,30.075,30.15,30.15,30.033,30.083,29.683,30.167,29.992,30.167,30.275,30.008,30.192,30.042,30.142
Danum_Valley,28.183,28.125,27.85,27.167,27.558,27.742,27.617,27.758,27.717,27.592,27.383,27.775,27.575,28.192,28.483,27.367,27.375,27.317,28.325,28.217,27.9,28.208,27.833,28.208,27.95,28.175,28.325,28.25,27.617,28.517,28.758,28.367,28.492,28.258,28.5,28.683,28.767,28.542,28.617,28.583,28.775,27.983,27.875,27.983,27.967,28.025,28.667,27.942,28.067,28.275,27.992,28.092,27.775,27.083,27.375,27.142,27.825,28.275,27.95,27.883,27.35,27.525,27.475,27.625,27.125,28.158,27.008,27.325,27.608,28.233,27.217,27.533,28,27.5,27.417,27.317,28.225,28.333,28.217,28.533,28.575,28.475,29.008,28.342,28.5,28.783,29.217,29.183,28.875,29.383,29.292,29.133,29.133,29.3,29.467,29.133,29.533,29.8,29.383,29.408,29.217,29.3,29.133,29.367,29.283,28.967,29.3,29.042,29.383,29.2,29,29.467,29.158,29.133
Lambir,29.375,29.4,29.233,28.742,29.008,29.267,29.075,29.125,29.125,29.058,29.25,29.575,29.3,29.85,29.992,29.1,28.925,28.733,29.908,29.783,29.408,29.6,29.358,29.625,29.392,29.692,29.725,29.625,29.233,29.867,30.175,29.575,29.817,29.517,29.858,30.008,30.025,29.9,30.008,29.9,30.333,29.292,29.242,29.292,29.292,29.358,29.95,29.6,29.667,29.767,29.692,30.083,29.917,29.367,29.417,28.817,29.742,30.033,29.742,29.633,28.908,29.083,28.933,29.158,28.608,29.783,28.467,28.792,29.317,29.542,28.792,29.308,29.883,29.083,29.083,28.642,29.417,29.575,29.508,29.783,29.992,29.942,30.517,29.733,29.825,30.067,30.275,30.242,29.942,30.342,30.358,30.25,30.358,30.383,30.417,30.35,30.425,30.633,30.242,30.333,30.317,30.383,30.333,30.25,30.267,29.925,30.358,30.2,30.292,30.483,30.233,30.433,30.242,30.325
Pasoh,28.5,28.292,28.35,28.05,28.683,28.742,28.242,28.158,28.167,28.083,29.292,29.375,29.217,29.658,29.35,28.975,28.583,28.417,29.517,29.1,28.783,28.875,28.75,28.992,28.483,28.983,28.733,28.758,28.508,28.758,29.267,28.658,28.75,28.5,29.083,29.075,29.017,28.85,28.767,29.042,29.842,28.283,27.733,27.975,28.092,28.717,28.842,29.208,29.208,29.075,28.325,28.842,28.542,27.992,27.908,27.525,28.425,29.05,28.617,28.442,28.075,27.917,28.333,28.258,27.75,28.475,28.05,28.108,28.525,28.692,27.65,28.133,28.792,27.583,27.9,27.392,28.342,28.725,28.858,28.7,28.883,28.942,29.217,28.217,28.542,28.675,28.992,29.225,28.683,29.192,29.525,29.267,29.25,29.042,29.775,29.442,29.933,30.708,29.475,29.708,29.892,30.492,30.492,29.908,30.125,30.092,30.192,29.892,30.275,30.875,30.258,30.125,30.858,30.392
Palanan,25.358,25.675,24.85,23.992,24.275,24.908,24.567,24.75,24.783,25.008,24.708,25.267,24.925,25.167,25.767,25.292,24.658,24.967,25.558,25.7,25.092,25.608,25.325,25.383,25.167,25.5,25.267,25.717,25.592,26.075,26.367,25.625,26.325,25.992,26.258,25.508,25.95,25.833,25.867,25.708,25.825,25.733,25.233,25.55,25.367,25.725,26.125,26.058,25.892,26.125,25.642,26.042,25.592,25.075,24.925,25.242,25.442,25.508,25.533,25.792,25.517,25.067,25.342,25.7,25.308,25.725,25.125,25.1,25.025,25.475,24.733,25.55,26.1,25.625,25.8,24.933,25.908,25.917,25.892,25.967,25.167,25.258,26.017,25.442,25.8,25.7,26.425,26.208,25.675,26.617,26.108,25.25,26.1,26.275,25.925,25.875,26.142,27.133,26.658,26.483,26.467,26.258,26.108,25.725,25.858,26.267,26.333,25.942,25.917,26.217,25.733,26.033,25.85,26.133
Bukit_Timah,29.825,29.675,29.733,29.483,29.967,30.033,29.6,29.55,29.558,29.533,30.85,31.033,30.792,31.35,31.1,30.583,30,29.8,31.125,30.75,30.333,30.525,30.358,30.458,29.95,30.433,30.208,30.117,29.983,30.433,31,30.083,30.15,30.083,30.608,30.792,30.608,30.375,30.3,30.683,31.358,29.65,29.267,29.45,29.525,30.058,30.275,30.983,30.958,30.408,29.95,30.433,30.133,29.575,29.6,29.075,29.967,30.458,30.092,29.958,29.475,29.383,29.758,29.7,29.117,29.942,29.4,29.475,29.942,30.15,29.042,29.558,30.133,28.975,29.242,28.817,29.783,30.267,30.25,30.092,30.45,30.658,30.817,29.825,30.117,30.325,30.742,30.792,30.275,31,30.767,30.683,30.75,30.925,31.108,30.825,31.542,31.808,30.875,31.058,31.042,31.575,30.925,31.05,31.142,31.075,31.125,31,31.483,31.875,31.342,31.292,31.875,31.242
Sinharaja,27.25,27.267,27.008,26.492,27.067,27.1,26.692,26.775,26.65,27.008,27.5,27.375,27.175,27.367,27.567,26.775,26.8,27.158,27.517,27.942,26.6,26.625,26.375,26.433,26.533,26.933,26.725,27.108,26.575,26.625,26.867,26.425,26.175,26.642,26.658,26.892,27.1,27.158,26.758,27.158,27.45,27.133,26.55,26.625,26.842,27.175,26.633,27.4,26.583,26.967,26.917,27.183,27.075,26.8,26.717,26.817,27.625,27.692,27.55,26.892,27.133,27.192,27.033,27.092,27.258,27.725,26.817,27.2,27.292,27.283,26.625,27.1,27.575,26.592,26.85,27.417,27.317,27.65,28.383,28.217,27.983,27.942,28.083,26.85,27.558,27.583,28.15,27.633,27.508,27.992,28.008,27.275,27.025,27.442,27.875,27.875,27.867,28.725,27.458,28,28.267,28.733,28.542,28.2,28.4,28.233,28.175,28.067,28.492,28.633,28.4,28.783,28.442,28.925
