"sites.sitename","tmp_mean","tmn.x_mean","tmx_mean","cld_mean","pre_sum","wet_sum","frs_sum","pet_sum_sum","cld_min","cld_max","cld_median","cld_sd","dtr_min","dtr_max","dtr_median","dtr_sd","frs_min","frs_max","frs_median","frs_sd","pre_min","pre_max","pre_median","pre_sd","tmn.x_min","tmn.x_max","tmn.x_median","tmn.x_sd","tmp_min","tmp_max","tmp_median","tmp_sd","tmn.y_min","tmn.y_max","tmn.y_median","tmn.y_sd","tmx_min","tmx_max","tmx_median","tmx_sd","vap_min","vap_max","vap_median","vap_sd","wet_min","wet_max","wet_median","wet_sd"
"Amacayacu",25.8847622757866,21.1097622984932,30.7365480218615,81.4871443975539,189442.603143334,18989.479610811,0,69217.7013261318,57.7000007629395,100,82.8000030517578,7.33250155618069,8.80000019073486,10.5,9.5,0.551352526839731,0,0,0,0,1.10000002384186,522.400024414062,222.150001525879,91.8489800951677,18.8999996185303,22.8999996185303,21.2000007629395,0.637785187606473,23.8000011444092,27.8000011444092,25.8999996185303,0.593333001741143,18.8999996185303,22.8999996185303,21.2000007629395,0.637785187606473,28.8000011444092,33.1000022888184,30.7000007629395,0.662487130250439,26.1000003814697,33.4000015258789,29.8999996185303,1.05296154762691,0.109999999,31,22.79999924,4.76595142724123
"Badagongshan",14.8388097721108,11.0309525662057,18.6967860234635,73.6491680962699,90527.9015612602,12862.219701755,3641.27992499806,58379.2010179758,37.9000015258789,95,74.4000015258789,9.44335233094893,3.70000004768372,11.4000005722046,7.70000028610229,1.32187578446752,0,24.3699989318848,0,6.62611272183624,1.70000004768372,375.399993896484,95.3000030517578,71.4606896552162,-3.20000004768372,23,11.1999998092651,7.69779289172734,-0.400000005960464,27.3000011444092,15.5,7.89470458073008,-3.20000004768372,23,11.1999998092651,7.69779289172734,1.80000007152557,32.2999992370605,19.4499998092652,8.14387188518982,2.70000004768372,28.8999996185303,13.25,7.49477761417794,2.069999933,25.1099987,15.499999525,3.83800507081735
"Baishanzu",14.5220240597214,10.5183335283062,18.5748812553429,70.7605965114775,114513.302058011,13909.109688912,3399.78993381187,60850.0009624958,26.1000003814697,97.3000030517578,71.5,12.2763427658794,3.90000009536743,13.1999998092651,7.90000009536743,1.37740310020754,0,25.8799991607666,0,6.1818763917486,0.400000005960464,514.799987792969,120.150001525879,92.1282276375707,-4.59999990463257,21.1000003814697,10.8000001907349,6.92855409945834,1.20000004768372,25.8000011444092,15.1500000953674,6.797337322976,-4.59999990463257,21.1000003814697,10.8000001907349,6.92855409945834,3.79999995231628,30.8000011444092,19.5,6.73620262540996,2.40000009536743,27.7000007629395,12.9000005722046,7.34755071681051,0.389999986,29.76999855,16.734999655,5.09098594559411
"Baotianman",14.0888097563226,8.94833349286623,19.2704764808927,62.8982155481974,53586.2008361891,8657.209798105,6070.949896181,67565.501172781,21.5,90.5,64.5999984741211,10.4203279328752,4.80000019073486,15.1999998092651,10.3000001907349,1.79016111220586,0,28.3999996185303,0.20499999821186,9.56211926255126,0,286.200012207031,49.8500003814698,55.4178245665124,-7.40000009536743,23.3000011444092,9.05000019073487,8.83268256583097,-2.10000014305115,27.8000011444092,14.6000003814697,8.65589127406337,-7.40000009536743,23.3000011444092,9.05000019073487,8.83268256583097,1.20000004768372,33.4000015258789,20.1000003814697,8.58720596076115,1.89999997615814,27.8999996185303,10.8000001907349,7.44542091020571,0.039999999,22.25,10.22999954,4.20527162824124
"Barro_Colorado_Island",26.1760718254816,22.96178609076,29.4458337261563,56.9732152098701,202744.303544998,13893.149682031,0,93972.8016994,30.2000007629395,99.8000030517578,60.6500015258789,10.0376283535922,3.90000009536743,9.19999980926514,6.45000004768371,0.689791258894768,0,0,0,0,25.8000011444092,619.900024414062,287.750015258789,147.145890822523,20.6000003814697,25.3999996185303,22.8999996185303,0.876676589057407,23.8999996185303,28.6000003814697,26.1000003814697,0.86591464156254,20.6000003814697,25.3999996185303,22.8999996185303,0.876676589057407,26.7000007629395,32.2000007629395,29.3999996185303,0.986237503935309,23.3000011444092,33.1000022888184,28.8999996185303,1.86546684233109,6.309999943,25.71999931,19.034998895,6.32489221406201
"Bidoup",22.6126194363549,18.339643229757,26.9380956241063,65.9605963979449,128493.900046825,11689.479739906,0,79727.9012827874,35.4000015258789,90.7000045776367,65.4000015258789,11.7742235964808,6.20000028610229,18.3999996185303,7.90000009536743,2.67967415851027,0,0,0,0,5.40000009536743,338,180,104.714532824703,10.4000005722046,21.6000003814697,19.3000011444092,2.37741914003212,18.2000007629395,25.3000011444092,23.1000003814697,1.42978956449083,10.4000005722046,21.6000003814697,19.3000011444092,2.37741914003212,22.8999996185303,30.5,27.1000003814697,1.42522020053861,15.9000005722046,26.8000011444092,23.3999996185303,2.44400147229014,1.409999967,23.10000038,16.5,6.99682845026154
"Bukit_Timah",27.0904765901112,23.305833700725,30.9261908962613,74.0641681943621,155112.402770042,16646.479643274,0,81462.5013072491,38.2000007629395,95.5999984741211,74,8.20403349492172,5.80000019073486,10.4000005722046,7.59999990463257,0.526782017600812,0,0,0,0,5.80000019073486,546.900024414062,175.550003051757,81.205438871077,21.2000007629395,25.7000007629395,23.2000007629395,0.758583320998598,25.1000003814697,29.3000011444092,27.1000003814697,0.733047431693695,21.2000007629395,25.7000007629395,23.2000007629395,0.758583320998598,28.3999996185303,33.1000022888184,31,0.801208784846436,26.2000007629395,33.2999992370605,29.8999996185303,1.08714881799862,2.539999962,31,19.25,4.66623963064959
"Changbaishan",1.07702384383551,-5.09095245592651,7.24904773922726,53.8153580529349,61047.401027754,8674.999794654,15244.039831683,52503.5008230209,18.3000011444092,88.8000030517578,51.5,13.3265576310368,8.19999980926514,17.5,12.3000001907349,1.63781664861834,0,31,24.6499996185303,12.8262261152057,0.200000002980232,368.300018310547,42.0500011444092,78.0787512348362,-29.7000007629395,15.4000005722046,-3.79999995231628,13.148997411288,-23.7000007629395,20.2000007629395,2.95000004768371,12.9421686106853,-29.7000007629395,15.4000005722046,-3.79999995231628,13.148997411288,-17.7000007629395,26.3999996185303,9.95000028610229,12.826708934297,0,20.1000003814697,4.04999995231629,5.86721593160079,0.379999995,25.15999985,10.01999998,5.63267345976039
"Cocoli",26.512619415919,22.7979765733083,30.2820242041633,55.0263103099096,115900.901975632,12912.059698559,0,99091.9017124176,30.6000003814697,99.5,57.25,8.27432011775056,4.80000019073486,10.6999998092651,7.30000019073486,0.950845748243424,0,0,0,0,9,289.399993896484,163.900001525879,85.6077204032884,20.5,25.1000003814697,22.8000011444092,0.852400764642773,24.3000011444092,28.8999996185303,26.5,0.851351195308747,20.5,25.1000003814697,22.8000011444092,0.852400764642773,27.6000003814697,33.2000007629395,30.2000007629395,1.08794386797889,24.5,32,28.6000003814697,1.51493042347678,4.589999676,24.79999924,18.019999505,6.56395418500489
"Danum_Valley",25.2977384885152,21.4716670240675,29.1703575384049,69.3347631545294,187727.803165436,16325.939634614,0,78164.2011761665,42.5,88.9000015258789,70.9000015258789,6.88598678312148,4.59999990463257,9.80000019073486,7.90000009536743,0.874706569094662,0,0,0,0,20.8999996185303,690.700012207031,211.550003051758,95.2360930256281,20,23.1000003814697,21.3999996185303,0.535359562690654,23.5,27,25.3000011444092,0.490755660365407,20,23.1000003814697,21.3999996185303,0.535359562690654,25.8000011444092,31.2000007629395,29.2000007629395,0.7591098454703,25.7000007629395,31.1000003814697,28.3000011444092,0.800962423074628,3.7099998,31,19.085000035,4.80851370238787
