"sites.sitename","Year_month","mean_TMP","mean_TMN"
"Amacayacu","1950-01",17.7000916244921,22.6561394666944
"Amacayacu","1950-02",17.7000916244921,22.6561394666944
"Amacayacu","1950-03",17.7000916244921,22.6561394666944
"Amacayacu","1950-04",17.7000916244921,22.6561394666944
"Amacayacu","1950-05",17.7000916244921,22.6561394666944
"Amacayacu","1950-06",17.7000916244921,22.6561394666944
"Amacayacu","1950-07",17.7000916244921,22.6561394666944
"Amacayacu","1950-08",17.7000916244921,22.6561394666944
"Amacayacu","1950-09",17.7000916244921,22.6561394666944
"Amacayacu","1950-10",17.7000916244921,22.6561394666944
"Amacayacu","1950-11",17.7000916244921,22.6561394666944
"Amacayacu","1950-12",17.7000916244921,22.6561394666944
"Amacayacu","1951-01",17.7000916244921,22.6561394666944
"Amacayacu","1951-02",17.7000916244921,22.6561394666944
"Amacayacu","1951-03",17.7000916244921,22.6561394666944
"Amacayacu","1951-04",17.7000916244921,22.6561394666944
"Amacayacu","1951-05",17.7000916244921,22.6561394666944
"Amacayacu","1951-06",17.7000916244921,22.6561394666944
"Amacayacu","1951-07",17.7000916244921,22.6561394666944
"Amacayacu","1951-08",17.7000916244921,22.6561394666944
"Amacayacu","1951-09",17.7000916244921,22.6561394666944
"Amacayacu","1951-10",17.7000916244921,22.6561394666944
"Amacayacu","1951-11",17.7000916244921,22.6561394666944
"Amacayacu","1951-12",17.7000916244921,22.6561394666944
"Amacayacu","1952-01",17.7000916244921,22.6561394666944
"Amacayacu","1952-02",17.7000916244921,22.6561394666944
"Amacayacu","1952-03",17.7000916244921,22.6561394666944
"Amacayacu","1952-04",17.7000916244921,22.6561394666944
"Amacayacu","1952-05",17.7000916244921,22.6561394666944
"Amacayacu","1952-06",17.7000916244921,22.6561394666944
"Amacayacu","1952-07",17.7000916244921,22.6561394666944
"Amacayacu","1952-08",17.7000916244921,22.6561394666944
"Amacayacu","1952-09",17.7000916244921,22.6561394666944
"Amacayacu","1952-10",17.7000916244921,22.6561394666944
"Amacayacu","1952-11",17.7000916244921,22.6561394666944
"Amacayacu","1952-12",17.7000916244921,22.6561394666944
"Amacayacu","1953-01",17.7000916244921,22.6561394666944
"Amacayacu","1953-02",17.7000916244921,22.6561394666944
"Amacayacu","1953-03",17.7000916244921,22.6561394666944
"Amacayacu","1953-04",17.7000916244921,22.6561394666944
"Amacayacu","1953-05",17.7000916244921,22.6561394666944
"Amacayacu","1953-06",17.7000916244921,22.6561394666944
"Amacayacu","1953-07",17.7000916244921,22.6561394666944
"Amacayacu","1953-08",17.7000916244921,22.6561394666944
"Amacayacu","1953-09",17.7000916244921,22.6561394666944
"Amacayacu","1953-10",17.7000916244921,22.6561394666944
"Amacayacu","1953-11",17.7000916244921,22.6561394666944
"Amacayacu","1953-12",17.7000916244921,22.6561394666944
"Amacayacu","1954-01",17.7000916244921,22.6561394666944
"Amacayacu","1954-02",17.7000916244921,22.6561394666944
"Amacayacu","1954-03",17.7000916244921,22.6561394666944
"Amacayacu","1954-04",17.7000916244921,22.6561394666944
