Date(yyyy-mm-dd), rain (mm)
01/01/1929,0.000
02/01/1929,2.032
03/01/1929,0.000
04/01/1929,0.000
05/01/1929,6.350
06/01/1929,0.254
07/01/1929,0.000
08/01/1929,0.000
09/01/1929,0.000
10/01/1929,0.000
11/01/1929,0.000
12/01/1929,0.000
13/01/1929,0.000
14/01/1929,0.000
15/01/1929,0.000
16/01/1929,0.000
17/01/1929,0.508
18/01/1929,0.000
19/01/1929,0.000
20/01/1929,0.000
21/01/1929,0.000
22/01/1929,0.508
23/01/1929,0.000
24/01/1929,0.000
25/01/1929,0.000
26/01/1929,0.000
27/01/1929,0.000
28/01/1929,0.000
29/01/1929,0.000
30/01/1929,0.000
31/01/1929,2.540
01/02/1929,0.000
02/02/1929,0.000
03/02/1929,0.000
04/02/1929,0.000
05/02/1929,0.000
06/02/1929,0.000
07/02/1929,0.000
08/02/1929,0.000
09/02/1929,0.000
10/02/1929,0.000
11/02/1929,0.000
12/02/1929,0.000
13/02/1929,0.000
14/02/1929,0.000
15/02/1929,0.000
16/02/1929,0.000
17/02/1929,0.000
18/02/1929,0.000
19/02/1929,0.000
20/02/1929,0.000
21/02/1929,0.000
22/02/1929,0.000
23/02/1929,1.270
24/02/1929,0.508
25/02/1929,0.000
26/02/1929,0.000
27/02/1929,0.000
28/02/1929,0.000
01/03/1929,0.000
02/03/1929,0.000
03/03/1929,0.000
04/03/1929,0.000
05/03/1929,0.000
06/03/1929,17.272
07/03/1929,45.466
08/03/1929,0.000
09/03/1929,0.000
10/03/1929,0.000
11/03/1929,0.508
12/03/1929,0.000
13/03/1929,0.000
14/03/1929,0.000
15/03/1929,0.000
16/03/1929,0.000
17/03/1929,0.000
18/03/1929,0.000
19/03/1929,1.270
20/03/1929,0.000
21/03/1929,0.000
22/03/1929,0.000
23/03/1929,0.000
24/03/1929,0.000
25/03/1929,0.000
26/03/1929,0.762
27/03/1929,0.000
28/03/1929,0.000
29/03/1929,0.000
30/03/1929,0.000
31/03/1929,6.858
01/04/1929,0.000
02/04/1929,0.000
03/04/1929,1.016
04/04/1929,0.000
05/04/1929,0.000
06/04/1929,0.762
07/04/1929,0.000
08/04/1929,0.000
09/04/1929,0.000
10/04/1929,0.000
11/04/1929,0.000
12/04/1929,0.000
13/04/1929,0.000
14/04/1929,0.000
15/04/1929,0.000
16/04/1929,0.000
17/04/1929,0.000
18/04/1929,0.000
19/04/1929,29.972
20/04/1929,3.302
21/04/1929,0.762
22/04/1929,0.000
23/04/1929,0.000
24/04/1929,0.000
25/04/1929,0.000
26/04/1929,2.286
27/04/1929,0.508
28/04/1929,4.064
29/04/1929,0.000
30/04/1929,0.000
01/05/1929,0.000
02/05/1929,0.000
03/05/1929,0.000
04/05/1929,2.032
05/05/1929,1.016
06/05/1929,1.016
07/05/1929,17.018
08/05/1929,43.942
09/05/1929,53.594
10/05/1929,1.016
11/05/1929,0.000
12/05/1929,0.000
13/05/1929,0.000
14/05/1929,0.000
15/05/1929,0.000
16/05/1929,69.342
17/05/1929,0.508
18/05/1929,4.826
19/05/1929,41.910
20/05/1929,2.540
21/05/1929,0.508
22/05/1929,16.510
23/05/1929,1.524
24/05/1929,0.000
25/05/1929,0.000
26/05/1929,21.844
27/05/1929,5.334
28/05/1929,2.540
29/05/1929,0.254
30/05/1929,62.992
31/05/1929,0.000
01/06/1929,30.226
02/06/1929,0.254
03/06/1929,0.000
04/06/1929,0.000
05/06/1929,0.000
06/06/1929,6.350
07/06/1929,0.000
08/06/1929,1.524
09/06/1929,1.016
10/06/1929,13.716
11/06/1929,0.000
12/06/1929,0.762
13/06/1929,13.462
14/06/1929,34.544
15/06/1929,2.794
16/06/1929,4.318
17/06/1929,25.400
18/06/1929,3.048
19/06/1929,0.762
20/06/1929,27.178
21/06/1929,0.000
22/06/1929,0.508
23/06/1929,15.494
24/06/1929,11.938
25/06/1929,10.160
26/06/1929,17.272
27/06/1929,0.762
28/06/1929,10.414
29/06/1929,0.254
30/06/1929,18.796
01/07/1929,9.652
02/07/1929,11.938
03/07/1929,4.572
04/07/1929,59.182
05/07/1929,0.000
06/07/1929,0.508
07/07/1929,3.810
08/07/1929,0.000
09/07/1929,0.254
10/07/1929,0.000
11/07/1929,1.778
12/07/1929,0.508
13/07/1929,1.270
14/07/1929,11.176
15/07/1929,18.288
16/07/1929,25.654
17/07/1929,7.112
18/07/1929,12.192
19/07/1929,19.050
20/07/1929,0.254
21/07/1929,7.620
22/07/1929,0.000
23/07/1929,0.000
24/07/1929,0.254
25/07/1929,5.842
26/07/1929,21.336
27/07/1929,27.686
28/07/1929,20.320
29/07/1929,21.844
30/07/1929,21.844
31/07/1929,3.048
01/08/1929,0.000
02/08/1929,0.000
03/08/1929,41.910
04/08/1929,41.910
05/08/1929,34.798
06/08/1929,2.540
07/08/1929,7.874
08/08/1929,45.720
09/08/1929,14.986
10/08/1929,0.000
11/08/1929,0.000
12/08/1929,8.382
13/08/1929,1.524
14/08/1929,0.254
15/08/1929,1.270
16/08/1929,0.000
17/08/1929,29.718
