"sites.sitename","Date","climvar.val","climvar.class","month"
"Barro Colorado Island",1929-01-01,6,"wet",1
"Barro Colorado Island",1929-02-01,2,"wet",2
"Barro Colorado Island",1929-03-01,6,"wet",3
"Barro Colorado Island",1929-04-01,8,"wet",4
"Barro Colorado Island",1929-05-01,20,"wet",5
"Barro Colorado Island",1929-06-01,24,"wet",6
"Barro Colorado Island",1929-07-01,26,"wet",7
"Barro Colorado Island",1929-08-01,24,"wet",8
"Barro Colorado Island",1929-09-01,19,"wet",9
"Barro Colorado Island",1929-10-01,25,"wet",10
"Barro Colorado Island",1929-11-01,23,"wet",11
"Barro Colorado Island",1929-12-01,15,"wet",12
"Barro Colorado Island",1930-01-01,15,"wet",1
"Barro Colorado Island",1930-02-01,7,"wet",2
"Barro Colorado Island",1930-03-01,8,"wet",3
"Barro Colorado Island",1930-04-01,19,"wet",4
"Barro Colorado Island",1930-05-01,25,"wet",5
"Barro Colorado Island",1930-06-01,17,"wet",6
"Barro Colorado Island",1930-07-01,19,"wet",7
"Barro Colorado Island",1930-08-01,19,"wet",8
"Barro Colorado Island",1930-09-01,23,"wet",9
"Barro Colorado Island",1930-10-01,21,"wet",10
"Barro Colorado Island",1930-11-01,24,"wet",11
"Barro Colorado Island",1930-12-01,16,"wet",12
"Barro Colorado Island",1931-01-01,12,"wet",1
"Barro Colorado Island",1931-02-01,8,"wet",2
"Barro Colorado Island",1931-03-01,9,"wet",3
"Barro Colorado Island",1931-04-01,14,"wet",4
"Barro Colorado Island",1931-05-01,17,"wet",5
"Barro Colorado Island",1931-06-01,23,"wet",6
"Barro Colorado Island",1931-07-01,27,"wet",7
"Barro Colorado Island",1931-08-01,26,"wet",8
"Barro Colorado Island",1931-09-01,23,"wet",9
"Barro Colorado Island",1931-10-01,27,"wet",10
"Barro Colorado Island",1931-11-01,28,"wet",11
"Barro Colorado Island",1931-12-01,14,"wet",12
"Barro Colorado Island",1932-01-01,13,"wet",1
"Barro Colorado Island",1932-02-01,7,"wet",2
"Barro Colorado Island",1932-03-01,12,"wet",3
"Barro Colorado Island",1932-04-01,16,"wet",4
"Barro Colorado Island",1932-05-01,23,"wet",5
"Barro Colorado Island",1932-06-01,22,"wet",6
"Barro Colorado Island",1932-07-01,23,"wet",7
"Barro Colorado Island",1932-08-01,26,"wet",8
"Barro Colorado Island",1932-09-01,22,"wet",9
"Barro Colorado Island",1932-10-01,26,"wet",10
"Barro Colorado Island",1932-11-01,27,"wet",11
"Barro Colorado Island",1932-12-01,29,"wet",12
"Barro Colorado Island",1933-01-01,13,"wet",1
"Barro Colorado Island",1933-02-01,2,"wet",2
"Barro Colorado Island",1933-03-01,14,"wet",3
"Barro Colorado Island",1933-04-01,4,"wet",4
"Barro Colorado Island",1933-05-01,20,"wet",5
"Barro Colorado Island",1933-06-01,24,"wet",6
"Barro Colorado Island",1933-07-01,25,"wet",7
"Barro Colorado Island",1933-08-01,23,"wet",8
"Barro Colorado Island",1933-09-01,23,"wet",9
"Barro Colorado Island",1933-10-01,20,"wet",10
"Barro Colorado Island",1933-11-01,28,"wet",11
"Barro Colorado Island",1933-12-01,28,"wet",12
"Barro Colorado Island",1934-01-01,10,"wet",1
"Barro Colorado Island",1934-02-01,11,"wet",2
"Barro Colorado Island",1934-03-01,12,"wet",3
"Barro Colorado Island",1934-04-01,8,"wet",4
"Barro Colorado Island",1934-05-01,22,"wet",5
"Barro Colorado Island",1934-06-01,25,"wet",6
"Barro Colorado Island",1934-07-01,21,"wet",7
"Barro Colorado Island",1934-08-01,25,"wet",8
"Barro Colorado Island",1934-09-01,24,"wet",9
"Barro Colorado Island",1934-10-01,27,"wet",10
"Barro Colorado Island",1934-11-01,29,"wet",11
"Barro Colorado Island",1934-12-01,21,"wet",12
"Barro Colorado Island",1935-01-01,15,"wet",1
"Barro Colorado Island",1935-02-01,16,"wet",2
"Barro Colorado Island",1935-03-01,8,"wet",3
"Barro Colorado Island",1935-04-01,11,"wet",4
"Barro Colorado Island",1935-05-01,25,"wet",5
"Barro Colorado Island",1935-06-01,25,"wet",6
"Barro Colorado Island",1935-07-01,29,"wet",7
"Barro Colorado Island",1935-08-01,21,"wet",8
"Barro Colorado Island",1935-09-01,24,"wet",9
"Barro Colorado Island",1935-10-01,23,"wet",10
"Barro Colorado Island",1935-11-01,29,"wet",11
"Barro Colorado Island",1935-12-01,21,"wet",12
"Barro Colorado Island",1936-01-01,10,"wet",1
"Barro Colorado Island",1936-02-01,4,"wet",2
"Barro Colorado Island",1936-03-01,9,"wet",3
"Barro Colorado Island",1936-04-01,10,"wet",4
"Barro Colorado Island",1936-05-01,27,"wet",5
"Barro Colorado Island",1936-06-01,19,"wet",6
"Barro Colorado Island",1936-07-01,23,"wet",7
"Barro Colorado Island",1936-08-01,27,"wet",8
"Barro Colorado Island",1936-09-01,22,"wet",9
"Barro Colorado Island",1936-10-01,27,"wet",10
"Barro Colorado Island",1936-11-01,23,"wet",11
"Barro Colorado Island",1936-12-01,16,"wet",12
"Barro Colorado Island",1937-01-01,19,"wet",1
"Barro Colorado Island",1937-02-01,5,"wet",2
"Barro Colorado Island",1937-03-01,5,"wet",3
"Barro Colorado Island",1937-04-01,8,"wet",4
"Barro Colorado Island",1937-05-01,25,"wet",5
"Barro Colorado Island",1937-06-01,27,"wet",6
"Barro Colorado Island",1937-07-01,25,"wet",7
"Barro Colorado Island",1937-08-01,28,"wet",8
"Barro Colorado Island",1937-09-01,26,"wet",9
"Barro Colorado Island",1937-10-01,24,"wet",10
"Barro Colorado Island",1937-11-01,29,"wet",11
"Barro Colorado Island",1937-12-01,27,"wet",12
"Barro Colorado Island",1938-01-01,15,"wet",1
"Barro Colorado Island",1938-02-01,11,"wet",2
"Barro Colorado Island",1938-03-01,7,"wet",3
"Barro Colorado Island",1938-04-01,9,"wet",4
"Barro Colorado Island",1938-05-01,25,"wet",5
"Barro Colorado Island",1938-06-01,24,"wet",6
"Barro Colorado Island",1938-07-01,28,"wet",7
"Barro Colorado Island",1938-08-01,28,"wet",8
"Barro Colorado Island",1938-09-01,22,"wet",9
"Barro Colorado Island",1938-10-01,27,"wet",10
"Barro Colorado Island",1938-11-01,25,"wet",11
"Barro Colorado Island",1938-12-01,26,"wet",12
"Barro Colorado Island",1939-01-01,7,"wet",1
"Barro Colorado Island",1939-02-01,7,"wet",2
"Barro Colorado Island",1939-03-01,9,"wet",3
"Barro Colorado Island",1939-04-01,5,"wet",4
"Barro Colorado Island",1939-05-01,11,"wet",5
"Barro Colorado Island",1939-06-01,23,"wet",6
"Barro Colorado Island",1939-07-01,23,"wet",7
"Barro Colorado Island",1939-08-01,23,"wet",8
"Barro Colorado Island",1939-09-01,26,"wet",9
"Barro Colorado Island",1939-10-01,27,"wet",10
"Barro Colorado Island",1939-11-01,26,"wet",11
"Barro Colorado Island",1939-12-01,25,"wet",12
"Barro Colorado Island",1940-01-01,17,"wet",1
"Barro Colorado Island",1940-02-01,17,"wet",2
"Barro Colorado Island",1940-03-01,9,"wet",3
"Barro Colorado Island",1940-04-01,6,"wet",4
"Barro Colorado Island",1940-05-01,15,"wet",5
"Barro Colorado Island",1940-06-01,20,"wet",6
"Barro Colorado Island",1940-07-01,21,"wet",7
"Barro Colorado Island",1940-08-01,24,"wet",8
"Barro Colorado Island",1940-09-01,19,"wet",9
"Barro Colorado Island",1940-10-01,27,"wet",10
"Barro Colorado Island",1940-11-01,24,"wet",11
"Barro Colorado Island",1940-12-01,10,"wet",12
"Barro Colorado Island",1941-01-01,17,"wet",1
"Barro Colorado Island",1941-02-01,15,"wet",2
"Barro Colorado Island",1941-03-01,8,"wet",3
"Barro Colorado Island",1941-04-01,7,"wet",4
"Barro Colorado Island",1941-05-01,15,"wet",5
"Barro Colorado Island",1941-06-01,23,"wet",6
"Barro Colorado Island",1941-07-01,26,"wet",7
"Barro Colorado Island",1941-08-01,27,"wet",8
"Barro Colorado Island",1941-09-01,24,"wet",9
"Barro Colorado Island",1941-10-01,26,"wet",10
"Barro Colorado Island",1941-11-01,23,"wet",11
"Barro Colorado Island",1941-12-01,20,"wet",12
"Barro Colorado Island",1942-01-01,11,"wet",1
"Barro Colorado Island",1942-02-01,11,"wet",2
"Barro Colorado Island",1942-03-01,12,"wet",3
"Barro Colorado Island",1942-04-01,12,"wet",4
"Barro Colorado Island",1942-05-01,23,"wet",5
"Barro Colorado Island",1942-06-01,22,"wet",6
"Barro Colorado Island",1942-07-01,26,"wet",7
"Barro Colorado Island",1942-08-01,27,"wet",8
"Barro Colorado Island",1942-09-01,26,"wet",9
"Barro Colorado Island",1942-10-01,31,"wet",10
"Barro Colorado Island",1942-11-01,24,"wet",11
"Barro Colorado Island",1942-12-01,25,"wet",12
"Barro Colorado Island",1943-01-01,13,"wet",1
"Barro Colorado Island",1943-02-01,17,"wet",2
"Barro Colorado Island",1943-03-01,9,"wet",3
"Barro Colorado Island",1943-04-01,13,"wet",4
"Barro Colorado Island",1943-05-01,26,"wet",5
"Barro Colorado Island",1943-06-01,27,"wet",6
"Barro Colorado Island",1943-07-01,25,"wet",7
"Barro Colorado Island",1943-08-01,28,"wet",8
"Barro Colorado Island",1943-09-01,25,"wet",9
"Barro Colorado Island",1943-10-01,26,"wet",10
"Barro Colorado Island",1943-11-01,29,"wet",11
"Barro Colorado Island",1943-12-01,22,"wet",12
"Barro Colorado Island",1944-01-01,16,"wet",1
"Barro Colorado Island",1944-02-01,7,"wet",2
"Barro Colorado Island",1944-03-01,2,"wet",3
"Barro Colorado Island",1944-04-01,11,"wet",4
"Barro Colorado Island",1944-05-01,27,"wet",5
"Barro Colorado Island",1944-06-01,21,"wet",6
"Barro Colorado Island",1944-07-01,24,"wet",7
"Barro Colorado Island",1944-08-01,26,"wet",8
"Barro Colorado Island",1944-09-01,18,"wet",9
"Barro Colorado Island",1944-10-01,29,"wet",10
"Barro Colorado Island",1944-11-01,27,"wet",11
"Barro Colorado Island",1944-12-01,22,"wet",12
"Barro Colorado Island",1945-01-01,17,"wet",1
"Barro Colorado Island",1945-02-01,4,"wet",2
"Barro Colorado Island",1945-03-01,7,"wet",3
"Barro Colorado Island",1945-04-01,11,"wet",4
"Barro Colorado Island",1945-05-01,25,"wet",5
"Barro Colorado Island",1945-06-01,24,"wet",6
"Barro Colorado Island",1945-07-01,26,"wet",7
"Barro Colorado Island",1945-08-01,25,"wet",8
"Barro Colorado Island",1945-09-01,25,"wet",9
"Barro Colorado Island",1945-10-01,24,"wet",10
"Barro Colorado Island",1945-11-01,28,"wet",11
"Barro Colorado Island",1945-12-01,23,"wet",12
"Barro Colorado Island",1946-01-01,11,"wet",1
"Barro Colorado Island",1946-02-01,7,"wet",2
"Barro Colorado Island",1946-03-01,14,"wet",3
"Barro Colorado Island",1946-04-01,12,"wet",4
"Barro Colorado Island",1946-05-01,16,"wet",5
"Barro Colorado Island",1946-06-01,21,"wet",6
"Barro Colorado Island",1946-07-01,24,"wet",7
"Barro Colorado Island",1946-08-01,27,"wet",8
