"sites.sitename","Date","climvar.val","climvar.class","month"
"Barro Colorado Island",1929-01-01,12.192,"pre",1
"Barro Colorado Island",1929-02-01,1.778,"pre",2
"Barro Colorado Island",1929-03-01,72.136,"pre",3
"Barro Colorado Island",1929-04-01,42.672,"pre",4
"Barro Colorado Island",1929-05-01,350.266,"pre",5
"Barro Colorado Island",1929-06-01,250.952,"pre",6
"Barro Colorado Island",1929-07-01,316.992,"pre",7
"Barro Colorado Island",1929-08-01,399.288,"pre",8
"Barro Colorado Island",1929-09-01,175.26,"pre",9
"Barro Colorado Island",1929-10-01,249.428,"pre",10
"Barro Colorado Island",1929-11-01,309.626,"pre",11
"Barro Colorado Island",1929-12-01,47.752,"pre",12
"Barro Colorado Island",1930-01-01,48.514,"pre",1
"Barro Colorado Island",1930-02-01,16.002,"pre",2
"Barro Colorado Island",1930-03-01,6.604,"pre",3
"Barro Colorado Island",1930-04-01,83.566,"pre",4
"Barro Colorado Island",1930-05-01,258.318,"pre",5
"Barro Colorado Island",1930-06-01,183.896,"pre",6
"Barro Colorado Island",1930-07-01,181.356,"pre",7
"Barro Colorado Island",1930-08-01,149.606,"pre",8
"Barro Colorado Island",1930-09-01,293.37,"pre",9
"Barro Colorado Island",1930-10-01,153.924,"pre",10
"Barro Colorado Island",1930-11-01,298.704,"pre",11
"Barro Colorado Island",1930-12-01,266.7,"pre",12
"Barro Colorado Island",1931-01-01,30.48,"pre",1
"Barro Colorado Island",1931-02-01,24.638,"pre",2
"Barro Colorado Island",1931-03-01,140.716,"pre",3
"Barro Colorado Island",1931-04-01,91.232,"pre",4
"Barro Colorado Island",1931-05-01,291.956,"pre",5
"Barro Colorado Island",1931-06-01,381.254,"pre",6
"Barro Colorado Island",1931-07-01,463.55,"pre",7
"Barro Colorado Island",1931-08-01,196.342,"pre",8
"Barro Colorado Island",1931-09-01,194.31,"pre",9
"Barro Colorado Island",1931-10-01,321.818,"pre",10
"Barro Colorado Island",1931-11-01,783.334,"pre",11
"Barro Colorado Island",1931-12-01,67.818,"pre",12
"Barro Colorado Island",1932-01-01,43.688,"pre",1
"Barro Colorado Island",1932-02-01,7.62,"pre",2
"Barro Colorado Island",1932-03-01,30.226,"pre",3
"Barro Colorado Island",1932-04-01,112.268,"pre",4
"Barro Colorado Island",1932-05-01,194.818,"pre",5
"Barro Colorado Island",1932-06-01,299.974,"pre",6
"Barro Colorado Island",1932-07-01,323.342,"pre",7
"Barro Colorado Island",1932-08-01,271.018,"pre",8
"Barro Colorado Island",1932-09-01,175.26,"pre",9
"Barro Colorado Island",1932-10-01,356.616,"pre",10
"Barro Colorado Island",1932-11-01,789.432,"pre",11
"Barro Colorado Island",1932-12-01,274.32,"pre",12
"Barro Colorado Island",1933-01-01,63.246,"pre",1
"Barro Colorado Island",1933-02-01,0.762,"pre",2
"Barro Colorado Island",1933-03-01,30.988,"pre",3
"Barro Colorado Island",1933-04-01,2.54,"pre",4
"Barro Colorado Island",1933-05-01,177.8,"pre",5
"Barro Colorado Island",1933-06-01,239.268,"pre",6
"Barro Colorado Island",1933-07-01,229.616,"pre",7
"Barro Colorado Island",1933-08-01,259.842,"pre",8
"Barro Colorado Island",1933-09-01,230.632,"pre",9
"Barro Colorado Island",1933-10-01,162.306,"pre",10
"Barro Colorado Island",1933-11-01,831.092,"pre",11
