TOA5,CR1000,CR1000,23009,CR1000.Std.16,CPU:CRC_met_logger_final 091203_khaochong.CR1,47511,Metdata_5min,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,RadTot_KZ_Avg,RadTot_KZ_Std,RadTot_Li_Avg,RadTot_Li_Std,T_Air1_Avg,T_Air1_Std,T_Air2_Avg,T_Air2_Std,RH_Avg,RH_Std,WS_WVc(1),WS_WVc(2),WS_WVc(3),u_Avg,v_Avg,Prec_Tot,Resis1_Avg,Resis1_Std,Asp_Fan_Avg,BattV_Avg,Tbox_Avg,Batstat_Avg
TS,RN,W/m2,W/m2,W/m2,W/m2,C,C,C,C,%,%,m/s,m/s,m/s,m/s,m/s,mm,Ohm,Ohm,,V,C,
,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,WVc,WVc,WVc,Avg,Avg,Tot,Avg,Std,Avg,Avg,Avg,Avg
1/1/2016 0:00,46730,0,0,0.1010108,0.181113,25.62741,0.008706667,25.18698,0.01004223,84.3437,0.01223388,NAN,267,0.03956468,-0.2,-3.5,0,18877.49,3.713682,0,10,24.86508,0
1/1/2016 0:05,46731,0,0,0.07346232,0.1872931,25.63269,0.006078519,25.19429,0.00673662,84.33518,0.01457862,NAN,267,0.03956468,-0.2,-3.5,0,18875.24,2.591877,0,10,24.86508,0
1/1/2016 0:10,46732,0,0,0.1101954,0.1827385,25.6725,0.01282069,25.22394,0.01117394,84.29314,0.02870813,NAN,267,0.03956468,-0.2,-3.5,0,18858.26,5.466193,0,10,24.86704,0
1/1/2016 0:15,46733,0,0,0.09183071,0.1926258,25.70013,0.0184418,25.26376,0.01827742,84.23409,0.02906507,NAN,267,0.03956468,-0.2,-3.5,0,18846.49,7.853464,0,10,24.88124,0
1/1/2016 0:20,46734,0,0,0.1010133,0.1811175,25.73995,0.0175019,25.29789,0.01232305,84.15287,0.04506486,NAN,267,0.03956468,-0.2,-3.5,0,18829.54,7.446963,0,10,24.89446,0
1/1/2016 0:25,46735,0,0,0.1469274,0.1627226,25.77732,0,25.33121,0.01117394,83.97453,0.03752001,NAN,267,0.03956468,-0.2,-3.5,0,18813.64,0,0,9.99,24.89446,0
1/1/2016 0:30,46736,0,0,0.1377456,0.177829,25.80536,0.01655054,25.37468,0.01807418,83.92568,0.02044601,NAN,267,0.03956468,-0.2,-3.5,0,18801.72,7.03276,0,9.99,24.90327,0
1/1/2016 0:35,46737,0,0,0.06428178,0.1695771,25.83706,0.012921,25.40069,0.01212971,83.78086,0.03487699,NAN,267,0.03956468,-0.2,-3.5,0,18788.26,5.487271,0,9.99,24.92383,0
1/1/2016 0:40,46738,0,0,0.08723823,0.2103577,25.86671,0.01148732,25.41166,0,83.59172,0.05529694,NAN,267,0.03956468,-0.2,-3.5,0,18775.67,4.877011,0,9.99,24.93509,0
1/1/2016 0:45,46739,0,0,0.04591439,0.1754382,25.87484,0,25.42547,0.01207913,83.39976,0.05458217,NAN,267,0.03956468,-0.2,-3.5,0,18772.22,0,0,9.99,24.94977,0
1/1/2016 0:50,46740,0,0,0.1239703,0.1623988,25.88215,0.01117394,25.43604,0,83.24243,0.0582415,NAN,267,0.03956468,-0.2,-3.5,0,18769.12,4.740997,0,9.99,24.96152,0
1/1/2016 0:55,46741,0,0,0.06887317,0.1923524,25.90938,0.01202125,25.47179,0.01369004,83.04081,0.05060887,NAN,267,0.03956468,-0.2,-3.5,0,18757.56,5.096648,0,9.99,24.98626,0
1/1/2016 1:00,46742,0,0,0.1056063,0.1749023,25.94229,0.0195845,25.49373,0.01175029,82.87553,0.04150174,NAN,267,0.03956468,-0.2,-3.5,0,18743.61,8.300893,0,9.99,25.0142,0
1/1/2016 1:05,46743,0,0,0.09183132,0.1790124,25.97235,0,25.52745,0.01055508,82.5836,0.115778,NAN,267,0.03956468,-0.2,-3.5,0,18730.87,0,0,9.99,25.04112,0
1/1/2016 1:10,46744,0,0,0.06428042,0.1906428,26.00486,0.01584253,25.56321,0.02138821,82.27805,0.05883422,NAN,267,0.03956468,-0.2,-3.5,0,18717.11,6.705997,0,9.99,25.07833,0
1/1/2016 1:15,46745,0,0,0.1423346,0.1549568,26.02842,0.01428446,25.58637,0.009087211,81.981,0.09595597,NAN,267,0.03956468,-0.2,-3.5,0,18707.14,6.041429,0,9.99,25.11798,0
1/1/2016 1:20,46746,0,0,0.06428006,0.1971647,26.06946,0.003121559,25.61359,0.01098764,81.63683,0.1086511,NAN,267,0.03956468,-0.2,-3.5,0,18689.78,1.319947,0,9.99,25.13695,0
1/1/2016 1:25,46747,0,0,0.04591448,0.1958779,26.08978,0.01861227,25.6331,0.006735038,81.29264,0.06828808,NAN,267,0.03956468,-0.2,-3.5,0,18681.2,7.863986,0,9.99,25.17212,0
1/1/2016 1:30,46748,0,0,0.1056048,0.2017656,26.11822,0.003121554,25.6725,0.01282069,81.06035,0.05427168,NAN,267,0.03956468,-0.2,-3.5,0,18669.18,1.318446,0,9.99,25.20247,0
1/1/2016 1:35,46749,0,0,0.0688731,0.1856589,26.14625,0.02062225,25.68063,0.004375611,80.93029,0.03969355,NAN,267,0.03956468,-0.2,-3.5,0,18657.35,8.705224,0,9.99,25.23037,0
1/1/2016 1:40,46750,-0.06770094,0.5200207,0.08723695,0.1777659,26.16697,0.003121315,25.70257,0.006080417,80.81272,0.04238986,NAN,267,0.03956468,-0.2,-3.5,0,18648.6,1.317446,0,9.99,25.2289,0
1/1/2016 1:45,46751,0,0,0.1147843,0.1763348,26.16697,0.003121315,25.68794,0.01149092,80.70254,0.03412911,NAN,267,0.03956468,-0.2,-3.5,0,18648.6,1.317446,0,9.99,25.20296,0
1/1/2016 1:50,46752,0,0,0.06427906,0.1906378,26.12756,0.014739,25.66113,0.02056866,80.61564,0.02962018,NAN,267,0.03956468,-0.2,-3.5,0,18665.24,6.222068,0,9.98,25.17506,0
1/1/2016 1:55,46753,0,0,0.07805368,0.1888063,26.0914,0.01994807,25.61766,0.01292174,80.59406,0.006116269,NAN,267,0.03956468,-0.2,-3.5,0,18680.51,8.428205,0,9.98,25.14328,0
1/1/2016 2:00,46754,0,0,0.08723786,0.1549581,26.05768,0.01862074,25.5823,0.004450932,80.59292,0,NAN,267,0.03956468,-0.2,-3.5,0,18694.76,7.87481,0,9.98,25.13021,0
1/1/2016 2:05,46755,0,0,0.08264705,0.1763998,26.02111,0,25.55142,0.01933346,80.5418,0.03910267,NAN,267,0.03956468,-0.2,-3.5,0,18710.23,0,0,9.98,25.10917,0
1/1/2016 2:10,46756,0,0,0.08723786,0.1777674,26.00079,0.01105441,25.52745,0.01055508,80.43616,0.03303879,NAN,267,0.03956468,-0.2,-3.5,0,18718.83,4.679047,0,9.98,25.09007,0
1/1/2016 2:15,46757,0,0,0.08264478,0.1763951,25.97317,0.004375604,25.4986,0.01208292,80.33677,0.05111262,NAN,267,0.03956468,-0.2,-3.5,0,18730.53,1.852551,0,9.98,25.07294,0
1/1/2016 2:20,46758,0,0,0.09182654,0.1990752,25.96301,0.0148209,25.48357,0.005310945,80.20444,0.05359126,NAN,267,0.03956468,-0.2,-3.5,0,18734.83,6.281033,0,9.98,25.07196,0
1/1/2016 2:25,46759,0,0,0.009182766,0.1506104,25.9236,0,25.4466,0.01362333,80.03235,0.05439205,NAN,267,0.03956468,-0.2,-3.5,0,18751.53,0,0,9.98,25.04504,0
1/1/2016 2:30,46760,0,0,0.02754902,0.1720443,25.8919,0.01623536,25.4336,0.007312775,79.83527,0.0584852,NAN,267,0.03956468,-0.2,-3.5,0,18764.98,6.886727,0,9.98,25.04357,0
