year,monthno,moname,meandis_m3s
1946,1.00,jan,24.75454656
1946,2.00,feb,28.5716512
1946,3.00,mar,29.3928384
1946,4.00,apr,23.37835008
1946,5.00,may,23.18862752
1946,6.00,jun,22.36744032
1946,7.00,jul,18.66643456
1946,8.00,aug,17.4289904
1946,9.00,sep,24.17122048
1946,10.00,oct,23.94751776
1946,11.00,nov,22.84882592
1946,12.00,dec,19.95201728
1947,1.00,jan,22.80068736
1947,2.00,feb,25.04054624
1947,3.00,mar,26.01464416
1947,4.00,apr,26.96608864
1947,5.00,may,22.82617248
1947,6.00,jun,34.829664
1947,7.00,jul,23.26791456
1947,8.00,aug,17.84524736
1947,9.00,sep,18.86182048
1947,10.00,oct,20.78169952
1947,11.00,nov,23.37835008
1947,12.00,dec,22.25983648
1948,1.00,jan,20.58348192
1948,2.00,feb,23.219776
1948,3.00,mar,28.22618624
1948,4.00,apr,24.34112128
1948,5.00,may,22.46654912
1948,6.00,jun,26.1647232
1948,7.00,jul,22.24001472
1948,8.00,aug,21.1951248
1948,9.00,sep,19.83308672
1948,10.00,oct,22.29664832
1948,11.00,nov,23.88805248
1948,12.00,dec,22.2853216
1949,1.00,jan,17.44598048
1949,2.00,feb,22.65344
1949,3.00,mar,41.4557952
1949,4.00,apr,28.175216
1949,5.00,may,29.9591744
1949,6.00,jun,24.26466592
1949,7.00,jul,20.7845312
1949,8.00,aug,19.17613696
1949,9.00,sep,20.14457152
1949,10.00,oct,23.90787424
1949,11.00,nov,22.74122208
1949,12.00,dec,18.17655392
1950,1.00,jan,23.70399328
1950,2.00,feb,26.00048576
1950,3.00,mar,26.5328416
1950,4.00,apr,26.39692096
1950,5.00,may,28.3451168
1950,6.00,jun,20.81851136
1950,7.00,jul,21.00823392
1950,8.00,aug,23.21694432
1950,9.00,sep,23.80876544
1950,10.00,oct,23.29906304
1950,11.00,nov,22.1437376
1950,12.00,dec,22.78652896
1951,1.00,jan,19.22427552
1951,2.00,feb,28.6849184
1951,3.00,mar,25.69183264
1951,4.00,apr,24.54217056
1951,5.00,may,25.70882272
1951,6.00,jun,27.70515712
1951,7.00,jul,26.08826784
1951,8.00,aug,24.30430944
1951,9.00,sep,28.1185824
1951,10.00,oct,23.55674592
1951,11.00,nov,23.4887856
1951,12.00,dec,22.16355936
1952,1.00,jan,24.34395296
1952,2.00,feb,30.3839264
1952,3.00,mar,34.9146144
1952,4.00,apr,32.139568
1952,5.00,may,29.3928384
1952,6.00,jun,22.90262784
1952,7.00,jul,18.91845408
1952,8.00,aug,18.85049376
1952,9.00,sep,17.67251488
1952,10.00,oct,21.38484736
1952,11.00,nov,21.7614608
1952,12.00,dec,21.25459008
1953,1.00,jan,25.34919936
1953,2.00,feb,25.41715968
1953,3.00,mar,31.2334304
1953,4.00,apr,28.6282848
1953,5.00,may,31.1767968
1953,6.00,jun,22.68742016
1953,7.00,jul,20.45039296
1953,8.00,aug,20.26916544
1953,9.00,sep,18.58714752
1953,10.00,oct,21.87189632
1953,11.00,nov,22.3136384
1953,12.00,dec,21.8464112
1954,1.00,jan,19.36302784
1954,2.00,feb,27.68250368
1954,3.00,mar,28.9397696
1954,4.00,apr,25.28407072
1954,5.00,may,25.83341664
1954,6.00,jun,23.87955744
1954,7.00,jul,19.12233504
1954,8.00,aug,19.14782016
1954,9.00,sep,19.64902752
1954,10.00,oct,21.733144
1954,11.00,nov,22.65060832
1954,12.00,dec,22.91961792
1955,1.00,jan,19.64053248
1955,2.00,feb,19.255424
1955,3.00,mar,37.1233248
1955,4.00,apr,25.4992784
1955,5.00,may,24.5365072
