"TOA5","CR1000","CR1000","39246","CR1000.Std.27","CPU:PSH-Climate_v3.0.CR1","28515","CLData"
"TIMESTAMP","RECORD","Batt_Volt_Min","AirTC_Avg","AirTC_Std","RH","AirTC_2_Avg","AirTC_2_Std","RH_2","AirTC_3_Avg","AirTC_3_Std","RH_3","SlrW_Avg","SlrW_Std","SlrMJ_Tot","SlrW_2_Avg","SlrW_2_Std","SlrMJ_2_Tot","Rain_mm_Tot","SrlNum","ProgNam","OSVer","StatName","MsgVar","FanStatus","Tach_Tot"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","%","Deg C","Deg C","%","W/m²","W/m²","MJ/m²","W/m²","W/m²","MJ/m²","mm","","","","","","","RPM"
"","","Min","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Tot","Avg","Std","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-01-07 09:20:00",0,12.3,27.66,0.576,91,52.1,1.33,1.624,25.14,0.053,85.5,358.2,2.108,0.01611737,56.44,0.189,0.002539622,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:25:00",1,12.25,27.47,0.149,90.4,52.49,0.492,1.691,25.27,0.078,84.4,379.2,7.332,0.1137544,114.5,80.7,0.03435207,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:30:00",2,12.16,27.73,0.162,88.1,52.69,0.687,1.793,25.45,0.083,82.1,413.9,15.67,0.1241708,377.1,18.16,0.1131328,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:35:00",3,12.15,27.93,0.277,86.1,53,0.775,1.827,25.74,0.164,80.5,445.5,4.938,0.1336389,313.6,100.5,0.09408995,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:40:00",4,12.2,28.97,0.768,86.3,53.77,1.036,2.199,26.34,0.204,78.76,450.3,7.86,0.1350961,75.8,9.42,0.02273969,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:45:00",5,12.22,29.33,0.191,85,53.63,0.655,2.3,26.42,0.109,77.74,460.4,2.607,0.1381292,72.87,0.854,0.02185992,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:50:00",6,12.19,29.16,0.207,85.3,53.59,0.705,2.368,26.16,0.053,78.82,470.1,4.926,0.1410282,137.8,80.7,0.04133654,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 09:55:00",7,12.38,31.67,2.296,84.9,56.41,2.401,2.842,26.63,0.328,74.9,479.7,3.442,0.1439043,404,16.56,0.121206,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:00:00",8,12.33,32.21,0.289,85.4,56.91,0.708,2.808,26.81,0.144,75.13,474.8,7.354,0.1424467,404.5,7.054,0.1213573,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:05:00",9,12.48,32.16,0.314,81.7,57.03,0.565,2.639,27.06,0.172,71.18,510,9.49,0.1529938,332.8,111.4,0.09983746,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:10:00",10,12.49,34.67,1.302,85.6,59.86,1.418,4.533,27.33,0.089,72.63,523.2,7.264,0.1569744,84.4,3.392,0.02533195,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:15:00",11,12.52,37.23,0.507,83.5,62.11,0.709,4.228,27.56,0.134,69.68,546,7.168,0.1637996,82.5,0.127,0.02475624,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:20:00",12,12.51,36.73,0.543,81.3,61.48,0.908,4.431,27.28,0.087,67.62,546.3,8.87,0.1639049,82.5,0.369,0.02475925,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:25:00",13,12.53,37.95,1.495,79.39,62.85,1.609,4.837,27.55,0.082,68.87,577.2,6.638,0.1731663,84.1,0.446,0.02524168,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:30:00",14,12.52,34.54,1.536,73.91,58.99,1.647,3.924,27.87,0.317,66.84,585.5,7.78,0.1756567,86.4,0.781,0.02592972,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:35:00",15,12.49,34.85,2.352,80.1,59.34,2.343,3.991,29.23,0.275,64.94,592.3,10.81,0.1776985,87.3,0.213,0.02618945,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:40:00",16,12.52,33.86,1.181,76.27,58.07,1.333,3.213,29.5,0.235,63.86,625.8,11.15,0.1877515,88.1,0.188,0.02644182,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:45:00",17,12.53,32.19,0.843,74.99,56.29,1.014,2.774,29.28,0.524,65.52,618.6,11.16,0.1855713,88.7,0.341,0.02660246,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:50:00",18,12.54,31.48,0.197,73.8,55.44,0.684,2.875,28.8,0.164,63.86,621.7,7.358,0.1865242,89.9,0.38,0.02698157,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 10:55:00",19,12.55,31.34,0.198,75.59,55.22,0.719,2.942,28.67,0.118,66.35,655.9,11.11,0.196784,92.7,0.79,0.0278229,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:00:00",20,12.56,31.68,0.25,76.6,55.53,0.623,2.942,28.95,0.207,68.75,662.3,7.643,0.1986946,95.6,0.806,0.02867503,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:05:00",21,12.57,31.17,0.205,77.01,54.87,0.624,2.976,28.1,0.192,68.99,683,13.3,0.2048933,101.5,5.87,0.0304487,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:10:00",22,12.52,31.12,0.203,75.08,54.59,0.763,3.145,28.21,0.127,68.01,728.6,28.16,0.2185776,128.5,3.792,0.0385455,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:15:00",23,12.62,33.04,1.86,76.83,56.39,2.057,3.247,28.98,0.466,65.2,744.2,5.419,0.2232516,113.5,1.744,0.03406435,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:20:00",24,12.54,34.37,0.433,76.26,57.72,0.696,2.976,29.04,0.286,65.74,718.9,36.19,0.2156745,115.3,0.771,0.034599,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:25:00",25,12.59,37.54,0.915,74.23,60.6,1.041,3.72,29.28,0.099,62.09,746.6,8.45,0.2239742,125.8,3.987,0.03772675,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:30:00",26,12.59,39.06,2.113,73.35,62.38,2.225,3.483,29.85,0.345,60.67,765.9,17.3,0.2297594,129.8,6.381,0.03893959,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:35:00",27,12.53,34.77,0.689,69.39,58.06,0.912,3.314,29.4,0.587,60.47,752.7,32.57,0.2257996,128.7,6.943,0.03862153,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:40:00",28,12.27,34.19,0.274,68.41,57.29,0.734,3.551,29.14,0.096,59.93,654.8,166.2,0.1964277,120.9,2.428,0.0362632,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:45:00",29,12.55,34.02,0.269,69.19,56.98,0.634,3.314,29.01,0.092,61.45,791.2,19.63,0.2373616,133,2.784,0.03991069,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:50:00",30,12.57,33.5,0.295,70.44,56.58,0.772,3.179,28.59,0.116,61.85,786.9,17.61,0.236056,125.3,5.606,0.0376026,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 11:55:00",31,12.45,33.69,0.254,69.77,56.45,0.761,3.382,29.22,0.199,60.6,823,69.38,0.2468812,131.5,10.89,0.03944842,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:00:00",32,12.25,35.22,0.458,69.09,57.93,0.857,3.348,29.6,0.185,59.52,725.7,218.9,0.2177177,178.2,4.955,0.05347217,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:05:00",33,12.18,34.12,0.446,69.19,56.55,0.676,3.517,28.99,0.19,60.87,553.4,326.6,0.1660272,199.2,18.33,0.05977269,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:10:00",34,12.18,33.71,0.262,70.92,56.18,0.693,3.382,28.87,0.158,63.68,465.4,252.6,0.139627,242.6,13.37,0.0727878,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:15:00",35,12.14,34.07,0.301,69.87,56.51,0.72,3.314,29.17,0.234,61.65,588.5,272.1,0.1765398,273.9,8.62,0.0821704,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:20:00",36,12.13,33.53,0.418,72.34,55.77,0.625,3.517,28.8,0.23,64.25,434.6,308.1,0.1303667,231.4,14.72,0.06942198,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:25:00",37,12.14,33.11,0.271,71.59,56.47,0.692,3.213,28.71,0.161,63.92,552.3,318.1,0.1657014,253.2,24.77,0.07594909,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:30:00",38,12.17,33.75,0.767,70.21,56.49,0.983,3.382,29.15,0.414,61.82,761.9,277,0.2285662,299.8,61.82,0.08994678,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:35:00",39,12.15,33.87,0.48,72.17,56.55,0.773,3.483,29.12,0.213,63.68,433.7,210.9,0.1301111,313.3,123,0.09399439,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:40:00",40,12.07,33.12,0.273,73.15,55.87,0.663,3.179,28.78,0.087,65.64,396,221.6,0.1187914,302.4,177,0.09072182,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:45:00",41,12.04,33.05,0.202,73.82,56.15,0.732,3.618,28.66,0.074,66.08,246.9,63.45,0.07407016,193.5,11.63,0.05803814,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:50:00",42,12.09,33.19,0.381,71.08,56.26,0.731,3.348,28.91,0.228,63.58,827,205.7,0.2480382,612.5,181.8,0.1837627,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 12:55:00",43,12.11,34.09,0.447,72.37,56.65,0.737,3.213,29.19,0.211,64.59,560.1,239.9,0.1680154,322.3,84.9,0.09667843,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 13:00:00",44,12.03,34.27,0.282,71.08,56.65,0.854,3.28,29.08,0.11,62.6,601.9,302.6,0.1805754,231.7,20.54,0.06951322,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 13:05:00",45,12.02,34.18,0.299,72.64,56.58,0.744,3.247,28.99,0.12,65.07,531.8,302,0.1595352,344.6,182.4,0.103394,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-01-07 13:10:00",46,12.04,34.96,0.545,74.43,57.17,0.756,3.889,29.49,0.15,64.12,758.6,223.2,0.2275786,629.9,196.9,0.1889643,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
