"TOA5","CR1000","CR1000","39246","CR1000.Std.27","CPU:PSH-Climate_v3.0.CR1","28515","CLData"
"TIMESTAMP","RECORD","Batt_Volt_Min","AirTC_Avg","AirTC_Std","RH","AirTC_2_Avg","AirTC_2_Std","RH_2","AirTC_3_Avg","AirTC_3_Std","RH_3","SlrW_Avg","SlrW_Std","SlrMJ_Tot","SlrW_2_Avg","SlrW_2_Std","SlrMJ_2_Tot","Rain_mm_Tot","SrlNum","ProgNam","OSVer","StatName","MsgVar","FanStatus","Tach_Tot"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","%","Deg C","Deg C","%","W/m²","W/m²","MJ/m²","W/m²","W/m²","MJ/m²","mm","","","","","","","RPM"
"","","Min","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Tot","Avg","Std","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2017-10-03 12:45:00",45540,13.64,74.15,1.597,121.5,36.31,0.33,72.24,31.82,0.19,53.57,779.2,18.68,0.2337607,653.4,108.9,0.1960285,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 12:50:00",45541,13.65,78.41,1.253,118,36.35,0.332,72.61,31.36,0.117,54.25,793,16.18,0.2379003,703,14.16,0.2109018,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 12:55:00",45542,13.67,79.01,0.799,120.1,36.28,0.335,73.12,31.22,0.146,54.69,760.5,15.36,0.2281371,705.8,22.59,0.2117309,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:00:00",45543,13.64,73.6,1.734,112.8,31.89,3.43,73.66,32,0.249,53.64,776.9,75.37,0.2330651,637.8,76.29,0.1913459,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:05:00",45544,13.64,73.04,0.841,112.9,29.65,0.597,73.05,31.48,0.164,54.82,730.7,86.6,0.2192007,668.6,84.1,0.200586,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:10:00",45545,13.63,73.72,1.08,113.5,35.37,4.904,69.6,31.72,0.234,52.66,760,80.7,0.2279973,779,82.7,0.2336927,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:15:00",45546,13.63,73.75,1.175,113.5,37.05,0.279,68.08,30.93,0.268,53.43,515.5,127.9,0.154637,528.1,132,0.1584279,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:20:00",45547,13.64,73.62,1.01,113.4,37.22,0.31,70.78,30.97,0.185,53.87,705.2,218.2,0.2115562,732.6,227.3,0.2197937,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:25:00",45548,13.61,73.28,1.062,112.4,38.35,0.802,66.82,31.73,0.194,49.27,922,35.29,0.2766119,960,36.74,0.288025,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:30:00",45549,13.6,72.44,0.632,112.8,39.33,0.493,65.07,32.24,0.068,49.1,895,37.15,0.2683787,931,35.96,0.2794415,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:35:00",45550,13.6,72.94,0.802,112.6,38.5,0.433,69.19,31.51,0.137,52.69,913,19.41,0.2738401,943,18.94,0.2827979,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:40:00",45551,13.61,73.06,1.013,112.7,38.46,0.423,68.45,31.5,0.086,53.3,726,141.5,0.2177925,755.6,147.8,0.226691,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:45:00",45552,13.59,72.82,0.558,112.7,38.43,0.351,72.4,31.32,0.079,55.19,548.2,37.7,0.1644729,580.6,39.59,0.1741856,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:50:00",45553,13.58,72.96,0.717,112.7,38.58,0.326,72.91,31.57,0.121,55.63,687.7,42.4,0.2063201,736.1,44.54,0.2208408,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 13:55:00",45554,13.58,72.94,0.632,112.6,38.45,0.433,69.97,31.37,0.244,55.29,587.9,51.36,0.1763628,638.6,54.32,0.1915914,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:00:00",45555,13.57,72.92,0.622,112.7,38.5,0.365,66.52,31.41,0.064,52.11,763.6,52.39,0.2290926,835,60.25,0.2503847,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:05:00",45556,13.58,72.87,0.725,112.8,38.64,0.368,68.58,31.58,0.115,52.55,817,5.98,0.2450339,884,12.8,0.2652058,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:10:00",45557,13.58,72.84,0.593,112.7,38.74,0.378,67.3,31.56,0.218,52.22,678,139.3,0.2034081,725.4,147.6,0.2176086,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:15:00",45558,13.57,72.93,0.802,112.8,38.78,0.353,66.93,31.85,0.108,51.5,788.2,11.14,0.2364614,836,8.14,0.2509375,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:20:00",45559,13.57,72.93,0.671,114.8,38.84,0.359,65.47,31.83,0.125,50.35,720.1,121.5,0.2160151,759.2,126.1,0.2277487,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:25:00",45560,13.57,72.86,0.714,112.7,38.8,0.42,67.63,31.77,0.102,52.75,753.4,11.82,0.2260226,799,12.86,0.2397045,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:30:00",45561,13.56,72.87,0.675,112.7,38.74,0.343,66.18,31.5,0.132,51.3,644.2,117.6,0.1932568,697.4,124.4,0.2092088,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:35:00",45562,13.56,72.81,0.665,112.7,38.67,0.386,66.58,31.48,0.204,51.5,484.8,72.39,0.1454527,525.3,77.93,0.1575843,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:40:00",45563,13.56,72.84,0.611,112.7,38.4,0.424,68.81,31.17,0.138,53.39,404,52.15,0.1212138,436.7,55.25,0.131002,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:45:00",45564,13.58,72.9,0.949,112.7,38.39,0.362,66.67,31.15,0.071,51.6,480,119.2,0.1440143,509.3,123.6,0.1527956,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:50:00",45565,13.57,72.78,0.815,112.7,38.49,0.368,69.69,31.31,0.054,54.3,720,15.51,0.216014,760.9,16.45,0.2282572,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 14:55:00",45566,13.58,72.78,0.544,112.8,38.73,0.377,67.08,31.52,0.108,51.93,726.1,27.52,0.2178279,765.2,30.73,0.2295496,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:00:00",45567,13.56,72.78,0.539,112.8,38.65,0.413,67.28,31.5,0.148,52.81,705.8,23.09,0.2117424,747.8,25.11,0.2243251,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:05:00",45568,13.56,72.73,0.497,112.7,38.61,0.364,68.43,31.44,0.083,52.78,667.4,21.57,0.2002315,711.2,21.61,0.2133665,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:10:00",45569,13.57,72.72,0.658,112.7,38.85,0.477,68.87,31.92,0.177,52.74,595.9,26.17,0.1787685,638.2,27.45,0.1914552,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:15:00",45570,13.54,72.8,0.738,112.7,38.7,0.369,67.75,31.45,0.15,52.67,478.4,56.95,0.1435262,524.1,61.74,0.1572365,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:20:00",45571,13.54,72.86,0.848,113.7,38.59,0.342,66.77,31.39,0.042,51.15,552.5,9.74,0.1657612,605.1,9.73,0.1815347,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:25:00",45572,13.54,72.81,0.724,112.5,38.52,0.402,65.55,31.49,0.087,51.25,496,32.5,0.1488149,532.6,37.59,0.159766,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:30:00",45573,13.55,72.76,0.595,112.7,38.58,0.325,68.7,31.44,0.042,53.14,470.2,30.37,0.1410695,498.9,33.39,0.1496685,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:35:00",45574,13.55,72.81,0.634,112.6,38.51,0.416,69.37,31.37,0.067,53.68,485.3,15.77,0.1455997,517.5,17.36,0.1552524,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:40:00",45575,13.55,72.82,0.697,112.6,38.5,0.391,70.28,31.4,0.069,53.82,429.7,35.55,0.1289099,457.9,38.03,0.1373695,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:45:00",45576,13.55,72.7,0.591,112.8,38.48,0.421,68.19,31.32,0.118,53.58,330.3,44.2,0.09909572,350.8,47.97,0.1052474,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:50:00",45577,13.57,72.85,0.78,112.6,38.34,0.38,68.19,31.02,0.058,54.09,264.9,5.688,0.07946161,277,7.164,0.08310991,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 15:55:00",45578,13.55,72.66,0.645,112.6,38.3,0.336,70.18,30.99,0.041,54.43,313.8,31.28,0.09413801,322.1,33.68,0.0966434,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:00:00",45579,13.57,72.78,0.782,112.6,38.36,0.337,68.9,31.18,0.09,52.81,422.9,18.85,0.1268606,436.7,19.77,0.1310182,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:05:00",45580,13.59,72.77,0.777,112.4,38.43,0.356,70.73,31.22,0.038,54.81,387.7,69.59,0.1163024,399.5,74.07,0.1198585,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:10:00",45581,13.58,72.86,0.784,112.8,38.37,0.369,73.68,31.1,0.041,56.94,296,31.89,0.08878587,308.4,32.67,0.09252146,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:15:00",45582,13.59,72.79,0.712,112.6,38.28,0.345,72.16,31.04,0.038,56.03,353.5,61.38,0.1060627,382.5,68.53,0.1147461,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:20:00",45583,13.61,72.78,0.709,112.5,38.38,0.383,72.37,31.23,0.062,56.07,386.1,91.1,0.1158208,408,102.8,0.1223929,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:25:00",45584,13.59,72.83,0.816,112.7,38.41,0.335,71.39,31.11,0.038,55.53,310.3,37.49,0.09307945,324,43.89,0.09719627,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:30:00",45585,13.59,72.7,0.633,112.7,38.32,0.434,68.28,31.16,0.051,53.03,345.6,77.4,0.1036767,369.4,84.6,0.1108297,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2017-10-03 16:35:00",45586,13.59,72.78,0.7,112.7,38.33,0.403,72.03,31.02,0.066,55.93,229.5,6.791,0.0688647,238.3,7.477,0.07150173,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
