"Description: ","Outliers shown in *boxseries.pdf"
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN,DTR
"TX up"
"TX low"
2019-1-1,NA,-46.40448,-70.16649,23.76201
2019-1-2,NA,-53.23769,-64.66229,11.4246
2019-1-3,NA,-51.4405,-69.92002,18.47952
2019-1-5,NA,-31.41276,-67.32675,35.91399
2019-2-7,NA,-43.53419,-69.18577,25.65158
2019-3-21,NA,-26.27056,-60.82386,34.5533
2016-5-29,NA,-13.36367,-63.07436,49.71069
2018-5-28,NA,-39.12777,-65.51738,26.38961
2019-5-5,NA,-46.16345,-56.37445,10.211
2019-5-8,NA,-63.45725,-67.94473,4.48748000000001
2019-5-9,NA,-63.61716,-70.61773,7.00057
2019-5-20,NA,-13.15629,-70.15053,56.99424
2019-5-24,NA,-51.7365,-70.2316,18.4951
2019-5-25,NA,-64.87172,-69.87256,5.00084
2019-5-30,NA,-23.02328,-65.16857,42.14529
2017-6-16,NA,-13.98679,-65.61129,51.6245
2017-6-17,NA,-31.99843,-70.82938,38.83095
2017-6-19,NA,-14.67998,-65.30912,50.62914
2018-6-11,NA,-2.714429,-59.17008,56.455651
2018-6-22,NA,-44.80845,-66.47643,21.66798
2018-6-25,NA,-49.87956,-70.20125,20.32169
2019-6-6,NA,-40.43615,-70.20824,29.77209
2019-6-7,NA,-64.98811,-69.57735,4.58923999999999
2019-6-10,NA,-39.30677,-68.19189,28.88512
2019-6-15,NA,-46.07805,-69.52018,23.44213
2019-6-19,NA,0.5502828,-67.89461,68.4448928
2019-6-25,NA,-26.37866,-69.36743,42.98877
2019-6-29,NA,-15.94612,-70.53271,54.58659
2017-7-4,NA,-6.238404,-67.38003,61.141626
2017-7-6,NA,-34.34273,-65.29568,30.95295
2017-7-28,NA,-2.026245,-58.19631,56.170065
2018-7-1,NA,-7.212825,-69.6103,62.397475
2018-7-2,NA,-34.99887,-67.27726,32.27839
2018-7-3,NA,-23.78419,-67.52467,43.74048
2018-7-4,NA,-32.97932,-67.9958,35.01648
2018-7-6,NA,-37.3141,-67.0558,29.7417
2018-7-23,NA,-18.28257,-70.63892,52.35635
2018-7-28,NA,-15.6738,-69.46408,53.79028
2018-7-29,NA,-60.4283,-70.1759,9.7476
2018-7-30,NA,-55.74266,-69.12471,13.38205
2018-7-31,NA,-40.52488,-63.59804,23.07316
2019-7-3,NA,-25.98972,-68.57624,42.58652
2019-7-5,NA,-21.72951,-64.8447,43.11519
2019-7-7,NA,-3.07524,-64.64165,61.56641
2019-7-8,NA,-13.48092,-49.29155,35.81063
2019-7-28,NA,2.732098,-49.42606,52.158158
2019-7-29,NA,0.000513617,-35.37059,35.371103617
2019-7-30,NA,2.605306,-40.7746,43.379906
2016-8-9,NA,5.211052,-47.16048,52.371532
2017-8-1,NA,4.450377,-52.68419,57.134567
2018-8-3,NA,-29.12482,-53.10853,23.98371
2018-8-6,NA,-35.9194,-68.65076,32.73136
2018-8-7,NA,-0.7100477,-68.67942,67.9693723
2018-8-8,NA,-38.70122,-68.55878,29.85756
2018-8-9,NA,-43.22007,-69.38626,26.16619
2018-8-10,NA,-12.22698,-69.16706,56.94008
2018-8-11,NA,-49.20421,-69.78679,20.58258
2018-8-12,NA,-36.14721,-61.48304,25.33583
2018-8-14,NA,-20.74525,-67.54583,46.80058
2018-8-15,NA,-27.69351,-57.06694,29.37343
2018-8-16,NA,-26.67271,-56.9145,30.24179
2018-8-17,NA,-25.98772,-67.49649,41.50877
2018-8-18,NA,-46.51704,-67.61112,21.09408
2018-8-19,NA,-50.49641,-66.21934,15.72293
2018-8-20,NA,-50.60894,-59.57543,8.96649
2018-8-25,NA,-30.28739,-68.79951,38.51212
2018-8-26,NA,-21.31342,-69.13081,47.81739
2018-8-27,NA,-19.74698,-68.12645,48.37947
2018-8-28,NA,-13.27902,-69.70767,56.42865
2018-8-29,NA,-40.48656,-69.39275,28.90619
2018-8-30,NA,-49.46134,-68.85468,19.39334
2018-8-31,NA,-40.4306,-65.98859,25.55799
2019-8-5,NA,-0.7808364,-46.51998,45.7391436
2019-8-6,NA,4.669447,-45.57291,50.242357
2019-8-7,NA,4.439663,-41.54002,45.979683
2019-8-11,NA,-13.74882,-70.225,56.47618
2019-8-12,NA,-49.34699,-69.22399,19.877
2017-9-15,NA,-49.70676,-69.68256,19.9758
2018-9-1,NA,-25.73204,-59.64988,33.91784
2018-9-2,NA,-36.7902,-70.96185,34.17165
2018-9-3,NA,-3.986771,-66.46012,62.473349
2018-9-4,NA,-29.71786,-66.96989,37.25203
2018-9-5,NA,-38.19757,-68.90431,30.70674
2018-9-6,NA,-35.85564,-69.65388,33.79824
2018-9-7,NA,-11.52637,-65.24818,53.72181
2018-9-8,NA,-25.97553,-30.58111,4.60558
2018-9-9,NA,-27.10759,-55.57237,28.46478
2018-9-10,NA,-13.60495,-54.27146,40.66651
2018-9-11,NA,-25.68416,-56.84531,31.16115
2019-9-2,NA,-5.367364,-57.82275,52.455386
2019-9-10,NA,-5.182154,-49.2091,44.026946
2019-9-24,NA,-47.71065,-70.9087,23.19805
2019-9-25,NA,-2.52073,-69.36357,66.84284
2019-9-29,NA,-56.19306,-70.84142,14.64836
2019-9-30,NA,-54.31744,-70.85682,16.53938
2016-10-3,NA,-44.80479,-68.04269,23.2379
2016-10-8,NA,-40.71395,-46.23142,5.51747
2017-10-11,NA,-11.38936,-68.45035,57.06099
2017-10-12,NA,-53.93864,-65.89208,11.95344
2019-10-1,NA,-56.20929,-70.71748,14.50819
2019-10-7,NA,-33.83185,-70.88198,37.05013
2019-10-9,NA,-68.3195,-71.19066,2.87115999999999
2019-10-10,NA,-63.59729,-70.79906,7.20177
