"Description: ","Dates where the change in TN is > 20 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,TN
2011-5-3,15.2018
2016-5-11,13.33333333
2016-5-15,-62.29895
2016-5-22,11.31521
2016-6-13,-65.04853
2016-6-15,-28.88971
2016-6-27,-40.3109
2016-6-28,-16.61957
2016-7-3,-35.54275
2016-7-5,-0.5799372
2016-7-6,-40.7361
2016-7-10,-19.91801
2016-7-11,-51.42381
2016-7-12,-24.00608
2016-7-19,-7.223485
2016-7-30,-29.83088
2016-8-2,-33.35948
2016-9-6,-48.86388
2016-9-7,-15.23859
2016-9-19,-33.87354
2016-9-25,-62.23464
2016-9-26,-36.92467
2016-10-7,-66.86954
2016-10-8,-46.23142
2016-11-12,-61.81486
2016-11-13,-2.447453
2016-11-14,-41.01427
2016-11-17,-33.81597
2016-11-20,-52.64091
2016-11-21,-28.59421
2016-11-24,-22.68275
2016-11-25,5.596718
2016-11-30,9.327067
2016-12-5,-25.52714
2016-12-17,-3.752056
2016-12-18,-60.59557
2016-12-21,-3.671725
2016-12-22,-27.42716
2016-12-26,4.250246
2016-12-28,-59.80637
2017-1-2,-20.42666
2017-1-3,4.287679
2017-1-4,-62.77748
2017-1-5,-33.12945
2017-1-11,-24.7556
2017-1-15,-53.08189
2017-1-17,4.854733
2017-1-20,-42.26339
2017-1-24,-1.063605
2017-2-2,-52.86182
2017-2-4,-29.85684
2017-2-8,8.859725
2017-2-9,-51.25379
2017-2-11,-35.02753
2017-2-16,-6.101642
2017-2-17,-29.50123
2017-2-18,-58.50883
2017-2-24,10.84859
2017-3-3,-14.42618
2017-3-4,-35.15287
2017-3-7,7.498028
2017-3-9,-30.46353
2017-3-11,-7.682143
2017-3-13,-33.16145
2017-3-22,-1.88525
2017-3-23,-29.1316
2017-3-25,11.83458
2017-3-26,-27.50256
2017-3-29,-22.47596
2017-4-1,6.350896
2017-4-2,-18.54034
2017-5-24,-39.36184
2017-6-1,-62.98439
2017-6-3,12.54305
2017-6-4,-64.35162
2017-6-5,-38.66021
2017-6-25,-62.37776
2017-6-29,14.65642
2017-6-30,-65.46829
2017-7-1,7.309092
2017-8-31,-61.32084
2017-9-2,-36.73779
2017-11-8,-66.95303
2017-11-9,-11.07708
2017-11-12,-62.87854
2017-11-13,-5.781114
2017-11-16,-65.258
2017-11-18,2.530353
2017-11-20,-67.70791
2017-11-21,-11.54732
2017-11-23,-55.71181
2017-11-26,0.5419811
2017-11-28,-33.1176
2017-11-29,-56.97845
2017-12-2,-47.14525
2017-12-3,-18.25423
2017-12-6,-47.41006
2017-12-8,-1.466325
2017-12-13,-39.56476
2017-12-16,-21.2465
2017-12-19,-7.36142
2018-1-11,-1.140012
2018-1-13,-60.2747
2018-1-17,-26.17692
2018-1-23,-52.65191
2018-1-25,-27.13946
2018-1-31,-21.64035
2018-2-1,1.260031
2018-2-3,-22.97074
2018-2-10,3.347242
2018-2-14,-48.05804
2018-2-15,-71.21629
2018-2-17,-3.706569
2018-2-21,-70.41762
2018-2-22,-39.35384
2018-2-23,4.300699
2018-2-28,-70.9557
2018-3-2,-43.32307
2018-3-4,-70.43004
2018-3-17,-31.42659
2018-3-19,-49.74385
2018-3-28,-10.71015
2018-4-1,-68.19966
2018-4-3,-8.286513
2018-4-5,-44.87618
2018-4-6,-69.40101
2018-4-8,-23.80136
2018-4-10,-20.7826
2018-4-11,1.635423
2018-4-14,-69.30595
2018-4-18,-21.84069
2018-4-19,1.255894
2018-4-21,-22.10303
2018-4-24,8.740899
2018-4-25,-27.02214
2018-4-26,-67.89653
2018-4-27,-4.079587
2018-4-28,-70.1126
2018-4-29,-15.65801
2018-5-2,-45.05869
2018-5-6,10.80028
2018-5-9,-46.33403
2018-5-10,-13.99597
2018-5-15,-70.87553
2018-5-17,-15.41006
2018-9-7,-65.24818
2018-9-8,-30.58111
2018-9-12,-62.00961
2018-9-17,21.91744
2018-9-18,-24.71337
2018-9-23,-2.947655
2018-9-25,-32.46251
2018-9-27,12.28356
2018-9-28,-18.01777
2018-10-6,-7.065249
2018-10-11,-63.35778
2018-10-12,-28.57682
2018-10-14,4.599477
2018-10-17,-52.27286
2018-10-18,0.7089739
2018-10-24,-45.33759
2018-10-27,5.838356
2018-10-30,-41.87694
2018-11-3,-50.36019
2018-11-4,-29.82873
2018-11-5,8.240541
2018-11-8,-64.50957
2018-11-9,-34.21796
2018-11-12,-64.17619
2018-11-13,4.068824
2018-11-17,-46.30116
2018-12-2,-1.932908
2018-12-3,-63.70376
2018-12-5,-1.274727
2018-12-8,-52.07957
2018-12-9,-3.219764
2018-12-13,-53.91494
2018-12-14,-0.3492876
2018-12-24,-68.51579
2018-12-25,-2.97467
2019-1-6,-67.82005
2019-1-7,-0.922443
2019-1-11,-62.99325
2019-1-13,-3.599886
2019-1-16,-54.87907
2019-1-17,-2.253045
2019-1-18,-49.20887
2019-1-22,-19.091
2019-1-24,-49.63956
2019-1-26,-16.77449
2019-1-28,-69.85121
2019-1-29,-8.539499
2019-2-8,-71.01875
2019-2-20,-2.338063
2019-2-22,-69.47947
2019-2-23,1.518271
2019-4-1,-66.82634
2019-4-2,-34.02799
2019-4-4,-62.93262
2019-4-5,6.261812
2019-4-18,-65.73276
2019-4-19,-10.3333
2019-5-11,-67.31594
2019-5-12,-24.4413
2019-8-1,-36.80137
2019-8-3,-11.92885
2019-9-14,-39.33408
