"Description: ","Dates where precipitation > 200 mm or abs(temperature) > 50 degrees."
"Station: ","SCBI_mettower_data_sensor1"
"Latitude: ","30"
"Longitude: ","78"
"ClimPACT2_version: ","1.2.8"
"Date_of_calculation: ","2020-09-14"
Date,Prec,TX,TN
2016-5-12,NA,18.92469,-52.60852
2016-5-13,NA,23.61527,-54.00386
2016-5-14,NA,20.96033,-61.18057
2016-5-15,NA,13.96862,-62.29895
2016-5-23,NA,17.98957,-70.01843
2016-5-24,NA,27.09812,-67.13103
2016-5-25,NA,28.16924,-59.69402
2016-5-26,NA,28.38095,-58.16555
2016-5-27,NA,23.02532,-59.53644
2016-5-28,NA,18.15028,-66.49314
2016-5-29,NA,-13.36367,-63.07436
2016-5-30,NA,17.64653,-69.93649
2016-5-31,NA,24.03323,-69.64469
2016-6-1,NA,29.07283,-66.85094
2016-6-2,NA,26.73719,-59.31733
2016-6-3,NA,26.21744,-68.95175
2016-6-4,NA,19.88825,-68.27014
2016-6-5,NA,24.38878,-61.92212
2016-6-7,NA,24.09789,-54.55344
2016-6-8,NA,21.63953,-67.12792
2016-6-9,NA,26.20359,-61.10624
2016-6-10,NA,26.6091,-70.87797
2016-6-11,NA,32.96352,-65.51452
2016-6-12,NA,24.98826,-62.03036
2016-6-13,NA,25.24626,-65.04853
2016-6-16,NA,26.97348,-66.82407
2016-6-17,NA,24.2921,-62.8026
2016-6-18,NA,21.94596,-68.74248
2016-6-19,NA,23.76058,-70.51725
2016-6-20,NA,23.34914,-68.52956
2016-6-21,NA,21.0524,-51.49865
2016-6-22,NA,26.54559,-68.03279
2016-6-23,NA,22.02577,-60.90244
2016-6-24,NA,27.06864,-51.10717
2016-6-25,NA,25.56399,-61.89566
2016-6-29,NA,18.41371,-65.75699
2016-6-30,NA,25.18128,-66.29942
2016-7-1,NA,28.10247,-51.46779
2016-7-2,NA,23.68298,-51.75364
2016-7-11,NA,21.59828,-51.42381
2016-7-31,NA,27.86317,-53.85408
2016-8-7,NA,26.29964,-54.27589
2016-8-8,NA,27.36901,-56.12709
2016-8-10,NA,25.13202,-57.46521
2016-8-17,NA,22.94717,-57.63131
2016-8-18,NA,29.14316,-56.43406
2016-8-20,NA,27.9979,-51.80278
2016-8-21,NA,27.83457,-55.01968
2016-8-22,NA,24.36335,-65.03225
2016-8-23,NA,24.36213,-64.40803
2016-8-24,NA,27.54222,-54.80188
2016-8-25,NA,29.53372,-55.4515
2016-8-26,NA,29.02314,-60.43109
2016-8-27,NA,21.10674,-63.68791
2016-8-28,NA,29.18116,-63.52997
2016-8-29,NA,30.43766,-57.17472
2016-8-30,NA,29.15216,-59.18391
2016-9-1,NA,23.8951,-58.61876
2016-9-2,NA,0.4189869,-53.40923
2016-9-4,NA,25.4105,-50.04681
2016-9-8,NA,31.5421,-60.32723
2016-9-9,NA,32.51184,-59.29432
2016-9-10,NA,32.04358,-55.41622
2016-9-11,NA,26.81104,-59.75264
2016-9-12,NA,25.64705,-66.15984
2016-9-14,NA,30.45587,-54.95618
2016-9-20,NA,25.47827,-61.06832
2016-9-21,NA,25.32948,-63.22754
2016-9-22,NA,26.28423,-62.56313
2016-9-23,NA,28.10695,-62.49397
2016-9-24,NA,25.40276,-62.84269
2016-9-25,NA,13.92558,-62.23464
2016-9-27,NA,22.70958,-66.75314
2016-9-28,NA,19.39471,-60.5752
2016-9-29,NA,20.45347,-67.37167
2016-9-30,NA,17.22859,-51.66266
2016-10-1,NA,17.96556,-52.49319
2016-10-2,NA,20.46967,-66.75966
2016-10-3,NA,-44.80479,-68.04269
2016-10-4,NA,11.90666,-68.44514
2016-10-5,NA,16.11772,-69.38514
2016-10-6,NA,13.64565,-68.4648
2016-10-7,NA,15.24771,-66.86954
2016-10-9,NA,11.38168,-69.10474
2016-10-10,NA,12.61042,-70.65519
2016-10-11,NA,16.94525,-70.25674
2016-10-12,NA,18.53409,-64.88215
2016-10-13,NA,12.86387,-70.81921
2016-10-14,NA,6.461644,-67.15501
2016-10-15,NA,5.954206,-59.1958
2016-10-16,NA,11.46638,-61.45494
2016-10-17,NA,26.07956,-70.79847
2016-10-18,NA,27.83457,-71.04522
2016-10-19,NA,28.56143,-68.76339
2016-10-20,NA,27.03089,-69.54421
2016-10-21,NA,15.52113,-68.29579
2016-10-22,NA,11.00016,-68.78261
2016-10-23,NA,10.82828,-71.57224
2016-10-24,NA,21.58377,-68.74266
2016-10-25,NA,11.91333,-70.7222
2016-10-26,NA,13.5435,-70.39574
2016-10-27,NA,14.16995,-66.90794
2016-10-28,NA,15.76028,-69.33427
2016-10-29,NA,25.29407,-69.12483
2016-10-30,NA,19.02052,-70.23116
2016-10-31,NA,15.66275,-69.98946
2016-11-1,NA,14.98755,-68.0399
2016-11-2,NA,26.59363,-71.33543
2016-11-3,NA,23.90022,-71.1368
2016-11-4,NA,14.36142,-69.80824
2016-11-5,NA,12.94488,-70.20782
2016-11-6,NA,14.89325,-70.881
2016-11-7,NA,14.39148,-69.83203
2016-11-8,NA,14.0977,-69.22033
2016-11-9,NA,14.30404,-67.83915
2016-11-10,NA,13.45196,-67.77534
2016-11-11,NA,14.7042,-69.1243
2016-11-12,NA,9.877041,-61.81486
2016-11-18,NA,23.46358,-71.68427
2016-11-19,NA,22.9761,-68.60197
2016-11-20,NA,4.498796,-52.64091
2016-12-1,NA,13.72904,-53.15517
2016-12-2,NA,8.790883,-50.85595
2016-12-18,NA,15.65209,-60.59557
2016-12-27,NA,18.21156,-70.80248
2016-12-28,NA,9.273886,-59.80637
2017-1-4,NA,13.16373,-62.77748
2017-1-12,NA,20.42919,-71.46205
2017-1-13,NA,10.2732,-71.08072
2017-1-14,NA,1.746071,-67.25313
2017-1-15,NA,7.180747,-53.08189
2017-1-18,NA,13.22827,-62.8525
2017-1-19,NA,10.64785,-55.2102
2017-1-25,NA,17.22211,-70.85878
2017-1-26,NA,13.63547,-69.05803
2017-1-27,NA,3.106774,-64.73878
2017-1-28,NA,7.532365,-65.8432
2017-1-29,NA,5.217588,-57.82827
2017-1-30,NA,2.303773,-53.58579
2017-2-2,NA,8.545841,-52.86182
2017-2-9,NA,9.243232,-51.25379
2017-2-18,NA,21.71523,-58.50883
2017-5-25,NA,19.75698,-62.56652
2017-5-26,NA,13.85721,-67.0765
2017-5-27,NA,18.41885,-60.19355
2017-5-28,NA,18.10959,-68.72195
2017-5-29,NA,24.85028,-65.43593
2017-5-30,NA,22.78316,-67.56559
2017-5-31,NA,22.40792,-64.86494
2017-6-1,NA,20.40073,-62.98439
2017-6-4,NA,28.06549,-64.35162
2017-6-6,NA,20.19955,-66.86552
2017-6-7,NA,18.38102,-65.6503
2017-6-8,NA,15.39325,-67.83833
2017-6-9,NA,19.7315,-69.86713
2017-6-10,NA,22.37046,-69.58932
2017-6-11,NA,22.74685,-67.99013
2017-6-12,NA,23.76689,-66.92796
2017-6-13,NA,21.91727,-61.84954
2017-6-14,NA,22.23452,-63.09063
2017-6-15,NA,21.22574,-64.92519
2017-6-16,NA,-13.98679,-65.61129
2017-6-17,NA,-31.99843,-70.82938
2017-6-18,NA,30.07594,-68.77991
2017-6-19,NA,-14.67998,-65.30912
2017-6-20,NA,27.73846,-59.56189
2017-6-21,NA,21.93402,-68.91712
2017-6-22,NA,19.03411,-60.22979
2017-6-23,NA,27.45835,-59.56435
2017-6-24,NA,21.8357,-54.87471
2017-6-25,NA,23.54595,-62.37776
2017-6-30,NA,28.92784,-65.46829
2017-7-2,NA,27.27596,-69.5736
2017-7-3,NA,18.8649,-69.13089
2017-7-4,NA,-6.238404,-67.38003
2017-7-5,NA,20.438,-70.14832
2017-7-6,NA,-34.34273,-65.29568
2017-7-7,NA,30.13452,-66.80941
2017-7-8,NA,26.07409,-53.81178
2017-7-9,NA,24.48379,-63.22989
2017-7-10,NA,22.33237,-68.46745
2017-7-11,NA,21.19058,-60.19837
2017-7-12,NA,32.37162,-65.84058
2017-7-13,NA,25.06974,-68.07524
2017-7-14,NA,32.06744,-66.56915
2017-7-16,NA,24.03341,-58.21651
2017-7-17,NA,30.95773,-65.78107
2017-7-18,NA,27.58178,-65.14776
2017-7-19,NA,20.30416,-68.61995
2017-7-20,NA,21.86663,-68.42937
2017-7-21,NA,21.87514,-68.69682
2017-7-22,NA,29.82059,-64.49438
2017-7-23,NA,27.12046,-53.1004
2017-7-25,NA,18.51587,-58.69886
