STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,year,flag,flagdp
USC00443229,"FRONT ROYAL, VA US",1/11/2010,,,0,0,0,63,36,40,2010,,
USC00443229,"FRONT ROYAL, VA US",2/11/2010,,,0,0,0,53,31,31,2010,,
USC00443229,"FRONT ROYAL, VA US",3/11/2010,,,0,0,0,53,29,34,2010,,
USC00443229,"FRONT ROYAL, VA US",4/11/2010,,,0.39,0,0,55,32,45,2010,,
USC00443229,"FRONT ROYAL, VA US",5/11/2010,,,0.62,0,0,47,41,42,2010,,
USC00443229,"FRONT ROYAL, VA US",6/11/2010,,,0,0,0,52,34,34,2010,,
USC00443229,"FRONT ROYAL, VA US",7/11/2010,,,0,0,0,47,31,33,2010,,
USC00443229,"FRONT ROYAL, VA US",8/11/2010,,,0,0,0,50,29,31,2010,,
USC00443229,"FRONT ROYAL, VA US",9/11/2010,,,0,0,0,63,31,43,2010,,
USC00443229,"FRONT ROYAL, VA US",10/11/2010,,,0,0,0,66,38,38,2010,,
USC00443229,"FRONT ROYAL, VA US",11/11/2010,,,0,0,0,64,35,37,2010,,
USC00443229,"FRONT ROYAL, VA US",12/11/2010,,,0,0,0,62,31,31,2010,,
USC00443229,"FRONT ROYAL, VA US",13/11/2010,,,0,0,0,64,29,31,2010,,
USC00443229,"FRONT ROYAL, VA US",14/11/2010,,,0,0,0,64,30,34,2010,,
USC00443229,"FRONT ROYAL, VA US",15/11/2010,,,0,0,0,66,32,44,2010,,
USC00443229,"FRONT ROYAL, VA US",16/11/2010,,,0.1,0,0,56,42,48,2010,,
USC00443229,"FRONT ROYAL, VA US",17/11/2010,,,0.86,0,0,62,47,54,2010,,
USC00443229,"FRONT ROYAL, VA US",18/11/2010,,,0,0,0,56,39,44,2010,,
USC00443229,"FRONT ROYAL, VA US",19/11/2010,,,0,0,0,52,36,41,2010,,
USC00443229,"FRONT ROYAL, VA US",20/11/2010,,,0,0,0,54,34,39,2010,,
USC00443229,"FRONT ROYAL, VA US",21/11/2010,,,0,0,0,66,35,36,2010,,
USC00443229,"FRONT ROYAL, VA US",22/11/2010,,,0,0,0,66,35,43,2010,,
USC00443229,"FRONT ROYAL, VA US",23/11/2010,,,0,0,0,67,42,51,2010,,
USC00443229,"FRONT ROYAL, VA US",24/11/2010,,,,0,0,,,,2010,,
USC00443229,"FRONT ROYAL, VA US",25/11/2010,,0.03,,0,0,47,35,41,2010,,
USC00443229,"FRONT ROYAL, VA US",26/11/2010,,,0,0,0,58,40,57,2010,,
USC00443229,"FRONT ROYAL, VA US",27/11/2010,,,0,0,0,58,33,35,2010,,
USC00443229,"FRONT ROYAL, VA US",28/11/2010,,,0,0,0,42,30,32,2010,,
USC00443229,"FRONT ROYAL, VA US",29/11/2010,,,0,0,0,48,25,26,2010,,
USC00443229,"FRONT ROYAL, VA US",30/11/2010,,,0.04,0,0,50,23,41,2010,,
USC00443229,"FRONT ROYAL, VA US",1/12/2010,,,1.46,0,0,62,40,61,2010,,
USC00443229,"FRONT ROYAL, VA US",2/12/2010,,,1.02,0,0,62,33,34,2010,,
USC00443229,"FRONT ROYAL, VA US",3/12/2010,,,0,0,0,37,29,29,2010,,
USC00443229,"FRONT ROYAL, VA US",4/12/2010,,,0,0,0,38,23,25,2010,,
USC00443229,"FRONT ROYAL, VA US",5/12/2010,,,0,0,0,39,23,29,2010,,
USC00443229,"FRONT ROYAL, VA US",6/12/2010,,,0,0,0,34,27,27,2010,,
USC00443229,"FRONT ROYAL, VA US",7/12/2010,,,0,0,0,30,24,24,2010,,
