"","Group.1","x"
"1",2011-01-05,3.668523
"2",2011-02-04,3.927928
"3",2011-02-05,5.660956
"4",2011-02-06,8.246126
"5",2011-02-07,7.380778
"6",2011-02-08,3.86143
"7",2011-02-09,-0.5847468
"8",2011-02-10,1.914613
"9",2011-02-11,7.0087
"10",2011-02-12,7.318558
"11",2011-02-13,13.70578
"12",2011-02-14,18.72144
"13",2011-02-15,8.099588
"14",2011-02-16,13.56933
"15",2011-02-17,21.90197
"16",2011-02-18,24.03259
"17",2011-02-19,14.04365
"18",2011-02-20,9.774737
"19",2011-02-21,9.352146
"20",2011-02-22,0.3247607
"21",2011-02-23,6.49347
"22",2011-02-24,6.361238
"23",2011-02-25,18.68132
"24",2011-02-26,8.082653
"25",2011-02-27,15.77277
"26",2011-02-28,23.11774
"27",2011-03-01,8.023691
"28",2011-03-02,16.4888
"29",2011-03-03,3.924572
"30",2011-03-04,8.667812
"31",2011-03-05,13.788
"32",2011-03-06,13.6833
"33",2011-03-07,33.03947
"34",2011-03-08,11.88644
"35",2011-03-09,9.971533
"36",2011-03-10,16.51043
"37",2011-03-11,9.586034
"38",2011-03-12,20.26589
"39",2011-03-13,18.61967
"40",2011-03-14,13.24747
"41",2011-03-15,11.64855
"42",2011-03-16,16.119
"43",2011-03-17,21.55691
"44",2011-03-18,27.79153
"45",2011-03-19,18.71722
"46",2011-03-20,10.67071
"47",2011-03-21,23.72053
"48",2011-03-22,18.23951
"49",2011-03-23,15.2494
"50",2011-03-24,9.037786
"51",2011-03-25,8.053526
"52",2011-03-26,7.079453
"53",2011-03-27,4.354502
"54",2011-03-28,7.870893
"55",2011-03-29,9.874829
"56",2011-03-30,7.451708
"57",2011-03-31,5.845469
"58",2011-04-01,8.457177
"59",2011-04-02,9.195248
"60",2011-04-03,14.21768
"61",2011-04-04,29.03488
"62",2011-04-05,22.45956
"63",2011-04-06,18.60444
"64",2011-04-07,21.56175
"65",2011-04-08,13.29394
"66",2011-04-09,8.745144
"67",2011-04-10,17.21336
"68",2011-04-11,28.93994
"69",2011-04-12,17.94962
"70",2011-04-13,13.07593
"71",2011-04-14,20.19024
"72",2011-04-15,19.80565
"73",2011-04-16,16.94025
"74",2011-04-17,19.42117
"75",2011-04-18,24.04032
"76",2011-04-19,17.79631
"77",2011-04-20,29.73495
"78",2011-04-21,16.80308
"79",2011-04-22,7.92476
"80",2011-04-23,21.53362
"81",2011-04-24,28.84163
"82",2011-04-25,28.9641
"83",2011-04-26,27.75455
"84",2011-04-27,26.66565
"85",2011-04-28,23.65381
"86",2011-04-29,18.24769
"87",2011-04-30,18.40903
"88",2011-05-01,16.11222
"89",2011-05-02,23.99597
"90",2011-05-03,26.70922
"91",2011-05-04,15.65005
"92",2011-06-03,23.33426
"93",2011-06-04,26.6581
"94",2011-06-05,25.45755
"95",2011-06-06,26.432
"96",2011-06-07,26.66389
"97",2011-06-08,32.59819
"98",2011-06-09,32.72875
"99",2011-06-10,29.82646
"100",2011-06-11,27.67562
"101",2011-06-12,29.40692
"102",2011-06-13,22.58645
"103",2011-06-14,21.25352
"104",2011-06-15,23.58456
"105",2011-06-16,23.77781
"106",2011-06-17,27.71829
"107",2011-06-18,26.80837
"108",2011-06-19,24.07552
"109",2011-06-20,23.16322
"110",2011-06-21,30.00256
"111",2011-06-22,28.25099
"112",2011-06-23,25.3862
"113",2011-06-24,26.20276
"114",2011-06-25,23.8739
"115",2011-06-26,25.08922
"116",2011-06-27,24.55932
"117",2011-06-28,29.93419
"118",2011-06-29,27.43674
"119",2011-06-30,26.1141
"120",2011-07-01,28.03244
"121",2011-07-02,29.49731
"122",2011-07-03,31.01266
"123",2011-07-04,26.4669
"124",2011-07-05,28.4412
"125",2011-07-06,28.18888
"126",2011-07-07,30.36125
"127",2011-07-08,27.09164
"128",2011-07-09,28.04508
"129",2011-07-10,29.01852
"130",2011-07-11,31.49186
"131",2011-07-12,31.6026
"132",2011-07-13,29.3624
"133",2011-07-14,24.6704
"134",2011-07-15,25.38755
"135",2011-07-16,26.50068
"136",2011-07-17,28.34826
"137",2011-07-18,30.55219
"138",2011-07-19,29.82364
"139",2011-07-20,31.32086
"140",2011-07-21,33.75158
"141",2011-07-22,35.19769
"142",2011-07-23,32.711
"143",2011-07-24,30.01966
"144",2011-07-25,30.61489
"145",2011-07-26,31.97302
"146",2011-07-27,29.95167
"147",2011-07-28,30.4097
"148",2011-07-29,34.57428
"149",2011-07-30,30.80665
"150",2011-07-31,32.40598
"151",2011-08-01,33.1489
"152",2011-08-02,32.86625
"153",2011-08-03,25.97521
"154",2011-08-04,28.52303
"155",2011-08-05,26.04939
"156",2011-08-06,28.16733
"157",2011-08-07,31.14371
"158",2011-08-08,30.46384
"159",2011-08-09,30.15279
"160",2011-08-10,29.94516
"161",2011-08-11,27.50335
"162",2011-08-12,27.62862
"163",2011-08-13,27.44613
"164",2011-08-14,28.02959
"165",2011-08-15,24.77706
"166",2011-08-16,28.26719
"167",2011-08-17,28.77738
"168",2011-08-18,30.29081
"169",2011-08-19,26.30247
"170",2011-08-20,29.12112
"171",2011-08-21,28.97455
"172",2011-08-22,26.37329
"173",2011-08-23,25.22469
"174",2011-08-24,28.17099
"175",2011-08-25,26.28192
"176",2011-08-26,28.8582
"177",2011-08-27,24.2973
"178",2011-08-28,26.80633
"179",2011-08-29,21.50172
"180",2011-08-30,25.45696
"181",2011-08-31,25.77633
"182",2011-09-01,24.94005
"183",2011-09-02,22.56587
"184",2011-09-03,27.41443
"185",2011-09-04,28.28006
"186",2011-09-05,22.88529
"187",2011-09-06,16.31697
"188",2011-09-07,19.6003
"189",2011-09-08,21.61341
"190",2011-09-09,26.12055
"191",2011-09-10,25.59186
"192",2011-09-11,25.48034
"193",2011-09-12,25.57802
"194",2011-09-13,26.75342
"195",2011-09-14,28.30182
"196",2011-09-15,19.66129
"197",2011-09-16,14.54583
"198",2011-09-17,15.21588
"199",2011-09-18,17.62298
"200",2011-09-19,17.68702
"201",2011-09-20,22.50364
"202",2011-09-21,21.74725
"203",2011-09-22,26.00089
"204",2011-09-23,21.59345
"205",2011-09-24,23.69
"206",2011-09-25,22.88531
"207",2011-09-26,24.63463
"208",2011-09-27,26.49417
"209",2011-09-28,23.40328
"210",2011-09-29,22.89915
"211",2011-09-30,21.6847
"212",2011-10-01,12.81854
"213",2011-10-02,9.084094
"214",2011-10-03,9.841134
"215",2011-10-04,16.54357
"216",2011-10-05,21.53123
"217",2011-10-06,19.48026
"218",2011-12-01,9.892041
"219",2011-12-02,14.78324
"220",2011-12-03,8.006132
"221",2011-12-04,12.26014
"222",2011-12-05,15.0566
"223",2011-12-06,15.91469
"224",2011-12-07,15.65749
"225",2011-12-08,5.969651
"226",2011-12-09,8.609388
"227",2011-12-10,6.564179
"228",2011-12-11,4.394212
"229",2011-12-12,5.729698
"230",2011-12-13,9.599221
"231",2011-12-14,9.332876
"232",2011-12-15,17.93053
"233",2011-12-16,17.66309
"234",2011-12-17,3.305618
"235",2011-12-18,4.237725
"236",2011-12-19,12.26499
"237",2011-12-20,12.0595
"238",2011-12-21,16.84012
"239",2011-12-22,15.37938
"240",2011-12-23,9.600219
"241",2011-12-24,5.72364
"242",2011-12-25,9.004838
"243",2011-12-26,8.339298
"244",2011-12-27,7.094679
"245",2011-12-28,6.497245
"246",2011-12-29,4.432968
"247",2011-12-30,11.72703
"248",2011-12-31,12.94867
"249",2012-01-01,11.93487
"250",2012-01-02,6.805345
"251",2012-01-03,-1.923154
"252",2012-01-04,-0.650716
"253",2012-01-05,8.509435
"254",2012-01-06,17.59292
"255",2012-01-07,17.49814
"256",2012-01-08,9.027609
"257",2012-01-09,2.196385
"258",2012-01-10,10.6579
"259",2012-01-11,4.962209
"260",2012-01-12,12.44218
"261",2012-01-13,10.34363
"262",2012-01-14,1.396303
"263",2012-01-15,0.01841219
"264",2012-01-16,4.834945
"265",2012-01-17,14.99913
"266",2012-01-18,14.0617
"267",2012-01-19,2.841098
"268",2012-01-20,2.566899
"269",2012-01-21,-0.5807448
"270",2012-01-22,-0.3037318
"271",2012-01-23,5.629751
"272",2012-01-24,13.32933
"273",2012-01-25,8.775271
"274",2012-01-26,10.54898
"275",2012-01-27,17.30066
"276",2012-01-28,12.29383
"277",2012-01-29,7.164069
"278",2012-01-30,8.130279
"279",2012-01-31,18.86808
"280",2012-02-01,19.77787
"281",2012-02-02,14.86142
"282",2012-02-03,9.557658
"283",2012-02-04,5.203433
"284",2012-02-05,3.275253
"285",2012-02-06,10.11289
"286",2012-02-07,12.30377
"287",2012-02-08,3.349621
"288",2012-02-09,6.868105
"289",2012-02-10,5.471604
"290",2012-02-11,2.05408
"291",2012-02-12,-2.135419
"292",2012-02-13,8.075918
"293",2012-02-14,9.893449
"294",2012-02-15,10.66329
"295",2012-02-16,7.939994
"296",2012-02-17,11.09729
"297",2012-02-18,15.06661
"298",2012-02-19,4.637177
"299",2012-02-20,8.195589
"300",2012-02-21,8.293382
"301",2012-02-22,15.81407
"302",2012-02-23,18.21394
"303",2012-02-24,15.40834
"304",2012-02-25,5.025653
"305",2012-02-26,7.935611
"306",2012-02-27,18.09308
"307",2012-02-28,12.43881
"308",2012-02-29,12.11734
"309",2012-03-01,19.43744
"310",2012-03-02,8.979457
"311",2012-03-03,14.96101
"312",2012-03-04,6.918656
"313",2012-03-05,4.957412
"314",2012-03-06,8.149739
"315",2012-03-07,18.84102
"316",2012-03-08,20.79035
"317",2012-03-09,18.16277
"318",2012-03-10,7.878014
"319",2012-03-11,16.76633
"320",2012-03-12,20.29251
"321",2012-03-13,26.65499
"322",2012-03-14,26.38265
"323",2012-03-15,28.10153
"324",2012-03-16,19.43089
"325",2012-03-17,23.49543
"326",2012-03-18,17.84624
"327",2012-03-19,23.33657
"328",2012-03-20,23.69139
"329",2012-03-21,17.98445
"330",2012-03-22,24.80306
"331",2012-03-23,26.21038
"332",2012-03-24,21.00188
"333",2012-03-25,14.96664
"334",2012-03-26,14.77606
"335",2012-03-27,12.3628
"336",2012-03-28,23.27177
"337",2012-03-29,18.8048
"338",2012-03-30,13.72235
"339",2012-03-31,19.55433
"340",2012-04-01,16.42905
"341",2012-04-02,16.79136
"342",2012-04-03,21.9958
"343",2012-04-04,24.33278
"344",2012-04-05,14.46207
"345",2012-04-06,15.47745
"346",2012-04-07,18.1462
"347",2012-04-08,21.41406
"348",2012-04-09,17.97345
"349",2012-04-10,17.74628
"350",2012-04-11,9.551948
"351",2012-04-12,13.88465
"352",2012-04-13,17.42188
"353",2012-04-14,22.94944
"354",2012-04-15,26.99795
"355",2012-04-16,29.50349
"356",2012-04-17,23.20419
"357",2012-04-18,11.45363
"358",2012-04-19,19.09872
"359",2012-04-20,19.85011
"360",2012-04-21,24.75843
"361",2012-04-22,10.65958
"362",2012-04-23,6.320789
"363",2012-04-24,15.15526
"364",2012-04-25,19.25691
"365",2012-04-26,19.54669
"366",2012-04-27,16.3662
"367",2012-04-28,11.33125
"368",2012-04-29,20.17578
"369",2012-04-30,15.75743
"370",2012-05-01,27.67486
"371",2012-05-02,26.43203
"372",2012-05-03,29.76975
"373",2012-05-04,25.62646
"374",2012-05-05,24.02561
"375",2012-05-06,19.63332
"376",2012-05-07,18.97008
"377",2012-05-08,20.533
"378",2012-05-09,21.20658
"379",2012-05-10,17.82071
"380",2012-05-11,20.89762
"381",2012-05-12,23.35893
"382",2012-05-13,24.13034
"383",2012-05-14,19.02344
"384",2012-05-15,23.68409
"385",2012-05-16,25.59186
"386",2012-05-17,19.76499
"387",2012-05-18,22.29234
"388",2012-05-19,24.4425
"389",2012-05-20,26.65088
"390",2012-05-21,20.96235
"391",2012-05-22,23.43955
"392",2012-05-23,24.12182
"393",2012-05-24,24.91299
"394",2012-05-25,26.12229
"395",2012-05-26,28.61518
"396",2012-05-27,28.46653
"397",2012-05-28,30.60736
"398",2012-05-29,29.83197
"399",2012-05-30,26.68727
"400",2012-05-31,25.22161
"401",2012-06-01,24.68996
"402",2012-06-02,21.01511
"403",2012-06-03,23.36745
"404",2012-06-04,21.962
"405",2012-06-05,17.14655
"406",2012-06-06,20.09938
"407",2012-06-07,24.17966
"408",2012-06-08,25.94269
"409",2012-06-09,28.96966
"410",2012-06-10,29.07104
"411",2012-06-11,25.99112
"412",2012-06-12,25.12341
"413",2012-06-13,24.35728
"414",2012-06-14,23.89021
"415",2012-06-15,23.63083
"416",2012-06-16,23.31757
"417",2012-06-17,23.45648
"418",2012-06-18,18.74586
"419",2012-06-19,29.50179
"420",2012-06-20,31.35845
"421",2012-06-21,31.91492
"422",2012-06-22,29.91055
"423",2012-06-23,27.58459
"424",2012-06-24,28.27427
"425",2012-06-25,27.21427
"426",2012-06-26,23.46002
"427",2012-06-27,27.57685
"428",2012-06-28,31.09467
"429",2012-06-29,35.23388
"430",2012-06-30,31.16703
"431",2012-07-01,32.08013
"432",2012-07-02,29.99408
"433",2012-07-03,31.28403
"434",2012-07-04,32.942
"435",2012-07-05,32.88572
"436",2012-07-06,32.04332
"437",2012-07-07,33.38663
"438",2012-07-08,33.92761
"439",2012-07-09,25.68776
"440",2012-07-10,28.15972
"441",2012-07-11,27.44291
"442",2012-07-12,26.65063
"443",2012-07-13,24.0115
"444",2012-07-14,26.80427
"445",2012-07-15,31.12136
"446",2012-07-16,30.51349
"447",2012-07-17,32.69506
"448",2012-07-18,33.53654
"449",2012-07-19,31.13526
"450",2012-07-20,25.13358
"451",2012-07-21,20.95725
"452",2012-07-22,26.51464
"453",2012-07-23,28.11387
"454",2012-07-24,29.63007
"455",2012-07-25,26.85131
"456",2012-07-26,33.90174
"457",2012-07-27,29.16794
"458",2012-07-28,29.75706
"459",2012-07-29,27.57604
"460",2012-07-30,28.68667
"461",2012-07-31,28.35163
"462",2012-08-01,28.25433
"463",2012-08-02,29.46093
"464",2012-08-03,29.10076
"465",2012-08-04,30.42835
"466",2012-08-05,30.35921
"467",2012-08-06,28.52873
"468",2012-08-07,28.19
"469",2012-08-08,29.6646
"470",2012-08-09,29.40855
"471",2012-08-10,26.91378
"472",2012-08-11,27.69737
"473",2012-08-12,26.11077
"474",2012-08-13,27.3395
"475",2012-08-14,27.55406
"476",2012-08-15,25.1694
"477",2012-08-16,27.74948
"478",2012-08-17,29.33242
"479",2012-08-18,25.44348
"480",2012-08-19,21.4361
"481",2012-08-20,24.15842
"482",2012-08-21,24.76249
"483",2012-08-22,26.04897
"484",2012-08-23,27.6762
"485",2012-08-24,26.60705
"486",2012-08-25,23.15166
"487",2012-08-26,24.74247
"488",2012-08-27,28.35937
"489",2012-08-28,28.41962
"490",2012-08-29,26.10873
"491",2012-08-30,27.2772
"492",2012-08-31,31.61386
"493",2012-09-01,30.11045
"494",2012-09-02,26.36237
"495",2012-09-03,25.99112
"496",2012-09-04,26.7074
"497",2012-09-05,28.37967
"498",2012-09-06,27.88832
"499",2012-09-07,29.5828
"500",2012-09-08,28.93383
"501",2012-09-09,23.53613
"502",2012-09-10,21.58327
"503",2012-09-11,22.31186
"504",2012-09-12,24.09697
"505",2012-09-13,24.45756
"506",2012-09-14,25.00988
"507",2012-09-15,21.94483
"508",2012-09-16,19.95315
"509",2012-09-17,21.60267
"510",2012-09-18,22.68878
"511",2012-09-19,18.48155
"512",2012-09-20,20.83618
"513",2012-09-21,24.08191
"514",2012-09-22,27.10574
"515",2012-09-23,17.76452
"516",2012-09-24,17.91178
"517",2012-09-25,21.02855
"518",2012-09-26,26.22759
"519",2012-09-27,25.71274
"520",2012-09-28,22.30502
"521",2012-09-29,18.90513
"522",2012-09-30,20.94641
