"","Group.1","x"
"1",2011-01-05,3.668523
"2",2011-02-04,0.7471935
"3",2011-02-05,0.3813692
"4",2011-02-06,-0.9195327
"5",2011-02-07,-2.911019
"6",2011-02-08,-6.137581
"7",2011-02-09,-9.966474
"8",2011-02-10,-8.16435
"9",2011-02-11,-9.518566
"10",2011-02-12,-4.413717
"11",2011-02-13,-1.205095
"12",2011-02-14,4.799481
"13",2011-02-15,-2.612744
"14",2011-02-16,0.001027121
"15",2011-02-17,5.899782
"16",2011-02-18,9.674113
"17",2011-02-19,3.025889
"18",2011-02-20,-3.975865
"19",2011-02-21,-1.280505
"20",2011-02-22,-4.979406
"21",2011-02-23,-2.758632
"22",2011-02-24,0.8837473
"23",2011-02-25,1.567151
"24",2011-02-26,-0.4363201
"25",2011-02-27,1.380433
"26",2011-02-28,4.650598
"27",2011-03-01,-2.03245
"28",2011-03-02,0.4200139
"29",2011-03-03,-5.957597
"30",2011-03-04,-2.965894
"31",2011-03-05,3.624673
"32",2011-03-06,1.179075
"33",2011-03-07,-2.410816
"34",2011-03-08,-3.302401
"35",2011-03-09,3.491657
"36",2011-03-10,8.992462
"37",2011-03-11,2.317265
"38",2011-03-12,1.029799
"39",2011-03-13,4.120143
"40",2011-03-14,1.687362
"41",2011-03-15,4.478118
"42",2011-03-16,4.500079
"43",2011-03-17,-3.006271
"44",2011-03-18,11.14494
"45",2011-03-19,4.572019
"46",2011-03-20,0.4419131
"47",2011-03-21,5.524382
"48",2011-03-22,9.087505
"49",2011-03-23,7.005481
"50",2011-03-24,-0.7047554
"51",2011-03-25,-3.596207
"52",2011-03-26,-3.035863
"53",2011-03-27,-2.261807
"54",2011-03-28,-4.572229
"55",2011-03-29,-4.596822
"56",2011-03-30,3.176399
"57",2011-03-31,2.222487
"58",2011-04-01,1.226259
"59",2011-04-02,1.324719
"60",2011-04-03,0.005095911
"61",2011-04-04,8.152047
"62",2011-04-05,2.695981
"63",2011-04-06,0.2189901
"64",2011-04-07,3.017345
"65",2011-04-08,5.496711
"66",2011-04-09,5.326268
"67",2011-04-10,6.351119
"68",2011-04-11,14.5806
"69",2011-04-12,11.26901
"70",2011-04-13,6.449
"71",2011-04-14,4.03188
"72",2011-04-15,5.447831
"73",2011-04-16,9.132104
"74",2011-04-17,5.647627
"75",2011-04-18,7.742163
"76",2011-04-19,11.17708
"77",2011-04-20,13.57535
"78",2011-04-21,6.279706
"79",2011-04-22,4.910871
"80",2011-04-23,6.302084
"81",2011-04-24,14.27145
"82",2011-04-25,16.23583
"83",2011-04-26,18.30295
"84",2011-04-27,19.17546
"85",2011-04-28,10.6368
"86",2011-04-29,9.401805
