Date,Harvard_Forest,Huai_Kha_Khaeng,Lilly_Dickey_Woods,Scotty_Creek,Smithsonian_Conservation_Biology_Institute,Utah_Forest_Dynamics_Plot,Zofin,BCI
1/16/1901,NA,NA,NA,NA,NA,NA,NA,
2/15/1901,NA,NA,NA,NA,NA,NA,NA,
3/16/1901,NA,NA,NA,NA,NA,NA,NA,
4/16/1901,NA,NA,NA,NA,NA,NA,NA,
5/16/1901,NA,NA,NA,NA,NA,NA,NA,
6/16/1901,0.495350925,0.015479259,-1.316222436,-0.420791242,1.397598928,-0.134539105,-0.563840673,
7/16/1901,1.145805715,-0.015260949,-1.602293002,-1.569751471,1.744911586,-0.429488595,-0.038829179,
8/16/1901,1.880860559,0.037599366,-1.392676546,-1.951327162,2.571408026,-0.044930526,-0.193871802,
9/16/1901,1.283944245,0.024872495,-1.741699746,-2.089082074,2.244406055,-0.344286792,-0.386411415,
10/16/1901,0.690479553,0.247456178,-1.501432554,-2.059891731,1.246610895,-0.451165142,-0.649831683,
11/16/1901,-0.461955788,0.060170545,-1.507254805,-1.972517959,0.758429409,-0.702779759,-0.471084994,
12/16/1901,1.144416043,0.150840373,-1.32382035,-2.1733086,1.159525869,-0.551052851,-0.187224942,
1/16/1902,0.65730128,0.225957679,-1.115191342,-1.640774533,0.886840207,-0.154971434,-0.6685942,
2/15/1902,0.522180873,0.172154419,-1.490249127,-1.205515087,0.492213674,-1.5853697,-0.601150791,
3/16/1902,1.149435995,0.154637241,-1.416409536,-0.36536254,0.749704291,-0.982456662,-0.06866983,
4/16/1902,1.302901238,-0.309148676,-1.782553293,0.779734871,1.230530683,-1.166938998,-0.52764192,
5/16/1902,1.384553166,-0.926358347,-1.314538547,2.386788722,1.200788598,-1.012505576,0.005392042,
6/16/1902,0.088937506,-1.408199336,-1.103010509,0.809462364,0.326473896,-1.332105019,0.09612326,
7/16/1902,0.546658944,-1.912295763,-0.72422703,0.619321226,0.042790472,-1.673262487,-0.018719441,
8/16/1902,0.602462842,-1.85633864,-0.635661078,0.169069939,-0.822087954,-1.31018694,-0.049419351,
9/16/1902,0.507344787,-1.351727837,-0.040917556,0.59607529,-0.846877705,-1.533281778,-0.409633562,
10/16/1902,0.669770414,-1.360461698,0.273993192,-0.048676714,-0.282585961,-1.674847515,-0.046834197,
11/16/1902,0.350729815,-1.001154425,0.482578648,-1.036968033,0.269125473,-0.722420638,-0.914695729,
12/16/1902,0.910954947,-0.651538658,0.2837254,-0.501276826,0.492659952,-0.472511171,-0.745612006,
1/16/1903,0.789525669,-0.086593583,0.362444329,-0.308218821,0.947654433,-0.347654026,-0.666749433,
