"Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es."
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.00676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.91185,-1.38579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.31755,-1.07559,-0.95524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.78375,1.62524,0.72291,0.58442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.20531,1.96746,1.91436,1.25237,1.11439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.24636,1.55249,2.07066,2.08397,1.53319,1.40686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.16562,1.03762,1.36323,1.94932,1.97468,1.45244,1.34629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.56152,1.24454,1.62317,1.83614,2.25077,2.21131,1.78511,1.66067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.55804,1.3226,1.22537,1.61158,1.774,2.12304,2.11157,1.73677,1.64591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.66197,-0.77947,0.43237,0.39593,0.9348,1.18976,1.60141,1.62356,1.28854,1.21122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.20998,-1.31336,-0.79758,0.19474,0.18711,0.755,1.03726,1.43957,1.45629,1.14922,1.0912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4758,0.76622,-0.35414,-0.16823,0.66917,0.66375,1.09235,1.30366,1.62406,1.63668,1.37206,1.31581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.03222,0.9871,0.61718,-0.35882,-0.19517,0.60157,0.61396,1.05445,1.2763,1.60897,1.60878,1.35442,1.29273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3073,0.89353,1.35847,0.99787,0.16998,0.20823,0.88762,0.90463,1.26258,1.43236,1.72169,1.71483,1.48838,1.43208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.35431,1.13089,0.90629,1.27383,0.9864,0.26273,0.29972,0.91955,0.94161,1.27284,1.43802,1.71207,1.70339,1.4897,1.43583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.15346,0.01758,0.745,0.61438,1.07621,0.85014,0.17634,0.18785,0.80773,0.83273,1.17881,1.36342,1.64588,1.6413,1.42194,1.37541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.02794,-1.00943,-0.75676,-0.00322,-0.01804,0.55008,0.42485,-0.21608,-0.15863,0.43493,0.45199,0.8785,1.10993,1.41737,1.42901,1.20199,1.15909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.06323,-0.71583,-0.75772,-0.63427,-0.05119,-0.06605,0.4011,0.2965,-0.25146,-0.20302,0.34356,0.35164,0.77069,1.02223,1.36757,1.3816,1.13152,1.09128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.61297,-1.07035,-1.31345,-1.31464,-1.21237,-0.75131,-0.74875,-0.19968,-0.25852,-0.80373,-0.641,-0.12547,-0.10487,0.34297,0.64251,1.03157,1.0621,0.81355,0.7863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.30242,-1.26931,-1.04722,-1.27226,-1.29576,-1.20324,-0.81649,-0.81288,-0.31482,-0.36214,-0.85763,-0.71535,-0.2288,-0.20915,0.23778,0.53651,0.92263,0.95928,0.72148,0.69576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.21163,-0.54111,-1.34575,-1.19645,-1.39965,-1.39522,-1.30905,-0.93832,-0.9345,-0.44358,-0.47267,-0.98462,-0.81623,-0.30548,-0.29292,0.15787,0.46294,0.84183,0.87576,0.64003,0.60544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.72044,0.22281,-0.07932,-0.90861,-0.81553,-1.08834,-1.09171,-1.0247,-0.65248,-0.6544,-0.23088,-0.27004,-0.73798,-0.61982,-0.14676,-0.12587,0.28306,0.56059,0.90671,0.93502,0.71436,0.68187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.49522,0.70343,0.28408,0.0515,-0.66839,-0.61228,-0.9072,-0.92245,-0.85225,-0.49626,-0.50776,-0.12342,-0.17731,-0.61325,-0.53292,-0.08881,-0.06875,0.31419,0.56959,0.91247,0.93808,0.72725,0.69949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.14323,0.95858,1.0133,0.61298,0.4021,-0.26884,-0.23612,-0.56738,-0.60776,-0.53745,-0.19347,-0.21936,0.13367,0.06341,-0.36018,-0.30091,0.12496,0.12981,0.49209,0.72695,1.04342,1.06684,0.86585,0.83559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.72526,1.11049,1.04127,1.10514,0.7542,0.55751,-0.06184,-0.05311,-0.39153,-0.45524,-0.37458,-0.04531,-0.06314,0.27482,0.20832,-0.22211,-0.16389,0.24958,0.24564,0.58523,0.8022,1.11333,1.13164,0.93986,0.91039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.99404,1.05203,1.30441,1.18916,1.22886,0.92907,0.74096,0.19021,0.18828,-0.13577,-0.21486,-0.1333,0.16454,0.13645,0.4473,0.36259,-0.04944,-0.00028,0.39973,0.38611,0.69827,0.89636,1.18772,1.20092,1.01958,0.99317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.92023,1.25265,1.29564,1.41731,1.31383,1.36606,1.09803,0.94197,0.44345,0.42881,0.09012,0.01202,0.09226,0.36441,0.33212,0.60496,0.52395,0.13272,0.17866,0.55925,0.53724,0.82893,1.0109,1.27775,1.28821,1.12068,1.09237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.74024,1.05523,1.29243,1.3519,1.48487,1.37228,1.39938,1.18192,1.055,0.59022,0.57066,0.25477,0.17243,0.24396,0.48569,0.45066,0.70178,0.6147,0.24085,0.2742,0.64776,0.62385,0.90421,1.07765,1.34666,1.36327,1.19177,1.16443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.23719,0.25681,0.65983,0.98106,1.09828,1.27549,1.21574,1.29216,1.05289,0.9152,0.45349,0.46458,0.15779,0.08034,0.14538,0.39491,0.36229,0.616,0.53512,0.17002,0.19961,0.57532,0.55092,0.83229,1.01074,1.27887,1.29969,1.13079,1.10486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.74334,1.30916,1.3777,1.59524,1.66323,1.66607,1.7944,1.6841,1.68662,1.57946,1.51011,1.10108,1.02297,0.73102,0.64372,0.69342,0.88778,0.85381,1.05106,0.97362,0.66593,0.69193,1.01897,0.98818,1.19514,1.3262,1.54919,1.56511,1.41451,1.38926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.89409,1.08837,0.70661,0.87062,1.12919,1.30217,1.36205,1.49856,1.44567,1.49709,1.33116,1.24386,0.81675,0.76866,0.49499,0.42644,0.47776,0.69116,0.66859,0.87315,0.8037,0.47457,0.51393,0.84738,0.81923,1.04984,1.19654,1.42582,1.44709,1.29455,1.26644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.71656,-0.13975,1.12496,0.82221,0.96947,1.17635,1.3259,1.3752,1.50116,1.46143,1.50314,1.38107,1.32761,0.93201,0.88279,0.62295,0.5479,0.60089,0.80367,0.78082,0.9658,0.90228,0.58729,0.63001,0.94902,0.91898,1.13067,1.26212,1.48185,1.49872,1.35472,1.32499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.43788,0.05935,-0.52551,0.75096,0.52733,0.67646,0.88999,1.06468,1.13413,1.2779,1.27368,1.34144,1.20922,1.12761,0.7589,0.7447,0.50566,0.43404,0.48405,0.68465,0.65301,0.83417,0.7674,0.45105,0.48613,0.81159,0.7829,1.00216,1.13606,1.36969,1.38688,1.24252,1.21275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.44157,-0.15584,0.18364,-0.31891,0.80509,0.5991,0.70641,0.90721,1.0584,1.1189,1.26037,1.26729,1.34337,1.21322,1.13141,0.76891,0.74776,0.52419,0.4546,0.50407,0.68795,0.65863,0.83392,0.76842,0.46704,0.49932,0.8076,0.78562,0.99744,1.12915,1.35145,1.3711,1.2343,1.20888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.30451,-0.47767,-0.77407,-0.42466,-0.8019,0.33342,0.19526,0.3277,0.53923,0.72513,0.81404,0.97113,1.00261,1.10154,0.95651,0.84589,0.4711,0.47139,0.24505,0.18676,0.24311,0.44231,0.4182,0.60792,0.54619,0.25019,0.27587,0.59062,0.57351,0.8087,0.95152,1.1893,1.213,1.06941,1.04627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.34888,-1.71592,-1.06219,-1.16788,-0.84988,-1.15729,-0.0446,-0.12177,0.0507,0.26305,0.46613,0.56579,0.74396,0.79113,0.90494,0.74939,0.62029,0.24316,0.26018,0.04276,-0.00714,0.0467,0.25378,0.2271,0.43396,0.37816,0.0757,0.10211,0.42437,0.41173,0.66011,0.81588,1.0652,1.09028,0.94187,0.91921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.43222,-1.24113,-1.75023,-1.18122,-1.26213,-0.97614,-1.27521,-0.18159,-0.23457,-0.056,0.17035,0.3678,0.48126,0.66756,0.72387,0.83317,0.67548,0.54198,0.17164,0.18763,-0.03096,-0.079,-0.02315,0.18478,0.16163,0.37603,0.32579,0.02507,0.0572,0.37454,0.36224,0.61486,0.77262,1.02737,1.0516,0.90129,0.87909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.02095,-1.07834,-1.66596,-2.00447,-1.41757,-1.42987,-1.17623,-1.46083,-0.43275,-0.45843,-0.26925,-0.02964,0.17017,0.28995,0.49796,0.55552,0.67317,0.51793,0.37837,0.01323,0.03149,-0.17955,-0.22202,-0.16888,0.04078,0.02123,0.24402,0.19273,-0.10537,-0.07051,0.24697,0.23711,0.49888,0.66178,0.9253,0.94935,0.79701,0.77647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.68317,-1.31371,-1.43262,-1.71673,-2.09844,-1.62788,-1.57789,-1.3293,-1.62277,-0.6095,-0.63705,-0.43368,-0.19039,0.0189,0.14519,0.35791,0.42947,0.55571,0.4059,0.26191,-0.10248,-0.0736,-0.27801,-0.32272,-0.26741,-0.05382,-0.0788,0.15342,0.10434,-0.19311,-0.15454,0.17142,0.16511,0.42841,0.59747,0.86196,0.88917,0.73376,0.71214,NA,NA,NA,NA,NA,NA,NA,NA,NA
