,CHELSA v. 1.1,CRU-TS v3.23 Historic Climate Database ,Global Potential Evapo-Transpiration (Global-PET) dataset,PRISM,Tropical Rainfall Measuring Mission (TRMM) precipitation,WorldClim v. 1.4
Korup,0,1,1,0,1,1
Ituri,0,1,1,0,1,1
Rabi,0,1,1,0,1,1
Mpala,0,1,1,0,1,1
Wanang,0,1,1,0,1,1
Kuala Belalong,0,1,1,0,1,1
Dinghushan,0,1,1,0,1,1
Heishiding,0,1,1,0,1,1
Hong Kong,0,1,1,0,1,1
Jianfengling,0,1,1,0,1,1
Nonggang,0,1,1,0,1,1
Xishuangbanna,0,1,1,0,1,1
Mudumalai,0,1,1,0,1,1
Danum Valley,0,1,1,0,1,1
Lambir,0,1,1,0,1,1
Pasoh,0,1,1,0,1,1
Palanan,0,1,1,0,1,1
Bukit Timah,0,1,1,0,1,1
Sinharaja,0,1,1,0,1,1
Fushan,0,1,1,0,1,1
Kenting,0,1,1,0,1,1
Lienhuachih,0,1,1,0,1,1
Nanjenshan,0,1,1,0,1,1
Zenlun,0,1,1,0,1,1
Doi Inthanon,0,1,1,0,1,1
Huai Kha Khaeng,0,1,1,0,1,1
Khao Chong,0,1,1,0,1,1
Mo Singto,0,1,1,0,1,1
Haliburton Forest,0,1,1,0,1,1
Scotty Creek ,0,1,1,0,0,1
Harvard Forest,0,1,1,1,1,1
Lilly Dickey Woods,0,1,1,1,1,1
Santa Cruz,0,1,1,1,1,1
Smithsonian Conservation Biology Institute,0,1,1,1,1,1
Smithsonian Environmental Research Center ,0,1,1,1,1,1
Tyson Research Center,0,1,1,1,1,1
Wabikon Lake Forest,0,1,1,1,1,1
Wind River,0,1,1,1,1,1
Yosemite National Park,0,1,1,1,1,1
Ilha do Cardoso,0,1,1,0,1,1
Manaus,0,1,1,0,1,1
Amacayacu,0,1,1,0,1,1
La Planada,0,1,1,0,1,1
Yasuni,0,1,1,0,1,1
Barro Colorado Island,0,1,1,0,1,1
Cocoli,0,1,1,0,1,1
San Lorenzo/ Sherman,0,1,1,0,1,1
Luquillo,0,1,1,0,1,1
Laupahoehoe ,0,1,1,0,1,1
Palamanui,0,1,1,0,1,1
Badagongshan,0,1,1,0,1,1
Baotianman,0,1,1,0,1,1
Changbaishan,0,1,1,0,1,1
Donlingshan,0,1,1,0,1,1
Gutianshan,0,1,1,0,1,1
Tiantongshan,0,1,1,0,1,1
Zofin,0,1,1,0,1,1
Speulderbos,0,1,1,0,0,1
Wytham Woods,0,1,1,0,0,1
Utah Forest Dynamics Plot,0,1,1,1,1,1
Michigan Big Woods,0,1,1,1,0,1
"University of Maryland, Baltimore",0,1,1,1,1,1
Ngel Nyaki,0,1,1,0,1,1
Baishanzu,0,1,1,0,1,1
Daxinganling,0,1,1,0,1,1
