Basic Information:,,,,,,,,,,,Instrument/ meteorological station information:,,,,,,,,,,,Gridded Data Product Information:,,,,Data Product Information:,,,,,
Data.set.name,Site,Variable,Statistic,Data.Interval,Start.Date,End.Date,Ongoing?,Data.Type,Gap.Free?,Source.Type,Meteorological.Station.Name.(ID),latitude,longitude,elevation,Instrument.Location,Instrument.Distance.From.Plot(km),Station.Elevation.Relative.To.Plot,Instrument.Location.Description,Instrument.height.or.depth(m),n.instruments,instrument.type/model,Gridded.Data.Product.Name,Gridded.Data.Product.URL.or.citation,Gridded.Data.Product.Spatial.Resolution,Gridded.data.product.notes,Data.Availability,Data.URL.or.location,Data.Contact(s),Related.Publication(s).or.Metadata,Notes,Record.Last.Updated
Tropical Rainfall Measuring Mission (TRMM) precipitation,[ANY SITE <50 latitude],Precipitation,sum,"1 month, 1 year",1998.01.01,2014.12.31,N,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tropical Rainfall Measuring Mission (TRMM) Algorithm 3B43,http://trmm.gsfc.nasa.gov,0.25 degree,"Raw measurement interval is 3 hours. Algorithm 3B43 is executed once per calendar month to produce the single, best-estimate precipitation rate and RMS precipitation-error estimate field (3B43) by combining the 3-hourly merged high-quality/IR estimates with the monthly accumulated Global Precipitation Climatology Centre (GPCC) rain gauge analysis.",Open access ,https://github.com/forestgeo/Climate/tree/master/Gridded_Data_Products/TRMM%20precipitation%20data,Kristina Anderson-Teixeira (Smithsonian); Erika Gonzalez-Akre,"Liu Z, Ostrenga D, Teng W, Kempler S (2012) Tropical Rainfall Measuring Mission (TRMM) Precipitation Data and Services for Research and Applications. Bulletin of the American Meteorological Society, 93, 1317_1325.","Data were extracted for all ForestGEO sites current as of March 2017 (see 'ForestGEO_gridded climate data.csv' for list).  Comparison of TRMM data to local meteorological station data for CTFS-ForestGEO sites (Table 2 in Anderson-Teixeira et al., 2015) showed that TRMM data tended to systematically underestimate MAP at sites with high MAP, particularly those receiving >3000 mm yr-1.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,mean,"1 month, 1 year",1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,minimum,"1 month, 1 year",1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,maximum,"1 month, 1 year",1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Precipitation,sum,"1 month, 1 year",1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean - annual, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"mean diurnal range (Mean of monthly (max temp - min temp)), interannual mean ",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"isothermality (mean diurnal range/mean annual range*100), interannual mean ",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"seasonality (standard deviation*100), interannual mean ",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
CHELSA v. 1.1,[ANY SITE],Air Temperature ,"maximum - warmest month, interannual mean",,1979,2013,Y,Modeled/ Interpolated,Yes,gridded data product,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHELSA v. 1.1,http://chelsa-climate.org/,30 arc-seconds,CHELSA is based on a quasi-mechanistical statistical downscaling of the ERA interim global circulation model (http://www.ecmwf.int/en/research/climate-reanalysis/era-interim) with a GPCC bias correction (https://www.dwd.de/EN/ourservices/gpcc/gpcc.html).,Open access ,http://chelsa-climate.org/,NA,"Karger, D.N., Conrad, O., B_hner, J., Kawohl, T., Kreft, H., Soria-Auza, R.W., Zimmermann, N.E, Linder, H.P. & Kessler, M. (2016) Climatologies at high resolution for the Earth land surface areas. arXiv:1607.00217 [physics].","As of July 2017, data have not yet been downloaded for CTFS-ForestGEO sites. It would be valuable to download these data.",3/21/17
