Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,8.8333,8.8333,8.8333,8.8333,8.8333,8.8333,8.8333,8.8333,8.8333,8.8333,9.0917,8.7,9.15,9.0333,9.2167,9.1167,8.5917,8.5833,8.8667,8.85,9.1583,9.0083,8.7167,8.8083,8.8,8.2667,8.4083,8.8583,8.2667,8.3583,9.1583,8.8333,8.8667,9.275,8.7667,8.6583,9.0667,8.6667,9.375,8.2833,8.6083,9.225,9.3167,8.875,9.125,8.8083,9.0833,9.2417,8.9917,9.2,8.8333,8.825,8.7917,8.7583,8.7833,8.8333,8.8,8.7833,8.6917,8.8667,9.2417,8.8083
2,Ituri,11.375,11.592,11.967,11.367,11.575,11.408,11.6,11.4,11.383,11.2,11.008,11.375,11.267,11.3,11.75,11.492,11.542,11.642,11.608,11.408,12.033,11.308,11.733,11.7,11.283,11.367,11.242,11.225,11.425,11.183,11.392,11.025,11.292,11.767,11.092,11.225,11.758,11.967,11.433,11.325,11.825,11.342,11.433,11.45,11.742,11.642,11.508,11.533,11.542,11.792,11.5,11.467,11.217,11.35,11.575,11.392,11.408,11.292,11.408,11.542,11.392,11.508
3,Rabi,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.8167,6.7833,6.85,6.8833,6.8333,6.7917,6.7833,6.7833,6.8167,6.75,6.8333,6.8,6.75,6.8,6.825,6.7,6.6333,6.7833,6.6167,6.6667,6.8333,6.8,6.8,6.9167,6.7917,6.7333,6.8167,6.7667,6.95,6.6833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833,6.7833
4,Mpala,15.133,15.258,15.658,15.292,15.442,15.55,14.658,14.7,14.108,14.458,14.567,15.167,14.708,15.45,15.783,15.267,14.942,14.808,15.492,14.708,15.508,14.958,15.567,15.308,15.367,15.533,15.133,15.158,15.008,15.558,15.267,15.483,15.342,15.267,14.75,15.05,15.558,15.25,14.767,14.817,16.083,14.858,15.183,14.717,14.983,15.583,15.35,15.275,15.583,15.592,15.15,15.142,14.975,15.125,15.267,15.367,15.333,15.55,15.325,15.375,15.142,15.442
5,Wanang,9.125,9.0833,8.9333,8.95,8.8,9,8.95,8.95,9.125,9.05,9.2167,9.1833,9.5,9.0917,8.9083,8.8167,9.0083,9.0583,9.0667,9.075,9.4583,9.2917,9.1917,9.3167,9.0833,9.3,9.15,9.2083,9.2,9.2917,9.3583,9.45,9.2917,9.3333,9.425,9.475,9.175,9.1833,9.3333,9.3667,9.3167,9.275,9.1333,9.2167,9.2,9.3917,9.2417,9.1583,9.2167,9.1083,9.1667,9.225,9.2417,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225
6,Kuala Belalong,8.2833,7.775,8.5167,8.4,8.175,8.1083,8.225,8.075,8.1167,8.1917,8.1833,7.8583,7.7833,8.2833,8.5917,8.9,9.2417,9.2083,8.6333,8.6083,8.4833,8.6,8.3583,8.525,8.3833,8.275,7.875,8.2833,8.4167,8.4833,8.3833,8.4,8.1667,7.8417,8.1583,7.95,8.1,7.9417,8.0917,8.1917,8.075,8.3583,8.05,8.0167,7.8833,7.95,8.1167,7.9417,8,7.9833,7.9833,8.125,7.825,7.8667,7.825,7.7417,7.625,7.7417,7.7833,7.7667,7.8667,8.0667
7,Dinghushan,7.5917,8.1583,7.2667,7.8333,8.75,7.8833,7.225,7.9583,7.5333,8.0583,7.7667,8.675,8.9333,7.6167,7.875,8,7.7333,7.7333,7.6417,7.2833,8.25,7.5667,7.325,8.025,7.275,7.5917,8.3333,6.975,7.2833,7.4167,7.05,6.875,7.1917,6.8333,6.8583,7.8583,6.9333,7.0417,7.25,6.825,6.9083,7.0917,6.9417,6.8583,6.7917,7.2167,6.7,7.0667,7.3583,6.9833,6.8333,7.0083,7.75,7.875,6.9333,7.2583,7.2833,7.1333,7.175,6.8333,7.875,7.0917
8,Heishiding,7.925,8.275,7.2917,8.4,9.25,8.8083,7.6667,8.7083,8.1,8.6333,8.2833,9.125,9.2583,8.225,8.2583,8.5,8.4417,8.2833,8.35,7.7667,8.9583,8.0417,7.8917,8.4417,7.9667,8.125,8.9417,7.95,8.0667,8.225,7.7,7.5917,8.0667,7.8333,7.425,8.525,7.9417,7.825,8.0833,7.8167,8.1917,8.0917,8.1667,7.825,7.5167,8.1,7.5583,7.8333,7.9833,7.8583,7.4833,7.4083,8.2833,8.5333,7.825,8.2417,8.2333,8.0917,8.15,7.825,8.575,7.7167
9,Hong Kong,7.5667,7.625,6.9667,7.3083,7.5167,7.4917,7.1167,7.5,7.2167,7.325,7.55,7.8083,7.6833,6.9083,6.9167,6.9833,6.7833,6.5833,6.8083,6.625,6.9583,6.6083,6.7083,6.9417,6.425,6.8917,7.1917,6.6083,6.975,6.8417,6.5583,6.2833,6.2167,6.2417,6.2417,6.6167,6.4917,6.5917,6.5833,6.4,7.1667,7.125,7.2167,7.0167,7,6.95,6.8083,7.0833,7.2667,6.8333,7.1667,6.9167,6.9667,6.9833,6.3917,6.425,6.475,6.4,6.3833,6.2333,6.7583,6.2833
10,Jianfengling,7.5417,7.8833,7.8333,8.1833,8.2917,7.7917,7.2,7.325,7.075,6.9667,7.275,6.8833,6.925,6.575,6.575,6.7583,7.125,7.4083,7.65,6.9917,7.2667,6.825,7.0917,7.1,6.8583,7.075,7.2333,7.0833,7.5083,7.1583,6.9583,7.1,7.125,7.325,6.7333,6.7167,6.7917,6.8667,6.8833,6.4167,7.0583,6.7083,6.9583,6.6833,6.6833,6.7083,6.7083,6.6333,6.4583,6.1083,6.3167,6.1833,6.75,6.4167,6.8083,7.1083,7.075,6.9083,6.1167,6.2667,5.9417,6.1917
