site,tmp,tmn,tmx,drt,frs,vap,pet_sum,pre,wet,cld,Months with PPT<PET,Precipitation Seasonality (CV),Mean Jan Temperature ,Mean July Temperature,Min T of Coldest month ,Max T of Warmest month,,
Mpala,0.192176659,0.198610464,0.231854892,0.088523306,2.159735608,0.217941421,866.4708803,31819.61974,397.2458731,4.070648428,0,0,1.43898463,301.2167633,0.395625679,0.311020028,0.428126844,0.537034622
Ituri_(Edoro_and_Lenda),0.210583997,0.219423528,0.217040687,0.031217747,0,0.553474163,423.9672077,29871.53443,71.3673927,1.920156856,0,0,2.684365782,89.36300182,0.458684211,0.288111318,0.234789629,0.630837603
Wanang,0.063903552,0.055558316,0.078567036,0.012791621,0,0.09167637,392.1059432,138651.0136,129.6300769,3.015425335,0,0,0.935025617,95.82395083,0.133553796,0.185297314,0.174191119,0.123040677
Kuala_Belalong,0.076270248,0.120156549,0.069734303,0.074704158,0,0.289001088,597.9959261,304689.6972,359.9053584,2.589279205,0,0,0.570097811,129.7515017,0.234386741,0.106086788,0.141040211,0.145865549
Danum_Valley,0.121619492,0.219641258,0.088625564,0.131144146,0,0.486793566,595.9365417,172225.1348,492.9592885,3.175160393,0,0,1.676447757,171.3059304,0.23508539,0.146943798,0.232340475,0.180704859
Lambir,0.072063064,0.10882297,0.072809131,0.074454579,0,0.266895992,591.4683877,280839.3922,302.01603,2.605733431,0,0,1.003959013,188.9490733,0.24201211,0.111638721,0.130541841,0.13049837
Pasoh,0.22420134,0.281297897,0.238588578,0.142528641,0,0.572724694,1013.825409,111139.577,166.5014593,2.799349717,0,0,2.455208819,140.9968335,0.356771464,0.294740723,0.265378823,0.378674119
Palanan,0.190191913,0.230376004,0.228992824,0.156295245,0,0.279571085,1224.27312,274749.4883,324.4645194,2.947271155,0,0,1.723723024,257.3759713,0.587167365,0.344419345,0.45577783,0.471815712
Bukit_Timah,0.214649554,0.256662683,0.207230982,0.067010665,0,0.472605358,952.5992618,137825.8662,136.2643879,3.038266962,0,0,2.14159292,161.9130213,0.335916783,0.338108989,0.256702375,0.322521348
Sinharaja,0.169109524,0.161443422,0.186020006,0.017603159,0,0.40496345,720.6339396,232387.8312,258.3619238,0.822256815,0,0,1.754463593,174.7058406,0.374258655,0.268185064,0.328417948,0.303211458
Manaus,0.173348843,0.223044779,0.194660249,0.138380196,0,0.423590588,543.6622233,90815.70153,208.1005917,0.312066347,0,0,1.247709983,102.7367606,0.354153858,0.354833877,0.26805465,0.556668995
Amacayacu,0.10180424,0.096815998,0.109136112,0.005727851,0,0.271128216,696.8876611,87606.3804,112.3578447,1.767290044,0,0,0.440614811,65.10226073,0.249889769,0.284822233,0.166809502,0.390781711
Yasuni,0.07713026,0.087219807,0.162442275,0.19005917,0,0.259773311,3721.742121,227189.5764,232.9589438,6.870548078,0,0,0.799642913,81.50530624,0.233280546,0.187784506,0.174081664,0.30763546
Scotty_Creek,1.190796115,1.348549979,1.21927017,0.359291027,77.20430616,0.064949892,800.2506886,4926.895277,120.870139,5.995859446,0,0,0.897686695,367.6412012,15.82061481,1.231377892,11.51029033,1.550818972
Korup,0.110458677,0.118570707,0.118506939,0.030891322,0,0.347907545,203.3000248,110184.282,98.55515085,0.865440909,0,0,0.674196553,64.57190359,0.395323707,0.181338302,0.363210682,0.418162552
Khao_Chong,0.132893637,0.184074705,0.140999613,0.117674188,0,0.231354242,682.3359261,114764.6284,106.0019802,2.799520304,0,0,1.039279615,156.0391827,0.47538581,0.13506676,0.604952647,0.397531439
Barro_Colorado_Island_(BCI),0.103681348,0.204996598,0.143663941,0.284834378,0,0.557636803,2173.832244,134902.3929,188.1870901,5.077923438,0,0,0.211845987,90.90789976,0.228343425,0.230013973,0.262400248,0.266107747
Cocoli,0.112804586,0.204753015,0.154418423,0.267569008,0,0.55310438,2110.478849,41337.55876,124.8156026,5.322192573,0,0,0.604021115,55.68688419,0.250968017,0.256724887,0.268008073,0.306794752
San_Lorenzo/_Sherman,0.103681348,0.204996598,0.143663941,0.284834378,0,0.557636803,2173.832244,134902.3929,188.1870901,5.077923438,0,0,0.211845987,90.90789976,0.228343425,0.230013973,0.262400248,0.266107747
Luquillo,0.332073673,0.360599976,0.396217634,0.184763365,0,0.630434909,2094.735128,231278.5321,131.5752881,1.542026708,0,0,2.06000621,145.4631322,0.377900947,0.484868809,0.535935414,0.453129172
Kenting,0.257513175,0.343776113,0.247972041,0.150658844,0,0.282651401,NaN,295603.6439,216.8387424,9.509573371,0,0,NaN,276.1731293,0.798870517,0.430954821,0.897976246,0.453010402
Rabi,0.076850693,0.075009294,0.079194726,0.001412204,0,0.179310758,167.3352088,103521.1665,73.30838034,0.537694894,0,0,0.557056358,97.45189897,0.132221705,0.181624748,0.168949697,0.172765875
Jianfengling,0.214589851,0.324532471,0.200132398,0.189551986,0,0.403009151,2732.338653,186557.5853,67.08447003,9.901090567,0,0,2.370439373,414.783894,1.955423071,0.245570564,1.737479429,0.307076541
Mudumalai,0.165189455,0.165588143,0.195662401,0.060237115,0,0.393340174,567.5077131,41933.63523,34.16818448,1.812977114,0,0,1.5050458,150.6002046,0.457798478,0.266322,0.492892408,0.363506443
Nanjenshan,0.267964758,0.333922231,0.268291846,0.13132069,0,0.291050028,3844.509602,198417.7254,130.8072358,10.68605127,0,0,2.297857476,385.7110162,0.81968716,0.485127309,0.986853749,0.469049061
Doi_Inthanon,0.185466866,0.252033118,0.243628798,0.248565807,0.20843227,0.14976061,1134.696973,27357.03899,67.73040842,8.512019317,0,0,0.486880919,92.61373849,0.979950318,0.299426331,1.330970346,0.883900016
Huai_Kha_Khaeng_(HKK),0.149774324,0.166248474,0.205633162,0.143490039,3.51E-06,0.220727027,1094.840863,51997.59566,86.88697885,6.417018514,0,0,0.576308027,145.7400354,1.214308337,0.25637401,1.598332557,0.644993014
Mo_Singto,0.227340604,0.30783305,0.235482521,0.172961912,0,0.278701461,1287.053666,63971.14464,55.19046394,5.150281169,0,0,0.748408632,101.2456721,1.722223257,0.289790405,1.990821301,0.600891166
Dinghushan,0.176483702,0.285582752,0.200147816,0.266610478,1.715750877,0.401987118,2333.55265,86883.74925,169.3591638,9.030700245,0,0,1.949386741,180.0669938,2.202081199,0.348343425,2.030614035,0.360674585
Heishiding,0.159978954,0.226266151,0.217172007,0.244635436,4.034436951,0.41107137,1981.381271,73148.59768,159.095526,8.534097605,0,0,2.010945505,168.1567742,2.318712156,0.317267505,2.044244683,0.389200435
Fushan,0.273185091,0.340613647,0.250348834,0.08719812,0.033556311,0.269518816,3860.931902,121718.4268,319.894712,13.43408244,0,0,1.84761683,303.0446541,1.112740258,0.474081664,1.19520649,0.471380997
Lilly_Dickey_Woods,0.617162627,0.822572431,0.678799924,0.53218874,141.8327324,0.205229374,3693.064096,26729.84657,66.53854936,6.961789345,0,0,2.356233504,160.3069623,9.294191119,1.68345288,7.359379755,2.04430368
Smithsonian_Conservation_Biology_Institute_(SCBI),0.499984631,0.534371151,0.803911363,0.667579682,119.2310763,0.188623515,4002.196197,26190.53053,90.04841248,4.483239274,0,0,2.924080112,131.1729898,6.828197485,1.22041919,4.833320913,1.955966465
Smithsonian_Environmental_Research_Center_(SERC),0.486545697,0.582553671,0.53363013,0.280778843,138.2282527,0.203002494,3146.164835,31766.29468,84.21710076,3.382577498,0,0,2.753299177,124.4745808,6.666241267,1.078770377,4.856249806,1.205791803
Tyson_Research_Center,0.69939321,0.625327551,0.994294752,0.434636896,119.5308123,0.220689814,5560.163935,31181.09066,95.31552961,5.807760549,0,0,3.212311753,172.2547939,9.089368111,2.031454743,6.379217513,2.836587486
Ilha_do_Cardoso,0.576874558,0.774226375,0.471488797,0.20100757,0.001333644,1.117977971,NaN,162778.3448,241.2293867,0.457767325,0,0,NaN,141.9803615,1.03508539,1.662174352,1.349368111,0.787167365
Badagongshan,0.217758737,0.233662135,0.320705161,0.231395358,58.29368716,0.199677198,1140.912219,37390.30111,172.5493677,8.610662644,0,0,2.423536718,193.9605604,1.800791803,0.933261916,1.486145009,1.290235212
Gutianshan,0.224804227,0.224460385,0.374434461,0.296972417,62.53530085,0.289653958,2999.71085,80022.00416,146.8726824,9.739513172,0,0,2.292190654,211.6641328,2.030719609,0.985223568,1.574597112,1.221285515
Tiantongshan,0.239985941,0.353373015,0.257054142,0.258547483,56.68155209,0.190931452,1784.605242,44952.75635,123.5599084,11.47443621,0,0,2.856466387,164.5900259,1.729212855,0.81655954,1.600202608,0.623251048
