sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,155.09,161.35,164.93,160.91,153,155.36,144.69,144.5,162.04,142.12,156.5,168,145.8,156.84,145.34,172.18,164.9,129.13,133.02,128.26,113.38,129.3,157.35,135.7,137.84,156.68,138.88,125.98,151.28,164.49,132.01,139.19,137.21,114.86,162.43,175.3,149.45,123.49,124.05,164.79,140.24,118.45,104.35,140.93,104.41,98.43,145.17,121.29,121.85,103.35,168.13,116.42,148.33,131.5,127.2,133.15,163.36,132.74,150.86,172.76,185.57,150.45,178.3,152.02,149.12,145.23,175.5,185.83,157.75,144.81,124.4,150.08,140.3,126.21,126.81,117.76,150.27,181.42,187.02,105.85,126.84,151.29,130.03,128.06,139.8,125.15,126.04,154.86,145.26,170.46,134.21,159.56,188.08,154.09,126.68,133.94,171.99,166.19,133.67,117.27,138.5,154.53,143.83,163.44,147.61,168.06,161.35,152.94,153.51,154.86,144.84,170.84,171.01,154.58
Ituri_(Edoro_and_Lenda),154.53,169.52,161.5,166.64,165.56,173.84,162.7,153.29,163.79,155.75,156.49,149.85,142.88,162.8,155.28,164.33,156.57,158.34,177.84,157.3,149.46,161.73,168.9,165.89,156.4,151.38,154.65,150.33,164.36,158.57,160.61,154.94,165.79,154.9,163.7,160.4,170.39,144.33,163.15,155.17,167.67,162.33,150.04,159.06,147,152.82,164.83,167.2,150.37,149.03,156.54,147.76,156.51,158.58,173.96,160.82,175.07,162.31,160.04,162.69,168.13,172.86,179.34,158.51,156.76,162.72,148.83,157.52,172.68,160.55,144.98,159.97,140.47,154.53,156.42,165.3,164.24,156.29,157.26,143.48,157.98,167.69,143.76,161.66,160.89,173.4,166.11,179.96,168.33,168.43,167.22,167.24,166.53,162.93,152.41,160.27,167.13,158.3,155.33,145.8,157.13,177.48,169.39,162.56,145.49,170.82,163.22,159.58,164.96,172.98,165.52,164.87,169.33,166.5
Wanang,234.69,230.08,230.55,231.52,228.2,232.13,228.42,234.85,231.12,233.17,230.9,235.11,232.01,227.39,234.34,244.12,250.62,207.42,233.42,249.37,241.82,230.97,218.44,226.33,207.12,235.95,234.19,238.85,238.17,231.59,211.8,219.92,246.18,218.44,239.36,246.77,225.73,249.07,252.04,236.62,202.12,230.87,238.68,224.73,231.91,237.34,233.04,253.45,237.13,226.31,226.57,241.18,230.39,224.96,228.6,221.37,220.22,228.02,230.25,246.19,246.3,237.48,224.31,232.5,213.3,240.27,237.75,226.78,236.48,239.58,237.15,186.21,246.45,234.51,237.29,213.15,236.8,225.64,223.83,220.95,227.48,224.26,223.88,223.48,234.83,227.27,191.88,236.56,241.49,232.7,221.35,209.62,202.12,207.93,228.81,238.64,222.98,232.99,233.56,232.83,233.75,233.66,233.3,233.56,233.59,233.48,237.38,235.29,238.03,236.57,234.77,235.26,233.69,234.2
Kuala_Belalong,238.42,252.63,217.48,235.5,209.57,219.05,238.53,249.87,236.3,260.99,217.02,208.26,238.12,202.42,219.76,249.25,240.22,249.44,222.09,239.01,254.83,256.37,247.96,246.63,255.89,231.87,261.37,263.86,246.35,206.11,213.83,257.6,255.11,281.74,233.06,255.63,236.51,256.53,245.4,234.71,231.87,240.04,232.82,234.67,251.84,232.28,238.66,230.94,247.78,235.94,238.02,259.14,247.7,262.69,260.67,265.78,231.39,218.14,228.61,237.88,222.73,248.37,228.45,209.59,212.8,243.8,239.74,211.22,231.76,230.22,245.67,204.6,231.18,243.4,243.65,230.37,235.89,213.32,233.24,249.28,230.83,203.49,205.79,273.73,229.59,238.46,214.31,258.32,232.35,213.08,206.77,190.05,214.25,225.79,245.27,251.2,205.62,201.3,263.75,259,246.7,207.53,228.09,211.12,251.63,270.86,250.94,268.18,255.07,253.42,267.72,239.98,258.12,253.2
Danum_Valley,234.85,250.91,186.01,226.77,169.76,194.61,232.78,245.13,219.68,247.01,229.92,189.17,218.62,179.66,192.75,245.77,233.67,248.14,204.05,225.74,268.5,259.83,246.81,232.27,260.74,236.04,238.15,261.08,237.74,214.06,211.92,249.48,236.08,272.84,230.32,250.32,229.4,274.34,247.73,218.25,237.31,235.95,234.87,233.38,242.35,233.52,228.76,226.13,216.92,243.43,227.48,245.8,235.52,251.81,257.22,266.57,213.67,212.73,231.43,239.48,226.31,256.46,228.83,215.95,213.69,234.84,236.96,212.03,221.31,233.33,240.98,212.37,221.43,249.59,251.36,228.44,228.38,227.6,214.97,246.41,221.29,196.43,197.47,257.51,222.3,236.73,200.21,250.83,225.06,229.04,204.62,190.34,208.7,229.45,235.24,253.18,191.95,182.63,265.66,258.17,248.5,190.97,219.22,187.29,244.44,254.77,248.22,268.11,231.28,226.7,259.55,271.53,249.45,235.03
Lambir,243.11,254.09,226.11,243.3,221.61,228.53,245,260.04,244.51,268.14,221.46,217.72,249.34,207.03,225.58,252.46,250.75,252.31,225.02,239.34,252.34,254.54,248.59,251.88,267.02,235.49,263.54,264.08,248.54,212.33,219.9,259.55,261.23,281.57,246.88,264.68,255.33,267.78,257.6,237.78,224.48,245.14,241.04,237.98,259.95,235.57,242.44,231.8,249.52,239.42,240.74,256.3,248.47,266.94,260.64,263.85,234.59,221.62,234.5,241.24,232.56,249.31,235.45,220.55,225.18,253.12,248.78,219.84,239.1,236.63,246.42,214.37,232.49,247.79,246.17,234.17,238.29,221.38,235.98,249.95,236.23,212.94,217.94,276.13,241.8,249.77,216.44,268.19,236.27,217.68,213.4,199.12,219.59,232.16,251.12,257.13,217.43,210.63,267.29,264.55,252.97,220.12,238.58,221.03,245.72,267.77,260.12,275.36,257.28,256.58,266.66,245.33,256.76,247.44
Pasoh,214.04,233.72,214.63,218.95,229.81,232.74,221.92,236.67,228.89,231.06,227.66,228.46,234.25,232.77,229.43,217.39,240.76,238.33,225,204,224.31,237.69,225.52,239.13,250.65,231.18,242.01,223.51,226.71,221.39,243.31,226.02,235.08,227.04,238.39,257.56,226.86,224.79,226.82,206.52,233.62,232.95,215.25,225.95,247.18,226.53,250.62,227.27,234.05,233.98,242.24,219.65,222.73,218.57,229.6,222.16,230.84,217.84,237.15,220.96,220.99,236.33,224.58,238.56,215.88,228.59,230.66,226.08,239.59,202.14,221.9,211.78,229.09,197.95,211.14,206.48,215.26,199.91,222.62,223.98,212.18,225.69,217.68,222.02,204.58,208.72,234.43,250.4,215.16,211.12,234.73,232.41,233.98,204.79,219.58,234.93,217.88,214.23,226.51,235.08,241.52,210.81,245.92,218.05,234.62,280.41,238.81,246.62,241.34,226.23,249.87,221.45,224.03,216.08
Palanan,193.73,184.91,157.7,170.64,169.08,207.66,177.98,193.56,202.03,188.85,206.15,187.33,205.49,147.26,166.34,199.53,211.87,164.87,185.48,207.9,214.15,204.59,204.36,181.49,203.7,200.77,203.81,199.12,178.9,173.85,182.39,196.43,171.68,218.26,174.28,198.71,190.59,189.71,187.67,169.95,192.91,186.06,187.59,189.1,190.57,174.5,193.61,171.69,164.64,189.38,181.57,185.24,195.58,192.09,189.58,194.98,209.99,191.65,183.14,187.37,197.82,194.86,165.1,185.94,181.93,187.32,197.88,169.96,163.12,206.18,209.45,179.47,175.17,160.71,168.31,158.04,160.37,158,152.03,179.62,192.46,177.94,165.73,210.14,177.5,183.8,157.57,153.33,182.61,185.8,172.47,183.28,143.59,156.81,193.6,177.21,139.24,167.79,242.43,193.01,199.07,167.49,167.27,156.66,160.66,156.66,184.15,185.56,153.41,156.78,193.89,191.93,175.48,166.54
Bukit_Timah,230.05,219.45,246.96,234.68,230,254.76,222.51,229.6,240.57,242.32,232.2,248.49,269.14,229.76,241.16,238.76,256.79,242.16,248.25,240.64,252.37,248.6,230.73,248.86,263.44,247.57,248.33,254.74,224.75,232.11,253,228.02,239.15,245.45,233.83,242.64,226.53,242.94,244.29,220.43,235.75,254.84,229.89,221.02,240.78,241.74,247.26,243.56,240.05,251.51,251.58,235.98,232.18,237.34,238.84,233.93,234.9,234,247.98,242.5,227.06,247.81,228.59,254.33,224.35,244.82,233.84,241.94,258.51,226.1,233.63,214.14,243.11,221.08,231.01,214.34,228.83,222.32,239.07,240.12,229.36,229.46,234.21,237.97,227.46,231.83,241.28,257.68,233.07,226.47,243.26,238.95,243,216.82,241.88,245.39,213.38,238.35,245.05,248.76,250.88,219.04,260.81,234.75,238.39,266.31,252.68,256.62,242.87,245.15,258.09,235.26,243.34,224.85
Sinharaja,115.88,131.36,122.49,97.88,96.57,122.4,135.63,136.88,124.05,147.52,93.57,131.25,129.02,98.8,135.94,123.91,131.56,104.29,142.63,122.41,144.37,100.99,104.57,119.11,116.15,114.53,143.89,133.34,122.07,112.49,117.41,108.77,131.85,109.12,110.74,139.16,136.64,138.86,115.58,118.35,134.13,100.69,97.95,136.09,103.93,109.69,162.69,119.06,114.43,118.2,136.31,134.79,140.73,129.87,126.41,120.4,125.39,119.15,125.27,130.95,117.74,117.83,117.62,136.26,150.84,128.05,134.84,106.84,121.27,108.63,102.73,118.39,120.07,114.26,117.21,98.06,148.32,98.68,133.04,120.24,123.1,108.55,104.74,154.19,154.44,135.66,123.73,153.96,128.06,124.87,118.7,128.87,118.19,101.38,132.98,146.66,125.36,134.89,103.93,103.89,149.2,129.16,142.07,139.36,140.98,130.96,134.01,159.91,126.25,177.15,127.35,103.75,119.55,112.59
Manaus,229.02,239.77,231.93,236.68,238.81,223.73,236.02,242.05,254.76,241.19,210.94,209.76,240.97,236.92,218.79,223.96,250.31,217.38,225.06,248.17,252.13,232.79,235.96,239.98,228.69,236.28,267.81,252.89,260.03,240.53,231.71,219.82,256.82,264.4,252.93,223.7,239.09,257.28,240.05,211.78,232.97,236.27,242.49,247.62,256.77,237.33,220.25,238.65,239.61,247.61,256.71,260.3,256.66,242.53,248.65,247.23,216.13,231.11,222.98,257.13,242.78,244.55,241.72,246.03,221.75,254.89,227.82,264.23,240.46,256.91,254.14,232.88,261.58,251.67,251.25,238.5,236.19,239.39,237.25,236.74,260.86,238.8,230.18,255.22,256.15,253.31,228.52,266.73,280.84,258.22,237.48,227.22,253.85,250.82,243.28,245.43,213.72,234.6,247.92,257.91,237.88,242.76,233.62,235.87,225.35,237.55,243.48,268.93,204.77,227.17,245.34,219.83,261.82,242.46
Amacayacu,275.93,278.17,275.63,278.13,276.39,276.02,276.08,276.59,275.92,276.89,276.57,276.64,276.36,276.8,276.32,277.52,275.61,278.55,277.47,276.61,277.81,276.04,271.25,275.79,257.25,244.24,266.98,294.08,273.48,270,276.27,281.39,262.25,280.14,264.16,269.46,267.89,282.16,291.73,296.41,271.8,244.83,270.18,285.2,267.91,274.6,274.9,271.52,279.76,273.74,282.93,268.96,288.86,282.04,278.94,292.31,271.82,277.15,275.22,265.58,279.75,288.22,270.98,287.03,290.22,271.98,274.14,280.99,274.61,280.42,277.09,272.64,284.89,284.03,296.6,277.11,288.87,285.32,264.4,260.2,272.09,274.51,248.79,264.3,244.7,268.29,263.34,256.08,267.34,261.24,244.17,244.05,275.44,281.17,276.29,275.37,276.03,278.86,281.96,278.62,273.78,290.42,276.27,277.83,279.48,290.55,281.49,286.78,281.88,262.98,264.88,260.79,264.86,276.57
Yasuni,275.91,249.62,250.47,254.08,251.07,252.6,266.85,271.64,265.5,269.43,250.27,259.13,267.55,238.03,273.87,268.25,290.99,259.77,260.99,251.27,281.06,250.01,240.7,259.27,272.4,243.02,277.53,269.52,257.08,242.28,249.19,273.76,262.49,279.76,266.5,241.51,263.71,283.95,253.84,248.32,239.28,237.17,274.73,250.83,250.86,234.53,260.52,226.57,274.02,272.39,246.09,241.13,255.93,249.9,287.78,268.77,232.99,229.34,247.52,250.18,249.52,275.82,270.79,242.59,242.7,259.92,252.91,255.04,243.81,272.78,287.48,271.02,270.38,264.73,275.13,263.02,243.95,239.21,260.83,242.57,272.97,266.8,239.33,274.75,217.99,236.53,240.28,268.92,248.43,233.8,232.2,223.53,258.61,261.82,261.22,269.74,244.88,244.51,276.43,253.23,245.69,251.89,258.71,257,263.91,263.28,255.52,286.05,253.86,250.38,275.96,235.8,237.33,250.4
