Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ituri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Rabi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Mpala,1.55,1.79,2.23,2.19,2,5.27,2.14,0.81,0.86,1.4,1.51,3.21,3.14,5.47,5.91,2.91,4.73,7.86,4.53,1.69,7.56,4.34,2.79,5.81,4.71,3.26,1.49,3.95,2.7,3.8,2.79,3.05,3.18,5.41,2.55,2.18,2.22,1.06,2.28,2.57,4.01,4.08,5.12,5.81,2.5,1.1,1.1,1.38,1.04,3.85,0.65,0.92,0.84,0.41,2.31,1.47,0.56,1.43,0.97,0.1,0.36,3.45
5,Wanang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kuala Belalong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dinghushan,0.39,1.11,0.15,0.93,3.81,3.41,1.19,0.4,0.52,0.29,1.21,2.75,6.17,0.67,0.83,0,2.93,2.65,2.11,1.42,3.73,0.08,0.83,2.33,2.17,1.21,3.99,0.23,0,0.11,0.53,1.01,1.05,3.56,0.38,0.88,0.04,0,0.02,0,0,0.15,1.01,0,0.01,0.48,0,0,0.06,0,0,0,0.34,0,0,0,0.08,1.31,1.54,0,4.24,0.59
8,Heishiding,1.41,2.12,0.33,1.86,5.31,6.09,2.54,1.5,1.31,0.92,2.34,4.27,6.56,2.48,0.52,0,5.79,4.22,4.25,2.75,4.32,1.34,1.94,4.04,4.17,1.91,7.36,0.76,0,0.74,2.04,2.9,3.27,7.72,1.85,1.89,0.74,0.13,0.7,0.06,0,0.97,2.39,0,0.63,1.56,0.24,0.11,0.84,0.11,0.01,0.06,1.57,0.04,0.5,0.06,1.01,4.17,3.39,0.01,6.98,1.65
9,Hong Kong,0,0,0,0,0.02,0.01,0,0,0,0,0,0.28,0.59,0,0,0,0,0.42,0,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.02,0
10,Jianfengling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Nonggang,0,0.52,0,0.01,1.92,1.42,0.1,0.12,0,0.04,0.19,1.07,1.54,0.03,0,0,0.52,0.42,0.28,0,1.11,0.08,0.92,0.92,2.6,0.52,0.76,0,0,0,0,0.66,0.46,1.21,0,0.01,1.31,0,0,0,0,0,0.15,0,0,0.08,0,0,0.83,0,0,0,0.29,0.01,0,0,0.04,1.16,0.92,0,1.02,0
12,Xishuangbanna,0.51,2.04,0.76,1.92,3,2.65,4.54,3.57,1.36,0.3,1.48,2.05,6.5,2.4,0.96,0,0.88,2.49,0.59,0.06,1.62,0.37,0.85,5,1.66,1.12,0.69,0.23,0,0.22,0.01,0.68,1.39,0.33,0,0.06,0.92,0,0.4,0,0,0.15,0.16,0,0,0.23,0.41,0,0.74,0,0,0,0,0.12,0,0,0.01,0.22,0.02,0,0.01,0
13,Mudumalai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Danum Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Lambir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Pasoh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Palanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
