site,variable,range_years_filled_average ,notes
amacayacu,cld,1901-1929,filled with averages
amacayacu,dtr,1901-2019,all months except for Feb are averaged
amacayacu,frs,1901-2019,only dec data 
amacayacu,pet,1901-1929,filled with averages
amacayacu,pre,1901-1929,filled with averages
amacayacu,tmn,1901-1929,filled with averages
amacayacu,tmx,1901-1929,filled with averages
amacayacu,tmp,1901-1929,filled with averages
amacayacu,vap,1901-1929,filled with averages
amacayacu,wet,1901-1929,filled with averages
badagongshan,cld,good,good
badagongshan,dtr,good,good
badagongshan,frs,good,good
badagongshan,pet,good,good
badagongshan,pre,good,good
badagongshan,tmn,good,good
badagongshan,tmx,good,good
badagongshan,tmp,good,good
badagongshan,vap,good,good
badagongshan,wet,good,good
baishanzu,cld,good,
baishanzu,dtr,good,
baishanzu,frs,good,
baishanzu,pet,good,
baishanzu,pre,good,
baishanzu,tmn,good,
baishanzu,tmx,good,
baishanzu,tmp,good,
baishanzu,vap,good,
baishanzu,wet,good,
baotianman,cld,good,
baotianman,dtr,good,
baotianman,frs,1901-2019,july is 0 and not avergaed for all yrs
baotianman,pet,good,
baotianman,pre,good,
baotianman,tmn,good,
baotianman,tmx,good,
baotianman,tmp,good,
baotianman,vap,good,
baotianman,wet,good,
BCI,cld,,
BCI,dtr,,
BCI,frs,,
BCI,pet,,
BCI,pre,,
BCI,tmn,,
BCI,tmx,,
BCI,tmp,,
BCI,vap,,
BCI,wet,,
Bidoup,cld,1901-1913,averaged
Bidoup,dtr,1901-1950,avg
Bidoup,frs,no data,"0 for Dec, no data for rest"
Bidoup,pet,,
Bidoup,pre,1901-2019,averages for several months except Jan + Mar
Bidoup,tmn,,
Bidoup,tmx,,
Bidoup,tmp,,
Bidoup,vap,1901-1929,averages for this period all months
Bidoup,wet,1901-2019,averages for all month but jan-march
Bukit Timah,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
,tmn,,
,tmx,,
,tmp,,
,vap,,
,wet,,
,cld,,
,dtr,,
,frs,,
,pet,,
,pre,,
