Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,30.425,30.25,30.042,30.108,29.942,29.975,30.217,30.392,30.358,30.392,30.283,30.208,30.875,30.342,30.458,30.683,30.225,30.392,30.917,30.642,30.283,30.625,30.833,30.142,30.067,29.8,30.4,30.467,30.567,30.567,30.733,30.4,30.742,30.792,30.633,30.417,31.383,30.725,30.917,30.692,30.642,30.733,30.917,30.675,31.133,30.833,30.883,31.567,30.942,30.958,30.725,30.875,31.192,30.933,31.233,31.008,30.967,30.858,31.158,31.442,31.225,31.008
2,Ituri,29.375,29.467,29.767,29.242,29.225,28.925,29.458,29.775,29.358,29.175,28.967,29.092,29.05,29.108,29.342,29.45,29.283,29.1,29.492,29.525,29.408,29.308,29.75,29.392,29.092,29.283,29.408,29.367,29.158,29.208,29.325,29.208,29.558,29.492,29.075,29.358,30.25,29.892,28.992,29.567,29.758,29.483,29.542,29.283,30.125,29.767,30.317,29.817,29.642,30.283,30.783,30.817,30.775,30.417,30.933,30.483,30.367,30.642,31.167,30.958,30.308,29.883
3,Rabi,29.7,29.683,29.5,29.233,29.217,29.192,29.375,29.267,29.608,29.767,29.358,29.375,30.025,29.558,29.558,29.825,29.517,29.475,29.6,29.608,29.425,28.925,29.183,29.033,28.692,28.425,28.925,28.858,29.125,29.183,29.242,28.842,29.392,29.75,29.183,29.083,29.633,29.575,29.475,29.4,29.492,29.133,29.317,29.183,29.675,29.517,29.467,30.242,29.55,29.525,29.692,30.025,29.808,29.417,29.692,29.858,29.608,29.408,29.65,29.8,29.625,29.783
4,Mpala,24.867,25.292,25.425,24.95,25.042,24.7,24.592,24.683,24.383,24.5,24.658,24.583,24.2,24.517,24.775,24.792,24.25,23.442,24.642,24.367,24.275,24.708,25.258,24.375,24.608,25.142,24.7,24.5,24.6,25.067,24.8,25.033,25.317,24.658,24.367,24.783,25.608,25.242,24.342,24.583,25.375,24.742,24.858,24.417,25.167,25.525,25.533,25.408,25.767,25.917,25.525,26.258,25.867,25.608,25.65,25.8,25.592,25.492,26.1,26.025,25.783,25.575
5,Wanang,30.583,30.758,30.55,30.525,30.383,30.642,30.6,30.75,30.625,30.45,30.45,30.533,30.742,30.5,30.125,30.342,30.267,30.525,30.767,30.708,30.9,30.942,31.133,30.942,30.833,30.867,30.942,31.25,31.325,31.383,31.375,31.242,31.333,31.175,31.158,31.383,31.45,31.35,31.358,31.483,31.217,31.167,31.35,30.967,30.808,30.975,30.942,30.933,30.933,30.9,30.908,30.95,31.083,31.042,30.933,30.942,30.942,30.933,30.95,30.975,30.95,30.95
6,Kuala Belalong,31.092,30.633,31.083,30.692,30.4,30.333,30.892,30.925,30.692,30.825,30.425,30.117,30.083,30.342,30.458,31.017,30.925,30.9,30.525,30.4,30.417,30.833,30.917,30.508,30.617,30.033,30.042,30.442,30.6,30.658,30.558,30.633,30.825,30.067,30.392,30.3,30.75,30.558,30.417,30.758,30.733,30.775,30.508,30.592,30.533,30.417,30.85,31.175,30.767,30.792,30.9,31.075,30.842,30.767,30.708,30.575,30.442,30.225,30.7,30.667,30.592,30.908
7,Dinghushan,25.142,26.1,25.175,25.317,25.808,25.325,24.925,25.667,25.467,25.925,25.683,25.783,26.4,25.567,25.725,26.292,25.142,25.442,24.85,24.775,25.45,25.317,25.633,25.467,25.175,24.867,25.975,25.075,25.283,25.667,25.25,25.083,24.967,24.35,24.708,25.75,25.817,24.867,25.583,25.783,25.942,25.325,25.392,26,25.383,25.033,25.125,26.142,25.908,25.6,25.608,26.117,26.517,26.483,25.875,26.442,26.317,25.608,26.042,25.617,25.083,24.958
8,Heishiding,24.767,25.725,25,25.433,25.967,25.275,24.842,25.933,25.5,25.925,25.483,25.708,26.275,25.442,25.658,26.025,25.042,25.358,24.833,24.492,25.433,25.183,25.492,25.317,25.142,24.675,26.008,25.275,25.425,25.633,25.033,24.917,25.033,24.275,24.408,25.55,25.792,24.6,25.525,25.8,26.108,25.383,25.542,25.942,25.242,25.058,25.183,26.158,25.642,25.45,25.258,25.675,26.192,26.133,25.642,26.325,26.108,25.392,25.95,25.608,24.892,24.783
9,Hong Kong,26.35,27.017,26.417,26.692,26.758,26.575,26.258,26.975,27.05,27.183,27.108,26.392,26.858,26.058,26.317,27.042,26.025,25.992,25.867,25.842,26,25.883,26.408,25.975,25.775,25.7,26.675,25.892,26.3,26.125,26.133,25.792,25.892,25.342,25.475,25.85,26.375,25.85,26.025,26.042,26.825,26.15,26.9,27.217,26.267,26.508,26.283,27.067,26.908,26.5,27.008,27.167,27.042,27.275,26.117,26.725,26.867,26.025,26.142,25.933,25.808,25.875
10,Jianfengling,28.133,29,28.733,28.867,28.683,28.342,27.917,28.092,28.225,28.05,28.208,27.467,27.542,27.583,27.808,28.425,27.5,27.758,28.133,27.658,27.308,27.675,28.392,27.45,27.742,27.592,28.083,28.042,28.567,28.525,28.225,28.033,28.067,27.625,27.533,27.808,28.658,27.933,28.025,28.1,28.867,28.233,28.425,28.667,28.192,28.142,28.5,29.233,28.283,28.075,28.525,28.65,29.042,28.525,28.883,29.233,28.242,27.608,27.967,28.433,26.967,28.225
