Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,174.94,180.92,162.73,169.7,175.64,171.01,185.09,150.19,164.11,182.99,171.62,178.79,182.24,180.39,174.16,175.24,168.77,181.03,184.13,170.75,167.85,164.21,163.99,163.59,173.91,176.87,164.15,178.59,167.18,170.1,172.41,167.19,139.75,175.43,182.53,168.38,163.81,187.24,167.92,172.33,168.23,160.36,178.83,171.92,165.85,181.34,176.11,168.21,184.17,167.72,176.22,172.87,183.95,177,160.87,176.64,183.53,176.03,165.51,168.06,172.71,169.79
2,Ituri,133.14,125.99,129.95,140.84,140.1,131.99,142.23,133.4,138.15,136.82,152.45,141.3,149.17,139.35,133.94,132.13,126.17,136.39,140.93,134.05,121.44,138.28,127.69,132.82,128.45,136.11,134.15,135.02,127.6,125.62,134.09,141.16,121.77,139.02,137.56,146.88,136.75,144.49,138,138.52,139.11,139.36,134.85,140.82,130.98,135.91,142.45,133.07,137.87,124.03,134.31,147.74,139.98,143.26,123.75,143.39,136.69,137.2,136.64,147.26,140.79,135.85
3,Rabi,145.57,146.45,137.4,143.31,151.28,129.86,138.56,120.05,147.38,153.7,153.64,146.01,145.81,133.13,132.2,144.07,145.74,128.87,137.56,149.51,134.77,127.23,142.57,136.3,142.43,139.65,150.37,129.56,131.85,144.03,136.01,128.12,108.25,143.66,142.53,132.12,128.75,145.34,135.47,140.93,139.03,135.02,129.55,141.62,141.45,138.86,140.74,146.02,148.5,141.52,133.41,147.71,140.22,135.97,130.2,143.52,146.32,142.25,145.84,140.49,138.37,154.67
4,Mpala,150.37,104.52,132.34,115.79,113.68,116.02,149.99,112.94,136.87,158.5,160.93,131.34,160.49,131.13,134.92,129.43,160.64,170.16,138.42,126.11,113.01,136.68,129.41,109.36,113.62,101.8,131.77,164.34,166.25,96.67,113.17,137.08,116.81,115.52,127.27,115.11,115.69,138.09,132.49,143.3,95.45,148.07,171.86,138.23,114.42,111.76,134.17,134.09,99.52,74.69,99.93,113.24,109.02,108.2,90.99,119.51,105.45,96.3,101.87,93.93,98.66,118.04
5,Wanang,270.64,285.33,278.54,271.68,273.73,261.61,267.73,279.43,277.21,294.93,293.95,282.91,269.53,278.18,263.85,285.42,283.72,271.15,283.23,292.7,281.47,233.47,288.88,272.31,284.26,261.94,282.58,273.1,272.38,266.45,269.97,272.35,271.61,266.48,285.17,279.72,238.17,286.44,288.72,277.75,271.54,258.49,248.43,255.85,278.95,286.82,272.54,283.81,284.55,283.13,285.73,284.68,284.51,284.55,284.51,285.18,289.31,287.44,288.22,285.84,285.56,288.02
6,Kuala Belalong,279.5,290.19,293.07,304.57,304.97,302.61,284.5,252.48,274.61,280.67,274.06,288.95,264.15,253.5,260.6,281.79,284.43,262.65,269.25,269.76,281.06,253.25,263.3,286.77,285.92,273.65,276.88,259.16,269.43,277.33,272,251.47,246.81,314.36,270.68,282.57,252.5,293.42,282.6,253.03,252.16,233.46,245.19,269.29,268.63,288.34,246.87,229.88,299.39,293.67,285.18,257.25,269.8,258.66,281.77,329.57,294.51,310.55,303.07,292.92,309.11,284.28
7,Dinghushan,153.31,149.44,167.87,144.52,142.38,132.11,160.72,135.23,158.95,143.35,160.72,137.55,114.43,138.08,145.73,138.74,136.57,147.46,145.15,149.2,132.8,147.51,152.22,146.8,165.46,134.95,131.59,141.02,139.84,142.78,149.37,146.7,171.54,137.31,139.96,140.02,143.98,152.83,132.3,142.26,132.51,159.31,159.93,155.83,146.63,142.21,167.64,152.16,140.17,148.07,172.17,155.27,124.25,146.67,152.93,164.14,132.77,150.92,138.77,157.17,131.18,160.16
8,Heishiding,163.68,159.07,173.4,148.89,150,137.2,167.22,146.66,164.34,148.1,165.51,144.81,122.17,146.33,151.83,142.97,145.22,153.5,148.13,159.59,141.72,155.85,160.05,150.64,165.42,145.89,139.26,148.51,145.59,150.48,156.37,154.83,173.77,143.32,144.76,147.17,150.9,157.59,138.34,150.06,138.97,165.14,163.18,165.41,157.67,149.93,179.9,160.17,147.34,154.7,182.98,164.18,135.57,151.31,158.22,171.84,138.47,160.15,145.49,158.7,138.22,169.66
9,Hong Kong,165.91,158.62,178.05,146.02,136.07,142.81,171.91,147.69,167.4,157.22,168.02,143.26,120.91,149.52,148.92,146.49,136.87,154.47,151.13,152.21,137.79,160.79,169.67,160.87,180.05,147.78,134.13,165.02,153.63,143.28,157.58,158.97,194.1,143.73,156.28,159.51,155.33,161.35,146.97,166.57,143.74,176.18,165.72,165.28,146.9,147.61,181.1,175.64,147.4,161.24,175.07,153.28,140.09,145.36,157.52,186.94,140.12,163.14,138.52,158.48,131.18,159.93
10,Jianfengling,112.33,113.28,119.26,99.9,97.2,116.01,117.84,104.1,117.94,117.01,120.91,106.15,101.83,125.11,116.6,109.82,108.51,107.99,109.58,124.23,112.94,123.96,118.66,121.47,115.41,106.14,102.93,127.82,108.3,113.74,117.21,123.28,113.48,117.32,121.62,112.61,101.07,115.03,107.34,114.32,94.13,103.87,101.98,112.52,110.09,98.01,122.49,107.93,106.04,111.05,117.11,118.49,98.05,93.91,100.21,100.07,94.94,111.03,107.87,117.01,114.64,116.46
