sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,723.6,866.3,874.1,807.9,805.4,770.1,720.1,978.9,986.2,638,831.1,1006.1,719.9,794.2,777.8,967.7,1110.3,494.5,898.3,729.2,661.7,597.7,984.2,721.5,647.9,992.4,920.6,672.2,922.1,1111.3,725.5,819.6,659.8,695.2,822.4,880.4,808.6,729,413.3,478.2,736.2,624.6,547.6,546.4,560.6,574.3,877.7,523,501.1,580.8,1159.1,412.4,741.2,814.4,868,944.9,912.7,969,856.2,594.4,1140.7,853.4,1210.5,823.5,594.1,718.1,866.2,1085.2,792.7,1015.7,885.1,743.1,548.5,607.5,870.6,732.3,1162.1,1133.7,865.3,457.2,903.8,606,710,384.6,602.1,803.1,574.1,796.2,900.7,1039.6,658.7,796.4,688.4,878.1,921.9,703.3,1060.8,1023.2,794.2,521,823.9,904.2,821.9,795.2,664.2,857.2,821.8,780.6,762.2,762.6,763.5,936,1033.6,717.8
Ituri_(Edoro_and_Lenda),1205.4,1386.5,1636.1,1397.7,1352.4,1327.5,1408.3,1231,1360.4,1345.4,1331.7,1118.1,1164.6,1405.6,1244.5,1359.6,1421.9,1257.3,1691.9,1291.8,1187.6,1544.8,1418.9,1141.5,1384.2,1240.6,1138.7,1284.1,1341.2,1287.5,1406.5,1495.8,1380.4,1306.1,1414.4,1256.5,1563.9,1163.7,1316.2,1296.3,1525.9,1507.8,1313.9,1458.5,1181.9,1598.3,1427.7,1659.4,1172.5,1368.1,1522.3,1385.5,1326.7,1560.3,1560.8,1595.5,1417.9,1502,1503.5,1275.3,1647,1596.1,1616.9,1401.9,1218.3,1255.6,1236.2,1215.9,1200.9,1303.7,1151.9,1351,1043.3,1314.8,1372.4,1510,1459.1,1214,1219.4,1236.5,1442.3,1574.6,1626.6,1513.6,1534.6,1450.7,1796.6,1851,1559.6,1468.7,1493.1,1783.7,1279,1667.5,1079.1,845.6,1296.9,1100.9,1160.4,1163.4,1282.3,1585,1465.2,1413.8,1235,1484.1,1692,1324.1,1398.9,1565.9,1426.9,1397.1,1412,1412
Wanang,3524.5,3326.4,3375.4,3390.2,3264.3,3432.4,3402.2,3519.1,3440.4,3399.1,3276.7,3393.8,3333.9,3315.7,3540.8,4051.2,3855.4,2538.5,4134.6,4298.1,3809.1,3391.1,3090.5,3281.2,2350.2,3735.7,3436.3,3645.9,3452,3537.9,2973.1,3049.2,3839.3,2607.9,3786.4,3940.5,3146.5,4092.1,4370.5,3460.3,2544.2,3297.6,3559.4,3033.3,3043.9,3689.6,3448.4,4501.6,3774.4,3331.2,3213.9,3630.3,3229.7,3425.4,3701.1,2803.2,2923.5,3418.7,3474.1,4056.9,3885.7,3215,3074.9,3205.2,3676.6,3929.2,3343.4,3496.1,3744.9,3425.3,3325.7,3499.5,4078.1,2874.1,3626.2,3072.2,3805.4,3132.7,3107.2,3071.6,3734.6,3088.3,3645.3,3202.8,3748.5,3125.5,3104.4,3594.1,3506,3182,3198.9,3312.6,2647,2569.4,3232.8,3733.7,3342.8,3374,3407,3370.8,3451.7,3417.3,3394.6,3407,3410.7,3392.2,3580.4,3488,3612.6,3676.1,3500.1,3537.8,3415.3,3440.3
Kuala_Belalong,3655.2,4053.2,3414.4,3658.8,3262,3354.1,3786.8,4063.9,3744.3,4710.8,2904.1,3039.7,3933,2529.5,3151.1,4122.4,4221.1,4108.7,3327,3611.3,4230.1,4037.1,3821.2,4329.1,4357.5,3862.6,4755.7,4612.7,4355.1,4021.8,4388.3,5659.6,4810.7,4891.6,4497.1,3537.4,4129.6,3997.3,3516.4,3323.4,2937.8,3843.8,3543.5,3541.4,4423.4,3384.6,4149.1,3874.4,4549.4,3814.2,3866.9,4125.7,3576.7,4149.9,4296.6,4148.9,3513.4,3012.7,3751.9,4335.8,3498.5,4214.1,3430,3674.7,3510.2,4010.1,3484.7,3775.9,3406.9,4019.2,4038,3145.9,4485.9,4100,3670.1,3728.3,4016.3,3045.9,4129,3664.5,3672.5,3302.1,3344.3,4727.2,3557.3,3632.7,2932.4,3651,3516.3,2893.3,2958.8,2854.7,3268.4,3064.5,3534.4,4244.3,3473.8,3773.2,4373.4,4212.8,4052.9,3100.6,3579.2,3010.6,3915.3,3964.6,4466.9,4907.6,3926.8,5395,4523.1,4146.1,4163.8,3809.6
Danum_Valley,2564,3029.2,2103.4,2550.1,1712.6,1966.3,2769.9,2540.7,2395.4,3163.5,2656.5,1691.9,2353.1,1586.7,2106.3,2973.7,2674.6,3087.3,2061,2613.4,3012.3,3257,3042.1,3042.8,3020.9,3011.3,2710.1,3259.4,2589,2236.9,2268.9,3054,2410.3,3239.1,2575.8,3096.8,2710.6,3301.5,3051.5,2516,2606.9,2602.3,2555.8,2482.9,2885.3,2510.8,2560.2,2750.3,2525.4,2725.5,2358.4,2862.2,2590.4,2920,2898.6,3107.5,2319.2,2073,2516.8,2723.9,2438.6,3049.6,2963,2610.4,2912,2252.2,2690.5,2608.5,2224.4,2853.8,2641.9,2513.2,2224.4,2300.4,2563.8,2424.8,2798.9,2497,2710.6,3042.8,2694.9,2110.6,2168.4,3345.7,2738.8,2272.9,2196.2,3010.5,2742.2,2166.3,2461.1,1903.4,2624.2,3244.4,2576.8,3165.2,2020.1,2209.7,3218.2,2846.9,2818.5,1990.8,2630.3,2370.1,2651,3553.6,3057.7,3353.5,3128.3,2224.8,4007.8,3297.2,2863.2,2683.9
Lambir,2941.9,3149.4,2997.1,3065.3,2965.3,2988.6,3095.6,3351.4,3174.4,3801.7,2404.4,2593.6,3384.5,2080.4,2730.7,3347.1,3645.1,3561.4,2982.7,3031.2,3408.6,3051.3,3043.4,3522.1,3587.9,2873.6,3382.5,3160.7,3478.9,2973.3,3309.9,3922.5,4204.1,4106.8,3795.2,3613.5,4465,3921.2,4100.1,2729.1,2091.1,3156.5,3016.9,2829.8,3676.9,2750.3,2954,2578.1,3184.5,2560.6,2710.4,3203.3,2843.3,3243.1,3275.5,2889.8,2909.8,2636.4,2844,2865.7,2288.4,2663,3329.9,2588,2724.1,2761.3,2648.9,2420.4,2524.9,2761,2717.7,2831.7,2673.1,3230.1,2810,2892.9,2981.3,2715.7,3165.3,3199.9,3463.4,2355.4,2909.6,4220.9,4489.4,4254,2876.6,5362.9,2707.2,2865.1,2479.7,2435.5,2687.8,2706.3,3543.1,3587.2,2477.9,3137.1,3407.9,3383.4,3347.7,2692.6,3059.1,2945.7,2956.1,3363.7,3364.1,3353,3630.8,3485.1,3753.9,3148.1,3458.7,2783.8
Pasoh,1544.8,1739,1591.7,1560,1806.2,2142.7,1970.7,2153.2,2034.6,1885.3,2034.1,2183.4,2241.5,2006.7,1855.7,1941.3,2412.1,2349.3,1873.2,1534.8,2066.8,2401.1,2195.1,2325.1,2957.7,1773.7,2379.9,1736.1,2013.8,1905.3,2201.5,2173.6,2483.7,2629.7,2132.1,2147.8,2305.8,1753.3,1864.7,1607.4,2119.5,2183.4,1685.5,1830.6,2338.3,2033.2,2151.7,2193.2,2214,1903.6,2294.6,1849.7,2073.4,2096.5,1911.5,2062.5,1636.9,1710.3,2796.5,1988.1,1794.3,1883.5,1572.7,1792.4,2149.8,2716.4,2513.8,2340.4,2600.8,2355.6,2134.7,1849.9,2454.4,904.1,1543.9,1417.4,1535.4,1483.7,1897.4,1709,1646.7,1587.5,1362.6,2219.4,1716.5,1295.1,1756.1,1658.4,1771.4,1588.1,1845.3,2023.2,2005,2136,2460.7,2148.5,1805.4,1514.4,2205.1,2286.2,2050.5,1581,1799.4,1709.1,1784.9,2275.6,2120.1,2222.8,2040.5,1938.3,1982.4,2081.1,1742.2,1796.5
Palanan,3153.4,2992.7,2717.6,2347.8,2482.7,3713.7,2440.8,3732.6,2973.8,3495.4,3869.5,2659.3,2924.5,1469.7,3452.6,3612.5,3051.2,2337.3,2992.3,2547.7,2666.3,2840.5,2758.6,2623.4,2714.4,2196.2,2726.1,2966.2,2161.2,2219.9,3458,2893.8,2889.6,3907.8,2246.1,2536.6,2730.3,3349.8,2818,2542.6,2737.6,2668.5,2717.3,2752.7,2840.4,2412.8,3259.9,2808.5,2130.7,2294.7,3049.1,3008.5,3554.7,2473.7,2366.7,3126.7,2338.5,2169.3,2657.7,2622.5,2790.1,2081,2046.8,3631.7,2146.2,3615,2669.8,1806.6,2248.3,3340.6,4487.1,2146.2,3108.7,2725.4,2096.4,2416,2280,2690.7,2219,2804.7,2405.3,2400.9,1903.3,2825.4,2646.7,3501.3,1809,2663.1,2981.8,2741.8,2587.2,2240.1,2669,2034,2660.2,3297.8,2471.9,2925.5,3597.6,3630.5,2772.1,2191.8,2221.3,2095.5,2859.8,2854.1,2369.7,3194.1,3139.6,2599.9,3819.3,2945.1,2841.1,2168.4
Bukit_Timah,1884.1,1808.5,2425.5,2134,1914.9,2623,1729.6,1978.2,2290.1,2329.3,2152.9,2472.7,3250.6,2176,2247.3,2323.8,2703.8,2345.7,2379.8,2268.6,2546.6,2378.6,1976.2,2579.4,2817.7,2100.8,2497.8,2722.4,1964.7,2127.2,2532,1926.7,2182.7,2697,1843.1,2139.1,2212.5,2332.2,2467.5,1909.7,2246.9,2849.7,1934.5,1745.9,2196.1,2539.5,2470.8,2573.6,2321.6,2569.4,2242.5,2806,1972.2,2577.8,2228,2455.4,1948.8,2003.6,2303.3,1565.9,1721.2,2221.8,1697.2,2762.9,1858.2,2441,2697.9,2027.7,2208.1,2235,1602.7,1832.8,2865,2029.3,1868.8,2081.9,1748.6,2576.8,2243.7,2343.3,1479.4,1499.8,1904.2,2810.5,2345.8,2371.8,2285.6,2451.3,2501.4,1675.2,1989.3,2380.4,2373,2077.2,2505,2686.4,1213.4,2490.6,2320,2595.7,2950.3,1851,2616.1,2307.8,2090.4,2824.7,3051,2560.4,2169.6,2339,2715.2,2382.8,2902.8,1741.7
Sinharaja,1939.9,3238.5,2633.9,2180.3,2140.3,2084.5,2103.3,1713.2,2512.6,1635.6,1940.4,2779.2,2287.5,2029,2392.3,2511.8,2183.3,2014.8,2120.4,1937.4,1861.2,2338.8,3454.7,3678.6,3181.9,3037,2964.7,2651.9,2601.3,3099.5,3394.2,3455.2,2914.1,2728.7,3076.9,2624,2534,2047.5,2762.8,2432.6,2915.9,2639.4,2368.5,2828.5,2208.6,2505.1,2962.5,2524.5,2963.4,2035.2,3243.9,2203,3275.2,3104.8,2537.2,2114,2700.6,2208.2,2947.1,2743.6,4570.7,2903,4144.6,2559.2,2982.8,2777.3,3360.9,2218,3280.3,2883.9,2341,2758.5,2650.1,2518.2,3372.4,2208.5,2984.8,2304,2476.9,2551.6,2213.6,2781,2045.5,2579.7,2565.5,1998.9,2249.4,2312.7,2281.6,2713.4,2689.7,2103.2,2727.2,2834.7,2695,2531.5,3214.1,2350.2,2840,2612.6,1954,2383.3,2450,2638.3,2790.5,3244.2,2557.4,2877.4,2335.5,2565.6,2103.1,2788.7,2409,2902.7
