Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,21.592,21.417,21.208,21.275,21.108,21.142,21.383,21.558,21.525,21.558,21.192,21.508,21.725,21.308,21.242,21.567,21.633,21.808,22.05,21.792,21.125,21.617,22.117,21.333,21.267,21.533,21.992,21.608,22.3,22.208,21.575,21.567,21.875,21.517,21.867,21.758,22.317,22.058,21.542,22.408,22.033,21.508,21.6,21.8,22.008,22.025,21.8,22.325,21.95,21.758,21.892,22.05,22.4,22.175,22.45,22.175,22.167,22.075,22.467,22.575,21.983,22.2
2,Ituri,18,17.875,17.8,17.875,17.65,17.517,17.858,18.375,17.975,17.975,17.958,17.717,17.783,17.808,17.592,17.958,17.742,17.458,17.883,18.117,17.375,18,18.017,17.692,17.808,17.917,18.167,18.142,17.733,18.025,17.933,18.183,18.267,17.725,17.983,18.133,18.492,17.925,17.558,18.242,17.933,18.142,18.108,17.833,18.383,18.125,18.808,18.283,18.1,18.492,19.283,19.35,19.558,19.067,19.358,19.092,18.958,19.35,19.758,19.417,18.917,18.375
3,Rabi,22.917,22.9,22.717,22.45,22.433,22.408,22.592,22.483,22.825,22.983,22.542,22.592,23.175,22.675,22.725,23.033,22.733,22.692,22.783,22.858,22.592,22.125,22.433,22.233,21.867,21.725,22.292,22.075,22.508,22.517,22.408,22.042,22.592,22.833,22.392,22.35,22.817,22.808,22.525,22.717,22.708,22.35,22.533,22.4,22.892,22.733,22.683,23.458,22.767,22.742,22.908,23.242,23.025,22.633,22.908,23.075,22.825,22.625,22.867,23.017,22.842,23
4,Mpala,9.7333,10.033,9.7667,9.6583,9.6,9.15,9.9333,9.9833,10.275,10.042,10.092,9.4167,9.4917,9.0667,8.9917,9.525,9.3083,8.6333,9.15,9.6583,8.7667,9.75,9.6917,9.0667,9.2417,9.6083,9.5667,9.3417,9.5917,9.5083,9.5333,9.55,9.975,9.3917,9.6167,9.7333,10.05,9.9917,9.575,9.7667,9.2917,9.8833,9.675,9.7,10.183,9.9417,10.183,10.133,10.183,10.325,10.375,11.117,10.892,10.483,10.383,10.433,10.258,9.9417,10.775,10.65,10.642,10.133
5,Wanang,21.458,21.675,21.617,21.575,21.583,21.642,21.65,21.8,21.5,21.4,21.233,21.35,21.242,21.408,21.217,21.525,21.258,21.467,21.7,21.633,21.442,21.65,21.942,21.625,21.75,21.567,21.792,22.042,22.125,22.092,22.017,21.792,22.042,21.842,21.733,21.908,22.275,22.167,22.025,22.117,21.9,21.892,22.217,21.75,21.608,21.583,21.7,21.775,21.717,21.792,21.742,21.725,21.842,21.817,21.708,21.717,21.717,21.708,21.725,21.75,21.725,21.725
6,Kuala Belalong,22.808,22.858,22.567,22.292,22.225,22.225,22.667,22.85,22.575,22.633,22.242,22.258,22.3,22.058,21.867,22.117,21.683,21.692,21.892,21.792,21.933,22.233,22.558,21.983,22.233,21.758,22.167,22.158,22.183,22.175,22.175,22.233,22.658,22.225,22.233,22.35,22.65,22.617,22.325,22.567,22.658,22.417,22.458,22.575,22.65,22.467,22.733,23.233,22.767,22.808,22.917,22.95,23.017,22.9,22.883,22.833,22.817,22.483,22.917,22.9,22.725,22.842
7,Dinghushan,17.55,17.942,17.908,17.483,17.058,17.442,17.7,17.708,17.933,17.867,17.917,17.108,17.467,17.95,17.85,18.292,17.408,17.708,17.208,17.492,17.2,17.75,18.308,17.442,17.9,17.275,17.642,18.1,18,18.25,18.2,18.208,17.775,17.517,17.85,17.892,18.883,17.825,18.333,18.958,19.033,18.233,18.45,19.142,18.592,17.817,18.425,19.075,18.55,18.617,18.775,19.108,18.767,18.608,18.942,19.183,19.033,18.475,18.867,18.783,17.208,17.867
8,Heishiding,16.842,17.45,17.708,17.033,16.717,16.467,17.175,17.225,17.4,17.292,17.2,16.583,17.017,17.217,17.4,17.525,16.6,17.075,16.483,16.725,16.475,17.142,17.6,16.875,17.175,16.55,17.067,17.325,17.358,17.408,17.333,17.325,16.967,16.442,16.983,17.025,17.85,16.775,17.442,17.983,17.917,17.292,17.375,18.117,17.725,16.958,17.625,18.325,17.658,17.592,17.775,18.267,17.908,17.6,17.817,18.083,17.875,17.3,17.8,17.783,16.317,17.067
9,Hong Kong,18.783,19.392,19.45,19.383,19.242,19.083,19.142,19.475,19.833,19.858,19.558,18.583,19.175,19.15,19.4,20.058,19.242,19.408,19.058,19.217,19.042,19.275,19.7,19.033,19.35,18.808,19.483,19.283,19.325,19.283,19.575,19.508,19.675,19.1,19.233,19.233,19.883,19.258,19.442,19.642,19.658,19.025,19.683,20.2,19.267,19.558,19.475,19.983,19.642,19.667,19.842,20.25,20.075,20.292,19.725,20.3,20.392,19.625,19.758,19.7,19.05,19.592
10,Jianfengling,20.592,21.117,20.9,20.683,20.392,20.55,20.717,20.767,21.15,21.083,20.933,20.583,20.617,21.008,21.233,21.667,20.375,20.35,20.483,20.667,20.042,20.85,21.3,20.35,20.883,20.517,20.85,20.958,21.058,21.367,21.267,20.933,20.942,20.3,20.8,21.092,21.867,21.067,21.142,21.683,21.808,21.525,21.467,21.983,21.508,21.433,21.792,22.6,21.825,21.967,22.208,22.467,22.292,22.108,22.075,22.125,21.167,20.7,21.85,22.167,21.025,22.033
