sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,24.692,24.725,24.767,24.7,24.758,24.75,24.667,24.817,24.583,24.817,24.533,24.317,24.525,24.7,24.625,24.617,24.683,24.692,24.692,24.692,24.808,24.992,25,25.125,24.9,24.867,25.133,25.158,25.025,24.6,24.867,24.742,24.833,24.775,24.792,24.783,25.075,24.933,24.967,25.125,25.342,25.192,25.175,25.242,25.258,25.042,24.908,24.75,24.833,24.3,24.867,25.292,25.425,24.95,25.042,24.7,24.592,24.683,24.367,24.5,24.658,24.583,24.2,24.517,24.775,24.792,24.25,23.442,24.642,24.367,24.275,24.708,25.258,24.375,24.608,25.142,24.7,24.5,24.6,25.067,24.8,25.033,25.317,24.658,24.367,24.783,25.608,25.242,24.342,24.583,25.375,24.742,24.858,24.417,25.167,25.55,25.567,25.408,25.767,25.917,25.525,26.258,25.867,25.608,25.65,25.942,25.6,25.492,26.1,26.025,25.783,25.667,25.85,26.1
Ituri_(Edoro_and_Lenda),29.358,29.358,29.358,29.358,29.358,29.358,29.358,29.358,29.358,29.267,29.325,29.283,29.267,29.358,29.333,29.267,29.25,29.267,29.4,29.258,29.317,29.358,29.475,29.375,29.317,29.383,29.542,29.475,29.508,29.333,29.325,29.317,29.442,29.358,29.383,29.383,29.442,29.467,29.4,29.425,29.967,29.775,29.625,29.683,29.575,29.25,29.467,29.35,29.633,29.117,29.375,29.467,29.767,29.242,29.225,28.925,29.458,29.775,29.358,29.175,28.967,29.092,29.05,29.108,29.342,29.45,29.283,29.1,29.492,29.525,29.408,29.308,29.75,29.392,29.092,29.283,29.408,29.367,29.158,29.208,29.325,29.208,29.558,29.492,29.075,29.358,30.25,29.892,28.992,29.567,29.758,29.483,29.55,29.283,30.125,29.758,30.317,29.817,29.642,30.25,30.783,30.817,30.775,30.417,30.933,30.483,30.367,30.642,31.167,30.958,30.308,29.983,30.25,30.275
Wanang,30.95,30.95,30.967,30.558,30.783,31.008,30.7,30.7,31.292,31.25,30.925,31.033,30.842,30.683,31.092,31.175,31.125,30.5,30.608,30.925,30.958,30.925,30.625,30.967,30.592,31.067,30.783,30.9,30.458,30.608,30.375,30.925,31.042,31.092,30.958,30.925,31.267,30.867,30.975,30.9,30.392,31.25,30.758,30.725,30.85,30.55,31.042,30.808,30.942,31.025,30.583,30.733,30.525,30.508,30.375,30.633,30.583,30.742,30.625,30.45,30.433,30.525,30.733,30.492,30.125,30.342,30.258,30.517,30.767,30.708,30.883,30.942,31.125,30.933,30.825,30.867,30.942,31.242,31.325,31.383,31.367,31.25,31.333,31.183,31.175,31.383,31.45,31.35,31.358,31.492,31.225,31.167,31.358,30.967,30.808,30.975,30.942,30.933,30.933,30.9,30.908,30.95,31.083,31.042,30.933,30.942,30.942,30.933,30.95,30.975,30.95,30.95,30.967,30.95
Kuala_Belalong,30.575,30.567,30.367,30.208,30.325,30.4,30.092,30.317,30.292,30.242,30.233,30.5,30.467,30.725,30.867,30.4,30.258,30.025,30.5,30.45,30.192,30.317,30.208,30.325,30.183,30.433,30.525,30.492,30.117,30.6,30.825,30.383,30.442,30.233,30.533,30.583,30.583,30.442,30.325,30.292,30.817,30.55,30.55,30.55,30.55,30.567,30.717,30.525,30.517,30.875,31.05,30.625,31.067,30.683,30.4,30.35,30.908,30.917,30.667,30.8,30.275,30.008,29.925,30.242,30.25,30.758,30.7,30.65,30.65,30.517,30.458,30.925,30.875,30.642,30.492,30.033,30.033,30.442,30.575,30.65,30.883,30.883,31.058,30.167,30.542,30.475,30.875,30.642,30.533,30.85,30.783,30.858,30.65,30.758,30.667,30.575,30.933,31.217,30.733,30.792,30.808,31.008,30.625,30.617,30.642,30.525,30.433,30.317,30.817,30.842,30.625,30.908,30.883,30.775
Danum_Valley,29.117,29.083,28.667,28.367,28.625,28.742,28.283,28.592,28.542,28.5,28.475,28.725,28.717,28.95,29.175,28.717,28.583,28.367,28.7,28.658,28.408,28.583,28.467,28.6,28.442,28.642,28.817,28.808,28.392,28.867,29.117,28.725,28.733,28.55,28.8,28.833,28.817,28.692,28.667,28.717,29.125,29.017,29.017,29.017,29.017,29.067,29.283,28.825,28.817,28.933,28.892,28.775,29.075,29.05,28.875,28.85,29.217,29.192,28.925,28.875,28.65,28.342,28.275,28.45,28.483,29,28.75,28.875,28.992,28.883,28.9,29.125,29.167,29.217,29.158,28.667,28.658,28.967,29.017,29.058,29.333,29.308,29.467,28.95,29.117,29.042,29.483,29.375,29.217,29.433,29.333,29.35,29.175,29.133,29.092,28.892,29.183,29.517,29.1,29.3,29.375,29.467,29.117,29.208,29.133,29.033,28.875,28.775,29.217,29.092,29.15,29.308,29.158,29.167
Lambir,30.083,30.083,29.967,29.85,29.933,29.975,29.758,29.917,29.892,29.867,29.892,30.125,30.083,30.333,30.442,30.025,29.825,29.6,30.142,30.067,29.825,29.933,29.833,29.933,29.808,30.05,30.092,30.108,29.733,30.183,30.442,29.967,30.033,29.817,30.117,30.15,30.192,30.008,29.925,29.867,30.492,30.083,30.083,30.083,30.083,30.083,30.183,30.133,30.142,30.608,30.708,30.25,30.75,30.325,30.058,29.842,30.367,30.4,30.117,30.35,29.717,29.533,29.392,29.733,29.75,30.308,30.333,30.183,30.15,30.058,30.017,30.475,30.375,30.167,30.058,29.542,29.558,29.983,30.15,30.183,30.458,30.442,30.583,29.642,30.05,29.983,30.392,30.15,30.05,30.4,30.325,30.392,30.217,30.342,30.2,30.225,30.55,30.842,30.317,30.4,30.375,30.608,30.167,30.158,30.167,30.108,29.975,29.817,30.317,30.342,30.058,30.425,30.483,30.242
Pasoh,30.008,30.008,29.95,29.892,30.175,30.192,29.95,29.958,29.983,29.958,30.775,30.833,30.8,31.083,30.925,30.625,30.283,30.083,30.983,30.75,30.533,30.508,30.467,30.233,30.683,31.1,30.733,30.808,30.583,31.008,31.1,30.492,30.475,30.292,30.708,30.717,30.825,30.692,30.408,30.75,31.233,30.008,30.067,30.092,30.05,29.867,29.825,30.792,30.6,30.492,29.592,29.558,29.617,29.433,29.533,29.342,29.65,30.125,29.825,29.708,29.725,29.475,29.992,29.542,29.667,29.733,29.25,29.817,29.917,29.9,29.342,29.808,29.675,29.483,29.442,29.85,30.292,30.325,30.4,30.217,30.275,30.167,30.692,29.7,30.175,30.258,30.558,30.308,30.2,30.775,30.7,30.783,30.583,30.567,30.4,30.492,30.908,31.4,30.392,30.575,30.633,31.283,30.758,30.8,30.933,30.45,30.4,30.308,30.533,30.85,30.408,30.508,30.675,30.792
Palanan,29.825,29.867,29.325,28.875,29.575,29.6,29.342,29.1,29.592,29.108,29.117,29.567,29.308,29.425,29.65,28.767,28.35,29,29.6,29.842,28.9,29.825,29.075,29.617,29.183,29.317,29.508,29.658,29.125,29.967,30.1,29.317,29.95,28.983,29.608,29.425,29.6,29.35,29.275,29.283,29.867,29.708,29.192,29.467,29.25,30.017,29.933,29.925,29.25,29.192,29.917,30.25,30.142,30.258,29.475,29.558,30.05,29.817,30.117,29.975,29.908,29.392,28.9,29.25,29.15,29.408,29.008,29.142,29.808,29.842,28.808,29.525,30.125,29.7,30.067,29.375,29.633,29.758,29.75,29.742,29.467,29.692,30.592,30.067,30.175,29.258,30.142,30.367,30.592,30.267,30.225,30.65,30.158,30.358,29.808,29.7,29.767,31.15,30.092,30.1,30.075,30.208,30.233,29.883,29.967,30.725,30.2,29.858,29.717,30.375,29.808,30.233,30.525,29.9
Bukit_Timah,30.65,30.65,30.642,30.633,30.658,30.683,30.642,30.642,30.65,30.642,31.4,31.483,31.383,31.692,31.55,31.233,30.833,30.608,31.567,31.375,31.125,31.158,31.083,30.917,31.175,31.583,31.267,31.3,30.925,31.467,31.6,30.725,30.792,30.467,31.025,31.033,31.217,31.067,30.933,31.417,31.908,30.667,30.733,30.7,30.683,30.542,30.408,31.225,31.158,30.992,30.892,30.9,31,30.65,30.575,30.35,30.675,31.025,30.55,30.592,30.767,30.383,30.567,30.408,30.717,30.85,30.342,30.333,30.692,30.3,30.108,30.508,30.158,29.8,30.275,30.342,30.558,30.425,30.642,30.767,30.875,31.217,31.433,30.508,31.167,31.058,31.3,30.967,30.767,31.433,31.508,31.35,31.333,31.467,31.417,31.417,32.05,31.967,31.392,31.442,31.583,32.083,31.525,31.567,31.808,31.425,31.233,31.008,31.267,31.292,30.817,31.1,31.283,31.592
Sinharaja,29.575,29.4,29.492,28.883,29.325,29.358,29.058,29.142,29.058,29.467,30.042,29.7,29.358,29.767,29.733,29.233,29.267,29.467,29.692,29.417,29.55,29.367,29.075,29.4,29.217,29.592,29.383,29.683,29.375,29.467,29.658,29.392,29.175,29.208,29.342,29.475,29.683,29.725,29.492,29.875,29.883,29.733,29.367,29.425,29.6,29.792,29.583,29.7,29.517,29.642,29.483,29.742,29.708,29.333,29.117,29.175,29.442,29.783,29.575,29.45,29.4,29.517,29.483,29.942,29.875,29.983,29.75,29.733,29.925,29.742,29.542,30.033,30.192,29.758,29.667,29.817,29.758,29.833,29.875,30.225,29.775,29.75,30.275,29.717,29.867,29.817,30.467,30.392,30.158,30.308,30.142,30.208,30.242,30.192,30.483,30.258,30.408,30.967,30.267,30.2,30.475,30.492,30.517,30.408,30.433,30.275,30.258,30.075,30.358,30.55,30.417,30.5,30.567,30.65
