site_code,year,month,day,hour,minute,second,time_decimal,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
MLO,1973,1,1,0,0,0,1973,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,2,1,0,0,0,1973.084932,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,3,1,0,0,0,1973.161644,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,4,1,0,0,0,1973.246575,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,5,1,0,0,0,1973.328767,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,6,1,0,0,0,1973.413699,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,7,1,0,0,0,1973.49589,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,8,1,0,0,0,1973.580822,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,9,1,0,0,0,1973.665753,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,10,1,0,0,0,1973.747945,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,11,1,0,0,0,1973.832877,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1973,12,1,0,0,0,1973.915068,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1974,1,1,0,0,0,1974,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1974,2,1,0,0,0,1974.084932,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1974,3,1,0,0,0,1974.161644,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1974,4,1,0,0,0,1974.246575,-999.99,-99.99,0,19.536,-155.576,3437,3397,40,*..
MLO,1974,5,1,0,0,0,1974.328767,333.16,0.34,14,19.536,-155.576,3437,3397,40,...
MLO,1974,6,1,0,0,0,1974.413699,332.11,0.46,26,19.536,-155.576,3437,3397,40,...
MLO,1974,7,1,0,0,0,1974.49589,331.11,0.49,24,19.536,-155.576,3437,3397,40,...
MLO,1974,8,1,0,0,0,1974.580822,329.09,0.64,27,19.536,-155.576,3437,3397,40,...
