Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,83.567,83.567,83.567,83.567,83.567,83.567,83.567,83.567,83.567,83.567,80.933,83.808,82.425,83.717,82.483,82.442,84.475,85.458,83.258,83.367,81.95,82.133,84.092,83.192,84.408,85.858,85.433,83.042,85.083,85.133,82.2,84.725,82.825,81.708,84.667,84.258,82.042,84.025,81.05,86.892,84.625,82.683,82.45,80.142,81.883,82.525,84.692,83.75,84.508,83.783,83.6,84.05,82.825,84.308,83.8,84.208,84.992,85.225,83.15,83.567,82.583,85.3
2,Ituri,69.883,69.583,65.4,68.633,68.808,68.175,68.9,69.983,70.4,74.508,73.983,71.55,71.125,71.317,68.358,69.783,69.317,68.083,68.983,70.183,66.425,70.95,67,69.317,71.033,70.258,71.458,71.583,69.517,71.758,69.35,70.458,74.775,66.5,70.742,69.175,64.692,66.933,68.683,68.258,68.858,70.092,66.642,68.725,69.742,69.733,70.275,69.025,69.225,68.233,70.408,69.558,68.633,68.225,67.017,68.508,69.742,68.383,68.975,69.025,69.525,69.158
3,Rabi,90.233,90.258,90.233,90.233,90.217,90.225,90.25,90.233,90.233,90.233,89.458,90.133,89.175,89.383,89.475,89.875,90.483,90.617,89.208,90.283,89.967,89.942,90.85,90.158,90.975,90.675,92.908,90.692,90.817,91.383,90.458,92.05,90.033,88.692,90.408,88.6,89.242,89.983,89.7,91.05,90.792,89.583,88.167,86.992,86.775,90.433,90.383,91.242,91.058,91.417,89.833,90.342,89.942,91.358,90.783,90.092,91.017,89.908,90.192,89.817,90.65,91.317
4,Mpala,70.867,64.775,64.933,61.983,67.025,62.392,66.742,66.542,70.842,72.95,70.783,66.383,71.508,70.058,66.95,70.175,70.417,70.875,68.792,73.175,66.783,71.917,67.858,68.367,69.042,68.017,75.617,74.35,71.317,67.625,70.217,70.258,69.3,65.1,70.708,69.592,67.258,71.35,72.358,71.592,68.9,68.842,67.242,69.783,71.333,71.017,72.858,71.533,71.5,70.783,70.1,73.217,65.233,68.908,66.75,66.85,68.6,68.275,67.867,68.042,68.617,67.692
5,Wanang,67.617,70.1,73.208,72.65,71.05,71.233,72.025,69.383,74.05,74.408,76.067,73.942,74.3,77.483,73.708,75.658,77.025,73.65,74.058,73.908,72.958,69.958,74.467,73.158,75.208,75.608,76.017,76.017,77.742,75.267,74.117,74.467,73.992,74.308,73.533,72.958,74.433,74.925,73.817,75.258,74.667,73.492,74.783,74.667,74.7,74.75,75.017,73.175,73.917,74.6,76.208,76.025,74.383,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6
6,Kuala Belalong,69.483,69.733,66.025,66.4,67.675,68.55,67.758,69.15,70.067,69.858,69.142,72.083,73.7,70.35,69.225,68.275,67.958,67.025,69.583,70.167,68.733,66.292,69.258,69.65,69.125,69.033,71.858,69.017,69.083,67.625,68.183,67.017,68.008,71.05,68.317,70.125,70.533,71.942,70.183,69.325,70.367,68.583,70.408,70.058,72.233,68.142,62.608,64.233,72.183,70.125,69.867,62.342,69.592,67.675,71.592,71.867,70.083,71.258,70.292,67.358,73.817,67.792
7,Dinghushan,74.883,72.883,77.2,72.283,64.875,71.333,74.317,69.525,73.983,71.842,73.475,65.842,61.942,70.817,71.233,69.467,69.858,71.342,70.567,76.842,63.917,72.3,75.45,70.267,75.5,71.183,68.508,72.367,69.392,69.025,72.45,71.767,69.45,72.608,73.1,66.042,74.075,71.208,69.725,72.7,68.917,67.467,69.617,70.4,69.35,70.7,76.467,71.708,69.058,69.55,68.533,70.517,65.108,65.65,74.9,74.592,69.167,71.008,68.375,70.883,64.475,72.458
8,Heishiding,75.55,72.617,77.375,72.967,65.908,71.467,75.875,71.567,76.192,72.933,75.65,67.292,64.092,73.658,73.975,71.583,72.425,74.708,71.883,79.642,65.992,74.95,76.317,72.383,77.625,73.117,70.433,72.825,70.633,70.975,74.575,74.083,70.2,73.567,73.483,66.858,75.725,72.875,70.533,73.458,69.15,67.642,71.125,72.575,71.783,72.367,77.033,72.617,70.242,71.208,70.992,72.675,67.175,67.583,76.058,75.367,70.533,72.75,69.325,71.708,66.775,74.533
9,Hong Kong,70.15,69.858,73.75,69.817,61.833,68.792,68.233,66.1,68.525,69.092,68.975,63.058,56.525,67.225,65.275,66.067,66.75,64.4,66.242,74.7,61.025,70.417,72.033,69.325,73.85,66.967,64.333,70.883,66.183,66.008,68.433,67.975,68.142,71.067,69.908,61.992,68.183,66.383,65.867,68.05,64.75,63.917,65.908,66.133,65.725,66.042,70.608,69.442,65.083,65.15,65.542,64.367,59.475,60.658,66.425,67.692,62.542,65.05,65.042,67.733,63.383,72.992
10,Jianfengling,70.842,68.883,71.125,65.167,62.375,66.258,67.492,66.675,70.433,71.242,70.325,68.558,59.65,68.208,65.917,70.55,71.8,66.8,66.6,74.4,67.483,68.475,68.967,72.217,73.233,67.942,66.683,72.733,65.708,66.283,70.142,67.075,69.017,71.675,77.083,65.883,65.3,71.617,69.267,70.475,62.967,65.867,66.742,70.058,70.1,68.192,69.108,67.442,70.392,69.317,72.533,71.142,64.8,61.383,69.225,66.5,70.508,70.933,67.725,68.758,73.517,67.1
