Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,1046.3,1046.3,1034.2,1040.2,1031.1,1031.1,1040.2,1046.3,1037.2,1040.2,1052.4,1031.1,1055.5,1034.2,1022,1046.3,1025,1000.7,1034.2,1022,1049.4,1046.3,1040.2,1040.2,1019,1000.7,1031.1,1043.3,1028.1,1037.2,1070.7,1028.1,1067.6,1067.6,1037.2,1031.1,1076.8,1040.2,1082.8,1015.9,1028.1,1064.6,1073.7,1079.8,1073.7,1061.5,1028.1,1070.7,1037.2,1049.4,1037.2,1046.3,1058.5,1034.2,1052.4,1034.2,1025,1034.2,1061.5,1058.5,1067.6,1034.2
2,Ituri,1146.7,1149.8,1207.5,1165,1161.9,1155.8,1161.9,1161.9,1134.5,1098,1095,1122.4,1128.5,1134.5,1165,1152.8,1155.8,1165,1149.8,1146.7,1195.4,1137.6,1192.3,1165,1128.5,1152.8,1134.5,1131.5,1137.6,1116.3,1143.7,1134.5,1104.1,1171,1128.5,1146.7,1219.7,1183.2,1137.6,1158.9,1174.1,1146.7,1180.2,1155.8,1168,1158.9,1171,1158.9,1161.9,1180.2,1180.2,1189.3,1195.4,1192.3,1219.7,1186.3,1171,1192.3,1198.4,1201.5,1168,1165
3,Rabi,955.08,970.29,961.17,955.08,961.17,952.04,945.96,945.96,964.21,964.21,970.29,949,988.54,976.37,967.25,967.25,961.17,949,961.17,955.08,961.17,930.75,939.88,949,924.67,924.67,912.5,936.83,930.75,936.83,936.83,927.71,952.04,982.46,945.96,958.13,955.08,961.17,958.12,936.83,949,945.96,973.33,982.46,997.67,955.08,945.96,973.33,945.96,939.88,964.21,973.33,964.21,933.79,952.04,973.33,949,952.04,955.08,964.21,958.12,958.13
4,Mpala,1244,1295.8,1317,1326.2,1286.6,1359.6,1274.5,1265.3,1222.8,1222.8,1241,1280.5,1234.9,1274.5,1304.9,1262.3,1238,1222.7,1253.2,1171,1280.5,1219.7,1280.5,1277.5,1265.3,1289.7,1201.5,1195.4,1234.9,1259.2,1247.1,1274.5,1277.5,1286.6,1219.7,1253.2,1301.8,1256.2,1234.9,1216.7,1280.5,1250.1,1292.7,1219.7,1241,1274.5,1277.5,1259.2,1320.1,1311,1289.7,1301.8,1329.2,1307.9,1314,1314,1298.8,1289.7,1323.1,1323.1,1295.8,1304.9
5,Wanang,1219.7,1198.4,1161.9,1161.9,1177.1,1177.1,1177.1,1198.4,1155.8,1149.8,1131.5,1149.8,1171,1119.3,1149.7,1131.5,1116.3,1161.9,1171,1158.9,1189.3,1222.8,1186.2,1189.3,1174.1,1174.1,1171,1186.2,1165,1195.4,1198.4,1198.4,1192.3,1189.3,1198.4,1207.5,1201.5,1177.1,1198.4,1195.4,1186.2,1195.4,1192.3,1171,1168,1171,1171,1174.1,1177.1,1177.1,1168,1165,1180.2,1183.2,1171,1180.2,1180.2,1177.1,1177.1,1174.1,1180.2,1177.1
6,Kuala Belalong,1204.5,1174.1,1225.8,1213.6,1180.2,1177.1,1210.6,1189.3,1171,1183.2,1171,1131.5,1116.3,1152.8,1174.1,1186.2,1204.5,1204.5,1155.8,1134.5,1177.1,1213.6,1186.2,1165,1183.2,1155.8,1107.2,1158.9,1168,1180.2,1158.9,1180.2,1186.2,1122.4,1158.9,1131.5,1149.8,1134.5,1137.6,1158.9,1152.8,1171,1137.6,1146.7,1128.5,1158.9,1238,1256.2,1140.6,1165,1171,1256.2,1174.1,1186.2,1146.7,1143.7,1158.9,1119.3,1158.9,1189.3,1113.2,1189.3
7,Dinghushan,955.08,988.54,918.58,991.58,1064.6,1025,976.38,1043.3,1000.7,1009.8,997.67,1049.4,1131.5,1043.3,1015.9,1073.7,1040.2,1015.9,1012.9,945.96,1067.6,1006.8,964.21,1040.2,958.13,1000.7,1064.6,1000.7,1028.1,1061.5,1000.7,994.63,1031.1,991.58,1009.8,1104.1,1009.8,1022,1067.6,1049.4,1104.1,1079.8,1049.4,1067.6,1079.8,1025,952.04,1046.3,1064.6,1058.5,1064.6,1067.6,1128.5,1195.4,1085.9,1085.9,1137.6,1101.1,1158.9,1088.9,1125.4,1022
8,Heishiding,939.88,958.13,927.71,970.29,1049.4,988.54,942.92,1034.2,964.21,988.54,952.04,1031.1,1092,991.58,979.42,1031.1,994.62,970.29,982.46,897.29,1037.2,970.29,930.75,1003.7,921.63,952.04,1040.2,979.42,994.62,1009.8,952.04,945.96,994.63,961.17,979.42,1061.5,976.38,976.38,1046.3,1012.9,1082.8,1064.6,1006.8,1015.9,1025,994.63,936.83,1019,1019,1019,997.67,1000.7,1076.8,1125.4,1022,1049.4,1082.8,1046.3,1107.2,1046.3,1082.8,979.42
9,Hong Kong,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,Jianfengling,1134.5,1180.2,1146.7,1241,1250.1,1213.6,1171,1192.3,1161.9,1131.5,1137.6,1143.7,1222.8,1152.8,1168,1161.9,1119.3,1137.6,1171,1107.2,1158.9,1137.6,1183.2,1119.3,1125.4,1155.8,1225.8,1119.3,1207.5,1213.6,1152.8,1161.9,1183.2,1128.5,1070.7,1195.4,1234.9,1143.7,1168,1125.4,1262.3,1225.8,1216.7,1189.3,1183.2,1201.5,1165,1228.8,1168,1177.1,1143.7,1174.1,1259.3,1304.9,1280.5,1283.6,1204.5,1177.1,1247.1,1250.1,1149.8,1244
