Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,2577.1,2585.8,2389.5,3135.4,2684.4,2782.6,2848.2,2495.5,2627.5,2703.2,2613.1,2873.1,2484,2353.7,2784.9,2333.3,2404.2,2445.8,2825.8,2442.9,2578.8,2628.3,1978.8,1869.2,1832,2112,2320.6,2919.9,2543.9,3137.3,2482.7,2508.2,1958.2,2252.3,2632.8,2357.3,2492.2,2355.7,2439.8,2478.8,2439.4,2251.1,2040.8,2329.5,2340,2609.8,2927.8,2227.1,2513.7,2427.4,2257.8,2330.3,2547,2682.6,2215.4,2597,2806.8,2589.4,2466.3,2224.3,2271.2,2314.3
2,Ituri,1522.3,1385.5,1326.7,1560.3,1560.8,1595.5,1417.9,1502,1503.5,1275.3,1647,1596.1,1616.9,1401.9,1218.3,1255.6,1236.2,1215.9,1200.9,1303.7,1151.9,1351,1043.3,1314.8,1372.4,1510,1459.1,1214,1219.4,1236.5,1442.3,1574.6,1626.6,1513.6,1534.6,1450.7,1796.6,1851,1559.6,1468.7,1493.1,1783.7,1279,1667.5,1079.1,845.6,1296.9,1100.9,1160.4,1163.4,1282.3,1585,1465.2,1413.8,1235,1484.1,1692,1324.1,1398.9,1565.9,1426.9,1397.1
3,Rabi,2156,2011.4,1607.3,2278.2,2987.7,1924.5,2374.4,1114.9,2657,2488.4,2687,1937.2,1947.3,1493.5,1575.7,2080.6,2157,2058.8,1992.5,2549.3,1535.5,1582.6,2145,1790.9,2360.2,2230.8,1864.7,1535.3,1985.8,1694.4,1906.7,1481.7,1314.1,2099.2,2444.3,1753,2065.1,2567.5,2206.2,1877.4,1833.9,1433.5,1777.2,1750.6,1927.5,1893.7,2164.3,2186.2,1978.4,2011.2,1748.2,1895.8,1985.6,1848.4,1643.3,1992.2,2161.8,2136.8,2167.6,1927.7,2062.4,2177.3
4,Mpala,1159.1,412.4,741.2,814.4,868,944.9,912.7,969,856.2,594.4,1140.7,853.4,1210.5,823.5,594.1,718.1,866.2,1085.2,792.7,1015.7,885.1,743.1,548.5,607.5,870.6,732.3,1162.1,1133.7,865.3,457.2,903.8,606,710,384.6,602.1,803.1,574.1,796.2,900.7,1039.6,658.7,796.4,688.4,878.1,921.9,703.3,1060.8,1023.2,794.3,520.9,823.9,904.2,821.9,795.2,664.1,857.1,821.8,780.6,762.2,762.6,763.5,936.2
5,Wanang,3213.9,3630.1,3229.8,3425.4,3701.1,2803.2,2923.5,3418.7,3474.1,4056.9,3885.7,3215,3074.9,3205.2,3676.6,3929.2,3343.4,3496.1,3744.9,3425.3,3325.7,3499.5,4078.1,2874.1,3626.2,3072.2,3805.4,3132.7,3107.2,3071.6,3734.6,3088.3,3645.3,3202.8,3748.5,3125.5,3104.4,3594.1,3506,3182,3198.9,3312.6,2647,2569.4,3232.7,3733.7,3342.9,3373.4,3407,3370.6,3452.6,3417.4,3394.5,3407,3410.8,3391.9,3582.7,3489.1,3616.1,3679,3500.5,3539.7
6,Kuala Belalong,3855.3,4117,3562.5,4129.2,4294.1,4147.9,3514.4,3012.4,3752,4337.1,3498.7,4213.9,3428.6,3674.3,3509.7,4010.8,3484.4,3776.5,3406.7,4018.9,4038.7,3146.4,4487.4,4100.9,3669.8,3728.8,4016.6,3045.2,4129.1,3664,3672.3,3302.8,3344.5,4727.1,3556.5,3644.5,2931.7,3695.1,3536.2,2938.2,2946.6,2867.7,3262.9,3063.8,3471,4249.1,3492.1,3765.6,4346.8,4208.6,4034.9,3121.6,3601.7,3028.2,3912.1,3934.7,4571.1,4969.6,3984.9,5484.8,4496.7,4153
7,Dinghushan,2113.3,1903.5,2013.5,1702.6,1874.4,1232.6,2082.2,1477.1,2064.1,1720.6,2227.3,1642.6,1175.3,1698.1,2152.2,1549.5,1629.9,1620,1837.8,1627,1712.7,2097.4,2099.5,1688.7,2138.5,1652.3,1391.9,1772.5,1756.1,1669.8,1932.7,1732.5,2244.8,1487.4,1762.6,1554.2,1807.7,1814.6,1831.9,1399.9,1331,1958.6,2197.4,1946,1829.2,1813.7,2390.1,1858.9,1758.9,1884.6,2851.4,1974.4,1474.3,1742.5,2116.1,2265.9,1511.8,1915.1,1581.8,2445.1,1679.7,1941.6
8,Heishiding,1981,1842.8,1752,1546.1,1677.3,1145.3,2029.4,1372.7,2018.9,1664.7,2123,1555.6,1168.8,1639.5,1960,1703.3,1602.7,1752.8,1875.8,1710.8,1741.2,1954.9,1926.1,1537,1972.4,1632.9,1221.9,1714.8,1814,1514.9,2003.4,1672.9,2015.8,1450.1,1812.3,1428.5,1646.6,1649.9,1446.7,1443.6,1059.4,1819.5,1575.8,1925.8,1680.3,1699.9,2219.7,1745.4,1643.9,1698.7,2653.6,1803.8,1455.2,1575.6,1893,1994.7,1415.9,1845.6,1460.5,2175.5,1521.2,1787.8
9,Hong Kong,2459.2,2458.2,2417.6,1481.5,2360.1,1721.9,2896.5,2062.1,2847.6,2300,2245.3,1714.7,1012.9,1898.5,2483.6,2214.8,1727.3,2266.9,1839.9,2118.8,1627.9,2584.6,3177.3,2443.4,3212.4,2175.9,1504.2,2561.8,2489.1,1658.3,1922.1,3414.3,3058,1869.9,2520.8,2473.2,2547.9,1787.5,1920.7,2096.2,1931.9,2714.4,2348.2,2558.3,2688,2130.8,3354.2,2623.1,2111.8,2783.5,2888.2,2381.1,1846.8,1711,3126.3,2535,1587.8,2441.2,2219.3,2348.5,1495.7,1919.2
10,Jianfengling,2632.6,1864.5,3134.2,1872.6,2949.6,2052.5,2033.9,1612,1830.2,2360,2065.6,1974.6,2192.6,2677.6,1858.2,1900.2,1526.1,1446.8,937.4,2257.4,1632.6,2401.4,2490.7,2393.4,2636,1545.6,1975.7,2855.3,1164.4,2780.2,1884.4,1754.5,2267.4,1531.1,1602.3,1976,1471.4,2107.3,1851.4,3173.9,1506.1,1899.8,1606.5,2103.5,1997.3,2011.8,2215.2,1881.8,2136.5,2472.9,2455.4,2432.1,1772.8,1562.2,2426.1,1693.8,1714.1,2570.3,2402.1,2408.1,2763.6,2937
