Id,Site ,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1,Korup,27.183,26.783,26.767,26.733,26.483,26.642,26.925,27.067,27.358,27.3,27.367,27.492,28.333,27.408,28.183,28.15,27.5,28.392,28.767,28.567,27.117,27.9,28.367,27.058,27.175,27,27.508,27.442,28.242,27.808,27.442,27.425,27.717,27.558,27.808,27.633,28.842,28.142,27.617,28.4,28.275,27.358,27.6,27.692,28.408,27.95,28.392,28.783,28.042,28.008,28.242,28.3,28.892,28.75,28.917,28.742,28.683,28.192,28.858,29.408,28.592,28.458
2,Ituri,22,22.042,21.833,21.742,21.592,21.3,22.033,22.65,22.5,22.142,22.208,21.708,21.85,21.608,21.458,21.958,21.533,21.2,22.492,22.433,21.142,22.208,22.092,21.4,21.7,21.625,22.408,22.275,22.175,22.667,22.542,22.758,22.867,22.45,22.375,22.442,23.033,22.758,21.975,23.058,22.308,22.4,22.367,22.217,23.05,22.6,23.35,23.017,22.533,23.042,24.067,24.333,24.517,23.725,24.117,23.867,23.8,24.058,24.683,24.125,23.817,22.992
3,Rabi,27.983,27.825,27.475,27.208,26.95,27.175,27.883,27.7,27.825,28.158,27.225,27.725,28.008,27.525,27.783,28.075,27.35,27.517,28.292,28.167,27.217,27.425,27.417,26.867,26.642,26.475,27.217,26.742,27.617,27.258,27.208,26.908,27.692,27.567,27.208,27.375,28.325,27.917,27.333,27.908,27.808,27.425,27.392,27.458,27.992,27.708,27.95,28.617,27.683,27.783,27.975,28.375,28.3,27.908,28.233,28.075,28.017,27.592,28.008,28.325,27.958,28.083
4,Mpala,12.983,13.408,13.083,12.642,12.875,11.65,12.825,13.217,13.167,12.992,13.108,12.542,12.417,12.025,12.033,12.633,12.433,11.633,12.742,13.433,11.892,13.208,13.175,12.008,12.467,12.867,13.025,12.933,12.95,13.275,12.867,12.758,13.25,12.592,12.9,13.058,13.383,13.25,12.533,13.083,13.017,13.158,12.592,13.133,13.6,13.25,13.117,13.417,12.808,13.317,13.4,13.825,13.742,13.358,13.45,13.583,13.333,13.25,13.8,13.6,13.708,13.275
5,Wanang,27.733,28.125,27.842,28.042,28.033,28.167,27.833,28.167,27.85,27.358,27.275,27.733,27.108,27.625,27.017,27.558,27.15,27.475,27.633,27.933,27.433,27.3,27.992,27.625,27.492,27.2,27.542,27.658,27.992,27.908,28.05,27.542,28.283,28.058,27.625,27.875,28.367,28.442,28.2,28.108,27.833,27.967,28.158,27.733,27.575,27.642,27.6,28.092,27.717,27.733,27.692,27.75,27.992,27.792,27.858,27.642,27.633,27.642,27.683,27.842,27.55,27.692
6,Kuala Belalong,29.417,29.683,29.542,28.875,29.05,28.508,29.333,29.692,29.408,29.3,28.692,28.833,28.85,28.925,28.375,29.567,28.275,28.55,29.008,29.292,28.45,28.992,29.583,28.825,28.742,28.433,29.2,29.392,29.283,29.583,29.742,29.683,30.2,29.508,29.592,29.833,30.067,29.933,29.75,30.167,30.117,30.067,30.1,30.225,30.15,30.108,30.267,30.292,29.975,30.133,30.117,30.167,30.15,29.983,30.208,29.692,30.1,30,30.158,30.225,29.942,30.092
7,Dinghushan,21.917,22.867,22.792,21.442,20.742,20.658,21.35,20.925,21.692,21.658,22.05,21.192,21.375,21.575,21.858,21.633,21.158,21.55,20.958,21.625,20.775,21.7,22.225,21.308,22.017,20.842,21.275,21.375,20.983,21.233,21.542,21.925,21.508,20.533,20.95,20.575,21.967,20.783,21.033,21.517,21.3,20.525,21.292,21.842,20.775,20.833,21.75,22.15,21.283,21.283,21.425,21.758,21.392,19.642,20.667,20.717,20.5,20.117,20.067,20.325,19.842,21.517
8,Heishiding,21.375,22.525,22.275,21.458,20.842,20.533,21.108,20.667,21.525,21.533,21.842,20.958,21.208,21.325,21.642,21.442,21,21.358,20.783,21.4,20.6,21.533,22.075,21.1,21.825,20.6,21.158,21.275,20.983,21.258,21.508,21.692,21.458,20.375,20.708,20.533,21.65,20.35,20.742,21.408,21.033,20.258,21.067,21.792,20.9,20.533,21.583,21.975,21.15,21.025,21.308,21.683,21.367,19.658,20.817,20.508,20.25,19.9,20.033,20.225,19.517,21.208
9,Hong Kong,22.325,23.617,23.45,22.758,21.9,22.258,22.425,22.517,22.858,22.842,22.975,22.217,22.433,22.867,22.875,23.2,22.283,22.5,22.275,22.725,21.45,23.175,23.575,22.308,22.958,22.125,22.933,22.692,22.592,22.508,22.6,22.608,22.525,21.842,22.342,22.133,23.233,22.142,22.333,22.7,22.792,22.708,22.408,22.958,21.967,22.042,22.7,23.675,22.475,22.533,22.442,22.592,22.317,22.3,22.967,23.367,22.517,22.183,22.433,23,22.008,23.483
10,Jianfengling,24.333,25.125,25.117,23.767,23.3,23.442,23.85,23.683,24.067,24.417,24.425,23.483,23.433,23.933,24.267,24.892,23.583,23.917,23.9,23.867,22.692,24.2,24.175,23.267,23.942,23.483,23.175,24.233,23.933,24.35,24.442,24.3,23.725,23.508,24.075,23.708,24.608,23.875,24.125,25.025,24.6,24.067,23.942,24.717,23.967,23.792,25.058,25.633,24.633,24.6,25.075,25.192,24.783,23.8,22.95,23.708,23.05,22.725,22.717,23.45,22.175,23.658
11,Nonggang,21.992,22.333,22.375,21.267,21.092,20.508,21.125,20.875,21.567,21.417,21.733,21.083,21.133,21.533,21.367,21.683,21.017,21.592,21.217,21.467,20.675,21.325,21.958,20.958,21.633,20.683,20.95,21.475,21.3,21.817,21.9,22.025,21.3,20.867,20.983,21.175,21.758,20.392,20.9,22.15,21.692,20.85,21.4,22.1,21.333,20.792,21.792,22.083,21.542,21.033,21.808,22.233,21.975,20.692,21.158,21.675,20.975,20.658,20.483,20.8,20.008,20.775
