site,Mean Temperature  (C),Minimum Temperature (C),Maximum Temperature  (C),Diurnal Temperature Range (C),Frost Day Frequency (days per month),Vapour pressure (Hecta-Pascals),Mean Potential Evapotranspiration (PET) (mm/day),Precipitation (mm),Wet Day Frequency (rain days per month),Cloud Cover (%),Months with PPT<PET,Precipitation Seasonality (CV),Mean Jan Temperature  (C),Mean July Temperature (C),Min T of Coldest month  (C),Max T of Warmest month (C)
Mpala,17.71,10.11047619,25.37238095,15.26190476,2.209428571,13.2597619,1282.297143,779.0885714,147.692,69.3547619,10.02857143,69.68053667,16.43714286,16.98857143,7.66,27.54857143
Ituri_(Edoro_and_Lenda),24.24,18.53571429,30.00190476,11.46619048,0,23.15880952,1168.08,1429.105714,162.9908571,69.07095238,4.142857143,42.18781007,24.11428571,23.26571429,17.30285714,31.94
Wanang,26.44,21.83880952,31.09738095,9.258571429,0,27.85404762,1183.888571,3369.034286,228.6325714,74.51595238,0.542857143,43.76963807,26.80571429,25.77428571,21.16285714,31.91428571
Kuala_Belalong,26.7,22.725,30.72428571,7.999285714,0,30.03047619,1168.808571,3760.4,236.4225714,69.28238095,0.742857143,46.53391076,26.26285714,26.70571429,22.21142857,31.70285714
Danum_Valley,25.56,21.9802381,29.19809524,7.217857143,0,29.12595238,1104.074286,2725.428571,229.6651429,69.52571429,1.228571429,48.62141519,25.26285714,25.42,21.27142857,30.24571429
Lambir,26.39,22.57428571,30.26809524,7.693809524,0,30.24142857,1118.254286,3254.077143,241.928,70.97809524,0.885714286,49.4093725,25.81428571,26.59714286,21.83428571,31.32
Pasoh,26.27,22.03952381,30.55595238,8.516428571,0,29.63595238,1119.974286,1881.857143,227.8811429,73.47928571,2.514285714,48.01594717,25.68285714,26.43142857,21.35714286,31.58
Palanan,25.17,20.2752381,30.11642857,9.841190476,0,26.03047619,1246.094286,2710.54,175.7565714,64.68333333,3.057142857,71.6217598,22.51428571,26.6,17.51428571,32.82
Bukit_Timah,27.51,23.74119048,31.32619048,7.585,0,30.95642857,1172.714286,2308.631429,239.794,73.96261905,2.428571429,53.02149666,26.55714286,27.75142857,22.74571429,32.33714286
Sinharaja,26.87,23.505,30.28833333,6.783333333,0,28.03833333,1383.402857,2539.737143,129.6765714,64.79380952,3.285714286,64.32017065,26.22857143,27.00571429,21.87428571,31.76
Manaus,27.37,23.11809524,31.66142857,8.543333333,0,30.22880952,1168.534286,2191.471429,242.9894286,81.63285714,3.314285714,58.02294443,26.90285714,27.01428571,22.16571429,33.56857143
Amacayacu,25.79,21.03809524,30.60214286,9.564047619,0,30.0647619,1012.162857,2612.157143,270.3257143,81.96714286,0.714285714,40.64116887,25.82,25.32857143,20.02571429,31.75142857
Yasuni,25.93,20.2397619,31.66238095,11.42261905,0,26.27690476,1379.305714,3262.8,252.9805714,82.84738095,0.914285714,42.09221055,26.30285714,24.83142857,18.96,32.95714286
Scotty_Creek,-2.66,-8.280952381,2.963333333,11.23738095,231.3757143,5.228809524,514.5914286,381.3142857,107.2771429,61.21738095,6,71.52097256,-23.34857143,16.79714286,-29.64571429,23.36857143
Korup,25.71,21.25642857,30.21214286,8.955714286,0,27.25071429,1013.668571,2472.22,180.5151429,83.26595238,3.914285714,76.88994179,25.46,24.50285714,19.60571429,32.83714286
Khao_Chong,27.08,22.39095238,31.82333333,9.432380952,0,29.4097619,1206.38,2317.954286,176.1662857,72.26547619,3.457142857,67.80581923,26.26571429,27.21428571,21.09714286,34.12
Barro_Colorado_Island_(BCI),26.31,23.31761905,29.3647619,6.047142857,0,29.52214286,1309.254286,3004.72,201.554,57.78261905,3.971428571,75.32359308,25.75714286,26.91142857,22.08,30.9
Cocoli,26.64,23.14571429,30.19428571,7.048571429,0,29.28785714,1382.628571,1699.765714,187.2365714,55.68238095,4.571428571,74.81769455,26.25428571,27.19714286,21.86285714,31.83428571
San_Lorenzo/_Sherman,26.31,23.31761905,29.3647619,6.047142857,0,29.52214286,1309.254286,3004.72,201.554,57.78261905,3.971428571,75.32359308,25.75714286,26.91142857,22.08,30.9
Luquillo,25.59,22.33547619,28.88904762,6.553571429,0,28.38785714,1221.62,2396.428571,215.4202857,60.485,2.714285714,61.69055503,23.39428571,26.98571429,19.90285714,30.74285714
Kenting,23.51,20.015,27.04904762,7.034047619,0,23.49261905,NaN,2184.645714,184.2877143,67.74904762,NaN,84.36595042,18.41142857,27.70571429,14.65428571,31.40285714
Rabi,26.12,22.74404762,29.53142857,6.787380952,0,27.81190476,955.6457143,1957.74,138.0665714,90.15357143,4.285714286,84.86384833,27.34,23.59428571,20.29714286,31.68285714
Jianfengling,24.92,21.61880952,28.27833333,6.65952381,0,24.0302381,1201.702857,2096.771429,115.4425714,68.6647619,4.742857143,87.6745157,19.67714286,28.45428571,15.66,31.90571429
Mudumalai,24.37,19.19857143,29.57761905,10.37904762,0,21.93833333,1497.328571,1085.56,60.55657143,51.12214286,7.571428571,89.33331391,22.64,23.56285714,16.46857143,33.73714286
Nanjenshan,23.34,19.26142857,27.46166667,8.200238095,0,22.1602381,1267.357143,2142.66,150.6,67.4652381,5.457142857,99.62732723,18.73428571,26.84285714,13.71142857,30.67142857
Doi_Inthanon,23.1,17.045,29.1997619,12.1547619,0.022,21.98285714,1136.354286,1201.888571,146.3777143,55.28857143,6.314285714,97.63160419,19.39714286,23.83714286,10.77428571,34.06
Huai_Kha_Khaeng_(HKK),25.07,19.09904762,31.08619048,11.98714286,0,25.585,1201.911429,1441.634286,147.2808571,58.29595238,5.828571429,92.83202323,22.55428571,25.59428571,13.65714286,35.37142857
Mo_Singto,27.46,22.47809524,32.4847619,10.00666667,0,27.745,1298.417143,1675.831429,133.8585714,61.92833333,5.942857143,94.1328327,25.53428571,27.76285714,18.53428571,35.70857143
Dinghushan,21.96,18.4102381,25.56285714,7.152619048,0.644857143,21.04666667,1065.437143,1888.082857,168.8962857,70.30642857,4.171428571,85.71234258,13.39428571,28.74285714,9.188571429,32.70285714
