sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,69.917,69.95,69.942,69.9,69.9,69.942,69.942,69.908,69.95,69.95,69.942,69.908,69.908,69.933,69.908,69.942,69.942,69.933,69.933,69.942,69.942,69.933,69.742,69.575,69.5,69.7,69.692,69.875,69.892,69.958,69.858,69.892,69.883,70.1,69.908,70.042,69.933,69.8,69.975,69.842,69.925,69.958,70.217,70.308,70,69.908,69.925,70.325,70.067,69.55,70.867,64.775,64.933,61.983,67.025,62.392,66.742,66.542,70.842,72.95,70.783,66.383,71.508,70.058,66.95,70.175,70.417,70.875,68.792,73.175,66.783,71.917,67.858,68.367,69.042,68.017,75.617,74.35,71.317,67.625,70.217,70.258,69.3,65.1,70.708,69.592,67.258,71.35,72.358,71.592,68.9,68.842,67.242,69.783,71.333,71.017,72.858,71.533,71.5,70.783,70.1,73.217,65.233,68.908,66.75,66.85,68.6,68.4,67.825,68.042,68.617,67.642,68.467,69.617
Ituri_(Edoro_and_Lenda),69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.717,69.692,69.833,69.792,69.767,69.667,69.792,69.717,69.783,69.717,69.683,69.717,69.767,69.717,69.85,69.717,69.7,69.733,69.667,69.717,69.7,69.775,69.717,69.775,69.75,69.717,69.692,69.717,67.608,69.883,69.583,65.4,68.633,68.808,68.175,68.9,69.983,70.4,74.508,73.983,71.55,71.125,71.317,68.358,69.783,69.317,68.083,68.983,70.183,66.425,70.95,67,69.317,71.033,70.258,71.458,71.583,69.517,71.758,69.35,70.458,74.775,66.5,70.742,69.175,64.692,66.933,68.683,68.258,68.858,70.092,66.642,68.725,69.742,69.733,70.275,69.025,69.225,68.233,70.408,69.558,68.633,68.225,67.083,68.542,69.742,68.383,68.975,69.025,69.525,69.158,68.708,69.642
Wanang,74.7,74.667,74.725,74.7,74.667,74.692,77.833,77.442,77.075,75.958,74.767,74.417,75.375,74.533,72.842,75.192,74.817,74.367,73.325,73.892,74.15,73.15,72.658,72.825,72.125,72.15,72.1,71.5,72.875,72.225,72.567,71.092,72.817,71.5,69.35,71.308,71.575,72.783,73.625,73.633,73.517,74.083,72.567,74.092,74.008,73.7,74.908,74.95,75.142,70.975,67.617,70.1,73.208,72.65,71.05,71.233,72.025,69.383,74.05,74.408,76.067,73.942,74.3,77.483,73.708,75.658,77.025,73.65,74.058,73.908,72.958,69.958,74.467,73.158,75.208,75.608,76.017,76.017,77.742,75.267,74.117,74.467,73.992,74.308,73.533,72.958,74.433,74.925,73.817,75.258,74.667,73.492,74.783,74.667,74.7,74.75,75.017,73.175,73.917,74.6,76.208,76.025,74.383,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6,74.6
Kuala_Belalong,69.242,69.242,69.325,69.258,69.242,69.25,69.283,69.3,69.267,69.275,69.267,69.308,69.267,69.25,69.242,69.258,69.35,69.375,69.292,69.217,69.3,69.258,69.275,69.242,69.275,69.292,69.267,69.25,69.308,69.067,69.267,69.183,69.383,69.208,69.092,69.233,69.283,69.192,69.325,69.158,69.042,69.175,69.25,69.267,69.283,69.217,69.167,69.117,69.475,69.233,69.483,69.733,66.025,66.4,67.675,68.55,67.758,69.15,70.067,69.858,69.142,72.083,73.7,70.35,69.225,68.275,67.958,67.025,69.583,70.167,68.733,66.292,69.258,69.65,69.125,69.033,71.858,69.017,69.083,67.625,68.183,67.017,68.008,71.05,68.317,70.125,70.533,71.942,70.183,69.325,70.367,68.583,70.408,70.058,72.233,68.142,62.608,64.233,72.183,70.125,69.867,62.342,69.55,67.683,71.575,71.933,70.067,71.25,70.242,67.408,73.767,67.792,70.117,70.042
Danum_Valley,69.642,69.642,69.692,69.658,69.642,69.642,69.658,69.683,69.65,69.667,69.642,69.667,69.65,69.658,69.633,69.625,69.767,69.817,69.675,69.558,69.733,69.667,69.667,69.65,69.683,69.7,69.667,69.65,69.675,69.658,69.767,69.667,69.817,69.667,69.742,69.633,69.717,69.683,69.758,69.783,69.5,69.558,69.642,69.642,69.625,69.717,69.65,69.617,69.8,69.683,71.617,71.467,67.542,66.833,68.7,68.608,67.458,69.083,69.533,70.092,69.983,73.05,74.167,70.708,71.192,69.583,69.725,67.642,69.025,70.383,68.492,64.792,68.425,69.267,70.217,68.958,72.083,69.775,69.858,67.742,68.958,67.542,67.6,71.658,68.533,70.267,70.767,72.525,71.292,69.842,71.775,69.575,72.525,72.642,74.3,69.342,61.967,63.292,72.742,70.592,69.625,62.908,67.983,66.858,69.025,71.458,70.3,71.142,70.542,68.133,72.15,68.35,70.267,69.183
Lambir,71.017,71.017,71.1,71.025,71.033,71.033,71.075,71.083,71.033,71.05,71.042,71.092,71.033,71.017,71.033,71.05,71.108,71.092,71.067,71.017,71.067,71.025,71.025,71,71.025,71.033,71.017,71.017,71.075,70.717,70.967,70.925,71.142,70.958,70.758,71.067,71.083,70.917,71.05,70.8,70.825,70.942,71.017,71.033,71.05,71,70.9,70.867,71.425,71.067,70.758,71.117,67.217,67.783,69.058,70.375,69.775,70.883,72.017,71.308,70.55,73.317,75.342,72.242,70.15,69.708,69.517,68.875,72.067,72.233,70.692,68.683,71.375,71.725,70.367,70.808,73.45,70.525,70.458,69.25,69.783,68.558,70.55,72.767,70.25,72.15,72.467,73.792,71.917,71.392,72.45,70.967,72,71.742,74.008,69.7,64.258,65.725,72.183,70.675,70.825,63.95,71.042,69.333,73.192,73.525,71.308,73.192,71.683,69.683,75.675,70.017,72.108,72.117
Pasoh,73.408,73.375,73.358,73.392,73.367,73.392,73.392,73.383,73.358,73.383,73.358,73.383,73.383,73.367,73.358,73.383,73.4,73.358,73.392,73.358,73.367,73.367,73.358,73.383,73.367,73.35,73.383,73.375,73.358,70.508,70.925,71.833,71.942,72.892,71.325,73.975,72.483,72.792,73.367,68.808,72.542,73.375,73.367,73.383,73.367,72.058,72.667,71.433,74.683,73.2,77.808,77.725,77.242,77.917,73.45,74.258,75.217,73.075,74.875,74.325,74.442,74.892,73.492,74.875,72.192,73.983,76.108,71.308,71.875,73.867,73.975,71.392,74.667,73.658,72.95,71.425,71.825,74.35,72.442,73.158,71.492,72.667,72.4,74.675,71.65,73.9,74.258,75.383,74.467,72.858,73.942,73.125,73.208,75.133,76.25,73.092,73.9,69.342,75.35,75.6,74.817,68.15,75.467,69.6,70.333,73.675,75.267,77.175,71.683,73.858,74.817,74.658,75.383,71.042
Palanan,64.383,64.192,64.617,63.642,64.675,64.283,63.583,65.058,64.067,65.908,65.417,61.825,62.458,66.275,64.55,65.75,63.542,61.683,63.725,62.183,61.667,60.508,63.517,67.042,66.05,67.717,67.642,65.283,65.892,65.467,65.417,64.1,63.442,65.867,66.825,64.3,64.683,64.967,65.525,65.617,66.475,62.85,63.783,64.975,65.15,64.867,66.8,67.1,64.025,64.275,66.792,66.925,68.05,63.783,64.767,69.45,66.8,66.333,64.733,65.933,63.742,62.475,64.233,64.825,65.075,66.142,67.1,62.042,63.542,66.892,67.042,65.35,62.742,65.75,65,64.508,65.633,66.342,65.483,64.358,63.508,64.367,65.283,65.783,65.175,66.1,64.867,66.242,64.85,66.042,65.6,64.892,65.617,64.567,65.733,62.267,62.567,65.15,68.767,66.85,67.708,65.492,62.167,62.617,63.483,62.642,62.725,64.967,66.017,61.242,67.65,63.833,64.517,60.275
Bukit_Timah,74.05,74.075,74.058,74.067,74.05,74.033,74.067,74.05,74.075,74.058,74.05,74.067,74.05,74.058,74.092,74.025,74.042,74.083,74.067,74.083,74.067,74.05,74.083,74.067,74.058,74.058,74.058,74.05,74.083,71.925,72.158,72.908,73.158,73.483,72.05,74.433,73.575,73.35,73.892,70.867,73.158,74.05,74.058,74.042,74.067,73.183,73.442,72.783,75.292,74.075,78.383,78.433,77.7,78.583,73.925,74.467,75.842,73.833,75.717,74.925,74.642,75.658,74.975,76.008,72.575,74.375,77.483,72.875,72.692,75.158,73.583,71.817,75.333,74.333,71.542,71.433,72.358,76.367,74.067,73.45,72.417,73.658,73.425,75.458,72.142,74.6,75.333,76.442,75.267,73.708,75.167,73.5,73.675,76.042,76.992,72.367,72.267,72.5,72.925,76.233,75.017,67.467,76.633,70.767,70.025,74.117,77.125,78.383,70.975,73.767,74.692,75.092,76.233,70.833
Sinharaja,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,64.092,63.333,65.483,63.892,63.767,64.358,64.067,63.825,63.75,63.958,64.492,64.842,64.05,64.3,63.675,63.75,64.758,64.342,63.817,63.983,63.95,63.75,63.017,63.242,63.708,65.7,65.317,66.008,65.117,64.433,65.167,65.75,64.917,64.558,62.9,63.517,63.767,63.383,64.217,63.575,64.642,63.492,63.625,63.9,62.067,64.467,62.65,64.683,65.142,66.192,64.167,64.167,64.092,64.092,64.158,64.092,64.1,64.092,64.083,64.092,64.092,64.092,64.092,64.092,64.092,64.092,65.042,65.058,64.992,64.525,65.425,65.358,66.025,62.375,64.592,64.917,67.942,65.05,63.767,64.175,67.983,65.292,66.2,66.617,66.767
