sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.183,15.8,15.2,15.183,15.358,15.925,15.525,15.825,15.45,15.183,15.183,15.292,15.283,15.375,15.375,15.5,15.642,15.367,15.433,15.65,15.475,15.417,15.483,15.417,15.258,15.292,15.508,15.083,15.358,15.133,15.258,15.658,15.292,15.442,15.55,14.658,14.7,14.108,14.458,14.567,15.167,14.708,15.45,15.783,15.267,14.942,14.808,15.492,14.708,15.508,14.958,15.567,15.308,15.367,15.533,15.133,15.158,15.008,15.558,15.267,15.483,15.342,15.267,14.75,15.05,15.558,15.25,14.767,14.817,16.083,14.858,15.183,14.717,14.983,15.583,15.35,15.275,15.583,15.592,15.15,15.142,14.975,15.125,15.267,15.367,15.333,15.55,15.325,15.375,15.142,15.442,15.508,15.15
Ituri_(Edoro_and_Lenda),11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.433,11.733,11.442,11.433,11.533,11.8,11.6,11.783,11.567,11.433,11.433,11.475,11.483,11.508,11.525,11.608,11.658,11.542,11.592,11.675,11.575,11.55,11.575,11.558,11.475,11.492,11.617,11.383,11.733,11.375,11.592,11.967,11.367,11.575,11.408,11.6,11.4,11.383,11.2,11.008,11.375,11.267,11.3,11.75,11.492,11.542,11.642,11.608,11.408,12.033,11.308,11.733,11.7,11.283,11.367,11.242,11.225,11.425,11.183,11.392,11.025,11.292,11.767,11.092,11.225,11.758,11.967,11.433,11.325,11.825,11.342,11.433,11.45,11.742,11.642,11.508,11.533,11.542,11.792,11.5,11.467,11.217,11.35,11.575,11.392,11.408,11.292,11.408,11.542,11.392,11.508,11.617,11.383
Wanang,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.125,9.0833,8.925,8.95,8.8083,9,8.95,8.9583,9.125,9.05,9.2167,9.1833,9.5,9.0917,8.9083,8.8167,9.0083,9.0583,9.0667,9.075,9.4583,9.2917,9.1917,9.3167,9.0833,9.3,9.15,9.2083,9.2,9.2917,9.3583,9.45,9.2917,9.3333,9.425,9.475,9.175,9.1833,9.3333,9.3667,9.3167,9.275,9.1333,9.2167,9.2,9.3917,9.2417,9.1583,9.2167,9.1083,9.1667,9.225,9.2417,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225,9.225
Kuala_Belalong,8.3417,8.3417,8.3417,8.3417,8.3583,8.3417,7.9583,8.2917,8.2083,8.1083,8.075,8.075,8.3083,8.35,8.35,8.375,8.3583,8.2833,7.9583,8.0917,7.9,7.9917,7.9583,7.9333,7.9417,8.0167,8.175,8.1083,7.9833,8.1083,8.1667,8.1917,8.1,8.15,8.125,8.1083,7.9833,8,7.825,7.6833,7.9667,8.3417,8.3417,8.3417,8.3417,8.3417,8.3417,8.3417,8.3667,8.275,8.2583,7.7833,8.5167,8.4167,8.175,8.1417,8.2667,8.0917,8.1333,8.2,8.1917,7.8583,7.7917,8.2833,8.5917,8.8833,9.225,9.1917,8.65,8.6083,8.4917,8.6,8.3667,8.5333,8.3917,8.275,7.8833,8.2917,8.4,8.475,8.3917,8.4,8.1917,7.85,8.1583,7.95,8.0917,7.9333,8.0833,8.175,8.0583,8.3417,8.0417,8,7.875,7.9167,8.1,7.925,7.9833,7.9667,7.9667,8.1167,7.8167,7.8667,7.825,7.7417,7.625,7.7417,7.7917,7.7667,7.8583,8.0583,7.9333,7.9583
Danum_Valley,7.7667,7.7667,7.625,7.6167,7.75,7.65,7.1667,7.6,7.4583,7.3667,7.425,7.3667,7.675,7.7083,7.7667,7.8167,7.75,7.675,7.225,7.3333,7.125,7.2333,7.2167,7.1667,7.125,7.25,7.4667,7.4,7.1917,7.3833,7.4583,7.4417,7.3083,7.3833,7.4,7.3417,7.125,7.2167,7.1167,7.0417,7.3083,7.7667,7.7667,7.7667,7.7667,7.7667,7.7667,7.7667,7.7667,7.3917,7.375,7.2667,7.8583,8.2917,7.925,8.1667,8.1,7.8917,7.9917,7.7417,7.9583,7.375,7.4583,7.8,7.8417,8.0833,8.0833,8.2917,8.0917,8.0083,8.1083,8.2833,8.1417,8.2917,8.0417,7.925,7.475,7.7833,7.7583,7.7083,7.6833,7.7583,7.6917,7.5,7.55,7.3333,7.375,7.175,7.125,7.2583,7.2,7.4333,7.1417,7,6.9417,6.9167,7.0167,7.0833,6.9333,7.075,7.1917,7.3083,7.0333,7.1333,7.1167,7.1,6.8667,7.0417,7.1083,7.1333,7.225,7.2167,7.1417,7.1083
Lambir,7.9417,7.9417,7.9417,7.9417,7.9583,7.9417,7.6333,7.9,7.8333,7.7583,7.725,7.7167,7.9083,7.9417,7.9583,7.9667,7.9417,7.8917,7.6417,7.7333,7.5917,7.6667,7.65,7.6167,7.6167,7.6917,7.8,7.75,7.6833,7.7667,7.825,7.85,7.7583,7.7833,7.7917,7.7667,7.675,7.65,7.4917,7.3583,7.6417,7.9417,7.9417,7.9417,7.9417,7.9417,7.9417,7.9417,7.9833,8.0167,8.0167,7.3917,8.1333,7.8167,7.65,7.475,7.6333,7.5167,7.5333,7.7333,7.65,7.4417,7.3083,7.85,8.2667,8.5833,9.05,8.9333,8.2,8.2,8.0083,8.075,7.7833,7.9667,7.875,7.7833,7.4167,7.8667,8.0583,8.1333,8.0333,8.025,7.725,7.375,7.775,7.575,7.7583,7.6417,7.8417,7.9583,7.775,8.0833,7.8083,7.7917,7.5833,7.7417,7.9417,7.675,7.7333,7.7167,7.675,7.825,7.525,7.55,7.5167,7.4167,7.3333,7.375,7.45,7.3667,7.4583,7.775,7.6417,7.6833
Pasoh,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.7833,8.4417,9.3667,9.5083,9.2333,9.325,9.3083,9.4083,9.1917,9.275,9.0833,9.1083,9.15,9.1667,9.1917,9.1583,9.1,9.1417,9.1167,8.8,9.1,8.9417,8.8417,8.3917,8.1833,8.6833,8.5167,8.725,8.4667,8.3833,8.4,8.4417,8.5,8.4167,8.325,8.675,8.45,8.3833,8.5583,8.2917,8.7417,8.3667,8.5917,8.5167,8.1083,8.85,8.6833,8.65,8.7,8.8333,8.4333,8.65,8.7167,9.2833,9.3917,9.3083,9.2583,8.9833,9.1,8.9333,8.9417,8.6,9.0583,8.9917,8.85,8.6,8.9333,9.1083,8.9167,9.0583,8.825,8.7667,8.2333,8.5167,8.6667,8.675,8.2667,8.3833,8.3333,8.775,8.225,8.45,8.3083,8.0833,7.9583,7.9083,7.85,8,7.775,7.9083,7.9083,8.1833
Palanan,9.75,9.7667,10.042,10.158,10.608,10.175,10.292,9.8167,10.183,9.9083,10.267,10.442,10.1,10.175,9.8167,9.075,9.225,9.9583,10.275,10.708,9.8083,10.433,10.067,10.408,9.9583,10.05,9.975,10.108,9.8583,10.475,10.142,9.9167,10.45,9.6333,10.175,9.7417,9.9583,9.8333,9.7417,9.75,9.725,9.7917,9.7667,9.75,9.575,9.925,9.65,9.775,9.0167,8.8083,9.975,10.033,9.9833,10.267,9.9333,9.6167,9.9167,9.9667,10.267,9.7083,9.925,9.65,9.4333,9.1917,9.25,9.025,9.425,9.5833,9.8667,9.7167,9.2667,9.775,10.083,9.6833,10.175,9.5417,9.5833,9.8333,9.9667,9.575,9.7,9.5917,10.042,9.9,10.05,9.0667,9.6667,10.1,10.758,10.292,10.208,10.992,10.408,10.375,9.7083,9.7,9.8167,10.433,9.825,9.65,9.6667,10.108,10.25,9.525,9.8917,10.183,9.45,9.425,9.2167,9.6583,9.2083,9.275,9.4667,9.2583
Bukit_Timah,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.75,7.5167,8.175,8.275,8.075,8.125,7.8667,8.0833,7.9583,7.6167,7.575,7.3833,7.4917,7.5917,7.7333,7.7,7.6583,7.7667,7.8667,7.7917,7.8917,7.825,7.7917,7.4583,7.1667,7.3917,7.4083,7.65,7.7583,7.6583,8.0167,8.0083,7.8417,8.075,7.9,8,7.575,7.6583,7.8833,7.7417,7.6833,7.7833,8.2,8.0667,7.7667,7.9583,8.225,7.7333,7.9583,8.05,7.6083,7.4917,8.025,7.9583,7.7333,7.1833,7.4667,7.6083,7.5333,7.6083,7.7417,7.5,7.9083,7.7417,7.675,7.2917,7.5083,7.7,7.9917,7.7833,7.6583,7.5583,7.4917,7.7083,7.825,7.7667,7.6333,7.7667,7.8083,7.925,7.8333,7.8,8.0167,7.75,7.4917,7.1417,7.125,7.025,6.8083,7.025,7.025,7.7
Sinharaja,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.4167,6.4833,6.4083,6.4333,6.6417,6.575,6.5,6.5333,6.6,6.9417,6.7333,6.7083,6.825,6.625,6.7333,6.5667,6.7,6.8667,6.8667,7.1333,6.7833,6.8167,6.7,6.4833,6.2417,6.6417,6.425,6.6417,6.775,6.6583,6.75,6.6583,6.7667,6.8417,7,6.7417,6.7417,7.0833,7.0917,7.025,6.9583,6.9583,6.9083,6.9167,7.1167,6.8,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083,6.7083
