sitename,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mpala,9.5083,9.5417,9.5833,9.5167,9.575,9.5667,9.4833,9.6333,9.4,9.6333,9.35,9.1333,9.3417,9.5167,9.4417,9.4333,9.5,9.5083,9.5083,9.5083,9.625,9.8083,9.2,9.925,9.7167,9.5083,9.2083,9.6333,9.2,9.15,9.6833,9.5583,9.5417,9.4917,9.4167,9.4083,9.575,9.2917,9.6,9.6917,9.6917,9.7167,9.7583,9.7583,9.8417,9.7833,9.6167,9.2417,9.75,8.9417,9.7333,10.033,9.7667,9.6583,9.6,9.15,9.9333,9.9833,10.258,10.042,10.092,9.4167,9.4917,9.0667,8.9917,9.525,9.3083,8.6333,9.15,9.6583,8.7667,9.75,9.6917,9.0667,9.2417,9.6083,9.5667,9.3417,9.5917,9.5083,9.5333,9.55,9.975,9.3917,9.6167,9.7333,10.05,9.9917,9.575,9.7667,9.2917,9.8833,9.675,9.7,10.183,9.9667,10.217,10.133,10.183,10.325,10.375,11.117,10.892,10.483,10.383,10.575,10.267,9.9417,10.775,10.65,10.642,10.225,10.342,10.95
Ituri_(Edoro_and_Lenda),17.925,17.925,17.925,17.925,17.925,17.925,17.925,17.925,17.925,17.833,17.892,17.85,17.833,17.925,17.9,17.833,17.817,17.833,17.967,17.825,17.883,17.925,17.742,17.933,17.883,17.85,17.742,17.875,17.725,17.767,17.892,17.883,17.967,17.875,17.875,17.858,17.833,17.808,17.858,17.833,18.292,18.2,18.075,18.108,18.017,17.775,17.975,17.733,18.25,17.383,18,17.875,17.8,17.875,17.65,17.517,17.858,18.375,17.975,17.975,17.958,17.717,17.783,17.808,17.592,17.958,17.742,17.458,17.883,18.117,17.375,18,18.017,17.692,17.808,17.917,18.167,18.142,17.733,18.025,17.933,18.183,18.267,17.725,17.983,18.133,18.492,17.925,17.558,18.242,17.933,18.142,18.117,17.833,18.383,18.117,18.808,18.283,18.1,18.458,19.283,19.35,19.558,19.067,19.358,19.092,18.958,19.35,19.758,19.417,18.917,18.475,18.633,18.892
Wanang,21.725,21.725,21.742,21.333,21.558,21.783,21.475,21.475,22.067,22.025,21.7,21.808,21.617,21.458,21.867,21.95,21.9,21.275,21.383,21.7,21.733,21.7,21.4,21.742,21.367,21.842,21.558,21.675,21.233,21.383,21.15,21.7,21.817,21.867,21.733,21.7,22.042,21.642,21.75,21.675,21.167,22.025,21.533,21.5,21.625,21.325,21.817,21.583,21.717,21.8,21.458,21.65,21.6,21.558,21.567,21.633,21.633,21.783,21.5,21.4,21.217,21.342,21.233,21.4,21.217,21.525,21.25,21.458,21.7,21.633,21.425,21.65,21.933,21.617,21.742,21.567,21.792,22.033,22.125,22.092,22.008,21.8,22.042,21.85,21.75,21.908,22.275,22.167,22.025,22.125,21.908,21.892,22.225,21.75,21.608,21.583,21.7,21.775,21.717,21.792,21.742,21.725,21.842,21.817,21.708,21.717,21.717,21.708,21.725,21.75,21.725,21.725,21.742,21.725
Kuala_Belalong,22.233,22.225,22.025,21.867,21.967,22.058,22.133,22.025,22.083,22.133,22.158,22.425,22.158,22.375,22.517,22.025,21.9,21.742,22.542,22.358,22.292,22.325,22.25,22.392,22.242,22.417,22.35,22.383,22.133,22.492,22.658,22.192,22.342,22.083,22.408,22.475,22.6,22.442,22.5,22.608,22.85,22.208,22.208,22.208,22.208,22.225,22.375,22.183,22.15,22.6,22.792,22.842,22.55,22.267,22.225,22.208,22.642,22.825,22.533,22.6,22.083,22.15,22.133,21.958,21.658,21.875,21.475,21.458,22,21.908,21.967,22.325,22.508,22.108,22.1,21.758,22.15,22.15,22.175,22.175,22.492,22.483,22.867,22.317,22.383,22.525,22.783,22.708,22.45,22.675,22.725,22.517,22.608,22.758,22.792,22.658,22.833,23.292,22.75,22.825,22.842,22.892,22.808,22.75,22.817,22.783,22.808,22.575,23.025,23.075,22.767,22.85,22.95,22.817
Danum_Valley,21.35,21.317,21.042,20.75,20.875,21.092,21.117,20.992,21.083,21.133,21.05,21.358,21.042,21.242,21.408,20.9,20.833,20.692,21.475,21.325,21.283,21.35,21.25,21.433,21.317,21.392,21.35,21.408,21.2,21.483,21.658,21.283,21.425,21.167,21.4,21.492,21.692,21.475,21.55,21.675,21.817,21.25,21.25,21.25,21.25,21.3,21.517,21.058,21.05,21.542,21.517,21.508,21.217,20.758,20.95,20.683,21.117,21.3,20.933,21.133,20.692,20.967,20.817,20.65,20.642,20.917,20.667,20.583,20.9,20.875,20.792,20.842,21.025,20.925,21.117,20.742,21.183,21.183,21.258,21.35,21.65,21.55,21.775,21.45,21.567,21.708,22.108,22.2,22.092,22.175,22.133,21.917,22.033,22.133,22.15,21.975,22.167,22.433,22.167,22.225,22.183,22.158,22.083,22.075,22.017,21.933,22.008,21.733,22.108,21.958,21.925,22.092,22.017,22.058
Lambir,22.142,22.142,22.025,21.908,21.975,22.033,22.125,22.017,22.058,22.108,22.167,22.408,22.175,22.392,22.483,22.058,21.883,21.708,22.5,22.333,22.233,22.267,22.183,22.317,22.192,22.358,22.292,22.358,22.05,22.417,22.617,22.117,22.275,22.033,22.325,22.383,22.517,22.358,22.433,22.508,22.85,22.142,22.142,22.142,22.142,22.142,22.242,22.192,22.158,22.592,22.692,22.858,22.617,22.508,22.408,22.367,22.733,22.883,22.583,22.617,22.067,22.092,22.083,21.883,21.483,21.725,21.283,21.25,21.95,21.858,22.008,22.4,22.592,22.2,22.183,21.758,22.142,22.117,22.092,22.05,22.425,22.417,22.858,22.267,22.275,22.408,22.633,22.508,22.208,22.442,22.55,22.308,22.408,22.55,22.617,22.483,22.608,23.167,22.583,22.683,22.7,22.783,22.642,22.608,22.65,22.692,22.642,22.442,22.867,22.975,22.6,22.65,22.842,22.558
Pasoh,21.225,21.225,21.167,21.108,21.392,21.408,21.167,21.175,21.2,21.175,21.992,22.05,22.017,22.3,22.142,21.842,21.5,21.3,22.2,21.967,21.75,21.725,21.683,21.792,21.317,21.592,21.5,21.483,21.275,21.6,21.908,21.217,21.392,21.183,21.558,21.55,21.633,21.533,21.308,21.608,22.117,21.208,20.967,21.15,21.208,21.475,21.642,22.108,22.083,21.767,21.125,21.175,21.217,20.992,21.033,20.925,21.325,21.45,21.375,21.325,21.167,21.183,21.25,21.175,21.075,21.217,21.142,20.967,21.233,21.25,20.642,20.975,21.242,20.833,20.725,20.567,20.9,21.017,21.142,21.233,21.175,21.233,21.75,21.1,21.117,21.267,21.708,21.708,21.267,21.667,21.783,21.725,21.758,21.8,22.167,21.975,22.242,22.725,22.125,22.192,22.3,22.508,22.533,22.35,22.625,22.367,22.442,22.4,22.683,22.85,22.633,22.6,22.767,22.608
Palanan,20.075,20.1,19.283,18.717,18.967,19.425,19.05,19.283,19.408,19.2,18.85,19.125,19.208,19.25,19.833,19.692,19.125,19.042,19.325,19.133,19.092,19.392,19.008,19.208,19.225,19.267,19.533,19.55,19.267,19.492,19.958,19.4,19.5,19.35,19.433,19.683,19.642,19.517,19.533,19.533,20.142,19.917,19.425,19.717,19.675,20.092,20.283,20.15,20.233,20.383,19.942,20.217,20.158,19.992,19.542,19.942,20.133,19.85,19.85,20.267,19.983,19.742,19.467,20.058,19.9,20.383,19.583,19.558,19.942,20.125,19.542,19.75,20.042,20.017,19.892,19.833,20.05,19.925,19.783,20.167,19.767,20.1,20.55,20.167,20.125,20.192,20.475,20.267,19.833,19.975,20.017,19.658,19.75,19.983,20.1,20,19.95,20.717,20.267,20.45,20.408,20.1,19.983,20.358,20.075,20.542,20.75,20.433,20.5,20.717,20.6,20.958,21.058,20.642
Bukit_Timah,22.9,22.9,22.892,22.883,22.908,22.933,22.892,22.892,22.9,22.892,23.65,23.733,23.633,23.942,23.8,23.483,23.083,22.858,23.817,23.625,23.375,23.408,23.333,23.4,23,23.308,23.192,23.175,23.058,23.383,23.642,23.108,23.217,23.083,23.533,23.442,23.483,23.367,23.275,23.65,24.042,22.875,22.842,22.875,22.892,23.083,23.242,23.833,23.75,23.342,23.133,23.242,22.983,22.642,22.733,22.275,22.775,23.025,22.975,22.933,22.883,22.642,22.883,22.625,22.517,22.783,22.575,22.375,22.467,22.567,22.15,22.458,22.55,22.308,22.25,22.383,22.825,23.242,23.175,23.158,23.342,23.608,23.692,23.008,23.258,23.317,23.625,23.675,23.258,23.733,23.517,23.567,23.675,23.908,23.925,23.708,24.225,24.2,23.758,23.675,23.775,24.158,23.692,23.767,23.792,23.675,23.742,23.867,24.142,24.267,24.008,24.075,24.258,23.892
Sinharaja,22.867,22.692,22.783,22.175,22.617,22.65,22.35,22.433,22.35,22.758,23.333,22.992,22.65,23.058,23.025,22.525,22.558,22.758,22.983,22.708,22.842,22.658,22.367,22.692,22.508,22.883,22.675,22.975,22.667,22.758,22.95,22.683,22.467,22.5,22.633,22.767,22.975,23.017,22.783,23.167,23.175,23.025,22.658,22.717,22.892,23.083,22.875,22.992,22.808,22.933,22.775,23.033,23,22.625,22.7,22.692,23.033,23.35,22.933,22.875,22.9,22.983,22.883,23,23.142,23.275,22.925,23.108,23.192,23.175,22.842,23.167,23.325,22.625,22.883,23,23.058,23.35,23.633,23.583,23.35,23.108,23.5,23.058,23.117,23.158,23.7,23.55,23.158,23.567,23.4,23.125,23.15,23.167,23.525,23.3,23.5,24.05,23.15,23.4,23.767,23.783,23.808,23.7,23.725,23.567,23.55,23.367,23.65,23.842,23.708,23.792,23.858,23.942
Manaus,22.733,22.717,22.75,22.65,22.625,22.567,22.592,22.6,22.667,22.775,23.05,23.183,23.1,23.517,23.183,22.717,22.242,22.667,22.808,22.675,22.342,22.125,22.3,22.483,22.667,22.625,21.733,22,21.983,22.083,22.133,22.242,22.267,22.183,22.633,22.858,23.017,23.075,23.25,23.458,23.617,23.4,23.125,23.408,23.217,22.775,23.133,23.042,22.808,22.6,22.817,22.883,23.142,23.2,22.692,22.458,23.233,23.75,23.242,22.242,22.117,22.333,22.642,22.542,22.75,23.008,22.783,22.633,23.158,22.917,22.65,23.1,23.208,22.75,22.692,22.992,22.458,22.233,22.783,22.642,22.567,22.708,22.992,22.433,22.508,22.85,23.433,22.908,22.533,23.108,23.275,23.083,22.925,22.825,23.392,23.075,23.35,22.9,22.108,22.433,23.083,23.258,23.417,23.225,23.417,23.125,23,22.792,23.683,23.767,23.925,24.025,24.083,24.283
Amacayacu,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,21.05,20.958,21.05,21.117,21.05,21.15,21.158,20.95,20.767,21,21.142,21.092,20.633,20.942,20.833,20.933,20.967,21.067,20.725,20.833,20.825,20.867,21.142,20.9,20.792,20.717,20.9,20.933,21.15,20.975,20.933,21.267,21.617,21.333,21.317,21.433,21.383,21.125,20.892,20.817,20.983,20.683,20.7,20.617,20.883,20.783,20.667,20.458,20.833,21.175,20.975,20.85,21.283,21.325,21.767,21.492,21.383,21.683,21.542,21.408,21.558,21.492,21.35,21.708,21.125,20.217,20.3,20.408,20.425,20.608,20.692,20.908,20.475,20.883,21.017,20.9,20.633,20.408,21.25,21.108,20.9,20.975,21.192,20.833,20.417,20.675,21.125,21.017,21.117,21.45,20.583,20.967,20.908,21.167,21.333,21.317,21.458,21.117,21.167,21.1,21.483,21.558,21.183,21.192,21.283,21.233
Yasuni,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.133,20.058,20.108,20.15,20.15,20.133,20.283,20.167,19.983,20.075,20.117,20.083,19.975,20.058,19.967,20.075,19.933,20.275,20.067,20.083,20.133,19.975,20.383,20.358,20.142,19.767,19.883,19.933,19.95,19.825,19.833,19.492,20.142,19.75,20.15,20.467,20.333,20.075,19.908,20.3,19.933,19.133,19.983,19.775,19.65,19.425,19.692,19.608,20.2,20,19.958,19.842,20.208,20.275,20.292,20.358,19.792,20.233,19.917,19.775,19.992,20.092,19.817,20.817,19.925,19.575,19.725,19.742,19.958,19.692,19.767,19.975,20.35,20.6,20.65,19.95,19.833,20.233,20.417,20.608,20.267,20.5,20.375,20.45,19.975,20.058,20.267,20.092,20.775,21,19.583,19.683,19.725,20.358,20.275,20.358,20.225,20.233,19.8,19.8,20.533,20.375,19.975,20.15,20.45,20.492
Scotty_Creek,-10.367,-11,-10.017,-9.9583,-8.3917,-9.0417,-10.8,-10.2,-10.875,-9.0667,-9.8667,-8.6083,-10.483,-9.575,-8.4667,-9.75,-11.267,-11.15,-10.767,-9.6833,-8.85,-10.267,-9.6583,-10.058,-10.233,-8.5917,-10.158,-8.95,-9.4917,-8.5833,-7.8333,-10.025,-11.458,-9.1833,-9.9667,-11.292,-8.8083,-8.2583,-9.325,-8.4583,-9.0667,-8.0917,-7.5417,-6.6417,-9.2083,-9.2667,-9.125,-9.9083,-8.1083,-10.283,-10.408,-7.9583,-7.375,-9.0167,-10.542,-9.8417,-8.625,-7.5583,-9.6,-8.425,-10.358,-8.5083,-9.1,-9.8583,-9.5,-11.125,-9.9917,-9.4583,-9.1417,-8.7667,-10.275,-11.05,-9.1083,-10.792,-9.7167,-7.6833,-8.275,-8.875,-9.3083,-8.2583,-7.2417,-11.2,-9.8083,-9.2417,-9.0833,-8.75,-6.9583,-8.2667,-9.0917,-9.7083,-8.3917,-8.4667,-6.8917,-8.575,-8.5083,-9.4,-7.7417,-6.2667,-7.2083,-8.05,-7.5583,-8.6333,-7.725,-8.9917,-6.7667,-7.5667,-8.025,-8.6333,-9.3167,-6.9917,-8.1,-8.1167,-7.9417,-8.3583
