Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
1979,1,0,ACP,NA,NA
1979,2,10.1,ACP,NA,NA
1979,3,11.3,ACP,NA,NA
1979,4,119.6,ACP,NA,NA
1979,5,162.4,ACP,NA,NA
1979,6,103.2,ACP,NA,NA
1979,7,60.4,ACP,NA,NA
1979,8,239.2,ACP,NA,NA
1979,9,129.6,ACP,NA,NA
1979,10,268.1,ACP,NA,NA
1979,11,152.3,ACP,NA,NA
1979,12,154.8,ACP,NA,NA
1980,1,32.7,ACP,NA,NA
1980,2,13.8,ACP,NA,NA
1980,3,0,ACP,NA,NA
1980,4,16.4,ACP,NA,NA
1980,5,187.5,ACP,NA,NA
1980,6,74.3,ACP,NA,NA
1980,7,119.6,ACP,NA,NA
1980,8,180,ACP,NA,NA
1980,9,217.8,ACP,NA,NA
1980,10,157.3,ACP,NA,NA
1980,11,175,ACP,NA,NA
1980,12,79.3,ACP,NA,NA
1981,1,3.8,ACP,NA,NA
1981,2,10.1,ACP,NA,NA
1981,3,27.7,ACP,NA,NA
1981,4,346.1,ACP,NA,NA
1981,5,436.8,ACP,NA,NA
1981,6,212.7,ACP,NA,NA
1981,7,271.9,ACP,NA,NA
1981,8,231.6,ACP,NA,NA
1981,9,244.2,ACP,NA,NA
1981,10,208.9,ACP,NA,NA
1981,11,212.7,ACP,NA,NA
1981,12,224,ACP,NA,NA
1982,1,94.4,ACP,NA,NA
1982,2,0,ACP,NA,NA
1982,3,0,ACP,NA,NA
1982,4,112,ACP,NA,NA
1982,5,132.2,ACP,NA,NA
1982,6,123.3,ACP,NA,NA
1982,7,222.8,ACP,NA,NA
1982,8,166.2,ACP,NA,NA
1982,9,299.6,ACP,NA,NA
1982,10,263.1,ACP,NA,NA
1982,11,147.3,ACP,NA,NA
1982,12,29,ACP,NA,NA
1983,1,0,ACP,NA,NA
1983,2,0,ACP,NA,NA
1983,3,0,ACP,NA,NA
1983,4,42.9,ACP,NA,NA
1983,5,270.6,ACP,NA,NA
1983,6,180,ACP,NA,NA
1983,7,154.8,ACP,NA,NA
1983,8,284.5,ACP,NA,NA
1983,9,191.3,ACP,NA,NA
1983,10,352.4,ACP,NA,NA
1983,11,181.3,ACP,NA,NA
1983,12,96.9,ACP,NA,NA
1984,1,61.7,ACP,NA,NA
1984,2,100.7,ACP,NA,NA
1984,3,7.6,ACP,NA,NA
1984,4,23.9,ACP,NA,NA
1984,5,168.7,ACP,NA,NA
1984,6,173.7,ACP,NA,NA
1984,7,180,ACP,NA,NA
1984,8,201.4,ACP,NA,NA
1984,9,216.5,ACP,NA,NA
1984,10,331,ACP,NA,NA
1984,11,146,ACP,NA,NA
1984,12,2.5,ACP,NA,NA
1985,1,23.9,ACP,NA,NA
1985,2,0,ACP,NA,NA
1985,3,11.3,ACP,NA,NA
1985,4,0,ACP,NA,NA
1985,5,146,ACP,NA,NA
1985,6,270.6,ACP,NA,NA
1985,7,123.4,ACP,NA,NA
1985,8,102,ACP,NA,NA
1985,9,299.6,ACP,NA,NA
1985,10,241.7,ACP,NA,NA
1985,11,169.9,ACP,NA,NA
1985,12,153.6,ACP,NA,NA
1986,1,25.6,ACP,NA,NA
1986,2,2.1,ACP,NA,NA
1986,3,6.5,ACP,NA,NA
1986,4,103.6,ACP,NA,NA
1986,5,169,ACP,NA,NA
1986,6,148.7,ACP,NA,NA
1986,7,147.1,ACP,NA,NA
1986,8,142.7,ACP,NA,NA
1986,9,248,ACP,NA,NA
1986,10,327.9,ACP,NA,NA
1986,11,211.1,ACP,NA,NA
1986,12,96.3,ACP,NA,NA
1987,1,0,ACP,NA,NA
1987,2,16.4,ACP,NA,NA
1987,3,5,ACP,NA,NA
1987,4,138.5,ACP,NA,NA
1987,5,219,ACP,NA,NA
1987,6,187.5,ACP,NA,NA
1987,7,242.9,ACP,NA,NA
1987,8,152.3,ACP,NA,NA
1987,9,151,ACP,NA,NA
1987,10,360,ACP,NA,NA
1987,11,239.2,ACP,NA,NA
1987,12,69.2,ACP,NA,NA
1988,1,0,ACP,NA,NA
1988,2,5,ACP,NA,NA
1988,3,8.8,ACP,NA,NA
1988,4,8.8,ACP,NA,NA
1988,5,215.2,ACP,NA,NA
1988,6,329.8,ACP,NA,NA
1988,7,215.2,ACP,NA,NA
1988,8,360,ACP,NA,NA
1988,9,250.5,ACP,NA,NA
1988,10,347.4,ACP,NA,NA
1988,11,254.3,ACP,NA,NA
1988,12,133.4,ACP,NA,NA
1989,1,68,ACP,NA,NA
1989,2,10.1,ACP,NA,NA
1989,3,11.3,ACP,NA,NA
1989,4,0,ACP,NA,NA
1989,5,88.1,ACP,NA,NA
1989,6,93.1,ACP,NA,NA
1989,7,128.4,ACP,NA,NA
1989,8,308.4,ACP,NA,NA
1989,9,129.6,ACP,NA,NA
1989,10,239.2,ACP,NA,NA
1989,11,394,ACP,NA,NA
1989,12,133.4,ACP,NA,NA
1990,1,50.3,ACP,NA,NA
1990,2,20.1,ACP,NA,NA
1990,3,3.8,ACP,NA,NA
1990,4,75.5,ACP,NA,NA
1990,5,298.3,ACP,NA,NA
1990,6,293.3,ACP,NA,NA
1990,7,298.3,ACP,NA,NA
1990,8,187.5,ACP,NA,NA
1990,9,141,ACP,NA,NA
1990,10,235.4,ACP,NA,NA
1990,11,154.8,ACP,NA,NA
1990,12,99.4,ACP,NA,NA
1991,1,37.8,ACP,NA,NA
