"TOA5","CR1000","CR1000","39246","CR1000.Std.27","CPU:PSH-Climate_v3.0.CR1","28515","CLData"
"TIMESTAMP","RECORD","Batt_Volt_Min","AirTC_Avg","AirTC_Std","RH","AirTC_2_Avg","AirTC_2_Std","RH_2","AirTC_3_Avg","AirTC_3_Std","RH_3","SlrW_Avg","SlrW_Std","SlrMJ_Tot","SlrW_2_Avg","SlrW_2_Std","SlrMJ_2_Tot","Rain_mm_Tot","SrlNum","ProgNam","OSVer","StatName","MsgVar","FanStatus","Tach_Tot"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","%","Deg C","Deg C","%","W/m²","W/m²","MJ/m²","W/m²","W/m²","MJ/m²","mm","","","","","","","RPM"
"","","Min","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Tot","Avg","Std","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2016-12-29 09:35:00",0,13.95,26.69,0.082,83.1,29.06,0.177,100,24.85,0.04,87.7,317.5,80.3,0.03809781,198.2,32.33,0.02378341,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 09:40:00",1,13.95,26.72,0.063,82.9,29.16,0.135,100,25.05,0.092,86.3,447.9,24.38,0.1343624,111.7,26.05,0.03351358,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 09:45:00",2,13.94,26.75,0.113,84.5,28.59,0.73,100,25.28,0.085,86.5,454.4,17.66,0.1363081,93.5,3.166,0.02804528,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 09:50:00",3,13.92,26.81,0.119,82,29.12,0.163,100,25.77,0.189,81.3,481.5,15.56,0.1444363,98.8,2.609,0.02963079,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 09:55:00",4,13.91,27.14,0.15,79.95,29.2,0.19,100,26.24,0.097,79.21,462.8,49.94,0.1388332,228,112.7,0.06841066,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:00:00",5,13.9,27.47,0.149,77.69,29.5,0.191,100,26.35,0.078,79.58,502.6,14.65,0.1507949,358.7,110.4,0.1076174,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:05:00",6,13.89,27.74,0.169,75.25,29.14,0.175,98.9,26.44,0.169,75.21,527.2,2.669,0.1581681,223.2,154.4,0.06697132,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:10:00",7,13.88,27.86,0.116,76.05,29.18,0.176,98.6,26.87,0.221,75.38,542.2,6.382,0.1626593,91.5,1.345,0.02746423,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:15:00",8,13.87,28.04,0.106,73.48,29.41,0.166,95.9,26.73,0.121,75.51,547.6,6.569,0.1642922,100,3.06,0.03000967,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:20:00",9,13.87,28.19,0.108,75.64,29.46,0.155,97,27.26,0.36,74.36,573.1,22.79,0.1719296,107.1,2.052,0.03212976,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:25:00",10,13.86,28.28,0.101,75.81,29.43,0.114,97.2,28.05,0.19,72.73,489.3,39.51,0.1468028,125,12.86,0.03749399,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:30:00",11,13.86,28.42,0.152,73.28,29.41,0.145,93.4,28.06,0.29,73.58,608.6,18.47,0.1825853,121.1,3.964,0.03632688,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:35:00",12,13.85,28.7,0.113,70.5,29.49,0.111,89.6,27.78,0.061,71.65,492,188.9,0.1476046,114.7,5.958,0.03439745,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:40:00",13,13.85,28.81,0.128,70.77,29.56,0.169,89.4,27.78,0.157,70.84,596.8,108.7,0.1790251,127.1,6.869,0.03814112,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:45:00",14,13.85,28.89,0.144,72.63,29.57,0.11,91.1,28.18,0.119,70.77,667.7,15.47,0.2003125,155,14.68,0.04651231,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:50:00",15,13.84,28.92,0.175,70.91,29.59,0.184,91.1,28.52,0.118,66.17,736.5,19.03,0.2209384,198,6.265,0.05939646,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 10:55:00",16,13.83,29.03,0.126,68.84,29.63,0.132,87.5,28.19,0.116,69.69,519.9,127.7,0.1559775,192.7,6.324,0.05781006,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:00:00",17,13.83,29.13,0.107,65.76,29.82,0.124,86.1,27.75,0.169,65.15,556.3,118.7,0.1669032,229.8,8.09,0.06894499,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:05:00",18,13.83,29.03,0.082,66.54,29.71,0.133,84,27.58,0.31,71.38,493.4,63.68,0.1480237,191.7,9.89,0.05749661,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:10:00",19,13.83,28.94,0.081,67.58,29.64,0.115,85.6,27.55,0.274,69.92,576.8,80.1,0.1730342,191.2,10.12,0.05737312,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:15:00",20,13.82,28.84,0.1,69.68,29.51,0.115,88,27.69,0.25,67.38,561.8,20.67,0.1685432,209.5,5.759,0.06284084,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:20:00",21,13.83,28.66,0.115,68.67,29.33,0.121,86.6,27.24,0.406,71.41,374,146.7,0.1122053,209.6,3.66,0.0628709,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:25:00",22,13.83,28.44,0.08,69.54,29.14,0.112,88.3,27.23,0.174,69.31,415.9,151.1,0.1247828,210.6,6.868,0.06319188,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:30:00",23,13.83,28.42,0.098,69.17,29.09,0.114,87.6,27.75,0.068,69,497.9,91.2,0.1493703,204.1,9.41,0.06122384,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:35:00",24,13.83,28.45,0.071,68.67,29.12,0.098,86.2,27.42,0.075,69.38,526,54.37,0.1577981,201.4,6.651,0.06042238,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:40:00",25,13.83,28.55,0.112,68.03,29.22,0.119,85.8,27.53,0.176,67.38,498.7,16.79,0.149606,194,12.46,0.05818953,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:45:00",26,13.84,28.58,0.076,66.1,29.27,0.093,83.8,27.65,0.155,67.99,479.8,19.81,0.1439346,190.8,11.36,0.05724664,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:50:00",27,13.84,28.62,0.071,68.87,29.34,0.107,86.5,27.4,0.241,70.29,466.4,35.02,0.1399082,190.1,2.424,0.05702997,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 11:55:00",28,13.84,28.61,0.052,67.76,29.31,0.096,85.4,27.77,0.06,68.06,458.6,7.167,0.1375801,203.2,6.156,0.06094799,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:00:00",29,13.84,28.72,0.075,68.33,29.43,0.111,85.9,28.16,0.143,66.68,443.3,12.85,0.132979,221.7,3.786,0.0665231,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:05:00",30,13.84,28.85,0.092,65.8,29.52,0.102,83.5,28.02,0.209,65.12,494.3,21.11,0.1482839,238.8,6.443,0.07165183,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:10:00",31,13.83,28.96,0.084,66.47,29.65,0.112,83.3,27.69,0.107,68.54,510.5,22.51,0.1531408,272.7,13.65,0.08181702,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:15:00",32,13.83,29.02,0.083,68.47,29.7,0.094,86.5,28.05,0.427,65.83,505.5,77.23,0.1516352,290.8,11.08,0.08724768,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:20:00",33,13.83,29.14,0.114,65.42,29.78,0.112,83.4,28.62,0.161,61.5,594.9,23.89,0.1784696,305.9,3.635,0.09177256,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:25:00",34,13.82,29.31,0.103,63.53,30.02,0.094,80.3,28.44,0.206,64.61,584.1,49.36,0.1752256,324.8,4.241,0.09742591,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:30:00",35,13.82,29.3,0.084,63.73,30.05,0.102,80.8,28.05,0.092,65.35,498.9,26.3,0.1496642,333.4,8.23,0.1000329,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:35:00",36,13.82,29.02,0.108,63.45,29.74,0.126,79.83,27.65,0.121,65.86,490.1,38.92,0.1470351,375.9,8.18,0.112761,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:40:00",37,13.82,28.76,0.089,65.79,29.51,0.115,82.6,27.64,0.078,66.5,433.7,19.23,0.1301242,365.6,12.6,0.1096695,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:45:00",38,13.82,28.61,0.074,67.11,29.33,0.088,84.5,27.55,0.096,66.5,410.1,10.51,0.1230295,356.7,2.013,0.1069983,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:50:00",39,13.82,28.47,0.081,67.11,29.18,0.078,83.8,27.44,0.186,68.56,425.5,4.706,0.1276526,379.1,7.592,0.113736,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 12:55:00",40,13.82,28.34,0.078,66.09,29.04,0.1,83.5,27.37,0.081,65.99,447.7,22.72,0.1343161,386,1.551,0.1158083,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:00:00",41,13.82,28.28,0.062,66.73,28.94,0.079,84,27.78,0.158,66.46,495.4,5.96,0.148634,381.5,0.536,0.1144441,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:05:00",42,13.82,28.33,0.079,69.14,29.01,0.074,87,27.79,0.165,66.97,512.7,18.22,0.1538239,382.4,1.493,0.114714,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:10:00",43,13.82,28.42,0.092,69.64,29.09,0.108,88,28.44,0.192,65.89,530.7,23.72,0.1592115,387.2,0.941,0.1161574,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:15:00",44,13.81,28.62,0.069,69.37,29.29,0.1,87.5,28.4,0.169,66.13,476.2,18.1,0.1428493,388,0.784,0.1163881,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:20:00",45,13.8,28.68,0.056,65.72,29.33,0.109,82.9,27.99,0.202,66.87,437.6,3.621,0.1312858,393.6,4.525,0.1180823,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2016-12-29 13:25:00",46,13.8,28.67,0.067,67.88,29.33,0.093,84.9,27.76,0.118,68.05,447.6,5.343,0.134275,426.2,9.36,0.1278583,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
