"TOA5","CR1000","CR1000","39246","CR1000.Std.27","CPU:PSH-Climate_v3.0.CR1","28515","CLData"
"TIMESTAMP","RECORD","Batt_Volt_Min","AirTC_Avg","AirTC_Std","RH","AirTC_2_Avg","AirTC_2_Std","RH_2","AirTC_3_Avg","AirTC_3_Std","RH_3","SlrW_Avg","SlrW_Std","SlrMJ_Tot","SlrW_2_Avg","SlrW_2_Std","SlrMJ_2_Tot","Rain_mm_Tot","SrlNum","ProgNam","OSVer","StatName","MsgVar","FanStatus","Tach_Tot"
"TS","RN","Volts","Deg C","Deg C","%","Deg C","Deg C","%","Deg C","Deg C","%","W/m²","W/m²","MJ/m²","W/m²","W/m²","MJ/m²","mm","","","","","","","RPM"
"","","Min","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Smp","Avg","Std","Tot","Avg","Std","Tot","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Tot"
"2018-04-11 16:55:00",100310,13.57,75.88,0.599,115.6,38.51,0.561,7.981,31.37,0.056,52.96,115.1,10.83,0.03453123,134.1,10.21,0.04023614,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:00:00",100311,13.57,75.77,0.496,115.7,38.3,0.314,8.05,31.41,0.12,52.35,255.4,90.6,0.07662868,273,90.6,0.08189123,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:05:00",100312,13.58,76.23,0.605,116.9,38.17,0.407,7.406,31.84,0.074,54.11,247.1,58.12,0.07414172,250.1,56.5,0.07503418,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:10:00",100313,13.59,76.75,0.608,116.7,38.33,0.286,7.88,31.7,0.118,54.21,378.1,43.85,0.1134354,379.4,42.66,0.1138265,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:15:00",100314,13.59,77.04,0.6,116.4,37.92,0.35,7.372,31.76,0.085,55.83,417.8,3.081,0.1253297,425.7,5.81,0.1277024,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:20:00",100315,13.58,77.02,0.56,116.3,38.13,0.319,7.778,32.08,0.195,53.64,403.4,21.18,0.1210317,408.5,22.64,0.1225419,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:25:00",100316,13.57,76.27,0.635,115.8,37.74,0.333,7.406,32.2,0.115,53.94,272.2,64.83,0.0816517,279,65.38,0.0836885,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:30:00",100317,13.59,76.43,0.578,117,38.12,0.424,8.32,32.31,0.119,53.3,237.3,69.33,0.07118156,253.9,67.72,0.07617182,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:35:00",100318,13.55,76.8,0.575,116.2,38.1,0.235,7.541,32.64,0.075,52.82,300.9,51.18,0.09028147,321.1,50.37,0.09634075,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:40:00",100319,13.55,77.15,0.603,118,38.3,0.544,8.59,32.59,0.288,54.11,212,67.15,0.06360476,219.7,73.34,0.06591434,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:45:00",100320,13.57,77.2,0.573,116.8,38.04,0.26,7.406,31.56,0.096,54.65,176.5,51.63,0.0529397,185.2,53.69,0.05556613,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:50:00",100321,13.56,77.3,0.574,117,38.12,0.481,7.271,31.47,0.044,55.9,224.1,72.2,0.06723809,227.4,74.01,0.06820983,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 17:55:00",100322,13.54,77.37,0.601,116.8,38.04,0.247,7.812,31.4,0.041,55.73,124.4,47.19,0.03733126,129.4,49.02,0.03880939,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:00:00",100323,13.58,77.36,0.599,118.3,37.94,0.47,7.406,31.28,0.036,55.39,144.8,42.37,0.04344472,154.8,45.46,0.04644004,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:05:00",100324,13.57,77.37,0.648,117.2,37.95,0.284,7.643,31.43,0.035,55.87,115.9,48.9,0.03477859,119.2,53.06,0.0357553,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:10:00",100325,13.6,77.24,0.574,117,37.72,0.422,6.967,31.3,0.079,53.03,71.01,1.259,0.02130321,69.39,1.193,0.02081686,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:15:00",100326,13.58,77.19,0.537,116.9,37.64,0.291,7.068,31.27,0.029,53.84,70.34,0.881,0.02110083,67.03,0.45,0.02011007,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:20:00",100327,13.62,76.08,0.794,115.4,36.99,0.404,6.223,31.18,0.038,54.24,69.6,0.708,0.02087959,67.84,0.329,0.02035212,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:25:00",100328,13.48,74.85,0.74,114.1,36.57,0.37,5.343,31.06,0.056,55.83,66.32,2.135,0.01989727,67.36,0.967,0.02020815,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:30:00",100329,12.75,75.32,1.264,114,35.44,0.429,4.532,30.99,0.028,56.55,56.95,2.661,0.01708563,61.92,4.423,0.01857587,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:35:00",100330,12.64,74.51,1.551,113.9,34.96,0.081,4.194,30.99,0.049,55.6,43.83,2.958,0.01314861,45.43,2.925,0.01362798,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:40:00",100331,12.6,74.06,0.994,113.8,34.97,0.246,4.431,30.94,0.03,55.98,46.18,3.803,0.01385377,48.84,4.163,0.01465106,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:45:00",100332,12.58,74.12,0.956,113.7,34.53,0.358,4.803,30.88,0.035,56.08,38.66,5.014,0.01159736,41.61,5.215,0.01248291,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:50:00",100333,12.54,73.06,0.596,112.7,33.87,0.198,3.213,30.78,0.039,56.28,26.08,2.145,0.007823536,28.1,2.372,0.008430284,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 18:55:00",100334,12.53,72.56,0.387,112.7,33.54,0.098,3.18,30.73,0.04,56.96,20.26,0.996,0.006078525,21.83,1.222,0.006548882,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:ON",0
"2018-04-11 19:00:00",100335,12.52,72.43,0.39,113.6,33.22,0.202,2.503,30.67,0.054,57.47,16.76,1.12,0.005027543,17.15,1.386,0.005144882,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:05:00",100336,12.61,72.15,0.372,112.1,32.9,0.054,2.368,30.56,0.085,57.95,12.86,0.892,0.003859207,13.61,0.698,0.004082856,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:10:00",100337,12.63,72.19,0.541,112.1,32.63,0.12,2.368,30.41,0.054,58.66,10.21,0.635,0.003061933,11.14,0.692,0.003342752,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:15:00",100338,12.62,72.13,0.316,112.1,32.76,0.065,2.233,30.3,0.045,58.86,7.897,0.837,0.002368987,8.69,0.879,0.002607691,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:20:00",100339,12.61,72.11,0.35,112.1,32.55,0.063,2.097,30.26,0.062,59.47,4.647,1.031,0.00139417,5.229,1.139,0.001568692,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:25:00",100340,12.61,72.02,0.243,112.1,32.31,0.083,1.962,30.1,0.041,59.4,1.805,0.546,0.0005416448,2.003,0.61,0.0006008245,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:30:00",100341,12.61,72.02,0.193,112.2,31.99,0.113,1.827,30.05,0.072,59.74,0.588,0.193,0.0001765438,0.642,0.222,0.0001925932,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:35:00",100342,12.61,72.05,0.262,112.2,31.85,0.088,1.759,30.02,0.057,59.54,0.194,0.146,5.818137E-005,0.231,0.146,6.921583E-005,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:40:00",100343,12.61,72.08,0.383,112.3,31.56,0.115,1.624,30.02,0.057,60.22,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:45:00",100344,12.61,72.1,0.243,112.4,31.18,0.074,1.556,29.97,0.039,59.95,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:50:00",100345,12.61,72.19,0.212,112.4,31.24,0.053,1.489,30,0.057,60.46,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 19:55:00",100346,12.61,72.22,0.237,113.3,31.18,0.019,1.556,29.84,0.04,61.14,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:00:00",100347,12.61,72.26,0.201,113,31.12,0.083,1.556,29.71,0.031,61.31,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:05:00",100348,12.61,72.41,0.246,112.3,31,0.093,1.421,29.69,0.026,61.04,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:10:00",100349,12.61,72.18,0.33,112.2,30.65,0.077,1.421,29.64,0.048,61.51,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:15:00",100350,12.6,72.09,0.311,112.1,30.62,0.053,1.421,29.55,0.035,61.65,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:20:00",100351,12.6,72.08,0.372,112.1,30.78,0.094,1.353,29.42,0.074,62.8,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:25:00",100352,12.6,72.09,0.4,112,30.92,0.047,1.387,29.22,0.043,63,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:30:00",100353,12.6,72.04,0.397,111.9,30.72,0.13,1.387,29.15,0.036,63.47,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:35:00",100354,12.6,72.05,0.346,111.8,30.66,0.061,1.353,29.05,0.045,63.24,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:40:00",100355,12.6,72.13,0.514,111.9,30.65,0.012,1.489,29.03,0.062,63.41,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:45:00",100356,12.6,72.13,0.36,112.6,30.68,0.101,1.59,28.97,0.052,63.61,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
"2018-04-11 20:50:00",100357,12.6,71.97,0.495,111.8,30.59,0.119,1.624,28.78,0.054,64.49,0,0,0,0,0,0,0,"39246","CPU:PSH-Climate_v3.0.CR","CR1000.Std.27","CL-PSH-1","Sensors: HMP45C, HMP45C, HC2-S3, LI200X, LIX200X, T","FAN:OFF",0
