STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951201,0,-9999,-9999,189,22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951202,0,-9999,-9999,117,28,,,"PRCP = Precipitation (tenths of mm, inches to hundredths on Daily Form pdf file)"
GHCND:USC00443229,FRONT ROYAL VA US,19951203,0,-9999,-9999,189,22,,,"SNOW = Snowfall (mm, inches to tenths on Daily Form pdf file)"
GHCND:USC00443229,FRONT ROYAL VA US,19951204,0,-9999,-9999,189,-17,,,"SNWD = Snow depth (mm, inches on Daily Form pdf file)"
GHCND:USC00443229,FRONT ROYAL VA US,19951205,0,-9999,-9999,83,6,,,TMAX = Maximum temperature * 10 (¡C)
GHCND:USC00443229,FRONT ROYAL VA US,19951206,0,0,8,56,0,,,TMIN = Minimum temperature  * 10 (¡C)
GHCND:USC00443229,FRONT ROYAL VA US,19951207,0,-9999,-9999,61,-61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951208,18,25,15,39,-72,,,missing value code: -9999
GHCND:USC00443229,FRONT ROYAL VA US,19951209,0,-9999,-9999,22,-100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951210,0,-9999,-9999,-28,-100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951211,0,-9999,-9999,-22,-94,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951212,0,-9999,-9999,0,-94,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951213,20,-9999,-9999,-6,-39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951214,0,-9999,-9999,139,-22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951215,91,-9999,-9999,161,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951216,66,-9999,-9999,111,-28,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951217,0,-9999,-9999,50,-39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951218,117,-9999,-9999,17,-17,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951219,157,25,13,0,-61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951220,0,25,0,-33,-61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951221,0,25,0,-11,-56,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951222,0,25,0,6,-50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951223,0,-9999,0,17,-44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951224,0,-9999,-9999,17,-44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951225,0,-9999,-9999,6,-44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951226,0,-9999,-9999,-17,-61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951227,0,-9999,-9999,-6,-67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951228,0,-9999,-9999,22,-67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951229,0,-9999,-9999,56,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951230,0,-9999,-9999,94,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19951231,23,-9999,-9999,94,-17,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960101,86,0,-9999,94,11,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960102,267,-9999,-9999,22,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960103,5,-9999,-9999,50,-61,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960104,0,-9999,-9999,50,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960105,0,-9999,-9999,11,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960106,211,203,211,-50,-111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960107,500,711,500,-78,-117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960108,51,762,51,-28,-128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960109,0,762,-9999,6,-117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960110,0,737,-9999,-6,-133,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960111,76,737,76,-56,-144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960112,46,686,46,0,-83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960113,0,610,-9999,61,-89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960114,0,508,-9999,128,-89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960115,0,457,-9999,83,-39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960116,5,432,-9999,11,-50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960117,0,356,-9999,106,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960118,234,-9999,-9999,172,22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960119,864,0,-9999,172,-111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960120,0,-9999,-9999,-17,-117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960121,0,-9999,-9999,17,-83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960122,0,-9999,-9999,72,-83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960123,8,-9999,-9999,89,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960124,43,-9999,-9999,139,-28,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960125,0,-9999,-9999,28,-39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960126,178,-9999,-9999,100,-44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960127,8,-9999,-9999,156,-33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960128,0,-9999,-9999,11,-44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960129,0,-9999,-9999,22,-28,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960130,0,-9999,-9999,94,-11,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960131,0,-9999,-9999,-11,-111,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960201,5,0,5,-44,-94,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960202,191,203,191,-39,-117,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960203,0,178,0,-89,-144,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960204,0,178,0,-89,-189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960205,0,152,0,-56,-189,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960206,0,127,0,17,-161,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960207,3,102,0,22,-78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960208,10,0,0,94,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960209,0,0,0,89,6,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960210,0,0,0,167,0,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960211,0,0,0,144,-22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960212,0,0,0,0,-78,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960213,0,0,0,17,-67,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960214,0,0,0,94,-22,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960215,8,0,0,44,-33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960216,51,51,51,-28,-100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960217,0,51,0,-6,-100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960218,0,25,0,28,-100,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960219,0,0,0,61,-11,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960220,127,0,0,83,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960221,5,0,0,111,39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960222,71,0,0,78,39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960223,5,0,0,156,39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960224,0,-9999,3,144,89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960225,0,0,0,211,44,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960226,36,0,0,111,39,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960227,15,0,0,189,72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960228,0,0,0,172,-50,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960229,0,0,0,6,-83,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960301,0,0,0,44,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960302,0,0,0,72,-72,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960303,0,0,0,0,-128,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960304,0,0,0,100,-106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960305,3,0,0,167,-106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960306,13,0,0,156,33,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960307,203,25,13,156,-89,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960308,0,-9999,0,-28,-106,,,
GHCND:USC00443229,FRONT ROYAL VA US,19960309,0,-9999,0,-22,-122,,,
