StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
44,4,189501,4.4,27.7,0.8,0.8,2.41,0.8,0,1156,1.22,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,19.2,36.2
44,4,189502,1.26,23.1,0.27,0.27,-1.37,-0.46,0,1173,-0.94,0.37,-99.99,-99.99,-99.99,-99.99,-99.99,13.7,32.6
44,4,189503,2.51,39.9,0.03,0.03,-0.61,-0.61,0,778,-0.48,-1.07,0,-99.99,-99.99,-99.99,-99.99,30.1,49.6
44,4,189504,4.33,51.4,0.5,0.5,1.42,0.5,0,408,0.83,0.26,-0.27,-99.99,-99.99,-99.99,-99.99,40.5,62.2
44,4,189505,4.19,60.4,0.66,0.66,0.61,0.66,26,169,0.26,0.68,0.31,-99.99,-99.99,-99.99,-99.99,49.1,71.7
44,4,189506,4.81,72.2,1.04,1.04,1.36,1.04,219,0,0.63,0.51,0.82,0.57,-99.99,-99.99,-99.99,60,84.4
44,4,189507,3.48,70,1.06,1.06,0.37,1.06,163,8,-0.23,0.28,0.23,-0.03,-99.99,-99.99,-99.99,59.3,80.7
44,4,189508,1.6,73.5,-0.77,-0.77,-2.3,-0.77,264,0,-1.65,-1.12,-0.62,-0.32,-99.99,-99.99,-99.99,60.9,86.2
44,4,189509,1.08,69.6,-1.69,-1.69,-3,-1.69,156,18,-1.8,-2.11,-1.67,-0.66,-0.64,-99.99,-99.99,57.2,82
44,4,189510,1.57,48.6,-2.04,-2.04,-1.57,-2.04,0,508,-0.75,-1.9,-2.62,-1.32,-1.35,-99.99,-99.99,35,62.2
44,4,189511,1.71,43.3,-2.62,-2.62,-2.36,-2.62,0,651,-0.6,-1.06,-1.7,-1.89,-1.33,-99.99,-99.99,32,54.6
44,4,189512,2.18,34.8,-2.97,-2.97,-1.86,-2.97,0,936,-0.45,-0.79,-1.16,-2.14,-1.31,-1.26,-99.99,24.8,44.8
44,4,189601,1.84,31.1,-3.24,-3.24,-1.74,-3.24,0,1051,-0.73,-0.84,-1.06,-2.31,-1.9,-1.87,-99.99,22.3,39.9
44,4,189602,4.13,34.4,0.74,-2.17,2.22,-1.22,0,857,1.24,0.52,0.15,-1.25,-1.57,-1.22,-99.99,24.3,44.4
44,4,189603,3.75,36.3,1.07,-1.54,1.23,-0.08,0,890,0.45,1.13,0.64,-0.46,-1.61,-0.91,-99.99,25.6,47
44,4,189604,1.58,55,-0.73,-2.11,-2.19,-1.48,0,304,-1.29,-0.55,0.31,-0.46,-1.9,-1.55,-99.99,43.8,66.1
44,4,189605,3.45,66.7,-1.18,-2.41,-1.57,-2.29,111,58,-0.18,-0.95,-0.59,-0.38,-1.35,-1.57,-99.99,54.7,78.8
44,4,189606,5.1,69,0.63,-1.53,1.9,-0.57,134,14,0.78,0.32,-0.32,0.13,-0.57,-1.48,-99.99,58.2,79.7
44,4,189607,5.66,74.1,1.28,-0.66,2.13,1.15,282,0,1.2,1.23,0.85,0.84,0.11,-1.12,-99.99,63.5,84.8
44,4,189608,1.75,72.8,0.52,-1.22,-1.89,-0.2,244,0,-1.46,-0.12,0.27,-0.22,-0.15,-1.06,-99.99,60.6,85.1
