Year,Month,Precipitation (mm),Precipitation Source,Temperature (¡C),Temperature Source
1981,1,221.4,ACP,NA,NA
1981,2,53.2,ACP,NA,NA
1981,3,109.3,ACP,NA,NA
1981,4,386.7,ACP,NA,NA
1981,5,467.9,ACP,NA,NA
1981,6,255,ACP,NA,NA
1981,7,397.9,ACP,NA,NA
1981,8,375.5,ACP,NA,NA
1981,9,190.5,ACP,NA,NA
1981,10,375.5,ACP,NA,NA
1981,11,1188,ACP,NA,NA
1981,12,532.4,ACP,NA,NA
1982,1,224.2,ACP,NA,NA
1982,2,58.8,ACP,NA,NA
1982,3,33.6,ACP,NA,NA
1982,4,269,ACP,NA,NA
1982,5,198.9,ACP,NA,NA
1982,6,364.3,ACP,NA,NA
1982,7,521.2,ACP,NA,NA
1982,8,252.2,ACP,NA,NA
1982,9,277.4,ACP,NA,NA
1982,10,445.5,ACP,NA,NA
1982,11,210.1,ACP,NA,NA
1982,12,30.8,ACP,NA,NA
1983,1,39.2,ACP,NA,NA
1983,2,5.6,ACP,NA,NA
1983,3,0,ACP,NA,NA
1983,4,168.1,ACP,NA,NA
1983,5,425.9,ACP,NA,NA
1983,6,269,ACP,NA,NA
1983,7,291.4,ACP,NA,NA
1983,8,311,ACP,NA,NA
1983,9,313.8,ACP,NA,NA
1983,10,291.4,ACP,NA,NA
1983,11,255,ACP,NA,NA
1983,12,453.9,ACP,NA,NA
1984,1,67.2,ACP,NA,NA
1984,2,58.8,ACP,NA,NA
1984,3,11.2,ACP,NA,NA
1984,4,56,ACP,NA,NA
1984,5,327.8,ACP,NA,NA
1984,6,353,ACP,NA,NA
1984,7,112.1,ACP,NA,NA
1984,8,283,ACP,NA,NA
1984,9,182.1,ACP,NA,NA
1984,10,302.6,ACP,NA,NA
1984,11,456.7,ACP,NA,NA
1984,12,140.1,ACP,NA,NA
1985,1,190.5,ACP,NA,NA
1985,2,36.4,ACP,NA,NA
1985,3,22.4,ACP,NA,NA
1985,4,19.6,ACP,NA,NA
1985,5,249.4,ACP,NA,NA
1985,6,299.8,ACP,NA,NA
1985,7,364.3,ACP,NA,NA
1985,8,283,ACP,NA,NA
1985,9,330.6,ACP,NA,NA
1985,10,285.8,ACP,NA,NA
1985,11,375.5,ACP,NA,NA
1985,12,372.7,ACP,NA,NA
1986,1,33.6,ACP,NA,NA
1986,2,39.2,ACP,NA,NA
1986,3,25.2,ACP,NA,NA
1986,4,165.3,ACP,NA,NA
1986,5,224.2,ACP,NA,NA
