"year","sites.sitename","emission_units","emission_type","value"
"1750","New_Mexico","kg m-2 s-1","NOx",9.40417032405188e-14
"1751","New_Mexico","kg m-2 s-1","NOx",9.51850523737523e-14
"1752","New_Mexico","kg m-2 s-1","NOx",9.63229485470995e-14
"1753","New_Mexico","kg m-2 s-1","NOx",9.74542084290631e-14
"1754","New_Mexico","kg m-2 s-1","NOx",9.85776053835866e-14
"1755","New_Mexico","kg m-2 s-1","NOx",9.96918839490237e-14
"1756","New_Mexico","kg m-2 s-1","NOx",1.00795742288674e-13
"1757","New_Mexico","kg m-2 s-1","NOx",1.01887794233119e-13
"1758","New_Mexico","kg m-2 s-1","NOx",1.02966686541347e-13
"1759","New_Mexico","kg m-2 s-1","NOx",1.04031016288568e-13
"1760","New_Mexico","kg m-2 s-1","NOx",1.05079351036191e-13
"1761","New_Mexico","kg m-2 s-1","NOx",1.06462886208376e-13
"1762","New_Mexico","kg m-2 s-1","NOx",1.07820441450701e-13
"1763","New_Mexico","kg m-2 s-1","NOx",1.0914857423598e-13
"1764","New_Mexico","kg m-2 s-1","NOx",1.10443829728578e-13
"1765","New_Mexico","kg m-2 s-1","NOx",1.11702762039649e-13
"1766","New_Mexico","kg m-2 s-1","NOx",1.12921899392898e-13
"1767","New_Mexico","kg m-2 s-1","NOx",1.14097845927362e-13
"1768","New_Mexico","kg m-2 s-1","NOx",1.15227257318737e-13
"1769","New_Mexico","kg m-2 s-1","NOx",1.16306853537814e-13
"1770","New_Mexico","kg m-2 s-1","NOx",1.17333426262016e-13
"1771","New_Mexico","kg m-2 s-1","NOx",1.187360850294e-13
"1772","New_Mexico","kg m-2 s-1","NOx",1.20088444968674e-13
"1773","New_Mexico","kg m-2 s-1","NOx",1.2140457762643e-13
"1774","New_Mexico","kg m-2 s-1","NOx",1.22698532102891e-13
"1775","New_Mexico","kg m-2 s-1","NOx",1.23984257071935e-13
"1776","New_Mexico","kg m-2 s-1","NOx",1.25275713277658e-13
"1777","New_Mexico","kg m-2 s-1","NOx",1.26586757120286e-13
"1778","New_Mexico","kg m-2 s-1","NOx",1.27931367131609e-13
"1779","New_Mexico","kg m-2 s-1","NOx",1.29323646145499e-13
"1780","New_Mexico","kg m-2 s-1","NOx",1.30778004839369e-13
"1781","New_Mexico","kg m-2 s-1","NOx",1.32821997779141e-13
"1782","New_Mexico","kg m-2 s-1","NOx",1.34907763154558e-13
"1783","New_Mexico","kg m-2 s-1","NOx",1.37008700213549e-13
"1784","New_Mexico","kg m-2 s-1","NOx",1.39097435498238e-13
"1785","New_Mexico","kg m-2 s-1","NOx",1.41146096066005e-13
"1786","New_Mexico","kg m-2 s-1","NOx",1.43126626120995e-13
"1787","New_Mexico","kg m-2 s-1","NOx",1.45010962879329e-13
"1788","New_Mexico","kg m-2 s-1","NOx",1.46771646379892e-13
"1789","New_Mexico","kg m-2 s-1","NOx",1.48382598119364e-13
"1790","New_Mexico","kg m-2 s-1","NOx",1.49820571119687e-13
"1791","New_Mexico","kg m-2 s-1","NOx",1.53578913004923e-13
"1792","New_Mexico","kg m-2 s-1","NOx",1.57123569759269e-13
"1793","New_Mexico","kg m-2 s-1","NOx",1.6048444434568e-13
"1794","New_Mexico","kg m-2 s-1","NOx",1.6369377017945e-13
"1795","New_Mexico","kg m-2 s-1","NOx",1.66783323807472e-13
"1796","New_Mexico","kg m-2 s-1","NOx",1.69784558898271e-13
"1797","New_Mexico","kg m-2 s-1","NOx",1.72727555338808e-13
"1798","New_Mexico","kg m-2 s-1","NOx",1.7564053361991e-13
"1799","New_Mexico","kg m-2 s-1","NOx",1.78549305164818e-13
"1800","New_Mexico","kg m-2 s-1","NOx",1.9342734999234e-13
"1801","New_Mexico","kg m-2 s-1","NOx",1.98742126737325e-13
"1802","New_Mexico","kg m-2 s-1","NOx",2.04408109977561e-13
"1803","New_Mexico","kg m-2 s-1","NOx",2.09386773718727e-13
"1804","New_Mexico","kg m-2 s-1","NOx",2.15753583139427e-13
"1805","New_Mexico","kg m-2 s-1","NOx",2.20742661362438e-13
"1806","New_Mexico","kg m-2 s-1","NOx",2.25045354893943e-13
"1807","New_Mexico","kg m-2 s-1","NOx",2.3176642214e-13
"1808","New_Mexico","kg m-2 s-1","NOx",2.37105011521818e-13
"1809","New_Mexico","kg m-2 s-1","NOx",2.42259809918164e-13
"1810","New_Mexico","kg m-2 s-1","NOx",2.47564374728058e-13
"1811","New_Mexico","kg m-2 s-1","NOx",2.55248071293875e-13
"1812","New_Mexico","kg m-2 s-1","NOx",2.63230641059673e-13
"1813","New_Mexico","kg m-2 s-1","NOx",2.71166554662138e-13
"1814","New_Mexico","kg m-2 s-1","NOx",2.79227125552134e-13
"1815","New_Mexico","kg m-2 s-1","NOx",2.87239118995484e-13
"1816","New_Mexico","kg m-2 s-1","NOx",2.96232333902141e-13
"1817","New_Mexico","kg m-2 s-1","NOx",3.04831544067752e-13
"1818","New_Mexico","kg m-2 s-1","NOx",3.13722607540883e-13
"1819","New_Mexico","kg m-2 s-1","NOx",3.18780257583835e-13
"1820","New_Mexico","kg m-2 s-1","NOx",3.26019475410939e-13
"1821","New_Mexico","kg m-2 s-1","NOx",3.35745165502286e-13
"1822","New_Mexico","kg m-2 s-1","NOx",3.45400589128875e-13
"1823","New_Mexico","kg m-2 s-1","NOx",3.55006801834053e-13
"1824","New_Mexico","kg m-2 s-1","NOx",3.68187337132388e-13
"1825","New_Mexico","kg m-2 s-1","NOx",3.81700424083999e-13
"1826","New_Mexico","kg m-2 s-1","NOx",3.97964167365426e-13
"1827","New_Mexico","kg m-2 s-1","NOx",4.12026268499901e-13
"1828","New_Mexico","kg m-2 s-1","NOx",4.26817604768739e-13
"1829","New_Mexico","kg m-2 s-1","NOx",4.44235111606926e-13
"1830","New_Mexico","kg m-2 s-1","NOx",4.65997098661175e-13
"1831","New_Mexico","kg m-2 s-1","NOx",4.85011998943748e-13
"1832","New_Mexico","kg m-2 s-1","NOx",5.31256247400465e-13
"1833","New_Mexico","kg m-2 s-1","NOx",5.65609802449226e-13
