"year","sites.sitename","emission_units","emission_type","value"
"1750","New_Mexico","kg m-2 s-1","SO2",8.06544499207419e-14
"1751","New_Mexico","kg m-2 s-1","SO2",8.14584948871318e-14
"1752","New_Mexico","kg m-2 s-1","SO2",8.22560107118062e-14
"1753","New_Mexico","kg m-2 s-1","SO2",8.30455777675451e-14
"1754","New_Mexico","kg m-2 s-1","SO2",8.38257342872402e-14
"1755","New_Mexico","kg m-2 s-1","SO2",8.45949721287287e-14
"1756","New_Mexico","kg m-2 s-1","SO2",8.53517342336952e-14
"1757","New_Mexico","kg m-2 s-1","SO2",8.60943644409697e-14
"1758","New_Mexico","kg m-2 s-1","SO2",8.68212328474036e-14
"1759","New_Mexico","kg m-2 s-1","SO2",8.75306714333654e-14
"1760","New_Mexico","kg m-2 s-1","SO2",8.82209575455984e-14
"1761","New_Mexico","kg m-2 s-1","SO2",8.91826709188562e-14
"1762","New_Mexico","kg m-2 s-1","SO2",9.0113279759983e-14
"1763","New_Mexico","kg m-2 s-1","SO2",9.10086590185261e-14
"1764","New_Mexico","kg m-2 s-1","SO2",9.18646804676585e-14
"1765","New_Mexico","kg m-2 s-1","SO2",9.26772103748392e-14
"1766","New_Mexico","kg m-2 s-1","SO2",9.34420974315942e-14
"1767","New_Mexico","kg m-2 s-1","SO2",9.41552714328532e-14
"1768","New_Mexico","kg m-2 s-1","SO2",9.48127329007979e-14
"1769","New_Mexico","kg m-2 s-1","SO2",9.54105539318935e-14
"1770","New_Mexico","kg m-2 s-1","SO2",9.59448902671087e-14
"1771","New_Mexico","kg m-2 s-1","SO2",9.67613029733197e-14
"1772","New_Mexico","kg m-2 s-1","SO2",9.75174895193986e-14
"1773","New_Mexico","kg m-2 s-1","SO2",9.82303037434134e-14
"1774","New_Mexico","kg m-2 s-1","SO2",9.89165681432129e-14
"1775","New_Mexico","kg m-2 s-1","SO2",9.95929815498359e-14
"1776","New_Mexico","kg m-2 s-1","SO2",1.0027625126465e-13
"1777","New_Mexico","kg m-2 s-1","SO2",1.00982975110016e-13
"1778","New_Mexico","kg m-2 s-1","SO2",1.01729885374773e-13
"1779","New_Mexico","kg m-2 s-1","SO2",1.0253386702545e-13
"1780","New_Mexico","kg m-2 s-1","SO2",1.03412177511315e-13
"1781","New_Mexico","kg m-2 s-1","SO2",1.04777233998012e-13
"1782","New_Mexico","kg m-2 s-1","SO2",1.06192311168376e-13
"1783","New_Mexico","kg m-2 s-1","SO2",1.07625543431172e-13
"1784","New_Mexico","kg m-2 s-1","SO2",1.09044174116508e-13
"1785","New_Mexico","kg m-2 s-1","SO2",1.10414818691316e-13
"1786","New_Mexico","kg m-2 s-1","SO2",1.11703900346051e-13
"1787","New_Mexico","kg m-2 s-1","SO2",1.12877807119298e-13
"1788","New_Mexico","kg m-2 s-1","SO2",1.1390367857963e-13
"1789","New_Mexico","kg m-2 s-1","SO2",1.14750271493268e-13
"1790","New_Mexico","kg m-2 s-1","SO2",1.15389776074489e-13
"1791","New_Mexico","kg m-2 s-1","SO2",1.17703770771775e-13
