"year","sites.sitename","emission_units","emission_type","value"
"1750","Amacayacu","kg m-2 s-1","NOx",8.82057929029855e-15
"1750","Badagongshan","kg m-2 s-1","NOx",9.9953488174253e-13
"1750","Baishanzu","kg m-2 s-1","NOx",2.78962539815308e-13
"1750","Baotianman","kg m-2 s-1","NOx",1.34097698494418e-12
"1750","Barro_Colorado_Island","kg m-2 s-1","NOx",9.43640184675394e-14
"1750","Bidoup","kg m-2 s-1","NOx",4.4686117938006e-13
"1750","Bukit_Timah","kg m-2 s-1","NOx",9.96324002185638e-13
"1750","Changbaishan","kg m-2 s-1","NOx",4.22469315170064e-13
"1750","Cocoli","kg m-2 s-1","NOx",1.31745556757793e-13
"1750","Danum_Valley","kg m-2 s-1","NOx",1.2833419953712e-14
"1750","Daxinganling","kg m-2 s-1","NOx",6.67799101012955e-14
"1750","Dinghushan","kg m-2 s-1","NOx",3.08083099369261e-12
"1750","Doi_Inthanon","kg m-2 s-1","NOx",1.68418410109649e-13
"1750","Donglingshan","kg m-2 s-1","NOx",3.61866947471974e-13
"1750","Fushan","kg m-2 s-1","NOx",5.59434440885372e-13
"1750","Gutianshan","kg m-2 s-1","NOx",8.20532063755747e-13
"1750","Haliburton","kg m-2 s-1","NOx",2.50983642401419e-14
"1750","Harvard_Forest","kg m-2 s-1","NOx",1.75440668264997e-12
"1750","Heishiding","kg m-2 s-1","NOx",8.63546240808046e-13
"1750","Hong_Kong","kg m-2 s-1","NOx",2.09430981845279e-14
"1750","Huai_Kha_Khaeng","kg m-2 s-1","NOx",1.74963420352314e-13
"1750","Ilha_do_Cardoso","kg m-2 s-1","NOx",1.29695641912902e-15
"1750","Indian_Cave","kg m-2 s-1","NOx",1.03643883797553e-13
"1750","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","NOx",4.32329928735087e-14
"1750","Jianfengling","kg m-2 s-1","NOx",1.06720784383882e-12
"1750","Kenting","kg m-2 s-1","NOx",6.39270639456072e-14
"1750","Khao_Chong","kg m-2 s-1","NOx",3.69820386099884e-13
"1750","Korup","kg m-2 s-1","NOx",3.4557670649236e-13
"1750","Kuala_Belalong","kg m-2 s-1","NOx",3.32515369824877e-14
"1750","La_Planada","kg m-2 s-1","NOx",1.95840441303066e-13
"1750","Lambir","kg m-2 s-1","NOx",2.03929225631551e-14
"1750","Laupahoehoe","kg m-2 s-1","NOx",5.78054590193768e-13
"1750","Lienhuachih","kg m-2 s-1","NOx",7.95935567397121e-13
"1750","Lilly_Dickey_Woods","kg m-2 s-1","NOx",3.90254364349992e-14
"1750","Luquillo","kg m-2 s-1","NOx",8.79639726621925e-13
"1750","Manaus","kg m-2 s-1","NOx",6.47512127956315e-16
"1750","Michigan_Big_Woods","kg m-2 s-1","NOx",2.17968216567662e-13
"1750","Mo_Singto","kg m-2 s-1","NOx",3.4493794031211e-13
"1750","Mpala","kg m-2 s-1","NOx",4.42904419973991e-13
"1750","Mudumalai","kg m-2 s-1","NOx",1.73945829189614e-12
"1750","Nanjenshan","kg m-2 s-1","NOx",4.09210548357465e-13
"1750","Ngel_Nyaki","kg m-2 s-1","NOx",3.31736374481473e-13
"1750","Niobara","kg m-2 s-1","NOx",3.01848523970084e-14
"1750","Nonggang","kg m-2 s-1","NOx",8.60478033363208e-13
"1750","Ordway-Swisher","kg m-2 s-1","NOx",4.56428784502174e-14
"1750","Palamanui","kg m-2 s-1","NOx",5.03529703089678e-13
"1750","Palanan","kg m-2 s-1","NOx",1.22692771749455e-13
"1750","Pasoh","kg m-2 s-1","NOx",3.93965690030363e-14
"1750","Rabi","kg m-2 s-1","NOx",1.40982062153599e-14
"1750","San_Lorenzo","kg m-2 s-1","NOx",9.43640184675394e-14
"1750","Santa_Cruz","kg m-2 s-1","NOx",2.49545808658605e-13
"1750","Scotty_Creek","kg m-2 s-1","NOx",2.10071011495937e-16
"1750","Sinharaja","kg m-2 s-1","NOx",1.41849284935832e-12
"1750","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","NOx",5.85039237005838e-13
"1750","Smithsonian_Environmental_Research_Center","kg m-2 s-1","NOx",1.62354375212341e-12
"1750","Speulderbos","kg m-2 s-1","NOx",9.72396486011304e-12
"1750","Tiantongshan","kg m-2 s-1","NOx",3.75798022800126e-12
