"year","sites.sitename","emission_units","emission_type","value"
"1750","Amacayacu","kg m-2 s-1","SO2",7.7600818576201e-15
"1750","Badagongshan","kg m-2 s-1","SO2",1.24959566891007e-12
"1750","Baishanzu","kg m-2 s-1","SO2",3.74275809048594e-13
"1750","Baotianman","kg m-2 s-1","SO2",1.25232627951532e-12
"1750","Barro_Colorado_Island","kg m-2 s-1","SO2",1.15014212306528e-13
"1750","Bidoup","kg m-2 s-1","SO2",1.55884150853254e-12
"1750","Bukit_Timah","kg m-2 s-1","SO2",2.86976846230806e-13
"1750","Changbaishan","kg m-2 s-1","SO2",1.13413901259638e-13
"1750","Cocoli","kg m-2 s-1","SO2",1.18750716345659e-13
"1750","Danum_Valley","kg m-2 s-1","SO2",7.20545818996303e-15
"1750","Daxinganling","kg m-2 s-1","SO2",3.79693289325496e-16
"1750","Dinghushan","kg m-2 s-1","SO2",5.23008903980521e-12
"1750","Doi_Inthanon","kg m-2 s-1","SO2",5.03022021875461e-14
"1750","Donglingshan","kg m-2 s-1","SO2",1.31088797162524e-13
"1750","Fushan","kg m-2 s-1","SO2",9.61813077505992e-14
"1750","Gutianshan","kg m-2 s-1","SO2",1.15175929096779e-12
"1750","Haliburton","kg m-2 s-1","SO2",2.99622224129075e-14
"1750","Harvard_Forest","kg m-2 s-1","SO2",2.05222591197768e-12
"1750","Heishiding","kg m-2 s-1","SO2",1.09662146442584e-12
"1750","Hong_Kong","kg m-2 s-1","SO2",4.30552678911203e-14
"1750","Huai_Kha_Khaeng","kg m-2 s-1","SO2",5.95455380305692e-14
"1750","Ilha_do_Cardoso","kg m-2 s-1","SO2",7.78870944538313e-16
"1750","Indian_Cave","kg m-2 s-1","SO2",7.41762489782751e-14
"1750","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","SO2",7.55714377091582e-14
"1750","Jianfengling","kg m-2 s-1","SO2",1.46358833798092e-12
"1750","Kenting","kg m-2 s-1","SO2",1.13492811696037e-14
"1750","Khao_Chong","kg m-2 s-1","SO2",1.63434591703057e-13
"1750","Korup","kg m-2 s-1","SO2",3.82104929921385e-13
"1750","Kuala_Belalong","kg m-2 s-1","SO2",4.0460844566619e-15
"1750","La_Planada","kg m-2 s-1","SO2",1.21862482949502e-13
"1750","Lambir","kg m-2 s-1","SO2",8.97504411268073e-15
"1750","Laupahoehoe","kg m-2 s-1","SO2",6.74792443059944e-13
"1750","Lienhuachih","kg m-2 s-1","SO2",1.27716204616441e-13
"1750","Lilly_Dickey_Woods","kg m-2 s-1","SO2",1.0796327261966e-14
"1750","Luquillo","kg m-2 s-1","SO2",5.23164370440539e-13
"1750","Manaus","kg m-2 s-1","SO2",8.58161338907221e-17
"1750","Michigan_Big_Woods","kg m-2 s-1","SO2",7.21074987477628e-14
"1750","Mo_Singto","kg m-2 s-1","SO2",1.70333487652403e-13
"1750","Mpala","kg m-2 s-1","SO2",1.39079505240112e-13
"1750","Mudumalai","kg m-2 s-1","SO2",2.43648924617306e-12
"1750","Nanjenshan","kg m-2 s-1","SO2",6.94102050717625e-14
"1750","Ngel_Nyaki","kg m-2 s-1","SO2",1.00621876282514e-13
"1750","Niobara","kg m-2 s-1","SO2",2.15036419755571e-16
"1750","Nonggang","kg m-2 s-1","SO2",1.21443272749027e-12
"1750","Ordway-Swisher","kg m-2 s-1","SO2",2.17393912294616e-14
"1750","Palamanui","kg m-2 s-1","SO2",5.93721498356949e-13
"1750","Palanan","kg m-2 s-1","SO2",1.05103023833591e-13
"1750","Pasoh","kg m-2 s-1","SO2",4.93734128525993e-14
"1750","Rabi","kg m-2 s-1","SO2",2.24309177155669e-14
"1750","San_Lorenzo","kg m-2 s-1","SO2",1.15014212306528e-13
"1750","Santa_Cruz","kg m-2 s-1","SO2",1.30363451933087e-13
"1750","Scotty_Creek","kg m-2 s-1","SO2",3.02998696538266e-16
"1750","Sinharaja","kg m-2 s-1","SO2",2.82452713155262e-12
"1750","Smithsonian_Conservation_Biology_Institute","kg m-2 s-1","SO2",6.66724874577447e-13
"1750","Smithsonian_Environmental_Research_Center","kg m-2 s-1","SO2",1.64103307020145e-12
"1750","Speulderbos","kg m-2 s-1","SO2",6.15138360171227e-12
"1750","Tiantongshan","kg m-2 s-1","SO2",7.0924635522246e-12
"1750","Traunstein","kg m-2 s-1","SO2",5.26523399532741e-12
"1750","Tyson_Research_Center","kg m-2 s-1","SO2",1.39961056685792e-13
"1750","University_of_Maryland,_Baltimore_County","kg m-2 s-1","SO2",2.03369156774212e-12
"1750","Utah_Forest_Dynamics_Plot","kg m-2 s-1","SO2",1.00303158748528e-15
"1750","Wabikon","kg m-2 s-1","SO2",1.53446858186166e-15
"1750","Wanang","kg m-2 s-1","SO2",3.86515812913113e-14
"1750","Wind_River","kg m-2 s-1","SO2",1.03868628796453e-14
"1750","Wytham_Woods","kg m-2 s-1","SO2",1.49545950506335e-10
"1750","Xishuangbanna","kg m-2 s-1","SO2",3.60625752384455e-11
"1750","Yasuni","kg m-2 s-1","SO2",3.77962383070911e-14
"1750","Yosemite_National_Park","kg m-2 s-1","SO2",1.49767188244615e-15
"1750","Zofin","kg m-2 s-1","SO2",3.56256377751027e-12
"1751","Amacayacu","kg m-2 s-1","SO2",7.75174936290739e-15
"1751","Badagongshan","kg m-2 s-1","SO2",1.25535920634384e-12
"1751","Baishanzu","kg m-2 s-1","SO2",3.76696209083505e-13
"1751","Baotianman","kg m-2 s-1","SO2",1.26040139019094e-12
"1751","Barro_Colorado_Island","kg m-2 s-1","SO2",1.15926160747129e-13
"1751","Bidoup","kg m-2 s-1","SO2",1.56011276607296e-12
"1751","Bukit_Timah","kg m-2 s-1","SO2",2.89071368126954e-13
"1751","Changbaishan","kg m-2 s-1","SO2",1.14302298213838e-13
"1751","Cocoli","kg m-2 s-1","SO2",1.19909300107603e-13
"1751","Danum_Valley","kg m-2 s-1","SO2",7.22091696476689e-15
"1751","Daxinganling","kg m-2 s-1","SO2",3.73949706148314e-16
"1751","Dinghushan","kg m-2 s-1","SO2",5.24096618968045e-12
"1751","Doi_Inthanon","kg m-2 s-1","SO2",5.046111049183e-14
"1751","Donglingshan","kg m-2 s-1","SO2",1.32044522224603e-13
"1751","Fushan","kg m-2 s-1","SO2",9.65718543137874e-14
"1751","Gutianshan","kg m-2 s-1","SO2",1.15605841007971e-12
"1751","Haliburton","kg m-2 s-1","SO2",3.29299965788557e-14
"1751","Harvard_Forest","kg m-2 s-1","SO2",2.08841159231822e-12
"1751","Heishiding","kg m-2 s-1","SO2",1.10021324326416e-12
"1751","Hong_Kong","kg m-2 s-1","SO2",4.31647413938387e-14
"1751","Huai_Kha_Khaeng","kg m-2 s-1","SO2",5.97175666105083e-14
"1751","Ilha_do_Cardoso","kg m-2 s-1","SO2",7.86975965823343e-16
"1751","Indian_Cave","kg m-2 s-1","SO2",7.49652344400167e-14
"1751","Ituri_(Edoro_and_Lenda)","kg m-2 s-1","SO2",7.54932238448616e-14
"1751","Jianfengling","kg m-2 s-1","SO2",1.46806045510199e-12
"1751","Kenting","kg m-2 s-1","SO2",1.13351579539994e-14
"1751","Khao_Chong","kg m-2 s-1","SO2",1.63743078984864e-13
"1751","Korup","kg m-2 s-1","SO2",3.82013935289444e-13
"1751","Kuala_Belalong","kg m-2 s-1","SO2",4.05249525199298e-15
"1751","La_Planada","kg m-2 s-1","SO2",1.22106363428532e-13
"1751","Lambir","kg m-2 s-1","SO2",8.99612872150158e-15
"1751","Laupahoehoe","kg m-2 s-1","SO2",6.81911272384594e-13
