ID,Site,modlt,modlon,MAP.1998.2014,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,Korup,5.07389,8.85472,2873.25,2625.85,2949.94,2376.54,2994.32,2688.69,2236.66,2522.70,2784.25,3401.34,3712.14,2577.29,2684.50,3228.04,2390.68,3317.25,3069.15,3285.86
2,Ituri (Edoro and Lenda),1.4368,28.5826,1695.26,1649.21,1695.14,1702.98,1867.41,1666.71,1759.03,1660.36,1528.68,1858.84,1858.67,1650.10,1464.54,1778.29,1668.94,1761.05,1808.01,1441.47
3,Rabi,-1.9246,9.88004,2252.40,1987.20,2012.62,2277.65,1631.09,2301.01,2469.58,1905.12,1993.22,2382.65,3162.78,2153.92,2527.88,2570.57,2057.59,2227.34,2285.76,2344.77
4,Mpala,0.2918,36.8809,663.01,976.20,471.55,316.82,760.46,804.21,800.24,615.47,459.04,882.62,794.17,477.78,452.97,665.25,875.65,758.59,706.74,453.36
5,Wanang,-5.25,145.267,3383.31,3576.21,3276.44,3445.81,2953.63,3393.55,3303.83,3037.82,3584.32,3588.06,3546.14,3598.82,3621.31,3142.03,3103.33,3338.89,3610.98,3395.14
6,Kuala Belalong,4.5384,115.154,3438.39,2899.70,3598.75,3324.00,3308.70,2783.11,3275.93,2949.74,3148.81,3667.26,4007.30,4096.90,3412.00,4352.60,3434.52,3216.62,3453.20,3523.48
7,Dinghushan,23.1695,112.511,1815.93,1863.12,1709.95,1640.41,2351.90,1757.10,1391.26,1607.69,1984.70,2051.82,1404.64,2337.37,1643.87,1817.06,1456.69,1962.94,1972.21,1918.08
8,Heishiding,23.27,111.53,1610.48,1532.73,1450.95,1167.03,1803.49,1717.43,1171.87,1367.99,1724.82,2040.99,1334.36,1924.28,1644.56,1744.77,1232.92,1737.89,2034.54,1747.57
9,Hong Kong,22.52,114.181,1855.35,2244.71,1818.40,2436.90,2632.87,1831.69,1382.85,1268.10,2067.19,2124.97,1540.17,2497.92,1425.80,1747.80,1213.24,1506.09,2045.09,1757.18
10,Jianfengling,18.7308,108.905,1225.59,1016.98,1450.16,1278.26,1540.46,1329.89,1137.49,1050.79,1324.32,922.31,968.81,1280.46,1269.71,1109.20,1315.72,1477.13,1330.52,1032.76
11,Nonggang ,22.4333,106.95,1470.45,1431.38,1688.09,1225.42,1842.12,1621.87,1397.08,1256.11,1635.69,1216.49,1315.65,1875.73,1236.24,1389.54,1391.43,1553.27,1446.87,1474.71
12,Xishuangbanna ,21.6117,101.574,1615.82,1607.02,1668.22,1955.24,1803.14,2098.70,1288.19,1296.29,1549.03,1716.79,1518.26,1876.72,1252.71,1433.49,1639.95,1556.42,1819.19,1389.60
13,Mudumalai,11.5989,76.5338,1550.15,2082.78,1577.10,1470.16,1353.00,1145.80,1346.58,1546.59,1734.78,1940.77,2006.03,1461.97,1680.59,1621.42,1527.73,975.19,1291.97,1590.09
14,Danum Valley,5.10189,117.688,3307.71,2415.20,3087.45,3164.93,2921.77,2367.94,3307.89,3213.49,3001.90,4708.38,3573.56,3664.23,3868.88,2722.10,3999.40,3706.45,3252.14,3255.38
15,Lambir,4.1865,114.017,3376.99,3130.29,3500.80,3662.87,3244.21,2979.55,3246.26,3026.58,2987.90,3484.26,4030.04,3959.27,3516.17,4273.55,3229.77,3107.77,3266.11,2763.38
16,Pasoh,2.982,102.313,2200.16,2018.71,2108.51,2347.55,2098.97,1927.10,2129.11,1854.25,1934.78,2445.18,2604.13,2372.16,2257.11,2499.78,2354.16,2169.54,2194.40,2087.30
17,Palanan,17.0402,122.388,2795.85,2818.97,3929.43,3147.76,2726.57,2354.51,2036.50,1848.63,3401.27,3104.63,2001.40,3132.06,2704.54,2504.30,3789.31,3037.29,2955.24,2037.01
18,Bukit Timah,1.35,103.78,2520.16,2437.24,2194.49,2472.99,2549.79,2314.24,2660.39,2642.50,2385.59,3199.11,3024.74,2821.27,2083.73,2201.98,2828.88,2436.02,2649.76,1940.04
19,Sinharaja,6.4023,80.4023,2486.13,2319.30,2331.03,2239.98,1964.05,2072.25,2396.45,2309.02,2447.72,2945.08,2422.20,2763.33,2329.49,3052.17,2506.07,2576.96,2453.02,3136.10
20,Fushan,24.7614,121.555,2023.07,3915.22,1679.57,2484.22,2390.35,1193.50,927.45,2176.29,2480.86,1946.60,2318.62,2130.34,1548.90,1911.13,1462.99,2282.15,1889.75,1654.23
21,Kenting,22.015,120.7969,1824.23,2514.34,2382.71,2073.91,1988.90,1217.80,1466.57,1174.33,2048.47,1510.80,2182.31,1705.95,1636.48,2025.10,1923.35,2183.75,1790.74,1186.34
22,Lienhuachih,23.9136,120.879,2210.52,2980.79,2189.32,2403.11,2255.72,1487.46,1234.81,2133.18,2721.34,2382.25,2618.29,2709.88,1868.66,2275.07,1821.17,2395.00,2319.04,1783.70
23,Nanjenshan,22.059,120.854,1824.23,2514.34,2382.71,2073.91,1988.90,1217.80,1466.57,1174.33,2048.47,1510.80,2182.31,1705.95,1636.48,2025.10,1923.35,2183.75,1790.74,1186.34
24,Zenlun,23.4247,120.5509,2337.94,2953.37,2467.84,2449.64,2553.72,1616.55,1460.17,2016.72,2895.86,2496.68,2657.72,2729.67,1983.32,2431.12,2064.88,2693.22,2425.74,1848.69
25,Doi Inthanon,18.5833,98.4333,1196.83,759.06,1235.91,1281.69,1164.25,1333.74,1026.68,1151.36,1412.92,1256.06,1173.78,1174.26,1115.72,1256.66,1639.67,1222.58,1186.65,955.16
26,Huai Kha Khaeng (HKK),15.6324,99.217,1773.68,1374.94,1909.21,1890.43,1669.80,1880.55,1560.63,1505.51,1692.56,1919.95,1781.95,1974.49,1904.67,1840.23,2047.79,1868.54,1841.08,1490.17
27,Khao Chong,7.54347,99.798,2277.20,2008.22,2613.14,2730.16,2282.34,1820.61,2042.48,1937.40,2256.81,2102.90,2331.51,2099.42,2119.97,2322.07,2884.45,2418.56,2482.68,2259.75
28,Mo Singto,14.4333,101.35,1553.73,1366.35,1687.28,1831.71,1227.46,1598.40,1598.70,1378.03,1611.29,1547.44,1557.74,1839.51,1462.26,1575.47,1724.80,1510.58,1675.60,1220.88
29,Haliburton ,45.2901,-78.6377,1019.02,868.43,1026.29,998.46,971.21,955.17,1100.45,972.80,932.24,1081.05,958.65,1174.79,1080.21,965.89,959.51,945.64,1217.37,1115.24
30,Scotty Creek ,61.3,-121.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,Harvard Forest,42.5388,-72.1755,1430.24,1340.09,1404.55,1508.02,1140.11,1356.10,1584.66,1276.92,1751.65,1498.08,1375.69,1794.97,1439.33,1305.78,1749.50,1095.19,1262.68,1430.74
32,Lilly Dickey Woods,39.2359,-86.2181,1277.93,1293.55,1012.53,1343.38,1235.14,1375.35,1376.98,1266.68,1318.75,1607.45,1142.09,1537.31,1356.85,993.07,1491.20,922.74,1287.96,1163.82
33,Santa Cruz,37.0124,-122.075,553.98,1006.95,472.79,689.35,695.04,522.25,456.76,542.52,744.83,665.68,320.70,493.84,521.28,650.88,438.41,486.80,198.93,510.69
34,Smithsonian Conservation Biology Institute (SCBI),38.8935,-78.1454,1093.89,1163.88,1076.20,994.45,880.90,1051.43,1654.87,1187.25,1026.95,1144.80,916.72,1186.81,1156.93,979.22,1331.89,871.49,1056.82,915.52
35,Smithsonian Environmental Research Center (SERC) ,38.8891,-76.5594,1218.82,1179.62,1158.86,1248.21,1038.31,1112.84,1754.78,1330.13,1243.59,1292.90,974.77,1259.11,1355.11,1115.98,1372.32,991.68,1133.30,1158.48
36,Tyson Research Center,38.5178,-90.5575,1137.43,1386.96,953.01,1115.07,1083.92,1101.44,1196.68,1356.26,1137.67,968.91,909.95,1617.09,1431.60,998.63,1165.22,813.38,1065.76,1034.70
