Site,AnnualMeanTemp,MeanDiurnalRange,Isothermality,TempSeasonality,MaxTWarmestMonth,MinTColdestMonth,TempRangeAnnual,MeanTWetQ,MeanTDryQ,MeanTWarmQ,MeanTColdQ,AnnualPre,PreWetMonth,PreDryMonth,PreSeasonality,PreWetQ,PreDryQ,PreWarmQ,PreColdQ
Mpala,179,164,82,532,280,81,199,186,177,186,174,709,133,21,55,272,87,272,145
Ituri_(Edoro_and_Lenda),243,114,85,422,313,179,134,239,244,248,237,1750,198,67,29,554,233,426,536
Wanang,262,87,91,216,309,214,95,263,258,264,258,3764,430,180,32,1265,564,1187,564
Kuala_Belalong,264,67,90,259,303,229,74,262,264,267,261,3761,368,252,14,1092,798,911,969
Danum_Valley,259,77,88,333,305,218,87,255,256,262,254,2466,275,147,15,745,536,539,664
Lambir,265,74,89,315,308,225,83,262,263,269,260,2929,347,170,24,987,545,632,816
Pasoh,264,95,85,473,321,210,111,260,265,270,258,1975,254,103,30,711,324,523,636
Palanan,265,88,63,1678,334,195,139,255,257,283,240,2644,558,79,63,1312,264,506,570
Bukit_Timah,267,80,86,390,313,220,93,262,269,272,261,2402,307,154,22,811,483,524,724
Sinharaja,236,76,73,551,291,187,104,231,233,243,229,3442,434,162,31,1126,612,1008,911
Manaus,267,86,83,413,323,220,103,264,272,273,263,2404,314,110,33,874,349,396,760
Amacayacu,259,93,84,418,312,202,110,260,255,263,253,2790,317,150,22,881,507,679,594
Yasuni,251,97,86,455,309,197,112,248,254,255,244,3115,329,197,16,939,621,744,832
Scotty_Creek,-35,112,20,15241,230,-305,535,150,-122,150,-236,372,59,18,43,157,55,157,57
Korup,251,86,78,719,312,203,109,241,253,260,241,2853,419,33,58,1218,151,473,1218
Khao_Chong,269,93,71,751,340,210,130,263,267,279,258,2114,324,38,50,878,182,354,616
Barro_Colorado_Island_(BCI),259,68,73,703,308,216,92,252,260,269,250,2635,386,26,57,1053,125,411,1001
Cocoli,266,77,74,577,322,219,103,260,267,274,259,2018,317,11,61,822,68,330,700
San_Lorenzo/_Sherman,262,62,76,541,304,223,81,256,262,269,255,3188,501,48,53,1237,203,509,936
Luquillo,226,89,70,1272,286,160,126,239,208,240,208,3015,336,129,26,949,465,883,465
Kenting,244,69,49,2645,306,166,140,271,210,272,206,2470,565,30,95,1484,112,1477,124
Rabi,256,93,67,1319,323,185,138,261,236,269,236,1970,371,2,71,841,14,705,14
Jianfengling,204,75,45,3157,274,109,165,232,158,238,158,1657,318,17,79,869,60,568,60
Mudumalai,223,90,59,1423,301,149,152,220,221,244,205,1480,409,2,92,827,20,221,99
Nanjenshan,229,71,50,2605,291,151,140,255,195,257,192,3034,703,54,91,1794,188,1764,197
Doi_Inthanon,231,123,51,2333,343,104,239,235,213,257,198,957,186,9,78,458,34,284,35
Huai_Kha_Khaeng_(HKK),248,109,54,1727,343,143,200,249,227,270,224,1347,257,3,81,682,24,240,50
Mo_Singto,235,107,58,1826,316,132,184,237,212,254,207,1098,236,6,72,496,44,333,45
Dinghushan,197,77,33,5410,301,71,230,249,139,258,122,1735,283,33,66,796,109,776,138
Heishiding,220,85,34,5718,335,89,246,277,160,285,142,1440,245,33,64,653,110,613,132
Fushan,193,63,35,4189,281,101,180,228,138,243,138,3189,461,125,44,1281,423,1066,423
Lilly_Dickey_Woods,114,117,31,9042,297,-71,368,207,-8,225,-8,1088,120,69,17,330,228,303,228
Smithsonian_Conservation_Biology_Institute_(SCBI),112,127,34,8411,292,-71,363,197,-1,217,-1,1011,102,64,15,295,197,290,197
Smithsonian_Environmental_Research_Center_(SERC),132,109,31,8431,304,-38,342,238,21,238,21,1068,112,71,14,310,235,310,235
Tyson_Research_Center,124,126,32,9305,315,-77,392,124,-3,239,-3,999,107,51,19,295,185,270,185
Ilha_do_Cardoso,225,85,49,2880,309,138,171,260,188,260,188,2479,377,85,44,1025,314,1025,314
Badagongshan,159,79,25,7872,312,8,304,236,54,257,54,1410,229,33,55,621,111,582,111
Gutianshan,154,79,25,8085,306,-3,309,193,67,254,46,1860,317,51,54,845,190,629,244
Tiantongshan,144,64,22,7740,285,1,284,242,70,242,44,1480,204,52,41,528,183,528,194
Hong_Kong,219,61,31,4832,305,113,192,274,171,274,153,2286,415,28,77,1192,93,1192,108
Nonggang,225,84,37,5253,326,102,224,283,166,283,151,1376,240,24,72,703,89,703,91
Xishuangbanna,213,118,55,3191,304,90,214,242,178,245,166,1611,290,21,73,833,75,644,81
Baotianman,81,94,28,8390,238,-94,332,175,-32,187,-32,948,192,15,68,470,53,454,53
Lienhuachih,193,75,44,3337,270,103,167,230,160,231,147,2345,488,25,80,1238,106,946,166
Zenlun,227,80,44,3720,309,129,180,268,190,268,175,2620,613,16,98,1625,65,1625,97
Zofin,57,90,32,6830,207,-72,279,144,-20,144,-32,949,122,55,30,349,177,349,184
Santa_Cruz,132,125,58,3272,247,34,213,94,171,176,94,899,193,2,91,495,10,15,495
Wind_River,94,106,39,5725,253,-16,269,29,167,168,23,2565,458,22,71,1279,127,144,1214
Yosemite_National_Park,74,138,45,5980,251,-51,302,8,154,155,8,1034,184,7,77,504,33,43,504
La_Planada,178,101,88,245,237,123,114,175,179,181,174,1716,214,40,41,613,177,535,550
Laupahoehoe,162,87,69,1218,227,101,126,149,164,178,147,1937,255,43,42,688,259,345,647
Palamanui,222,86,73,1059,280,163,117,220,224,236,209,1177,124,71,18,353,237,318,253
Speulderbos,90,74,33,5406,210,-10,220,155,46,158,21,803,78,49,15,227,156,223,196
Wytham_Woods,93,74,35,4687,207,0,207,68,56,153,34,657,65,39,14,189,135,162,164
Haliburton,42,111,26,10470,245,-169,414,65,-37,169,-100,962,94,62,13,273,193,258,221
Harvard_Forest,67,121,31,9244,260,-128,388,183,-45,183,-57,1151,106,82,7,306,261,306,266
Wabikon,42,125,28,10681,254,-179,433,160,-105,171,-105,803,106,24,41,296,91,288,91
Changbaishan,23,128,26,12795,245,-243,488,178,-153,178,-153,693,163,7,93,429,26,429,26
Donglingshan,47,120,27,11381,246,-183,429,185,-108,185,-108,519,148,4,102,341,14,341,14
